name,ttm,01/31/2020,10/31/2019,07/31/2019,04/30/2019,01/31/2019,10/31/2018,07/31/2018,04/30/2018,01/31/2018,10/31/2017,07/31/2017,04/30/2017,01/31/2017,10/31/2016,07/31/2016,04/30/2016,01/31/2016,10/31/2015,07/31/2015,04/30/2015,01/31/2015,10/31/2014,07/31/2014,04/30/2014,01/31/2014,10/31/2013,07/31/2013,04/30/2013,01/31/2013,10/31/2012,07/31/2012,04/30/2012
BasicEPS,,"1.34","1.51","0.97","0.25",,"0.93","0.41","0.13",,"0.75","0.9","-0.17",,"0.7","-0.61","0.96",,"0.56","-0.58","0.7",,"0.31","-0.03","0.24",,"0.41","-0.07","0.218",,"0.268","-0.024","0.463"
DilutedEPS,,"1.32","1.49","0.96","0.25",,"0.92","0.41","0.13",,"0.75","0.89","-0.17",,"0.7","-0.61","0.96",,"0.56","-0.58","0.7",,"0.31","-0.03","0.24",,"0.41","-0.07","0.218",,"0.268","-0.024","0.463"
BasicAverageShares,,"88,617,489","89,684,315","95,889,145","96,990,837",,"97,112,503","98,375,473","100,620,438",,"103,240,376","110,934,242","111,751,789",,"111,895,410","113,463,800","114,842,786",,"116,634,208","117,980,179","118,380,779",,"118,315,466","118,291,151","118,179,487",,"118,126,562","104,096,629","118,126,562",,"118,126,562","118,126,562","118,126,562"
DilutedAverageShares,,"89,888,161","90,829,230","96,886,605","97,771,532",,"98,619,401","99,938,657","101,821,392",,"104,227,543","111,774,375","111,751,789",,"112,235,474","113,463,800","115,126,024",,"117,090,313","118,539,790","118,902,510",,"118,325,873","118,929,261","118,939,914",,"118,131,341","111,111,596","118,126,562",,"118,126,562","118,126,562","118,126,562"
TotalOperatingIncomeAsReported,"604,300,000","197,400,000","208,000,000","109,900,000","89,000,000","126,500,000","157,100,000","102,800,000","86,200,000","152,700,000","162,000,000","44,900,000","40,500,000","167,400,000","163,000,000","-30,600,000","6,500,000","75,300,000","103,900,000","22,300,000","63,800,000","174,300,000","98,700,000","3,600,000","28,400,000","78,200,000","95,000,000","35,800,000","86,100,000","71,100,000","44,600,000","14,800,000","89,200,000"
TotalExpenses,"5,477,100,000","1,455,000,000","1,435,500,000","1,346,200,000","1,240,400,000","1,381,700,000","1,234,100,000","1,106,200,000","1,042,300,000","1,108,700,000","1,074,400,000","977,700,000","913,100,000","1,128,400,000","918,700,000","842,200,000","902,500,000","976,000,000","898,600,000","782,300,000","830,200,000","903,200,000","811,200,000","774,400,000","730,200,000","813,000,000","773,100,000","595,200,000","723,900,000","718,300,000","672,600,000","576,400,000","675,300,000"
NetIncomeFromContinuingAndDiscontinuedOperation,"371,400,000","118,400,000","135,600,000","93,400,000","24,000,000","82,700,000","90,300,000","40,700,000","13,300,000","115,200,000","77,700,000","100,000,000","-18,700,000","136,600,000","78,700,000","-68,900,000","110,800,000","-28,700,000","65,500,000","-68,300,000","83,100,000","8,500,000","37,200,000","-3,500,000","28,000,000","-6,200,000","48,200,000","-7,800,000","25,700,000","35,600,000","31,700,000","-2,800,000","54,700,000"
NormalizedIncome,"357,622,503.461","98,856,827.924","135,673,452.769","75,601,480.836","46,050,000","81,535,211.268","99,458,769.231","51,296,283.784","49,829,500","87,258,829.962","101,073,390.558","31,783,030.853","14,742,500","124,553,493.572","93,464,274.062","-2,123,529.412","38,770,000","70,451,500","73,414,269.275","-10,161,500","46,830,312.5","83,837,500","63,069,357.798","-5,492,857.143","18,775,000","42,250,000","54,338,350.217","2,850,000","27,380,145.278","36,235,502.959","46,656,379.822","17,075,000","45,188,563.83"
InterestIncome,"2,200,000","300,000","300,000","800,000","800,000","700,000","400,000","-700,000","2,600,000","300,000","500,000","700,000","700,000","0","-100,000","900,000","700,000","800,000","1,100,000","800,000","800,000","800,000","800,000","600,000","500,000","500,000","300,000","500,000","1,200,000","500,000","200,000","400,000","800,000"
InterestExpense,"86,400,000","23,500,000","23,100,000","20,100,000","19,700,000","17,600,000","16,100,000","14,900,000","13,200,000","14,200,000","14,300,000","13,900,000","13,100,000","13,300,000","14,000,000","16,500,000","15,200,000","16,300,000","15,500,000","15,000,000","14,500,000","14,700,000","14,800,000","14,200,000","13,700,000","14,600,000","14,800,000","15,600,000","17,200,000","16,700,000","11,300,000","11,200,000","19,600,000"
NetInterestIncome,"-88,700,000","-24,600,000","-23,800,000","-20,400,000","-19,900,000","-19,200,000","-16,900,000","-26,300,000","-11,500,000","-16,000,000","-14,600,000","-14,200,000","-13,100,000","-13,800,000","-15,900,000","-16,400,000","-15,100,000","-16,100,000","-14,200,000","-15,000,000","-13,800,000","-14,300,000","-14,400,000","-14,300,000","-13,600,000","-15,100,000","-15,000,000","-15,000,000","-16,100,000","-16,800,000","-11,700,000","-11,800,000","-20,100,000"
EBIT,"592,100,000","186,800,000","207,300,000","134,900,000","63,100,000","124,100,000","146,100,000","74,100,000","46,400,000","197,100,000","130,800,000","124,100,000","-2,400,000","192,200,000","136,600,000","-68,500,000","125,800,000","-1,900,000","102,400,000","-49,300,000","110,500,000","63,200,000","69,300,000","8,600,000","40,800,000","24,800,000","83,900,000","12,100,000","58,500,000","67,400,000","45,000,000","3,200,000","94,800,000"
EBITDA,"826,200,000"
ReconciledCostOfRevenue,"4,598,700,000","1,232,200,000","1,201,700,000","1,131,700,000","1,033,100,000","1,171,000,000","1,037,400,000","926,900,000","855,100,000","946,000,000","911,100,000","813,300,000","749,000,000","969,700,000","773,000,000","684,100,000","735,800,000","822,900,000","764,200,000","642,700,000","685,200,000","778,400,000","678,400,000","637,100,000","585,200,000","679,700,000","642,100,000","478,300,000","586,300,000","593,000,000","556,500,000","458,500,000","550,500,000"
ReconciledDepreciation,"234,100,000","63,200,000","59,400,000","56,700,000","54,800,000","53,600,000","43,300,000","40,800,000","39,600,000","41,400,000","36,700,000","35,700,000","35,400,000","35,700,000","34,000,000","31,800,000","31,600,000","36,700,000","32,000,000","30,400,000","27,100,000","30,600,000","28,500,000","27,500,000","26,600,000","27,800,000","23,900,000","22,300,000","21,100,000","21,200,000","21,400,000","22,000,000","20,500,000"
NetIncomeFromContinuingOperationNetMinorityInterest,"371,400,000","118,400,000","135,600,000","93,400,000","24,000,000","82,700,000","90,300,000","40,700,000","13,300,000","115,200,000","77,700,000","100,000,000","-18,700,000","136,600,000","78,700,000","-68,900,000","110,800,000","-28,700,000","65,500,000","-68,300,000","83,100,000","8,500,000","37,200,000","-3,500,000","28,000,000","-6,200,000","48,200,000","-7,800,000","25,700,000","35,600,000","31,700,000","-2,800,000","54,700,000"
TotalUnusualItemsExcludingGoodwill,"18,800,000","27,000,000","-100,000","21,900,000","-30,000,000","1,500,000","-13,200,000","-15,300,000","-49,700,000","44,400,000","-35,000,000","75,100,000","-45,500,000","15,800,000","-23,000,000","-82,500,000","98,000,000","-134,900,000","-10,500,000","-79,100,000","41,900,000","-102,500,000","-37,900,000","3,100,000","12,300,000","-64,600,000","-8,800,000","-14,200,000","-2,700,000","-900,000","-15,900,000","-26,500,000","13,100,000"
TotalUnusualItems,"18,800,000","27,000,000","-100,000","21,900,000","-30,000,000","1,500,000","-13,200,000","-15,300,000","-49,700,000","44,400,000","-35,000,000","75,100,000","-45,500,000","15,800,000","-23,000,000","-82,500,000","98,000,000","-134,900,000","-10,500,000","-79,100,000","41,900,000","-102,500,000","-37,900,000","3,100,000","12,300,000","-64,600,000","-8,800,000","-14,200,000","-2,700,000","-900,000","-15,900,000","-26,500,000","13,100,000"
NormalizedEBITDA,"807,400,000","223,000,000","266,800,000","169,700,000","147,900,000","176,200,000","202,600,000","130,200,000","135,700,000","194,100,000","202,500,000","84,700,000","78,500,000","212,100,000","193,600,000","45,800,000","59,400,000","169,700,000","144,900,000","60,200,000","95,700,000","196,300,000","135,700,000","33,000,000","55,100,000","117,200,000","116,600,000","48,600,000","82,300,000","89,500,000","82,300,000","51,700,000","102,200,000"
TaxRateForCalcs,"0.267","0.276","0.265","0.187","0.265","0.223","0.306","0.307","0.265","0.371","0.332","0.092","0.265","0.238","0.358","0.191","0.265","0.265","0.246","0.265","0.134","0.265","0.317","0.357","0.25","0.25","0.302","0.25","0.378","0.294","0.059","0.25","0.274"
TaxEffectOfUnusualItems,"5,022,503.461","7,456,827.924","-26,547.231","4,101,480.836","-7,950,000","335,211.268","-4,041,230.769","-4,703,716.216","-13,170,500","16,458,829.962","-11,626,609.442","6,883,030.853","-12,057,500","3,753,493.572","-8,235,725.938","-15,723,529.412","25,970,000","-35,748,500","-2,585,730.725","-20,961,500","5,630,312.5","-27,162,500","-12,030,642.202","1,107,142.857","3,075,000","-16,150,000","-2,661,649.783","-3,550,000","-1,019,854.722","-264,497.041","-943,620.178","-6,625,000","3,588,563.83"
