name,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,08/31/2007,08/31/2006,08/31/2005,08/31/2004
TotalRevenue,"54,213,000,000","54,213,000,000","54,087,000,000","40,523,000,000","37,504,000,000","42,126,000,000","55,691,000,000","48,335,000,000","16,964,000,000","8,240,703,000","6,598,132,000","5,417,295,000","9,293,367,000","6,792,037,000","7,859,096,000","6,168,798,000","2,346,957,000"
	OperatingRevenue,"53,340,000,000","53,340,000,000","53,118,000,000","37,738,000,000","33,418,000,000","35,856,000,000","50,817,000,000","44,513,000,000","15,515,000,000","8,240,703,000","6,598,132,000","5,417,295,000","9,293,367,000","6,792,037,000","7,859,096,000","6,168,798,000","2,346,957,000"
CostOfRevenue,"39,727,000,000","39,727,000,000","41,658,000,000","30,966,000,000","28,656,000,000","34,009,000,000","48,389,000,000","42,554,000,000","13,088,000,000","6,101,917,000","4,895,883,000","3,122,056,000","7,719,911,000","5,078,206,000","6,991,305,000","5,701,069,000","1,981,424,000"
GrossProfit,"14,486,000,000","14,486,000,000","12,429,000,000","9,557,000,000","8,848,000,000","8,117,000,000","7,302,000,000","5,781,000,000","3,876,000,000","2,138,786,000","1,702,249,000","2,295,239,000","1,573,456,000","1,713,831,000","867,791,000","467,729,000","365,533,000"
OperatingExpense,"7,135,000,000","7,135,000,000","6,650,000,000","5,805,000,000","5,862,000,000","5,379,000,000","4,462,000,000","3,709,000,000","2,516,000,000","903,967,000","665,520,000","1,184,841,000","474,553,000","904,495,000","292,251,000","169,808,000","234,727,000"
	SellingGeneralAndAdministration,"694,000,000","694,000,000","702,000,000","607,000,000","807,000,000","639,000,000","611,000,000","586,000,000","580,000,000","292,158,000","234,321,000","178,924,000","200,181,000","713,112,000","162,615,000","64,057,000","31,111,000"
	DepreciationAmortizationDepletionIncomeStatement,"3,147,000,000","3,147,000,000","2,859,000,000","2,554,000,000","2,359,000,000","2,079,000,000","1,724,000,000","1,313,000,000","871,000,000","611,809,000","431,199,000","325,024,000","274,372,000","191,383,000","129,636,000","105,751,000","56,242,000"
		DepreciationAndAmortizationInIncomeStatement,"3,147,000,000","3,147,000,000","2,859,000,000","2,554,000,000","2,359,000,000","2,079,000,000","1,724,000,000","1,313,000,000","871,000,000","611,809,000","431,199,000","325,024,000","274,372,000","191,383,000","129,636,000","105,751,000","56,242,000"
	OtherOperatingExpenses,"3,294,000,000","3,294,000,000","3,089,000,000","2,644,000,000","2,696,000,000","2,661,000,000","2,127,000,000","1,810,000,000","1,065,000,000",,"784,546,000","680,893,000",,,,,"147,374,000"
OperatingIncome,"7,351,000,000","7,351,000,000","5,779,000,000","3,752,000,000","2,986,000,000","2,738,000,000","2,840,000,000","2,072,000,000","1,360,000,000","1,234,819,000","1,036,729,000","1,110,398,000","1,098,903,000","809,336,000","575,540,000","297,921,000","130,806,000"
