name,ttm,12/31/2019
MarketCap,"5,046,943,397","7,015,198,883"
PeRatio,"52.6","17.727"
ForwardPeRatio,"14.62","11.364"
PsRatio,"10.761","18.13"
PbRatio,"0.916","1.184"
