name,ttm,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994
TotalRevenue,"7,295,959,000","1,584,997,000","1,993,427,000","1,914,604,000","1,802,931,000","1,689,844,000","1,997,771,000","1,855,769,000","1,790,220,000","1,531,507,000","1,819,018,000","1,669,873,000","1,546,046,000","1,278,753,000","1,755,224,000","1,539,569,000","1,389,620,000","1,145,700,000","1,557,407,000","1,404,323,000","1,244,936,000","958,827,000","1,329,596,000","1,204,539,000","1,102,879,000","812,494,000","1,243,737,000","1,190,363,000","1,010,939,000","771,211,000","945,824,000","871,397,000","770,457,000","601,476,000","742,072,000","708,469,000","697,364,000","516,001,000","812,729,000","679,633,000","968,339,000","593,505,000","745,802,000","814,016,000","627,946,000","561,811,000","910,174,000","939,211,000","955,723,000","887,931,000","1,427,397,000","1,292,088,000","1,316,668,000","1,093,189,000","1,627,130,000","1,553,411,000","1,748,928,000","1,204,655,000","1,662,499,000","1,376,173,000","1,279,803,000","942,442,000","1,258,369,000","1,146,271,000","1,002,333,000","878,561,000","1,168,778,000","956,848,000","848,501,000","743,574,000","834,189,000","847,044,000","788,439,000","692,255,000","737,703,000","692,813,000","648,465,000","531,696,000","629,991,000","617,672,000","558,506,000","490,581,000","561,300,000","523,600,000","509,000,000","446,500,000","441,500,000","441,000,000","385,700,000","291,500,000","298,500,000","323,300,000","288,100,000","244,100,000","254,400,000","318,900,000","283,500,000","200,200,000","244,800,000","263,300,000","212,300,000","147,900,000","241,500,000","231,800,000","215,500,000","157,100,000"
	OperatingRevenue,"7,295,959,000","1,584,997,000","1,993,427,000","1,914,604,000","1,802,931,000","1,689,844,000","1,997,771,000","1,855,769,000","1,790,220,000","1,531,507,000","1,819,018,000","1,669,873,000","1,546,046,000","1,278,753,000","1,755,224,000","1,539,569,000","1,389,620,000","1,145,700,000","1,557,407,000","1,404,323,000","1,244,936,000","958,827,000","1,329,596,000","1,204,539,000","1,102,879,000","812,494,000","1,243,737,000","1,190,363,000","1,010,939,000","771,211,000","948,242,000","870,637,000","770,457,000","601,476,000","746,045,000","707,476,000","697,364,000","516,001,000","812,729,000","679,633,000","964,504,000","592,749,000","745,802,000","814,016,000","612,488,000","561,811,000","910,174,000","939,211,000","955,723,000","887,931,000","1,427,397,000","1,292,088,000","1,316,668,000","1,093,189,000","1,627,130,000","1,553,411,000","1,748,928,000","1,204,655,000","1,571,446,000","1,376,173,000","1,279,803,000","942,442,000","1,258,369,000","1,146,271,000","1,002,333,000","878,561,000","1,168,778,000","956,848,000","848,501,000","743,574,000","834,189,000","847,044,000","788,439,000","692,255,000","737,703,000","692,813,000","648,465,000","531,696,000","629,991,000","617,672,000","558,506,000","490,581,000","561,300,000","523,600,000","509,000,000","446,500,000","441,500,000","441,000,000","385,700,000","291,500,000","298,500,000","323,300,000","288,100,000","244,100,000","254,400,000","318,900,000","283,500,000","200,200,000","244,800,000","263,300,000","212,300,000","147,900,000","241,500,000","231,800,000","215,500,000","157,100,000"
CostOfRevenue,"5,806,894,000","1,295,015,000","1,567,662,000","1,518,561,000","1,425,656,000","1,339,028,000","1,590,994,000","1,472,878,000","1,417,079,000","1,212,221,000","1,438,625,000","1,308,270,000","1,218,356,000","1,026,275,000","1,413,734,000","1,242,578,000","1,126,629,000","926,006,000","1,238,773,000","1,111,853,000","986,993,000","781,804,000","1,070,753,000","960,212,000","882,908,000","655,262,000","1,001,552,000","964,573,000","834,425,000","624,199,000","756,942,000","702,436,000","624,978,000","491,829,000","616,722,000","572,382,000","558,601,000","417,920,000","654,965,000","540,783,000","771,475,000","471,069,000","592,221,000","636,642,000","494,240,000","462,630,000","875,779,000","805,931,000","772,369,000","726,931,000","1,224,313,000","1,087,399,000","1,061,937,000","853,410,000","1,297,372,000","1,238,671,000","1,304,183,000","861,039,000","1,180,762,000","970,437,000","907,284,000","679,547,000","929,102,000","848,195,000","735,978,000","643,011,000","829,707,000","719,507,000","623,210,000","539,437,000","590,441,000","645,869,000","585,828,000","513,231,000","559,408,000","530,041,000","505,676,000","407,165,000","492,498,000","484,150,000","453,590,000","398,487,000","410,700,000","432,000,000","406,800,000","355,500,000","325,900,000","371,800,000","324,700,000","246,700,000","271,800,000","271,000,000","241,400,000","206,100,000","212,500,000","270,600,000","243,700,000","172,200,000","217,000,000","219,200,000","175,800,000","124,100,000","204,600,000","195,000,000","179,800,000","131,600,000"
GrossProfit,"1,489,065,000","289,982,000","425,765,000","396,043,000","377,275,000","350,816,000","406,777,000","382,891,000","373,141,000","319,286,000","380,393,000","361,603,000","327,690,000","252,478,000","341,490,000","296,991,000","262,991,000","219,694,000","318,634,000","292,470,000","257,943,000","177,023,000","258,843,000","244,327,000","219,971,000","157,232,000","242,185,000","225,790,000","176,514,000","147,012,000","188,882,000","168,961,000","145,479,000","109,647,000","125,350,000","136,087,000","138,763,000","98,081,000","157,764,000","138,850,000","196,864,000","122,436,000","153,581,000","177,374,000","133,706,000","99,181,000","34,395,000","133,280,000","183,354,000","161,000,000","203,084,000","204,689,000","254,731,000","239,779,000","329,758,000","314,740,000","444,745,000","343,616,000","481,737,000","405,736,000","372,519,000","262,895,000","329,267,000","298,076,000","266,355,000","235,550,000","339,071,000","237,341,000","225,291,000","204,137,000","243,748,000","201,175,000","202,611,000","179,024,000","178,295,000","162,772,000","142,789,000","124,531,000","137,493,000","133,522,000","104,916,000","92,094,000","150,600,000","91,600,000","102,200,000","91,000,000","115,600,000","69,200,000","61,000,000","44,800,000","26,700,000","52,300,000","46,700,000","38,000,000","41,900,000","48,300,000","39,800,000","28,000,000","27,800,000","44,100,000","36,500,000","23,800,000","36,900,000","36,800,000","35,700,000","25,500,000"
OperatingExpense,"495,946,000","122,393,000","124,162,000","122,861,000","126,530,000","126,216,000","123,325,000","127,213,000","125,508,000","122,281,000","113,078,000","111,318,000","113,081,000","114,739,000","106,941,000","106,650,000","113,717,000","111,540,000","106,046,000","101,574,000","103,442,000","108,878,000","101,923,000","94,918,000","105,554,000","101,841,000","84,739,000","88,675,000","91,096,000","86,455,000","84,397,000","84,342,000","82,081,000","80,089,000","76,449,000","68,258,000","75,943,000","73,865,000","72,236,000","74,737,000","76,412,000","67,270,000","69,887,000","64,148,000","61,139,000","65,452,000","75,662,000","74,557,000","100,860,000","95,829,000","125,769,000","60,907,000","110,152,000","106,729,000","159,600,000","104,421,000","129,403,000","123,174,000","131,826,000","111,110,000","105,916,000","73,546,000","54,453,000","71,037,000","70,611,000","64,694,000","119,631,000","63,871,000","65,299,000","56,427,000","103,421,000","68,000,000","75,890,000","52,825,000","91,346,000","56,832,000","56,127,000","41,519,000","55,869,000","55,700,000","48,092,000","40,624,000","57,400,000","50,300,000","47,000,000","40,700,000","47,100,000","41,300,000","39,300,000","29,000,000","41,200,000","32,200,000","26,200,000","24,400,000","31,700,000","28,900,000","25,900,000","23,600,000","33,500,000","28,900,000","22,000,000","20,300,000","27,800,000","25,500,000","23,100,000","22,600,000"
	SellingGeneralAndAdministration,"523,291,000","128,378,000","131,493,000","130,376,000","133,044,000","132,492,000","128,905,000","130,712,000","128,313,000","124,782,000","116,000,000","113,616,000","115,034,000","116,150,000","108,050,000","107,826,000","114,879,000","112,565,000","106,914,000","102,580,000","104,807,000","109,708,000","102,707,000","96,063,000","106,200,000","102,897,000","85,734,000","89,923,000","92,372,000","87,594,000","88,447,000","84,342,000","82,081,000","80,089,000","76,449,000","68,258,000","75,943,000","73,865,000","72,236,000","74,737,000","76,412,000","67,270,000","69,887,000","64,148,000","61,139,000","65,452,000","75,662,000","74,557,000","98,279,000","91,820,000","98,237,000","60,907,000","110,152,000","106,729,000","114,309,000","104,421,000","129,403,000","123,174,000","111,318,000","94,583,000","92,128,000","79,051,000","80,046,000","71,037,000","70,611,000","64,694,000","70,192,000","63,871,000","65,299,000","56,427,000","65,085,000","68,000,000","64,435,000","52,498,000","56,654,000","54,747,000","54,041,000","39,434,000","52,295,000","52,351,000","44,614,000","37,185,000","53,200,000","46,700,000","43,400,000","37,500,000","43,800,000","38,000,000","36,000,000","25,500,000","37,700,000","29,000,000","22,900,000","21,100,000","25,500,000","27,100,000","22,200,000","19,900,000","29,600,000","25,000,000","18,300,000","17,000,000","24,300,000","22,100,000","19,700,000","19,100,000"
		GeneralAndAdministrativeExpense,"523,291,000","128,378,000","131,493,000","130,376,000","133,044,000","132,492,000","128,905,000","130,712,000","128,313,000","124,782,000","116,000,000","113,616,000","115,034,000","116,150,000","108,050,000","107,826,000","114,879,000","112,565,000","106,914,000","102,580,000","104,807,000","109,708,000","102,707,000","96,063,000","106,200,000","102,897,000","85,734,000","89,923,000","92,372,000","87,594,000","88,447,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			OtherGandA,"523,291,000","128,378,000","131,493,000","130,376,000","133,044,000","132,492,000","128,905,000","130,712,000","128,313,000","124,782,000","116,000,000","113,616,000","115,034,000","116,150,000","108,050,000","107,826,000","114,879,000","112,565,000","106,914,000","102,580,000","104,807,000","109,708,000","102,707,000","96,063,000","106,200,000","102,897,000","85,734,000","89,923,000","92,372,000","87,594,000","88,447,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	DepreciationAmortizationDepletionIncomeStatement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,086,000","2,085,000","2,086,000","2,085,000","3,574,000","3,349,000","3,478,000","3,439,000","4,200,000","3,600,000","3,600,000","3,200,000","3,300,000","3,300,000","3,300,000","3,500,000","3,500,000","3,200,000","3,300,000","3,300,000","6,200,000","1,800,000","3,700,000","3,700,000","3,900,000","3,900,000","3,700,000","3,300,000","3,500,000","3,400,000","3,400,000","3,500,000"
		DepreciationAndAmortizationInIncomeStatement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,086,000","2,085,000","2,086,000","2,085,000","3,574,000","3,349,000","3,478,000","3,439,000","4,200,000","3,600,000","3,600,000","3,200,000","3,300,000","3,300,000","3,300,000","3,500,000","3,500,000","3,200,000","3,300,000","3,300,000","6,200,000","1,800,000","3,700,000","3,700,000","3,900,000","3,900,000","3,700,000","3,300,000","3,500,000","3,400,000","3,400,000","3,500,000"
