name,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002
TotalAssets,"46,457,800,000","45,838,049,000","43,984,577,000","43,313,455,000","43,565,118,000","42,246,075,000","40,970,555,000","40,685,614,000","39,546,444,000","38,373,427,000","37,136,341,000","37,298,458,000","36,745,034,000","35,290,512,000","34,417,220,000","33,973,592,000","33,706,614,000","32,456,526,000","31,120,003,000","31,612,765,000","30,355,440,000","29,760,013,000","28,983,529,000","28,790,511,000","28,274,294,000","27,560,792,000","26,999,760,000","26,675,793,000","25,953,815,000","25,344,935,000","25,392,325,000","25,214,984,000","24,548,478,000","23,793,066,000","24,117,337,000","23,350,584,000","23,539,694,000","22,879,326,000","21,997,035,000","20,243,124,000","21,039,782,000","20,826,892,000","20,762,026,000","20,113,911,000","19,537,510,000","18,702,069,000","18,590,181,000","18,663,376,000","18,403,109,600","18,188,061,588","18,134,287,248","17,999,953,000","18,139,996,745","17,710,334,774","17,929,965,633.8","17,435,166,000","17,256,082,081.05","17,895,369,070.5","17,207,874,996","16,783,808,000","16,724,429,532","16,436,782,428","16,633,660,450","16,530,670,000","16,608,793,602.5","16,785,916,510","16,354,499,808","16,331,937,000","16,459,614,050","16,517,031,266.5","15,867,377,260"
	CurrentAssets,"4,896,138,000","5,120,870,000","5,227,461,000","4,927,761,000","5,602,242,000","5,954,364,000","5,198,520,000","5,340,677,000","4,574,085,000","4,113,112,000","3,329,030,000","3,988,042,000","3,823,635,000","3,218,731,000","3,212,799,000","3,340,819,000","3,450,333,000","2,612,733,000","2,463,266,000","3,370,252,000","3,215,445,000","3,404,656,000","3,314,589,000","3,388,070,000","3,254,087,000","3,129,492,000","3,438,300,000","3,336,865,000","3,169,152,000","3,145,758,000","3,547,971,000","3,725,833,000","3,663,433,000","3,445,262,000","4,149,616,000","3,590,121,000","3,422,671,000","3,139,112,000","2,622,932,000","2,271,123,000","2,082,714,000","2,181,153,000","2,332,983,000","2,238,412,000","2,004,278,000","1,784,196,000","1,934,502,000","2,224,517,000","2,131,763,280","2,099,946,690","2,151,377,184","1,919,032,000","2,045,190,550","1,873,747,051","2,144,476,829","1,725,386,000","1,682,953,194.6","2,283,976,678","1,705,446,359.5","1,229,790,000","1,249,543,104","987,159,459","1,167,527,460","1,157,721,000","1,808,322,605","2,194,386,209","1,713,536,400","1,592,186,000","1,619,512,840","1,843,033,532.5","1,327,208,512"
		CashCashEquivalentsAndShortTermInvestments,"2,253,210,000","2,633,406,000","2,663,892,000","2,205,083,000","3,029,191,000","3,619,253,000","2,832,735,000","2,963,862,000","2,283,047,000","2,101,000,000","1,367,605,000","1,983,822,000","1,886,221,000","1,415,465,000","1,374,400,000","1,431,876,000","1,639,214,000","980,550,000","889,961,000","1,737,971,000","1,722,991,000","1,859,690,000","1,823,711,000","1,982,472,000","1,782,001,000","1,828,770,000","2,127,035,000","1,921,178,000","1,777,706,000","1,752,485,000","2,019,264,000","2,149,989,000","2,265,911,000","2,174,539,000","2,399,844,000","1,989,179,000","1,367,191,000","1,047,359,000","852,523,000","771,008,000","386,269,000","688,904,000","801,514,000","625,732,000","474,903,000","352,781,000","380,225,000","464,997,000","447,090,560","510,601,860","450,521,016","328,206,000","403,495,547","335,900,257","646,094,284.2","435,827,068.5","228,632,223.15","882,801,906.5","450,716,773","105,557,000","298,908,450","102,876,146","232,415,865","281,013,000","455,858,590","1,063,257,138","485,558,136","462,138,000","538,347,205","763,420,910","333,598,580"
			CashAndCashEquivalents,"2,253,210,000","2,633,406,000","2,663,892,000","2,205,083,000","3,029,191,000","3,619,253,000","2,832,735,000","2,963,862,000","2,283,047,000","2,101,000,000","1,367,605,000","1,983,822,000","1,886,221,000","1,415,465,000","1,374,400,000","1,431,876,000","1,639,214,000","889,933,000","803,031,000","1,737,971,000","1,722,991,000","1,859,690,000","1,823,711,000","1,982,472,000","1,782,001,000","1,828,770,000","2,127,035,000","1,921,178,000","1,777,706,000","1,752,485,000","2,019,264,000","2,149,989,000","2,265,911,000","2,174,539,000","2,399,844,000","1,989,179,000","1,367,191,000","1,047,359,000","852,523,000","771,008,000","386,269,000","688,904,000","801,514,000","625,732,000","474,903,000","352,781,000","380,225,000","72,833,000","447,090,560","510,601,860","450,521,016","328,206,000","403,495,547","335,900,257","646,094,284.2","280,173,000","228,632,223.15","882,801,906.5","450,716,773","105,557,000","298,908,450","102,876,146","232,415,865","281,013,000","455,858,590","1,063,257,138","485,558,136","462,138,000","538,347,205","763,420,910","333,598,580"
				CashFinancial,"176,497,000","132,746,000","135,826,000","111,820,000","151,558,000","98,984,000","104,551,000","121,598,000","171,951,000","83,335,000","90,537,000","81,851,000","137,395,000",,,"60,627,000","77,233,000","59,816,000","62,552,000",,"118,226,000","80,568,000","609,673,000","99,363,000","189,836,000","89,493,000","89,576,000","119,846,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				CashEquivalents,"2,076,713,000","2,500,660,000","2,528,066,000","2,093,263,000","2,877,633,000","3,520,269,000","2,728,184,000","2,842,264,000","2,111,096,000","2,017,665,000","1,277,068,000","1,901,971,000","1,748,826,000",,,"1,371,249,000","1,561,981,000","830,117,000","740,479,000",,"1,604,765,000","1,779,122,000","1,214,038,000","1,883,109,000","1,592,165,000","1,739,277,000","2,037,459,000","1,801,332,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			OtherShortTermInvestments,,,,,,,,,,,,,,,,,,"90,617,000","86,930,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"392,164,000",,,,,,,,"155,654,068.5",,,,,,,,,,,,,,,
		Receivables,"2,546,456,000","2,369,798,000","2,418,506,000","2,626,113,000","2,475,555,000","2,243,148,000","2,287,144,000","2,287,259,000","2,186,545,000","1,873,645,000","1,864,151,000","1,918,136,000","1,855,334,000","1,732,951,000","1,761,963,000","1,825,670,000","1,717,897,000","1,546,113,000","1,497,804,000","1,550,523,000","1,406,217,000","1,471,528,000","1,412,021,000","1,254,429,000","1,403,352,000","1,244,502,000","1,253,528,000","1,297,620,000","1,280,679,000","1,269,017,000","1,402,054,000","1,376,108,000","1,264,339,000","1,120,878,000","1,422,515,000","1,217,765,000","1,259,514,000","1,294,522,000","1,347,940,000","1,318,734,000","1,286,310,000","1,250,854,000","1,307,950,000","1,344,542,000","1,321,905,000","1,268,841,000","1,412,085,000","1,555,805,000","1,621,312,320","1,533,450,384","1,609,672,086","1,510,735,000","1,566,775,964","1,483,669,123.75","1,417,210,787.2","1,361,605,000","1,401,814,495.35","1,345,407,949","1,200,049,558.5","1,031,126,000","859,572,645","833,591,617","884,043,710","811,701,000","1,099,788,562.5","921,063,760","985,527,792","911,235,000","110,195,195","906,279,418.5","935,500,636"
			AccountsReceivable,"2,137,752,000","2,008,771,000","1,964,557,000","1,974,708,000","1,843,333,000","1,739,377,000","1,673,590,000","1,762,793,000","1,672,595,000","1,581,066,000","1,481,552,000","1,580,821,000","1,557,472,000","1,465,317,000","1,500,225,000","1,465,570,000","1,326,972,000","1,236,982,000","1,144,774,000","1,056,002,000","1,034,820,000","1,158,920,000","1,095,827,000","1,017,862,000","1,120,053,000","1,022,812,000","1,067,729,000","1,043,166,000","1,006,496,000","1,182,662,000","1,284,556,000","1,072,659,000","950,796,000","1,038,033,000","1,110,115,000","1,109,090,000","1,040,653,000","1,083,895,000","1,162,978,000","1,315,717,000","1,082,737,000","1,049,740,000","1,127,086,000","1,129,746,000","1,112,960,000","1,101,724,000","1,344,359,000","1,207,885,000","1,536,883,920","1,482,159,078","1,575,833,292","1,111,289,000","1,566,775,964","1,214,243,805.5","1,230,947,260","1,195,249,000","1,347,135,245.55","1,297,313,640","1,153,044,620","949,792,000","859,572,645","773,184,632","854,476,865","811,701,000","1,099,788,562.5","921,063,760","985,527,792","911,235,000","110,195,195","906,279,418.5","870,528,568"
			TaxesReceivable,"141,266,000","129,336,000","204,554,000","336,079,000","380,703,000","238,713,000","327,646,000","190,516,000","276,585,000","11,047,000","82,139,000","14,195,000","42,633,000","12,584,000","11,669,000","15,931,000","77,828,000","66,097,000","112,331,000","174,572,000","148,768,000","94,674,000","88,927,000","17,841,000","87,405,000","15,700,000","7,479,000","129,141,000","53,683,000","86,355,000","54,088,000","118,116,000","70,052,000","26,439,000","57,652,000","108,675,000","10,357,000","4,773,000","5,219,000","3,017,000","3,524,000","3,197,000","6,552,000","4,665,000","2,774,000","3,495,000",,"9,414,000",,,,,,,,,,,,,,,,,,,,,,,
