name,ttm,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009
	DepreciationAmortizationDepletionIncomeStatement,"169,900,000","40,500,000","42,800,000","42,900,000","43,700,000","47,200,000","49,100,000","50,300,000","50,400,000","54,200,000","55,900,000","55,400,000","55,800,000","25,100,000","10,066,000","10,200,000","12,260,000","11,851,000","12,203,000","12,394,000","11,275,000","10,402,000","11,053,000","10,361,000","9,895,000","8,604,000","9,108,000","8,476,000","8,622,000","8,282,000","6,211,000","8,634,000","8,320,000","8,320,000","7,506,000","8,897,000","8,996,000","8,696,000","8,190,000","7,099,000","7,301,000","7,301,000","6,859,000","6,884,000","6,885,000","6,884,000"
		DepreciationAndAmortizationInIncomeStatement,"169,900,000","40,500,000","42,800,000","42,900,000","43,700,000","47,200,000","49,100,000","50,300,000","50,400,000","54,200,000","55,900,000","55,400,000","55,800,000","25,100,000","10,066,000","10,200,000","12,260,000","11,851,000","12,203,000","12,394,000","11,275,000","10,402,000","11,053,000","10,361,000","9,895,000","8,604,000","9,108,000","8,476,000","8,622,000","8,282,000","6,211,000","8,634,000","8,320,000","8,320,000","7,506,000","8,897,000","8,996,000","8,696,000","8,190,000","7,099,000","7,301,000","7,301,000","6,859,000","6,884,000","6,885,000","6,884,000"
	OtherOperatingExpenses,"98,100,000","20,300,000","41,600,000","17,100,000","19,100,000","17,600,000","21,800,000","17,200,000","17,200,000","17,200,000","17,600,000","16,600,000","17,000,000","11,300,000","8,153,000","8,087,000","8,082,000","8,528,000","7,508,000","7,501,000","7,442,000","8,057,000","17,124,000","16,647,000","16,872,000","15,980,000","13,766,000","16,151,000","18,443,000","18,923,000","73,499,000","970,000","962,000","988,000","1,277,000","1,600,000","1,587,000","986,000","1,067,000","781,000","2,273,000","745,000","1,417,000","1,041,000","1,017,000","2,160,000"
OperatingIncome,"664,100,000","227,200,000","127,900,000","164,100,000","146,000,000","148,800,000","183,200,000","132,000,000","137,700,000","176,500,000","116,600,000","125,200,000","123,000,000","91,500,000","75,102,000","65,650,000","77,967,000","79,481,000","75,894,000","101,110,000","73,370,000","69,553,000","86,962,000","75,084,000","69,716,000","82,038,000","72,599,000","68,427,000","75,358,000","69,430,000","59,751,000","60,861,000","66,069,000","57,415,000","52,681,000","74,966,000","56,452,000","57,535,000","51,854,000","34,933,000","41,826,000","38,729,000","56,681,000","33,002,000","47,582,000","40,320,000"
NetNonOperatingInterestIncomeExpense,"-33,300,000","-7,300,000","-7,800,000","-8,200,000","-10,000,000","-9,900,000","-9,700,000","-9,600,000","-9,300,000","-9,600,000","-10,400,000","-10,500,000","-12,500,000","-7,900,000","-5,515,000","-177,000","-28,000","-27,000","-27,000","-16,000",,,,,,,,,,,"-89,000","41,000","0","0","-206,000","-226,000","-223,000","-225,000","-225,000","-225,000","-224,000","-222,000","-220,000","-220,000","-218,000","-217,000"
	InterestIncomeNonOperating,"2,100,000","700,000","300,000","600,000","500,000","500,000","-100,000","1,100,000","900,000","400,000","100,000","500,000","0",,,,,,,,,,,,,,,,,,,"41,000","26,000","23,000",,,,,,,,,,,,
	InterestExpenseNonOperating,"33,800,000","7,600,000","7,700,000","8,500,000","10,000,000","10,000,000","8,300,000","10,500,000","9,700,000","9,600,000","10,000,000","10,800,000","11,100,000","7,900,000","5,515,000","177,000","28,000","27,000","27,000","16,000",,,,,,,,,,,"0","0","0","0","206,000","226,000","223,000","225,000","225,000","225,000","224,000","222,000","220,000","220,000","218,000","217,000"
	TotalOtherFinanceCost,"1,600,000","400,000","400,000","300,000","500,000","400,000","1,300,000","200,000","500,000","400,000","500,000","200,000","1,400,000","7,900,000","5,515,000","177,000","28,000","27,000","27,000","16,000",,,,,,,,,,,,,,,,,,,,,,,,,,
OtherIncomeExpense,"-39,700,000","-2,400,000","-5,900,000","-15,000,000","-16,400,000","-11,100,000","2,200,000","-6,100,000","-8,600,000","-7,500,000","-2,100,000","-8,800,000","-4,400,000","-65,300,000","5,400,000","1,863,000","5,875,000","1,013,000","3,797,000","357,000","261,000","-276,000","-3,016,000","-271,000","-321,000","-495,000","-446,000","-517,000","-473,000","-721,000","-264,000","-368,000","-411,000","-453,000","-138,000","-175,000","61,000","-418,000","-1,673,000","-10,000","-34,000","-105,000","111,000","-6,000","129,000","286,000"
	GainOnSaleOfSecurity,,,,,,,,,,,,,,,"5,400,000","1,863,000","5,875,000","1,013,000","3,797,000","357,000","261,000","-30,000","-3,016,000","-271,000","-321,000","-495,000","-446,000","-517,000","-473,000","-721,000","-353,000",,"26,000","23,000","23,000","15,000","61,000","42,000","82,000","158,000","135,000","100,000","524,000","191,000","380,000","512,000"
