name,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996,12/31/1995,12/31/1994
			CurrentAccruedExpenses,"60,000,000","50,400,000","55,700,000","56,900,000","73,200,000","80,300,000","72,600,000","92,600,000","468,000,000","1,250,000,000","1,139,700,000","1,090,200,000","998,800,000","1,067,200,000","935,500,000","994,600,000","905,300,000","946,600,000","979,100,000",,,,,,,
		CurrentProvisions,"17,900,000","24,000,000","22,800,000","25,100,000","24,000,000","31,600,000","38,500,000","38,600,000",,,,,,,,,,,,,,,,,,
		PensionandOtherPostRetirementBenefitPlansCurrent,"145,400,000","152,200,000","147,200,000","120,500,000","138,600,000","176,500,000","178,500,000","147,700,000",,,,,,,,,,,,,,,,,,
		CurrentDebtAndCapitalLeaseObligation,"106,400,000","116,200,000","163,600,000","214,300,000","245,700,000","1,500,000","39,800,000",,"2,000,000","11,000,000","75,000,000","1,679,000,000","3,083,000,000","597,000,000","751,400,000","729,200,000","141,500,000","299,600,000","517,000,000","629,900,000","609,300,000","251,600,000","1,650,800,000","835,600,000","646,000,000",
			CurrentDebt,"86,500,000","116,100,000","163,300,000","214,100,000","245,200,000","1,100,000","39,300,000",,"2,000,000","11,000,000","75,000,000","1,679,000,000","3,083,000,000","597,000,000","751,400,000","729,200,000","141,500,000","299,600,000","517,000,000","629,900,000","609,300,000","251,600,000","1,650,800,000","835,600,000","646,000,000",
				CurrentNotesPayable,,,,,,,,,,,,,"1,589,700,000","597,000,000","751,400,000","729,200,000","141,500,000","299,600,000","517,000,000",,,,,,,
				CommercialPaper,"84,200,000","114,400,000","162,400,000","113,500,000","94,500,000",,"38,000,000",,,,,,,,,,,,,,,,,,,
				OtherCurrentBorrowings,"2,300,000","1,700,000","900,000","100,600,000","150,700,000","1,100,000","1,300,000",,,,,,"1,493,300,000",,,,,,,,,,,,,
			CurrentCapitalLeaseObligation,"19,900,000","100,000","300,000","200,000","500,000","400,000","500,000",,,,,,,,,,,,,,,,,,,
		CurrentDeferredLiabilities,"74,600,000","82,200,000",,,,,,"54,600,000",,"12,000,000","36,400,000","26,700,000","8,200,000","200,000",,,,,,,,,,,,
			CurrentDeferredTaxesLiabilities,,,,,,,,,,"12,000,000","36,400,000","26,700,000","8,200,000","200,000",,,,,,,,,,,,
			CurrentDeferredRevenue,"74,600,000","82,200,000",,,,,,"54,600,000",,,,,,,,,,,,,,,,,,
		OtherCurrentLiabilities,"86,000,000","74,200,000","122,600,000","116,700,000","126,000,000","147,900,000","140,700,000","92,400,000",,,"73,200,000","68,800,000","69,500,000","165,600,000","73,900,000","2,200,000","4,500,000",,,"1,216,800,000","1,118,000,000","1,503,000,000","1,045,800,000","971,000,000","1,234,000,000",
