name,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009
	TotalNonCurrentAssets,"2,749,931,000","2,242,618,000","2,306,503,000","2,375,969,000","2,597,945,000","2,680,201,000","2,755,113,000","2,817,747,000","2,935,787,000","3,007,829,000","3,069,330,000","3,177,694,000","3,245,777,000","2,231,965,000","2,289,414,000","2,328,890,000","1,960,800,000","2,045,290,000","2,044,476,000","791,371,000","808,399,000","764,128,000","130,689,000","136,385,000","141,831,000","72,351,000","71,883,000","73,049,000","77,066,000","76,238,000","76,362,000","80,928,000","76,032,000","152,753,000","165,554,000","163,004,000","154,317,000","157,720,000","155,698,000","1,362,000","861,000"
		NetPPE,"30,159,000","26,202,000","24,808,000","22,135,000","20,101,000","16,592,000","18,070,000","19,488,000","20,405,000","21,700,000","22,657,000","23,557,000","23,484,000","21,442,000","21,971,000","18,581,000","14,020,000","10,380,000","9,773,000","8,873,000","7,241,000","4,656,000","4,031,000","3,897,000","3,780,000","3,524,000","3,500,000","3,668,000","3,725,000","3,620,000","3,804,000","3,150,000","3,245,000","2,334,000","2,030,000","2,086,000","2,107,000","1,837,000","1,833,000","1,183,000","747,000"
			GrossPPE,"56,007,000","49,929,000","46,877,000","42,805,000","39,298,000","34,299,000","34,290,000","34,604,000","34,077,000","34,158,000","33,642,000","33,742,000","31,803,000","28,281,000","27,631,000","23,274,000","17,811,000","16,793,000","14,656,000","12,994,000","11,189,000","8,153,000","7,453,000","6,918,000","6,426,000","5,851,000","5,513,000","5,425,000","5,232,000","4,920,000","4,888,000","4,029,000","4,016,000","2,953,000","2,552,000","2,505,000","2,422,000","2,077,000","1,999,000","1,302,000","841,000"
				Properties,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","206,000","179,000","117,000",,,
				MachineryFurnitureEquipment,"23,423,000","22,465,000","22,204,000","22,204,000","22,128,000","21,910,000","21,881,000","22,159,000","22,010,000","21,977,000","21,515,000","21,368,000","19,938,000","17,737,000","17,104,000","14,692,000","12,353,000","12,444,000","10,308,000","8,295,000","7,777,000","6,822,000","6,432,000","6,045,000","5,643,000","5,068,000","4,730,000","4,642,000","4,449,000","3,801,000","3,805,000","3,164,000","3,146,000","2,925,000","2,539,000","2,286,000","2,230,000","1,960,000","1,868,000","1,302,000","841,000"
				OtherProperties,"6,334,000","5,865,000","2,736,000","2,754,000","2,501,000","2,331,000","2,331,000","2,419,000","2,508,000","2,689,000","2,690,000","2,755,000","2,664,000","1,763,000","1,689,000","1,634,000",,,,,,,,,,,,,,,,,,,,,,,"131,000",,
				ConstructionInProgress,"265,000","1,674,000","11,377,000","7,168,000","4,687,000","199,000","219,000","94,000","144,000","95,000","86,000","268,000","17,000","0","1,908,000","160,000","3,492,000",,,,,,,,,,,,"0","407,000","378,000","160,000","165,000",,,,,,,,
				Leases,"25,985,000","19,925,000","10,560,000","10,679,000","9,982,000","9,859,000","9,859,000","9,932,000","9,415,000","9,397,000","9,351,000","9,351,000","9,184,000","8,781,000","6,930,000","6,788,000","1,966,000","4,349,000","4,348,000","4,699,000","3,412,000","1,331,000","1,021,000","873,000","783,000","783,000","783,000","783,000","783,000","712,000","705,000","705,000","705,000","28,000","13,000","13,000","13,000",,,,
			AccumulatedDepreciation,"-25,848,000","-23,727,000","-22,069,000","-20,670,000","-19,197,000","-17,707,000","-16,220,000","-15,116,000","-13,672,000","-12,458,000","-10,985,000","-10,185,000","-8,319,000","-6,839,000","-5,660,000","-4,693,000","-3,791,000","-6,413,000","-4,883,000","-4,121,000","-3,948,000","-3,497,000","-3,422,000","-3,021,000","-2,646,000","-2,327,000","-2,013,000","-1,757,000","-1,507,000","-1,300,000","-1,084,000","-879,000","-771,000","-619,000","-522,000","-419,000","-315,000","-240,000","-166,000","-119,000","-94,000"
		GoodwillAndOtherIntangibleAssets,"2,116,297,000","2,174,186,000","2,231,848,000","2,306,531,000","2,551,667,000","2,635,909,000","2,703,634,000","2,770,624,000","2,875,831,000","2,944,496,000","3,014,665,000","3,149,337,000","3,219,014,000","2,198,347,000","2,256,295,000","2,305,362,000","1,935,921,000","1,982,983,000","2,025,088,000","753,151,000","770,833,000","743,938,000","120,497,000","125,992,000","131,094,000","65,380,000","64,544,000","65,208,000","68,892,000","68,647,000","68,479,000","73,516,000","72,240,000","149,872,000","159,578,000","41,596,000","39,990,000",,,,
			Goodwill,"413,669,000","413,669,000","413,669,000","413,669,000","426,441,000","426,441,000","426,441,000","426,441,000","426,441,000","426,441,000","427,944,000","445,579,000","445,579,000","248,736,000","255,927,000","255,602,000","253,811,000","259,167,000","259,565,000",,,,,,,,,,,,,,,,,,,,,,
			OtherIntangibleAssets,"1,702,628,000","1,760,517,000","1,818,179,000","1,892,862,000","2,125,226,000","2,209,468,000","2,277,193,000","2,344,183,000","2,449,390,000","2,518,055,000","2,586,721,000","2,703,758,000","2,773,435,000","1,949,611,000","2,000,368,000","2,049,760,000","1,682,110,000","1,723,816,000","1,765,523,000","753,151,000","770,833,000","743,938,000","120,497,000","125,992,000","131,094,000","65,380,000","64,544,000","65,208,000","68,892,000","68,647,000","68,479,000","73,516,000","72,240,000","149,872,000","159,578,000","41,596,000","39,990,000",,,,
		InvestmentsAndAdvances,,,,,,,,,,,,,,,,,,"42,413,000",,,,,,,,,,,,,,,,,,,,,,,
		NonCurrentDeferredAssets,"555,165,000","45,000","6,080,000","2,546,000","3,148,000","231,000","4,185,000","859,000","3,470,000","5,399,000","2,163,000","1,957,000","911,000","5,975,000","4,992,000","4,347,000","10,637,000","8,737,000","8,841,000","29,285,000","30,252,000",,,,"6,268,000",,,,"3,195,000","3,371,000","3,541,000",,,,,,,,,,
			NonCurrentDeferredTaxesAssets,"555,165,000","45,000","6,080,000","2,546,000","3,148,000","231,000","4,185,000","859,000","3,470,000","5,399,000","2,163,000","1,957,000","911,000","5,975,000","4,992,000","4,347,000","2,278,000","0","0","18,761,000","18,761,000",,,,,,,,,,,,,,,,,,,,
		NonCurrentPrepaidAssets,,,,,,,,,,,,,,,,,,,,,,,,,"593,000",,,,"1,166,000",,,,,,,,,,,,
		OtherNonCurrentAssets,"48,310,000","42,185,000","43,767,000","44,757,000","23,029,000","27,469,000","29,224,000","26,776,000","36,081,000","36,234,000","29,845,000","2,843,000","2,368,000","6,201,000","6,156,000","600,000","222,000","777,000","774,000","62,000","73,000","15,534,000","6,161,000","6,496,000","96,000","3,447,000","3,839,000","4,173,000","88,000","600,000","538,000","4,262,000","547,000","547,000","3,946,000","119,322,000","112,220,000","155,883,000","153,865,000","179,000","114,000"
TotalLiabilitiesNetMinorityInterest,"2,250,585,000","2,165,849,000","2,187,131,000","2,431,621,000","3,092,214,000","3,102,525,000","3,129,575,000","3,141,750,000","3,174,994,000","3,169,631,000","3,141,173,000","3,169,078,000","3,028,280,000","1,987,693,000","1,889,245,000","1,913,525,000","1,753,802,000","1,740,580,000","1,688,720,000","839,340,000","594,420,000","639,410,000","247,694,000","528,377,000","301,678,000","88,326,000","88,203,000","85,770,000","88,006,000","83,926,000","90,879,000","87,842,000","55,166,000","62,872,000","83,060,000","72,733,000","64,629,000","69,138,000","51,856,000","13,615,000","11,390,000"
	CurrentLiabilities,"723,169,000","635,614,000","636,832,000","895,403,000","761,904,000","691,569,000","725,645,000","759,212,000","757,106,000","707,951,000","681,866,000","717,970,000","605,852,000","556,231,000","418,809,000","442,924,000","357,552,000","321,589,000","290,899,000","196,438,000","219,392,000","276,154,000","204,371,000","69,501,000","43,310,000","45,485,000","43,551,000","37,961,000","36,935,000","31,008,000","26,625,000","20,700,000","23,981,000","14,504,000","31,805,000","31,748,000","25,312,000","26,688,000","13,421,000","13,615,000","8,257,000"
		PayablesAndAccruedExpenses,"678,087,000","594,172,000","593,273,000","603,493,000","717,962,000","643,211,000","677,802,000","677,282,000","739,596,000","673,513,000","669,112,000","706,535,000","594,781,000","550,596,000","413,361,000","437,769,000","352,105,000","314,984,000","283,593,000","170,910,000","168,050,000","157,110,000","86,692,000","65,471,000","41,225,000","27,193,000","25,339,000","19,118,000","21,894,000","12,108,000","12,856,000","13,581,000","14,764,000","7,117,000","11,929,000","9,827,000","9,247,000","10,610,000","10,676,000","6,734,000","3,410,000"
			Payables,"21,514,000","26,906,000","42,672,000","36,459,000","30,284,000","64,794,000","31,110,000","41,271,000","34,681,000","32,825,000","81,884,000","87,739,000","52,479,000","65,684,000","58,970,000","69,671,000","16,590,000","63,947,000","26,351,000","33,970,000","33,654,000","33,819,000","15,896,000","10,271,000","9,921,000","5,044,000","5,624,000","5,216,000","6,038,000","7,303,000","7,963,000","8,845,000","8,366,000","3,814,000","5,043,000","3,865,000","2,514,000","4,404,000","3,847,000","2,259,000","1,761,000"
				AccountsPayable,"21,514,000","26,906,000","42,672,000","36,459,000","30,284,000","64,794,000","31,110,000","41,271,000","34,681,000","32,825,000","81,884,000","87,739,000","52,479,000","65,684,000","58,970,000","69,671,000","16,590,000","62,083,000","26,224,000","21,963,000","21,011,000","22,197,000","15,896,000","10,271,000","9,921,000","5,044,000","5,624,000","4,942,000","5,986,000","6,854,000","7,890,000","8,752,000","8,170,000","3,723,000","5,043,000","3,865,000","2,514,000","4,404,000","3,847,000","2,259,000","1,761,000"
				TotalTaxPayable,,,,,,,,,,,,,,,,,"0","1,864,000","127,000","12,007,000","12,643,000","11,622,000",,,,,,"274,000","52,000","449,000","73,000","93,000","196,000","91,000",,,,,,,
					IncomeTaxPayable,,,,,,,,,,,,,,,,,,"1,864,000","127,000","764,000","1,400,000","1,005,000",,,,,,,,,,,,,,,,,,,
			CurrentAccruedExpenses,"656,573,000","567,266,000","550,601,000","567,034,000","687,678,000","578,417,000","646,692,000","636,011,000","704,915,000","640,688,000","587,228,000","618,796,000","542,302,000","484,912,000","354,391,000","368,098,000","335,515,000","251,037,000","257,242,000","136,940,000","134,396,000","123,291,000","70,796,000","55,200,000","31,304,000","22,149,000","19,715,000","13,902,000","15,856,000","4,805,000","4,893,000","4,736,000","6,398,000","3,303,000","6,886,000","5,962,000","6,733,000","6,206,000","6,829,000","4,475,000","1,649,000"
				InterestPayable,"18,709,000","8,823,000","12,148,000","24,810,000","13,196,000","25,369,000","13,785,000","25,935,000","14,127,000","26,496,000","14,746,000","25,268,000","18,938,000","16,223,000","10,813,000","16,187,000","10,637,000","16,460,000","11,155,000","1,774,000","1,260,000","3,731,000","956,000","2,685,000","810,000","2,388,000","2,525,000","2,632,000","2,538,000","2,597,000","2,536,000","1,077,000","163,000","163,000",,,,,,,
		CurrentProvisions,"45,082,000","41,442,000","36,248,000","37,076,000","39,041,000","41,599,000","42,214,000","39,672,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		PensionandOtherPostRetirementBenefitPlansCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,481,000","5,416,000","4,182,000","2,332,000","3,040,000",,,,,,,
		CurrentDebtAndCapitalLeaseObligation,,,,"250,000,000",,,,"38,446,000","10,625,000","8,500,000","8,500,000","8,500,000","7,750,000","4,000,000","4,000,000","4,000,000","4,000,000","4,000,000","4,000,000","22,921,000","48,334,000","116,799,000","114,786,000",,,"15,913,000","15,913,000","15,913,000","11,935,000","7,957,000","3,978,000",,"3,604,000","2,386,000","17,985,000","19,651,000","14,220,000","14,605,000","2,745,000","6,881,000","4,847,000"
			CurrentDebt,,,,"250,000,000",,,,"38,446,000","10,625,000","8,500,000","8,500,000","8,500,000","7,750,000","4,000,000","4,000,000","4,000,000","4,000,000","4,000,000","4,000,000","22,921,000","48,334,000","116,799,000","114,786,000",,,"15,913,000","15,913,000","15,913,000","11,935,000","7,957,000","3,978,000",,"3,604,000","2,386,000","17,985,000","19,651,000","14,220,000","14,605,000","2,745,000","6,881,000","4,847,000"
				CurrentNotesPayable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7,957,000","3,978,000","0","3,604,000","2,386,000","17,985,000","19,651,000","14,220,000","14,605,000","2,745,000","6,881,000","4,847,000"
				OtherCurrentBorrowings,,,,"250,000,000",,,,"38,446,000","10,625,000","8,500,000","8,500,000","8,500,000","7,750,000","4,000,000","4,000,000","4,000,000","4,000,000","4,000,000","4,000,000","22,921,000","48,334,000","116,799,000","114,786,000",,,,,,,,,,,,,,,,,,
