name,ttm,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998
TotalRevenue,"10,070,063,000","2,757,661,000","2,591,988,000","2,288,936,000","2,431,478,000","2,639,312,000","2,386,051,000","2,256,258,000","2,613,835,000","2,611,598,000","2,497,580,000","2,144,822,000","2,359,907,000","2,421,458,000","2,365,901,000","1,966,724,000","2,234,257,000","2,311,126,000","2,423,464,000","2,311,606,000","2,693,849,000","2,727,038,000","3,141,300,000","2,970,959,000","3,177,435,000","3,316,142,000","3,269,967,000","3,098,911,000","3,408,967,000","3,408,531,000","3,259,247,000","1,584,357,000","1,506,117,000","1,501,978,000","1,455,443,000","1,331,541,000","1,364,874,000","1,258,578,000","1,122,292,000","1,033,622,000","1,034,898,000","1,088,891,000","917,492,000","785,109,000","882,174,000","1,179,347,000","1,204,631,000","1,072,413,000","1,077,891,000","1,046,093,000","877,967,000","769,559,000","831,305,000","853,509,000","762,327,000","709,062,000","709,062,000","706,317,000","621,988,000","570,356,000","607,692,000","569,141,000","569,142,000","462,761,000","491,900,000","477,938,000","403,537,000","361,480,000","395,845,000","368,607,000","368,607,000","368,607,000","346,613,000","348,598,000","346,230,000","340,000,000","393,239,000","381,154,000","346,000,000","327,025,000","371,122,000","349,467,000","304,100,000","273,200,000","305,700,000","297,400,000","255,100,000","237,300,000","274,500,000"
	OperatingRevenue,"10,070,063,000","2,757,661,000","2,591,988,000","2,288,936,000","2,431,478,000","2,639,312,000","2,386,051,000","2,256,258,000","2,613,835,000","2,611,598,000","2,497,580,000","2,144,822,000","2,359,907,000","2,421,458,000","2,365,901,000","1,966,724,000","2,234,257,000","2,311,126,000","2,423,464,000","2,311,606,000","2,693,849,000","2,983,714,000","3,047,572,000","2,970,959,000","3,091,256,000","3,316,142,000","3,269,967,000","3,006,656,000","3,331,772,000","3,408,531,000","3,259,247,000","1,584,357,000","1,506,117,000","1,501,978,000","1,455,443,000","1,331,541,000","1,364,874,000","1,258,578,000","1,122,292,000","1,033,622,000","1,034,898,000","934,357,000","917,492,000","785,109,000","882,174,000","1,179,347,000","1,204,631,000","1,072,413,000","1,077,891,000","1,046,093,000","877,967,000","769,559,000","831,305,000","853,509,000","762,327,000","709,062,000","709,062,000","706,317,000","621,988,000","570,356,000","607,692,000","569,141,000","569,142,000","462,761,000","491,900,000","477,938,000","403,537,000","361,480,000","395,845,000","368,607,000","368,607,000","368,607,000","346,613,000","348,598,000","346,230,000","340,000,000","393,239,000","381,154,000","346,000,000","327,025,000","371,122,000","349,467,000","304,100,000","273,200,000","305,700,000","297,400,000","255,100,000","237,300,000","274,500,000"
CostOfRevenue,"7,951,300,000","2,066,403,000","1,936,536,000","1,926,806,000","2,021,555,000","2,079,003,000","1,944,317,000","1,919,940,000","2,019,583,000","1,981,847,000","1,859,357,000","1,742,880,000","1,857,765,000","1,812,122,000","1,824,809,000","1,668,632,000","1,661,474,000","1,767,961,000","1,905,681,000","1,925,782,000","2,037,285,000","1,636,479,000","2,658,508,000","2,415,369,000","2,689,168,000","2,482,533,000","2,433,849,000",,"2,902,074,000","2,711,098,000","2,587,466,000","860,572,000","1,119,399,000","1,060,669,000","1,044,289,000","507,232,000","470,295,000","841,285,000","766,176,000","173,606,000","172,495,000","2,087,192,000","152,238,000","563,735,000","415,273,000","1,099,643,000","643,516,000","596,282,000","765,264,000",,"620,975,000","599,335,000","570,896,000","573,896,000","564,960,000",,,"534,054,000","499,445,000","467,298,000","463,053,000",,,"363,491,000","364,262,000","379,755,000","323,259,000",,"337,773,000",,,,"225,158,000",,,,,,,"254,069,000",,,,,,,,,
GrossProfit,"2,118,794,000","691,289,000","655,452,000","362,130,000","409,923,000","560,309,000","441,734,000","336,318,000","594,252,000","629,751,000","638,223,000","401,942,000","502,142,000","609,336,000","541,092,000","298,092,000","572,783,000","543,165,000","517,783,000","385,824,000","656,564,000","1,090,559,000","482,792,000","555,590,000","488,267,000","833,609,000","836,118,000",,"506,893,000","697,433,000","671,781,000","723,785,000","386,718,000","441,309,000","411,154,000","824,309,000","894,579,000","417,293,000","356,116,000","860,016,000","862,403,000","-998,301,000","765,254,000","221,374,000","466,901,000","79,704,000","561,115,000","476,131,000","312,627,000",,"256,992,000","170,224,000","260,409,000","279,613,000","197,367,000",,,"172,263,000","122,543,000","103,058,000","144,639,000",,,"99,270,000","127,638,000","98,183,000","80,278,000",,"58,072,000",,,,"121,455,000",,,,,,,"72,956,000",,,,,,,,,
OperatingExpense,"1,468,371,000","370,650,000","406,469,000","316,024,000","353,952,000","282,829,000","268,614,000","315,405,000","369,172,000","271,564,000","447,576,000","393,139,000","353,000,000","437,780,000","394,061,000","330,618,000","365,545,000","474,503,000","398,314,000","395,732,000","432,794,000","826,602,000","364,419,000","561,474,000","375,645,000","629,926,000","623,490,000","5,961,625,000","392,692,000","638,171,000","607,455,000","700,618,000","138,180,000","501,684,000","139,257,000","768,553,000","741,290,000","226,017,000","105,884,000","428,950,000","410,117,000","-695,216,000","380,680,000","186,452,000","348,842,000","-152,635,000","425,289,000","432,330,000","314,820,000","2,305,187,000","280,590,000","462,159,000","268,480,000","2,493,505,000","253,729,000",,,"2,169,145,000","223,378,000","209,326,000","212,615,000",,,"179,654,000","184,549,000","1,416,710,000","169,427,000",,"172,249,000",,,,"103,802,000",,,,,,,"60,648,000",,,,,,,,,
	SellingGeneralAndAdministration,"1,315,264,000","353,047,000","344,263,000","312,679,000","305,275,000","361,127,000","275,278,000","334,415,000","369,650,000","443,299,000","442,942,000","373,912,000","378,378,000","510,668,000","426,384,000","325,790,000","357,538,000","415,026,000","391,607,000","384,050,000","470,627,000",,,"530,274,000",,"577,372,000","575,515,000",,,"562,954,000","590,440,000","380,332,000","105,976,000","596,428,000","99,741,000","513,991,000","494,303,000","98,492,000","87,192,000","345,546,000","327,290,000","-570,120,000","301,873,000","114,230,000","184,945,000","-205,125,000","381,230,000","389,462,000","161,648,000","58,517,000","147,121,000","330,671,000","141,297,000","495,338,000","136,769,000",,,"419,129,000","124,794,000","123,427,000","127,784,000",,,"106,839,000","111,193,000","307,651,000","103,790,000",,"109,372,000",,,,"46,816,000",,,,,,,"49,786,000",,,,,,,,,
		GeneralAndAdministrativeExpense,"735,218,000","219,783,000","185,800,000","167,220,000","162,415,000","213,611,000","128,616,000","180,028,000","199,015,000","283,854,000","242,246,000","207,918,000","204,913,000","315,299,000","230,827,000","144,997,000","181,831,000","219,852,000","192,383,000","215,767,000","250,004,000",,,"268,985,000",,"302,801,000","312,458,000",,,"311,629,000","321,010,000","320,583,000",,,"268,116,000","468,326,000","441,688,000",,,"184,959,000","176,952,000","-305,159,000","162,560,000",,"148,412,000","19,289,000","154,880,000","155,230,000","274,360,000","-229,056,000","245,571,000","423,009,000","238,082,000","598,839,000","231,289,000",,,"509,296,000","213,731,000","205,923,000","211,571,000",,,"174,699,000","177,269,000","372,590,000","159,069,000",,"162,398,000",,,,,,,,,,,,,,,,,,,,
			SalariesAndWages,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"320,583,000",,,"268,116,000","255,295,000","238,240,000",,,"184,959,000","176,952,000",,"162,560,000",,"148,412,000",,"154,880,000","155,230,000","152,536,000","140,142,000","125,544,000","112,524,000","111,340,000","122,879,000","109,331,000",,,"102,803,000","97,784,000","85,311,000","85,697,000",,,"66,902,000","67,150,000","72,727,000","58,756,000",,"52,222,000",,,,,,,,,,,,,,,,,,,,
			RentAndLandingFees,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"213,031,000","203,448,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			OtherGandA,"735,218,000","219,783,000","185,800,000","167,220,000","162,415,000","213,611,000","128,616,000","180,028,000","199,015,000","283,854,000","242,246,000","207,918,000","204,913,000","315,299,000","230,827,000","144,997,000","181,831,000","219,852,000","192,383,000","215,767,000","250,004,000",,,"268,985,000",,"302,801,000","312,458,000",,,"311,629,000","321,010,000",,,,,,,,,,,,,,,,,,"426,896,000",,"371,115,000","535,533,000","349,422,000","721,718,000","340,620,000",,,"612,099,000","311,515,000","291,234,000","297,268,000",,,"241,601,000","244,419,000","445,317,000","217,825,000",,"214,620,000",,,,,,,,,,,,,,,,,,,,
