name,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994,12/31/1993
TotalAssets,"2,016,240,000","1,974,580,000","1,889,647,000","1,799,456,000","1,778,327,000","1,759,503,000","1,652,275,000","1,573,476,000","1,665,859,000","1,631,429,000","1,567,225,000","1,490,036,000","1,548,955,000","1,485,015,000","1,414,826,000","1,340,624,000","1,407,296,000","18,115,000,000","18,069,000,000","17,993,000,000","17,758,000,000","17,578,000,000","17,460,000,000","16,931,000,000","16,676,000,000","16,384,000,000","15,879,000,000","15,791,000,000","15,441,000,000","15,544,000,000","15,042,000,000","14,832,000,000","14,348,000,000","14,263,000,000","14,723,000,000","14,553,000,000","14,344,000,000","14,158,000,000","13,570,000,000","13,450,000,000","2,666,517,000","2,709,480,000","2,635,728,000","2,542,434,000","2,613,386,000","2,734,926,000","2,804,752,000","2,850,956,000","2,878,623,000","2,875,228,000","3,021,810,000","2,980,345,000","3,039,361,000","2,993,396,000","2,909,847,000","3,006,215,000","3,101,261,000","3,115,406,000","3,075,608,000","2,976,605,000","2,979,744,000","2,981,997,000","2,871,149,000","2,851,726,000","2,754,607,000","2,751,836,000","2,651,337,000","2,485,039,000","2,357,676,000","2,194,690,000","2,088,329,000","1,999,746,000","1,935,566,000","1,897,077,000","1,809,577,000","1,725,631,000","1,680,599,000","1,676,301,000","1,618,569,000","1,579,947,000","1,517,867,000","1,517,400,000","1,499,500,000","1,493,000,000","1,453,432,046","1,425,700,000","1,396,900,000","1,346,800,000","1,292,543,781","1,290,000,000","1,238,300,000","1,191,500,000","1,150,639,205","1,131,800,000","1,073,500,000","1,039,400,000","1,022,400,000","994,500,000","949,900,000","910,800,000","869,500,000","869,200,000","840,700,000","831,600,000","817,200,000"
TotalLiabilitiesNetMinorityInterest,"882,987,000","855,309,000","826,193,000","785,652,000","804,655,000","838,480,000","772,087,000","733,321,000","808,515,000","756,279,000","714,011,000","660,178,000","732,045,000","646,086,000","599,632,000","555,757,000","637,793,000","9,990,000,000","9,907,000,000","9,856,000,000","9,775,000,000","9,742,000,000","9,639,000,000","9,241,000,000","9,126,000,000","9,185,000,000","8,911,000,000","8,774,000,000","8,650,000,000","8,701,000,000","8,445,000,000","8,156,000,000","8,055,000,000","8,165,000,000","8,341,000,000","8,002,000,000","8,010,000,000","7,932,000,000","7,701,000,000","7,539,000,000","1,764,540,000","1,831,365,000","1,806,612,000","1,765,486,000","1,821,511,000","1,801,143,000","1,833,218,000","1,854,996,000","1,827,344,000","1,828,987,000","1,817,818,000","1,799,122,000","1,877,513,000","1,835,389,000","1,786,300,000","1,747,346,000","1,822,659,000","1,803,127,000","1,764,472,000","1,707,415,000","1,712,863,000","1,743,445,000","1,676,483,000","1,645,111,000","1,590,437,000","1,616,908,000","1,550,174,000","1,454,266,000","1,370,304,000","1,236,416,000","1,168,687,000","1,108,905,000","1,070,311,000","1,041,322,000","969,619,000","920,521,000","901,584,000","900,208,000","868,394,000","851,777,000","820,268,000","835,500,000","821,700,000","826,700,000","798,208,785","808,300,000","796,200,000","774,000,000","753,160,629","768,700,000","751,800,000","740,000,000","714,880,514","720,700,000","686,800,000","672,300,000","668,300,000","661,400,000","640,800,000","628,300,000","608,600,000","618,800,000","607,800,000","614,900,000","607,000,000"
TotalEquityGrossMinorityInterest,"1,133,253,000","1,119,271,000","1,063,454,000","1,013,804,000","973,672,000","921,023,000","880,188,000","840,155,000","857,344,000","875,150,000","853,214,000","829,858,000","816,910,000","838,929,000","815,194,000","784,867,000","769,503,000","8,125,000,000","8,162,000,000","8,137,000,000","7,983,000,000","7,836,000,000","7,821,000,000","7,690,000,000","7,550,000,000","7,199,000,000","6,968,000,000","7,017,000,000","6,791,000,000","6,843,000,000","6,597,000,000","6,676,000,000","6,293,000,000","6,098,000,000","6,382,000,000","6,551,000,000","6,334,000,000","6,226,000,000","5,869,000,000","5,911,000,000","901,977,000","878,115,000","829,116,000","776,948,000","791,875,000","933,783,000","971,534,000","995,960,000","1,051,279,000","1,046,241,000","1,203,992,000","1,181,223,000","1,161,848,000","1,158,007,000","1,123,547,000","1,258,869,000","1,278,602,000","1,312,279,000","1,311,136,000","1,269,190,000","1,266,881,000","1,238,552,000","1,194,666,000","1,206,615,000","1,164,170,000","1,134,928,000","1,101,163,000","1,030,773,000","987,372,000","958,274,000","919,642,000","890,841,000","865,255,000","855,755,000","839,958,000","805,110,000","779,015,000","776,093,000","750,175,000","728,170,000","697,599,000","681,900,000","677,800,000","666,300,000","655,223,261","617,400,000","600,700,000","572,800,000","539,383,152","521,300,000","486,500,000","451,500,000","435,758,691","411,100,000","386,700,000","367,100,000","354,100,000","333,100,000","309,100,000","282,500,000","260,900,000","250,400,000","232,900,000","216,700,000","210,200,000"
	StockholdersEquity,"1,133,253,000","1,119,271,000","1,063,454,000","1,013,804,000","973,672,000","921,023,000","880,188,000","840,155,000","857,344,000","875,150,000","853,214,000","829,858,000","816,910,000","838,929,000","815,194,000","784,867,000","769,503,000","750,000,000","732,000,000","710,000,000","703,000,000","771,000,000","755,000,000","742,000,000","734,000,000","657,000,000","647,000,000","636,000,000","642,000,000","782,000,000","766,000,000","776,000,000","781,000,000","845,000,000","866,000,000","893,000,000","912,000,000","958,000,000","940,000,000","928,000,000","901,977,000","878,115,000","829,116,000","776,948,000","791,875,000","933,783,000","971,534,000","995,960,000","1,051,279,000","1,046,241,000","1,203,992,000","1,181,223,000","1,161,848,000","1,158,007,000","1,123,547,000","1,258,869,000","1,278,602,000","1,312,279,000","1,311,136,000","1,269,190,000","1,266,881,000","1,238,552,000","1,194,666,000","1,206,615,000","1,164,170,000","1,134,928,000","1,101,163,000","1,030,773,000","987,372,000","958,274,000","919,642,000","890,841,000","865,255,000","855,755,000","839,958,000","805,110,000","779,015,000","776,093,000","750,175,000","728,170,000","697,599,000","681,900,000","677,800,000","666,300,000","655,223,261","617,400,000","600,700,000","572,800,000","539,383,152","521,300,000","486,500,000","451,500,000","435,758,691","411,100,000","386,700,000","367,100,000","354,100,000","333,100,000","309,100,000","282,500,000","260,900,000","250,400,000","232,900,000","216,700,000","210,200,000"
		CapitalStock,"2,170,000","2,170,000","2,170,000","2,170,000","2,170,000","2,170,000","2,170,000","2,170,000","2,170,000","2,170,000","2,170,000","2,170,000","2,170,000","2,170,000","2,170,000","2,170,000","2,170,000","2,000,000","2,000,000","2,000,000","2,000,000","2,000,000","2,000,000","2,000,000","2,000,000","2,000,000","2,000,000","2,000,000","2,000,000","2,000,000","2,000,000","2,000,000","2,000,000","2,000,000","2,000,000","2,000,000","2,000,000","2,000,000","2,000,000","2,000,000","2,170,000","2,170,000","2,170,000","179,000","2,170,000","2,170,000","2,170,000","2,170,000","2,170,000","2,170,000","2,170,000","2,170,000","2,170,000","2,170,000","2,170,000","2,170,000","2,170,000","2,170,000","2,170,000","2,170,000","2,170,000","2,170,000","2,170,000","2,170,000","2,170,000","2,170,000","2,170,000","2,170,000","2,170,000","2,170,000","2,170,000","2,170,000","2,170,000","2,170,000","2,170,000","2,170,000","2,170,000","2,170,000","2,170,000","2,170,000","2,170,000",,,,"2,170,000",,,,"2,170,000",,,,"2,170,000",,,,,,,,,,,,
			CommonStock,"2,170,000","2,170,000","2,170,000","2,170,000","2,170,000","2,170,000","2,170,000","2,170,000","2,170,000","2,170,000","2,170,000","2,170,000","2,170,000","2,170,000","2,170,000","2,170,000","2,170,000","2,000,000","2,000,000","2,000,000","2,000,000","2,000,000","2,000,000","2,000,000","2,000,000","2,000,000","2,000,000","2,000,000","2,000,000","2,000,000","2,000,000","2,000,000","2,000,000","2,000,000","2,000,000","2,000,000","2,000,000","2,000,000","2,000,000","2,000,000","2,170,000","2,170,000","2,170,000","179,000","2,170,000","2,170,000","2,170,000","2,170,000","2,170,000","2,170,000","2,170,000","2,170,000","2,170,000","2,170,000","2,170,000","2,170,000","2,170,000","2,170,000","2,170,000","2,170,000","2,170,000","2,170,000","2,170,000","2,170,000","2,170,000","2,170,000","2,170,000","2,170,000","2,170,000","2,170,000","2,170,000","2,170,000","2,170,000","2,170,000","2,170,000","2,170,000","2,170,000","2,170,000","2,170,000","2,170,000","2,170,000",,,,"2,170,000",,,,"2,170,000",,,,"2,170,000",,,,,,,,,,,,
		AdditionalPaidInCapital,"16,483,000","16,483,000","16,483,000","16,483,000","16,459,000","16,459,000","16,459,000","16,461,000","16,470,000","16,470,000","16,470,000","16,292,000","16,300,000","16,300,000","16,300,000","16,311,000","16,311,000","16,000,000","16,000,000","16,000,000","16,000,000","16,000,000","16,000,000","16,000,000","16,000,000","16,000,000","16,000,000","16,000,000","16,000,000","16,000,000","16,000,000","16,000,000","16,000,000","16,000,000","16,000,000","16,000,000","8,000,000","8,000,000","8,000,000","8,000,000","7,830,000","7,830,000","7,830,000","9,821,000","7,830,000","7,830,000","7,830,000","7,830,000","7,830,000","7,830,000","7,830,000","7,830,000","7,830,000","7,830,000","7,830,000","7,830,000","7,830,000","7,830,000","7,830,000","7,830,000","7,830,000","7,830,000","7,830,000","7,830,000","7,830,000","7,830,000","7,830,000","7,830,000","7,830,000","7,830,000","7,830,000","7,830,000","7,830,000","7,830,000","7,830,000","7,830,000","7,830,000","7,830,000","7,830,000","7,830,000","7,830,000",,,,"7,830,000",,,,"7,830,000",,,,"7,830,000",,,,,,,,,,,,
		RetainedEarnings,"2,377,558,000","2,362,911,000","2,310,655,000","2,264,815,000","2,231,417,000","2,211,013,000","2,169,686,000","2,129,100,000","2,140,853,000","2,121,535,000","2,099,432,000","2,077,346,000","2,065,911,000","2,056,567,000","2,033,187,000","2,005,875,000","1,993,976,000","1,999,000,000","1,980,000,000","1,956,000,000","1,949,000,000","1,955,000,000","1,938,000,000","1,918,000,000","1,902,000,000","1,896,000,000","1,878,000,000","1,861,000,000","1,852,000,000","1,945,000,000","1,920,000,000","1,904,000,000","1,894,000,000","1,894,000,000","1,872,000,000","1,846,000,000","1,827,000,000","1,825,000,000","1,796,000,000","1,772,000,000","1,742,717,000","1,749,229,000","1,732,784,000","1,716,588,000","1,728,690,000","1,758,241,000","1,776,767,000","1,758,235,000","1,740,174,000","1,731,210,000","1,699,330,000","1,651,865,000","1,618,656,000","1,596,402,000","1,564,544,000","1,529,353,000","1,501,798,000","1,479,808,000","1,447,133,000","1,391,422,000","1,354,181,000","1,313,473,000","1,268,574,000","1,225,358,000","1,189,628,000","1,160,371,000","1,116,392,000","1,074,192,000","1,040,547,000","1,018,868,000","983,600,000","946,681,000","913,406,000","918,421,000","893,799,000","856,502,000","831,552,000","808,879,000","776,457,000","742,726,000","715,348,000","692,200,000","661,600,000","630,400,000","605,044,635","581,500,000","553,000,000","524,800,000","500,358,579","479,800,000","454,100,000","430,100,000","408,268,200","388,700,000","365,100,000","344,300,000","326,400,000","309,000,000","286,100,000","276,400,000","251,700,000","238,200,000","220,600,000","203,200,000","195,100,000"
		TreasuryStock,"1,158,910,000","1,158,620,000","1,158,300,000","1,158,779,000","1,157,625,000","1,157,310,000","1,156,999,000","1,157,331,000","1,155,668,000","1,155,396,000","1,155,114,000","1,156,162,000","1,155,846,000","1,155,571,000","1,155,301,000","1,155,108,000","1,155,108,000","1,146,000,000","1,146,000,000","1,146,000,000","1,146,000,000","1,146,000,000","1,146,000,000","1,138,000,000","1,127,000,000","1,117,000,000","1,111,000,000","1,109,000,000","1,095,000,000","1,080,000,000","1,069,000,000","1,043,000,000","1,026,000,000","1,003,000,000","961,000,000","908,000,000","872,000,000","860,000,000","834,000,000","817,000,000","814,102,000","812,203,000","812,203,000","812,203,000","810,961,000","807,602,000","806,690,000","769,822,000","708,943,000","692,057,000","503,979,000","487,302,000","472,230,000","471,326,000","454,873,000","295,572,000","254,877,000","202,870,000","182,093,000","170,527,000","155,911,000","146,426,000","130,291,000","108,203,000","101,860,000","101,860,000","101,860,000","101,860,000","101,860,000","101,860,000","99,244,000","94,239,000","93,373,000","92,406,000","86,930,000","86,196,000","85,719,000","76,166,000","69,289,000","64,989,000","54,330,000",,,,,,,,,,,,,,,,,,,,,,,,
		GainsLossesNotAffectingRetainedEarnings,"-116,868,000","-116,203,000","-119,764,000","-123,574,000","-130,284,000","-162,529,000","-162,037,000","-161,486,000","-156,059,000","-118,935,000","-118,768,000","-119,860,000","-121,381,000","-90,018,000","-90,373,000","-93,399,000","-96,864,000","-121,000,000","-120,000,000","-118,000,000","-118,000,000","-56,000,000","-55,000,000","-56,000,000","-59,000,000","-140,000,000","-138,000,000","-134,000,000","-133,000,000","-101,000,000","-103,000,000","-103,000,000","-105,000,000","-64,000,000","-63,000,000","-63,000,000","-53,000,000","-17,000,000","-32,000,000","-37,000,000","-36,638,000","-68,911,000","-101,465,000","-137,437,000","-135,854,000","-26,856,000","-8,543,000","-2,453,000","10,048,000","-2,912,000","-1,359,000","6,660,000","5,422,000","22,931,000","3,876,000","15,088,000","21,681,000","25,341,000","36,096,000","38,295,000","58,611,000","61,505,000","46,383,000","79,460,000","66,402,000","66,417,000","76,631,000","48,441,000","38,685,000","31,266,000","25,286,000","28,399,000","35,222,000","19,740,000","23,089,000","24,804,000","23,182,000","33,380,000","33,007,000","40,433,000","26,581,000",,,,"40,178,626",,,,"29,024,573",,,,"17,490,491",,,,,,,,,,,,
