name,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,12/31/2012
		NetPPE,"362,828,000","209,610,000","159,627,000","148,149,000","170,198,000","156,024,000","124,440,000","115,088,000","130,322,000","136,898,000","138,162,000","146,889,000","134,574,000","119,345,000","101,543,000","96,828,000","103,554,000","94,537,000","94,741,000","70,622,000","74,882,000","63,992,000","57,244,000","57,265,000","57,897,000","56,227,000","39,858,000"
			GrossPPE,"793,686,000",,,,"505,040,000",,,,"380,717,000",,,,"307,646,000",,,,"227,725,000",,,,"148,582,000",,,,"106,517,000","97,042,000","63,391,000"
				Properties,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0","0","0"
				MachineryFurnitureEquipment,"666,578,000",,,,"463,815,000",,,,"340,309,000",,,,"265,282,000",,,,"197,853,000",,,,"133,833,000",,,,"101,845,000","92,444,000","60,210,000"
				OtherProperties,"81,055,000",,,,,,,,,,,,,,,,,,,,,,,,,,
				Leases,"46,053,000",,,,"41,225,000",,,,"40,408,000",,,,"42,364,000",,,,"29,872,000",,,,"14,749,000",,,,"4,672,000","4,598,000","3,181,000"
			AccumulatedDepreciation,"-430,858,000",,,,"-334,842,000",,,,"-250,395,000",,,,"-173,072,000",,,,"-124,171,000",,,,"-73,700,000",,,,"-48,620,000","-40,815,000","-23,533,000"
		GoodwillAndOtherIntangibleAssets,"1,532,024,000","1,534,932,000","1,537,849,000","1,540,765,000","1,543,682,000","1,546,490,000","1,549,394,000","1,552,298,000","1,555,201,000","1,558,057,000","1,531,656,000","1,532,801,000","1,533,945,000","1,535,018,000","1,536,156,000","1,537,295,000","1,538,433,000","1,539,572,000","1,540,729,000","1,542,205,000","1,543,678,000","1,545,157,000","1,546,635,000","1,548,149,000","1,549,639,000","1,548,953,000","1,553,623,000"
			Goodwill,"1,504,278,000",,,,"1,504,278,000",,,,"1,504,278,000",,,,"1,504,278,000",,,,"1,504,278,000",,,,"1,504,278,000",,,,"1,504,278,000","1,504,278,000","1,504,278,000"
			OtherIntangibleAssets,"27,746,000",,,,"39,404,000",,,,"50,923,000",,,,"29,667,000",,,,"34,155,000",,,,"39,400,000",,,,"45,361,000","44,675,000","49,345,000"
		InvestmentsAndAdvances,"829,528,000","69,435,000","69,308,000","69,397,000","746,313,000","72,492,000","143,730,000","146,046,000","147,929,000","152,547,000","129,028,000","131,848,000","134,466,000","136,282,000","134,665,000","134,473,000","124,102,000","48,485,000","19,600,000",,,,,,,,
			LongTermEquityInvestment,"71,664,000","69,435,000","69,308,000","69,397,000","70,979,000","72,492,000","143,730,000","146,046,000","147,929,000","152,547,000","129,028,000","131,848,000","134,466,000","136,282,000","134,665,000","134,473,000","124,102,000","48,485,000","19,600,000",,,,,,,,
			InvestmentinFinancialAssets,"757,864,000",,,,"675,334,000",,,,,,,,,,,,,,,,,,,,,,
				HeldToMaturitySecurities,"757,864,000",,,,"675,334,000",,,,,,,,,,,,,,,,,,,,,,
		FinancialAssets,"31,393,000",,,,"36,375,000",,,,,,,,,,,,,,,,,,,,,,
		NonCurrentAccountsReceivable,"4,509,000",,,,"2,041,000",,,,"10,956,000",,,,"809,000",,,,,,,,,,,,,,
		DuefromRelatedPartiesNonCurrent,"4,509,000",,,,"2,041,000",,,,"10,956,000",,,,"809,000",,,,,,,,,,,,,,
		NonCurrentDeferredAssets,"27,782,000","161,406,000","147,565,000","99,577,000","90,179,000","139,562,000","161,230,000","166,552,000","174,620,000","190,427,000","181,646,000","130,099,000","22,435,000",,,,,,,,,,,,,,
			NonCurrentDeferredTaxesAssets,"27,782,000","161,406,000","147,565,000","99,577,000","90,179,000","139,562,000","161,230,000","166,552,000","174,620,000","190,427,000","181,646,000","130,099,000","22,435,000",,,,,,,,,,,,,,
		OtherNonCurrentAssets,"9,419,000","909,733,000","895,428,000","894,983,000","26,096,000","741,213,000","695,680,000","30,531,000","17,361,000","30,341,000","41,008,000","44,122,000","34,037,000","34,647,000","30,939,000","23,518,000","21,512,000","28,111,000","21,934,000","20,763,000","19,189,000","16,316,000","13,106,000","13,429,000","6,149,000",,
TotalLiabilitiesNetMinorityInterest,"4,549,924,000","4,157,734,000","4,240,553,000","4,576,889,000","4,644,758,000","3,689,981,000","3,455,922,000","3,671,794,000","4,359,689,000","3,008,120,000","2,757,628,000","2,905,697,000","3,040,813,000","3,244,981,000","3,094,316,000","2,584,783,000","2,679,040,000","1,709,218,000","1,625,058,000","1,736,423,000","1,613,092,000","1,206,517,000","1,186,412,000","1,119,354,000","1,300,586,000","923,087,000","821,698,000"
	CurrentLiabilities,"3,965,903,000","3,656,414,000","3,742,131,000","4,069,242,000","4,164,769,000","3,207,074,000","2,974,988,000","3,191,408,000","3,889,316,000","2,468,169,000","2,289,050,000","2,441,461,000","2,544,040,000","2,736,914,000","2,590,482,000","2,069,845,000","2,156,534,000","1,180,531,000","1,087,429,000","1,203,008,000","1,080,657,000","678,466,000","665,403,000","604,819,000","789,818,000","427,611,000","336,292,000"
		PayablesAndAccruedExpenses,"2,403,250,000","2,965,879,000","2,565,156,000","2,468,995,000","2,498,641,000","2,419,515,000","1,868,611,000","1,693,428,000","2,363,056,000","1,708,122,000","1,321,307,000","1,309,910,000","1,358,426,000","1,238,190,000","999,768,000","1,006,452,000","1,062,432,000","765,964,000","600,639,000","648,532,000","586,041,000","417,719,000","387,938,000","311,241,000","571,880,000","256,262,000","215,271,000"
			Payables,"725,181,000","342,163,000","200,912,000","184,840,000","936,144,000","358,252,000","229,098,000","166,087,000","1,260,607,000","322,326,000","294,281,000","304,964,000","680,834,000","300,263,000","260,957,000","209,810,000","529,011,000","149,720,000","102,207,000","78,469,000","268,333,000","13,840,000","17,904,000","39,639,000","352,736,000","13,831,000","62,764,000"
				TotalTaxPayable,"153,259,000","319,333,000","181,387,000","157,973,000","275,255,000","292,179,000","204,682,000","155,687,000","232,814,000","315,356,000","282,924,000","287,065,000","339,534,000","283,191,000","240,652,000","201,884,000","263,010,000","149,720,000","102,207,000","78,469,000","97,298,000","13,840,000","17,904,000","39,639,000","24,700,000","13,831,000","9,359,000"
