name,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015
MarketCap,"3,297,393,860","3,452,125,388","1,555,811,820","2,694,779,969","1,354,305,239","1,159,467,909"
EnterpriseValue,"3,922,271,860","4,107,973,388","2,204,235,820","2,926,224,969","1,433,522,239","1,248,627,909"
PeRatio,"16.545","19.486","8.079","37.682","12.192","45.648"
ForwardPeRatio,"20.747","17.036","8.913","22.272",,
PsRatio,"1.269","1.373","0.717","1.517","0.783","0.73"
PbRatio,"2.795","2.963","1.433","3.031","1.403","1.361"
EnterprisesValueRevenueRatio,"1.476","1.565","0.924","1.535","0.823","0.772"
EnterprisesValueEBITDARatio,"10.917","11.931","8.855","19.187","10.707","13.049"
