name,ttm,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2009,09/30/2009,06/30/2009,03/31/2009
OperatingIncome,"744,000,000","76,000,000","201,000,000","240,000,000","227,000,000","-656,000,000","196,000,000","172,000,000","985,000,000","167,000,000","180,000,000","144,000,000","116,000,000","561,000,000","-331,000,000","149,000,000","107,000,000","32,000,000","197,000,000","107,000,000","314,511,000","353,467,000","262,278,000","77,747,000","243,252,000","129,145,000","222,462,000","392,895,000","363,008,000","212,911,000","483,101,000","537,194,000","342,897,000","253,238,000","286,004,000","190,567,000","204,740,000"
NetNonOperatingInterestIncomeExpense,"-140,000,000","-36,000,000","-32,000,000","-37,000,000","-35,000,000","-14,000,000","-23,000,000","-54,000,000","-15,000,000","-52,000,000","-36,000,000","-49,000,000","-14,000,000","-37,000,000","-45,000,000","-40,000,000","-28,000,000","-23,000,000","-49,000,000","-14,000,000","-15,445,000","6,540,000","-20,892,000","-50,792,000","-18,585,000","-65,049,000","-3,431,000","-16,086,000","-1,791,000","6,170,000","-18,001,000","-28,485,000","-17,366,000","5,447,000","-24,079,000","2,176,000","22,571,000"
	InterestIncomeNonOperating,"8,000,000","-83,000,000","35,000,000","12,000,000","44,000,000",,"19,000,000","22,000,000","25,000,000",,"25,000,000","33,000,000","77,000,000","-13,000,000","35,000,000","17,000,000","14,000,000","-44,000,000","23,000,000","67,000,000","73,558,000","-79,472,000","59,238,000","14,991,000","7,217,000","-77,221,000","38,491,000","8,837,000","40,938,000","13,461,000","4,115,000","4,442,000","8,715,000","24,818,000","13,767,000","10,286,000","40,668,000"
	InterestExpenseNonOperating,"109,000,000","-86,000,000","67,000,000","49,000,000","79,000,000","-30,000,000","42,000,000","76,000,000","40,000,000","-84,000,000","61,000,000","82,000,000","91,000,000","3,000,000","80,000,000","57,000,000","42,000,000","-44,000,000","72,000,000","81,000,000","89,003,000","-84,979,000","80,130,000","65,783,000","25,802,000","-58,642,000","41,922,000","24,923,000","42,729,000","-26,930,000","22,116,000","32,927,000","26,081,000","19,371,000","37,846,000","8,110,000","18,097,000"
	TotalOtherFinanceCost,"39,000,000",,,,,"66,000,000",,,,"25,000,000",,,,"19,000,000",,,,"29,000,000",,,,,,,,,,,,,,,,,,,
OtherIncomeExpense,"24,000,000","23,000,000",,"1,000,000",,"3,000,000","-1,000,000",,"1,000,000","47,000,000",,"1,000,000","1,000,000","-469,000,000","7,000,000","7,000,000","2,000,000","106,000,000","8,000,000","6,000,000","-779,000","-239,396,000","6,892,000","9,079,000","2,664,000","60,407,000","11,224,000","8,168,000","-756,000","-15,685,000","9,790,000","6,393,000","7,240,000","-2,170,000","2,337,000","522,000","1,453,000"
	GainOnSaleOfSecurity,"11,000,000"
	EarningsFromEquityInterest,"1,000,000","0","0","1,000,000","0","3,000,000","-1,000,000","0","1,000,000","-2,000,000","0","1,000,000","1,000,000","2,000,000","7,000,000","7,000,000","2,000,000","5,000,000","8,000,000","6,000,000","-779,000","47,637,000","6,892,000","9,079,000","2,664,000","8,876,000","11,224,000","8,168,000","-756,000","-13,217,000","9,790,000","6,393,000","7,240,000","-3,084,000","625,000","406,000","571,000"
	SpecialIncomeCharges,"12,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"914,000","1,712,000","116,000","882,000"
		WriteOff,"0"
