name,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000
MarketCap,"2,183,818,932","4,584,042,023","4,099,757,642","6,567,123,628","6,623,878,446","5,232,931,633","4,683,380,892","1,934,640,051","926,915,915","706,054,866","784,056,532","705,558,738","757,453,616","1,154,818,233","1,514,692,029","997,502,793","664,748,305","574,378,115","503,746,725","106,866,540","58,828,659"
PeRatio,"8.085","9.966","9.674","16.97","19.653","14.61","36.079","26.892","16.084","24.61",,,,"13.092","16.133","19.558","18.811","17.891","20.842","16.463","14.108"
ForwardPeRatio,"7.326","10.627",,"15.748","17.361","14.327","18.116","19.418","11.173","12.642","21.459",,"121.951",,,,,,,,
PegRatio,,,,"1.575","1.737","1.432","1.811","1.943","1.118","1.15","2.224",,"33.499",,,,,,,,
PsRatio,"1.977","3.935","3.541","5.541","6.126","5.017","5.411","5.203","3.032","2.258","2.505","2.767","2.999","3.968","4.734","5.445","4.795","4.792","3.589","2.716","21.316"
PbRatio,"0.652","0.932","0.865","1.392","1.454","1.461","1.346","2.37","1.573","1.309","1.638","1.392","2.016","1.014","1.693","2.206","1.778","1.702","1.593","1.933","2.225"
