name,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011
TotalRevenue,"7,859,000,000","7,859,000,000","7,087,000,000","5,901,000,000","5,236,000,000","4,532,000,000","4,048,000,000","4,128,000,000","3,652,000,000","2,618,000,000"
	OperatingRevenue,"6,023,000,000","6,023,000,000","5,542,000,000","5,648,000,000","4,965,000,000","4,306,000,000","3,836,000,000","3,903,000,000","3,334,000,000","2,396,000,000"
CostOfRevenue,"3,186,000,000","3,186,000,000","3,087,000,000","2,696,000,000","2,430,000,000","2,183,000,000","2,089,000,000","2,285,000,000","1,827,000,000","1,069,000,000"
GrossProfit,"4,673,000,000","4,673,000,000","4,000,000,000","3,205,000,000","2,806,000,000","2,349,000,000","1,959,000,000","1,843,000,000","1,825,000,000","1,549,000,000"
OperatingExpense,"1,223,000,000","1,223,000,000","1,340,000,000","889,000,000","809,000,000","739,000,000","552,000,000","366,000,000","254,000,000","156,000,000"
	SellingGeneralAndAdministration,"882,000,000","882,000,000","1,032,000,000","614,000,000","569,000,000","559,000,000","404,000,000","328,000,000","150,000,000","136,000,000"
		GeneralAndAdministrativeExpense,"882,000,000","882,000,000","1,032,000,000","614,000,000","569,000,000","559,000,000","404,000,000","328,000,000","150,000,000","136,000,000"
			SalariesAndWages,"366,000,000","366,000,000","247,000,000","199,000,000","171,000,000","157,000,000","133,000,000","133,000,000","96,000,000","91,000,000"
			OtherGandA,"516,000,000","516,000,000","785,000,000","415,000,000","398,000,000","402,000,000","271,000,000","195,000,000","54,000,000","45,000,000"
	DepreciationAmortizationDepletionIncomeStatement,"341,000,000","341,000,000","308,000,000","275,000,000","240,000,000","180,000,000","148,000,000","38,000,000","104,000,000","20,000,000"
		DepreciationAndAmortizationInIncomeStatement,"341,000,000","341,000,000","308,000,000","275,000,000","240,000,000","180,000,000","148,000,000","38,000,000","104,000,000","20,000,000"
OperatingIncome,"3,450,000,000","3,450,000,000","2,660,000,000","2,316,000,000","1,997,000,000","1,610,000,000","1,407,000,000","1,477,000,000","1,571,000,000","1,393,000,000"
NetNonOperatingInterestIncomeExpense,"-2,809,000,000","-2,809,000,000","-2,390,000,000","-1,923,000,000","-1,623,000,000","-1,440,000,000","-1,119,000,000","-1,004,000,000","-950,000,000","-832,000,000"
	InterestIncomeNonOperating,"107,000,000","107,000,000","57,000,000","17,000,000","26,000,000","47,000,000","89,000,000","44,000,000","70,000,000","130,000,000"
	InterestExpenseNonOperating,"2,924,000,000","2,924,000,000","2,464,000,000","1,967,000,000","1,681,000,000","1,528,000,000","1,258,000,000","1,088,000,000","1,020,000,000","962,000,000"
	TotalOtherFinanceCost,"-8,000,000","-8,000,000","-17,000,000","-27,000,000","-32,000,000","-41,000,000","-50,000,000","-40,000,000",,
OtherIncomeExpense,"2,712,000,000","2,712,000,000","3,465,000,000","2,267,000,000","1,768,000,000","3,696,000,000","5,308,000,000","1,791,000,000","2,508,000,000","3,644,000,000"
	GainOnSaleOfSecurity,"743,000,000","743,000,000","2,518,000,000","1,306,000,000","749,000,000","2,105,000,000","3,942,000,000","956,000,000","1,273,000,000","1,540,000,000"
	EarningsFromEquityInterest,"1,969,000,000","1,969,000,000","947,000,000","961,000,000","1,019,000,000","1,591,000,000","1,366,000,000","835,000,000","1,235,000,000","2,104,000,000"
PretaxIncome,"3,353,000,000","3,353,000,000","3,735,000,000","2,660,000,000","2,142,000,000","3,866,000,000","5,596,000,000","2,264,000,000","3,129,000,000","4,205,000,000"
TaxProvision,"196,000,000","196,000,000","81,000,000","192,000,000","-575,000,000","100,000,000","1,176,000,000","501,000,000","489,000,000","439,000,000"
NetIncomeCommonStockholders,"1,956,000,000","1,956,000,000","1,978,000,000","375,000,000","1,793,000,000","2,914,000,000","3,733,000,000","907,000,000","1,476,000,000","2,344,000,000"
	NetIncome,"1,956,000,000","1,956,000,000","1,978,000,000","375,000,000","1,793,000,000","2,915,000,000","3,734,000,000","907,000,000","1,476,000,000","2,344,000,000"
		NetIncomeIncludingNoncontrollingInterests,"3,157,000,000","3,157,000,000","3,654,000,000","2,468,000,000","2,717,000,000","3,766,000,000","4,420,000,000","1,763,000,000","2,640,000,000","3,766,000,000"
			NetIncomeContinuousOperations,"3,157,000,000","3,157,000,000","3,654,000,000","2,468,000,000","2,717,000,000","3,766,000,000","4,420,000,000","1,763,000,000","2,640,000,000","3,766,000,000"
		MinorityInterests,"-1,201,000,000","-1,201,000,000","-1,676,000,000","-2,093,000,000","-924,000,000","-851,000,000","-686,000,000","-856,000,000","-1,164,000,000","-1,422,000,000"
	PreferredStockDividends,,,,,,"1,000,000","1,000,000",,,
