name,ttm,12/31/2019,12/31/2018
MarketCap,"2,628,289,522","1,925,614,600","343,771,560"
EnterpriseValue,"3,918,768,522","2,609,523,600","695,898,560"
PeRatio,"57.865","47.412","138.309"
PsRatio,"17.74","12.623","14.797"
PbRatio,"2.137","2.282","0.932"
EnterprisesValueRevenueRatio,"35.07","27.94","13.995"
EnterprisesValueEBITDARatio,"71.971","53.333","28.299"
