name,ttm,03/31/2019,03/31/2018,03/31/2017,03/31/2016,03/31/2015,03/31/2014,03/31/2013,03/31/2012,03/31/2011,03/31/2010,03/31/2009,03/31/2008,03/31/2007,03/31/2006,03/31/2005,03/31/2004,03/31/2003,03/31/2002,03/31/2001,03/31/2000,03/31/1999,03/31/1998,03/31/1997,03/31/1996,03/31/1995,03/31/1994
TotalRevenue,"1,420,073,000","1,393,241,000","1,386,520,000","1,211,220,000","1,143,492,000","1,066,368,000","898,396,000","642,562,000","495,023,000","462,180,000","467,905,000","602,182,000","749,553,000","922,401,000","859,702,000","616,541,000","502,622,000","501,257,000","471,083,000","441,127,000","418,695,000","336,100,000","297,300,000","239,400,000","222,600,000","194,300,000","166,800,000"
	OperatingRevenue,"1,420,073,000","1,393,241,000","1,386,520,000","1,211,220,000","1,143,492,000","1,066,368,000","898,396,000","642,562,000","495,023,000","462,180,000","467,905,000","602,182,000","749,553,000","922,401,000","859,702,000","616,541,000","502,622,000","501,257,000","471,083,000","441,127,000","418,695,000","336,100,000","297,300,000","239,400,000","222,600,000","194,300,000","166,800,000"
CostOfRevenue,"1,096,142,000","1,066,673,000","1,047,764,000","899,175,000","911,875,000","812,235,000","712,937,000","539,317,000","454,546,000","426,603,000","418,580,000","526,604,000","599,321,000","625,105,000","622,102,000","470,889,000","411,324,000","399,400,000","392,244,000","316,950,000","228,983,000","197,400,000","191,000,000","158,700,000","153,200,000","142,300,000","133,600,000"
GrossProfit,"323,931,000","326,568,000","338,756,000","312,045,000","231,617,000","254,133,000","185,459,000","103,245,000","40,477,000","35,577,000","49,325,000","75,578,000","150,232,000","297,296,000","237,600,000","145,652,000","91,298,000","101,857,000","78,839,000","124,177,000","189,712,000","138,700,000","106,300,000","80,700,000","69,400,000","52,000,000","33,200,000"
OperatingExpense,"58,544,000","37,371,000","41,205,000","31,801,000","34,865,000","27,550,000","23,184,000","25,150,000","19,261,000","16,667,000","15,886,000","16,901,000","18,756,000","20,344,000","16,370,000","10,280,000","9,272,000","5,654,000","5,486,000","29,562,000","23,272,000","20,600,000","19,700,000","17,700,000","16,300,000","16,900,000","16,300,000"
	SellingGeneralAndAdministration,"58,544,000","37,371,000","41,205,000","33,940,000","37,193,000","30,751,000","24,552,000","23,918,000","19,617,000","16,667,000","15,886,000","16,901,000","18,756,000","20,344,000","16,370,000","10,280,000","9,272,000","5,654,000","5,486,000","4,691,000","4,683,000","4,400,000","3,800,000","3,900,000","2,500,000","2,300,000","1,800,000"
		GeneralAndAdministrativeExpense,"58,544,000","37,371,000","41,205,000","33,940,000","37,193,000","30,751,000","24,552,000","23,918,000","19,617,000",,,,,,,,,,,,,,,,,,
			OtherGandA,"58,544,000","37,371,000","41,205,000","33,940,000","37,193,000","30,751,000","24,552,000","23,918,000","19,617,000",,,,,,,,,,,,,,,,,,
	DepreciationAmortizationDepletionIncomeStatement,,,,,,,,,,,,,,,,,,,,"24,871,000","18,589,000","16,200,000","15,900,000","13,800,000","13,800,000","14,600,000","14,500,000"
		DepreciationAndAmortizationInIncomeStatement,,,,,,,,,,,,,,,,,,,,"24,871,000","18,589,000","16,200,000","15,900,000","13,800,000","13,800,000","14,600,000","14,500,000"
	OtherOperatingExpenses,,,,"-2,139,000","-2,328,000","-3,201,000","-1,368,000","1,232,000","-356,000",,,,,,,,,,,,,,,,,,
OperatingIncome,"265,387,000","289,197,000","297,551,000","280,244,000","196,752,000","226,583,000","162,275,000","78,095,000","21,216,000","18,910,000","33,439,000","58,677,000","131,476,000","276,952,000","221,230,000","135,372,000","82,026,000","96,203,000","73,353,000","94,615,000","166,440,000","118,100,000","86,600,000","63,000,000","53,100,000","35,100,000","16,900,000"
NetNonOperatingInterestIncomeExpense,"-36,157,000","-28,374,000","-27,638,000","-22,631,000","-16,583,000","-11,743,000","-18,282,000","-15,823,000","-16,621,000","-17,735,000","-21,114,000","-28,026,000",,,,,,,,,,,,,,,
	InterestIncomeNonOperating,"27,000","123,000","14,000","40,000","6,000","3,853,000","-636,000","-356,000","909,000","7,000","41,000","447,000",,,,,,,,,,,,,,,
	InterestExpenseNonOperating,"34,987,000","27,329,000","26,433,000","21,595,000","15,891,000","14,768,000","16,751,000","14,769,000","16,969,000","17,742,000","21,155,000","28,473,000",,,,,,,,,,,,,,,
	TotalOtherFinanceCost,"1,197,000","1,168,000","1,219,000","1,076,000","698,000","828,000","895,000","698,000","561,000",,"21,460,000",,,,,,,,,,,,,,,,
OtherIncomeExpense,"-400,321,000","-181,088,000","2,049,000","36,906,000","39,083,000","38,087,000","37,811,000","21,824,000","17,317,000","15,587,000","26,972,000",,"33,522,000","32,765,000","26,177,000","26,007,000","23,911,000",,,"-280,000",,"3,000,000","1,800,000","1,400,000",,,
	EarningsFromEquityInterest,"42,123,000","38,565,000","43,419,000","42,386,000","39,083,000","44,967,000","37,811,000","32,507,000","28,528,000","24,233,000","24,157,000",,"33,982,000","32,765,000","26,917,000","26,921,000","23,911,000",,,,,,,,,,
	SpecialIncomeCharges,"-444,532,000","-222,065,000","-45,098,000","-5,480,000","0","-6,880,000","0","-10,683,000","-2,094,000","-8,646,000","2,815,000",,"-460,000",,"-740,000","-914,000",,,,"-280,000",,"3,000,000","1,800,000","1,400,000",,,
		RestructuringAndMergernAcquisition,,"0","0","5,480,000","0","6,880,000","0","10,683,000",,,,,,,,,,,,,,,,,,,
		ImpairmentOfCapitalAssets,"444,532,000","220,265,000",,,,,,,,,,,,,,,,,,,,,,,,,
		OtherSpecialCharges,,"1,800,000","45,098,000",,,,,,"2,094,000",,,,,,,,,,,,,,,,,,
	OtherNonOperatingIncomeExpenses,"2,088,000","2,412,000","3,728,000",,,,,,"-9,117,000",,,,,,,,,,,,,,,,,,
PretaxIncome,"-171,091,000","79,735,000","271,962,000","294,519,000","219,252,000","252,927,000","181,804,000","84,096,000","21,912,000","16,762,000","39,297,000","62,183,000","144,384,000","304,288,000","241,066,000","158,089,000","102,123,000","86,613,000","59,699,000","92,263,000","170,177,000","121,100,000","88,300,000","64,400,000","52,300,000","33,800,000","16,500,000"
TaxProvision,"-41,759,000","10,875,000","15,330,000","96,300,000","66,660,000","66,074,000","57,561,000","26,352,000","3,180,000","1,913,000","10,347,000","20,419,000","46,616,000","101,624,000","80,082,000","51,402,000","35,222,000","29,007,000","19,993,000","32,834,000","61,945,000","43,800,000","31,800,000","22,600,000","18,400,000","12,000,000","6,300,000"
EarningsFromEquityInterestNetOfTax,,,,,,,,,,,,"32,426,000",,,,,,,,,,,,,,,
