name,ttm,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008
TotalRevenue,"27,725,527,000","7,339,029,000","7,291,326,000","6,643,410,000","6,451,762,000","-3,129,635,000","7,224,309,000","12,299,283,000","8,581,790,000","11,029,176,000","8,892,350,000","8,985,674,000","8,968,824,000","12,294,250,000","8,607,924,000","33,085,309,000","6,761,370,000","7,860,706,000","7,902,389,000","8,226,861,000","8,598,882,000","9,673,681,000","6,588,824,000","6,866,825,000","7,008,477,000","6,013,169,000","6,017,501,000","5,997,655,000","5,807,319,000","9,678,342,000","8,384,443,000","7,724,005,000","8,277,687,000","8,843,282,000","7,097,197,000","5,703,455,000","7,888,810,000","4,989,697,000","8,470,113,000","7,668,133,000","5,621,459,000","5,358,718,000","8,493,539,000","5,158,658,000","5,820,849,000","9,202,080,000","7,675,630,000","6,500,218,000","6,855,488,000"
	OperatingRevenue,"27,725,527,000","7,339,029,000","7,291,326,000","6,643,410,000","6,451,762,000","-3,129,635,000","7,224,309,000","12,299,283,000","8,581,790,000","11,029,176,000","8,892,350,000","8,985,674,000","8,968,824,000","12,294,250,000","8,607,924,000","33,085,309,000","6,761,370,000","7,860,706,000","7,902,389,000","8,226,861,000","8,598,882,000","9,673,681,000","6,588,824,000","6,866,825,000","7,008,477,000","6,013,169,000","6,017,501,000","5,997,655,000","5,807,319,000","9,678,342,000","8,384,443,000","7,724,005,000","8,277,687,000","8,843,282,000","7,097,197,000","5,703,455,000","7,888,810,000","4,989,697,000","8,767,580,000","7,370,666,000","5,621,459,000","7,910,739,000","8,493,539,000","5,158,658,000","5,820,849,000","9,202,080,000","7,675,630,000","6,500,218,000","6,855,488,000"
CostOfRevenue,"6,777,819,000","2,045,885,000","1,867,749,000","1,574,933,000","1,289,252,000","-4,052,739,000","1,742,347,000","4,097,839,000","3,749,616,000","4,784,287,000","3,927,547,000","3,244,540,000","3,417,264,000","5,591,115,000","3,787,759,000","3,387,233,000","3,444,827,000","3,471,402,000","4,295,550,000","4,976,097,000","4,248,510,000","5,551,610,000","4,472,379,000","3,407,370,000","2,896,000,000","2,851,659,000","3,019,162,000","3,151,722,000","3,093,777,000","6,864,380,000","1,996,321,000","856,569,000","2,356,189,000","1,066,187,000","1,253,545,000","1,238,648,000","1,411,516,000","-5,690,459,000","4,950,705,000","4,374,416,000","2,778,022,000","-546,442,000","1,532,615,000","1,810,585,000","3,182,310,000","1,789,723,000","1,625,658,000","2,184,936,000","3,706,934,000"
GrossProfit,"20,947,708,000","5,293,144,000","5,423,577,000","5,068,477,000","5,162,510,000","923,104,000","5,481,962,000","8,201,444,000","4,832,174,000","6,244,889,000","4,964,803,000","5,741,134,000","5,551,560,000","6,703,135,000","4,820,165,000","29,698,076,000","3,316,543,000","4,389,304,000","3,606,839,000","3,250,764,000","4,350,372,000","4,122,071,000","2,116,445,000","3,459,455,000","4,112,477,000","3,161,510,000","2,998,339,000","2,845,933,000","2,713,542,000","2,813,962,000","6,388,122,000","6,867,436,000","5,921,498,000","7,777,095,000","5,843,652,000","4,464,807,000","6,477,294,000","10,680,156,000","3,519,408,000","3,293,717,000","2,843,437,000","5,905,160,000","3,245,865,000","5,158,658,000","2,638,539,000","7,412,357,000","1,248,532,000","6,500,218,000","3,148,554,000"
OperatingExpense,"13,507,358,000","2,829,121,000","3,519,089,000","4,214,461,000","2,944,687,000","-1,693,826,000","6,202,980,000","3,471,375,000","4,270,299,000","15,689,073,000","2,812,412,000","3,602,844,000","3,374,792,000","20,214,253,000","3,906,584,000","7,094,381,000","5,904,604,000","16,930,178,000","12,535,174,000","3,804,680,000","3,738,343,000","10,926,518,000","5,493,557,000","3,242,610,000","2,183,727,000","11,342,230,000","3,948,754,000","1,096,370,000","3,369,695,000","7,139,221,000","2,018,730,000","6,390,334,000","3,335,531,000","5,574,285,000","5,290,705,000","4,109,247,000","4,140,004,000","10,675,818,000","2,000,684,000","1,911,822,000","2,006,777,000","4,509,966,000","5,144,911,000","3,343,346,000","2,044,630,000","3,741,886,000","4,622,307,000","2,891,706,000","1,275,986,000"
	SellingGeneralAndAdministration,"8,278,287,000","2,859,973,000","1,734,827,000","1,862,664,000","1,820,823,000","684,578,000","2,272,344,000","2,437,097,000","2,410,342,000","3,130,022,000","2,428,062,000","3,043,890,000","2,328,359,000","3,842,432,000","2,469,438,000","2,328,617,000","2,085,426,000","2,902,802,000","2,657,988,000","2,178,999,000","2,104,502,000","2,667,655,000","2,138,320,000","2,206,465,000","1,859,757,000","3,157,467,000","2,475,572,000","2,106,147,000","1,911,209,000","485,184,000","1,585,948,000","5,466,721,000","2,553,173,000","4,753,950,000","3,673,262,000","2,717,587,000","3,396,808,000","10,680,480,000","309,412,000","332,868,000","349,784,000",,,"1,864,044,000",,,,"1,731,053,000",
		GeneralAndAdministrativeExpense,"8,278,287,000","2,859,973,000","1,734,827,000","1,862,664,000","1,820,823,000",,,"2,437,097,000","2,410,342,000","3,130,022,000","2,428,062,000","3,043,890,000","2,328,359,000","3,842,432,000","2,469,438,000","2,328,617,000","2,085,426,000","2,902,802,000","2,657,988,000","2,178,999,000","2,104,502,000","2,667,655,000","2,138,320,000","2,206,465,000","1,859,757,000","3,157,467,000","2,475,572,000","2,106,147,000","1,911,209,000",,,"5,466,721,000","2,553,173,000","4,753,950,000","3,673,262,000","2,717,587,000","3,396,808,000",,"309,412,000","332,868,000","349,784,000",,,,,,,,
			SalariesAndWages,,,,,,,,,,,"-705,822,000","615,249,000","90,573,000","91,771,000","78,561,000","94,903,000","97,467,000","66,720,000","75,965,000","106,115,000","100,074,000","73,672,000","81,836,000","98,393,000","132,923,000","88,873,000","93,188,000","111,567,000","112,181,000",,,"-1,387,431,000","2,251,822,000","680,972,000","368,825,000","300,102,000","296,130,000",,"259,010,000","276,027,000","280,080,000",,,,,,,,
			OtherGandA,"8,278,287,000","2,859,973,000","1,734,827,000","1,862,664,000","1,820,823,000",,,"2,140,814,000","2,410,342,000","3,130,022,000","3,133,884,000","2,428,641,000","2,237,786,000","3,750,661,000","2,390,877,000","2,233,714,000","1,987,959,000","2,836,082,000","2,582,023,000","2,072,884,000","2,004,428,000","2,593,983,000","2,056,484,000","2,108,072,000","1,726,834,000","3,068,594,000","2,382,384,000","1,994,580,000","1,799,028,000",,,"6,854,152,000","301,351,000","4,072,978,000","3,304,437,000","2,417,485,000","3,100,678,000",,"50,402,000","56,841,000","69,704,000",,,,,,,,
	DepreciationAmortizationDepletionIncomeStatement,"1,807,429,000","495,503,000","439,196,000","444,773,000","427,957,000","264,186,000","488,510,000","482,958,000","466,335,000","366,774,000","466,263,000","456,913,000","461,353,000","515,608,000","442,659,000","450,760,000","434,758,000","493,478,000","423,497,000","462,547,000","463,078,000","608,386,000","393,862,000","394,133,000","380,915,000","417,184,000","372,541,000","366,752,000","344,063,000","450,389,000","444,270,000","437,033,000","443,522,000","479,412,000","411,614,000","407,734,000","425,125,000","-229,883,000","609,629,000","605,178,000","607,552,000","1,671,550,000","607,598,000","602,763,000","595,042,000","1,979,681,000","589,877,000","585,153,000","574,503,000"
