name,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010
TotalAssets,"43,362,211,000","31,830,845,000","28,266,512,000","25,326,006,000","26,403,484,861.26","4,366,553,549.88","2,020,126,461.84","352,387,625.36","414,772,290","341,089,116.12"
	CurrentAssets,"17,790,824,000","9,517,934,000","6,381,061,000","4,063,186,000","4,286,373,466.86","3,974,704,354.58","1,966,529,699.28","295,218,887.57","363,643,815","324,328,485.38"
		CashCashEquivalentsAndShortTermInvestments,"13,777,554,000","6,975,088,000","4,962,689,000","2,060,298,000","3,405,108,901.86","3,777,898,918.15","1,885,310,362.8","222,501,801.07","285,873,225","302,812,266.1"
			CashAndCashEquivalents,"5,293,206,000","2,387,478,000","1,524,982,000","1,200,457,000","3,137,529,065.1","690,875,351.84","366,608,158.56","66,593,870.89","265,924,635","302,812,266.1"
			OtherShortTermInvestments,"8,484,348,000","4,587,610,000","3,437,707,000","859,841,000","267,579,836.76","3,087,023,566.31","1,518,702,204.24","155,907,930.18","19,948,590","0"
		Receivables,"2,484,898,000","1,112,657,000","806,137,000","521,841,000","473,727,580.86","67,899,023.14","36,397,801.44","33,418,650.74","21,387,855","4,311,203"
			AccountsReceivable,"1,209,251,000","917,443,000","667,750,000","424,892,000","350,759,526.42","38,967,811.38","26,010,550.08","19,948,824.76","16,812,375","4,311,203"
				GrossAccountsReceivable,"1,305,016,000","983,063,000","730,486,000","476,611,000","388,963,887.12","38,967,811.38","26,010,550.08",,"16,812,375",
				AllowanceForDoubtfulAccountsReceivable,"-95,765,000","-65,620,000","-62,736,000","-51,719,000","-38,204,360.7","0","0",,"0",
			NotesReceivable,,,,"24,612,000","46,176,315.66",,,,,
			AccruedInterestReceivable,"9,581,000","38,296,000","15,468,000",,"214,230.06","15,966,753.66","2,914,975.44",,"12,570",
			TaxesReceivable,"139,187,000","74,193,000","64,755,000","72,337,000","76,577,508.72","12,964,458.1","6,702,625.44",,"0",
			DuefromRelatedPartiesCurrent,"333,562,000","82,725,000","58,164,000",,,"6,203.09","769,650.48","13,469,825.98","4,562,910","0"
			OtherReceivables,"793,317,000",,,,,,,,,
		PrepaidAssets,"825,548,000","549,780,000","462,422,000","291,231,000","357,407,150.1","117,728,445.11","41,973,222.24","34,354,922.24","52,190,640","15,487,167.7"
		RestrictedCash,"477,099,000","812,000,000","93,350,000","1,151,940,000","31,426,900.62","8,150,860.26",,,,
		OtherCurrentAssets,"225,725,000","68,409,000","56,463,000","37,876,000","18,702,933.42","3,027,107.92","2,848,312.8","4,943,513.52","4,192,095","1,717,848.58"
	TotalNonCurrentAssets,"25,571,387,000","22,312,911,000","21,885,451,000","21,262,820,000","22,117,111,394.4","391,849,195.3","53,596,762.56","57,168,737.79","51,128,475","16,760,630.74"
		NetPPE,"1,584,784,000","1,333,362,000","1,355,369,000","1,484,687,000","802,940,756.7","111,029,107.91","38,949,162.48","49,547,487.78","40,343,415","16,760,630.74"
			GrossPPE,"2,353,251,000","1,978,887,000","1,850,194,000","1,844,016,000","1,042,456,455.6","208,386,605.46","103,260,429.36","86,324,232.3","53,988,150","19,897,860"
				Properties,"0","0","0","0","0","0","0","0","0","0"
				LandAndImprovements,"3,532,000","3,610,000","3,688,000","3,766,000","3,843,157.44",,,,,
