name,ttm,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014
TotalRevenue,"1,585,007,000","431,218,000","418,223,000","410,556,000","325,010,000","271,871,000","263,670,000","236,578,000","227,118,000","209,871,000","189,340,000","166,552,000","136,099,000","115,054,000","128,484,000","124,752,000","125,205,000","124,832,000","115,054,000","98,420,000","86,399,000","73,290,000","66,969,000","44,573,000","30,560,000"
	OperatingRevenue,"1,585,007,000","431,218,000","418,223,000","410,556,000","325,010,000","271,871,000","175,809,000","236,578,000","227,118,000","209,871,000","159,783,000","166,552,000","136,099,000","115,054,000","128,484,000","103,517,000","125,205,000","124,832,000","115,054,000","88,839,000","86,399,000","73,290,000","66,969,000","38,459,000","30,560,000"
CostOfRevenue,"1,051,771,000","291,210,000","274,974,000","271,247,000","214,340,000","185,761,000","183,959,000","158,596,000","145,172,000","130,274,000","118,370,000","108,498,000","89,033,000","76,378,000","86,609,000","85,639,000","84,471,000","86,250,000","81,527,000","70,149,000","62,698,000","57,509,000","52,939,000","35,849,000","24,331,000"
GrossProfit,"533,236,000","140,008,000","143,249,000","139,309,000","110,670,000","86,110,000","79,711,000","77,982,000","81,946,000","79,597,000","70,970,000","58,054,000","47,066,000","38,676,000","41,875,000","39,113,000","40,734,000","38,582,000","33,527,000","28,271,000","23,701,000","15,781,000","14,030,000","8,724,000","6,229,000"
OperatingExpense,"303,563,000","72,233,000","101,026,000","64,987,000","65,317,000","58,062,000","55,757,000","43,945,000","41,281,000","38,769,000","36,399,000","32,658,000","27,951,000","26,672,000","23,635,000","21,229,000","20,995,000","19,320,000","18,653,000","16,398,000","13,902,000","11,547,000","11,679,000","11,164,000","10,774,000"
	SellingGeneralAndAdministration,"145,920,000","40,438,000","35,430,000","34,240,000","35,812,000","31,863,000","31,047,000","23,836,000","21,730,000","20,894,000","19,979,000","18,295,000","15,226,000","15,214,000","13,700,000","11,997,000","12,286,000","11,021,000","11,662,000","9,697,000","8,412,000","6,779,000","6,620,000","6,594,000","5,910,000"
		GeneralAndAdministrativeExpense,"53,855,000","16,185,000","11,771,000","12,214,000","13,685,000","11,691,000","11,837,000","6,898,000","5,776,000","4,689,000","5,900,000","5,078,000","3,265,000","4,439,000","3,664,000","3,067,000","3,460,000","2,188,000","3,418,000","2,265,000","1,990,000","1,121,000","1,159,000","1,174,000","1,318,000"
			OtherGandA,"53,855,000","16,185,000","11,771,000","12,214,000","13,685,000","11,691,000","11,837,000","6,898,000","5,776,000","4,689,000","5,900,000","5,078,000","3,265,000","4,439,000","3,664,000","3,067,000","3,460,000","2,188,000","3,418,000","2,265,000","1,990,000","1,121,000","1,159,000","1,174,000","1,318,000"
		SellingAndMarketingExpense,"92,065,000","24,253,000","23,659,000","22,026,000","22,127,000","20,172,000","19,210,000","16,938,000","15,954,000","16,205,000","14,079,000","13,217,000","11,961,000","10,775,000","10,036,000","8,930,000","8,826,000","8,833,000","8,244,000","7,432,000","6,422,000","5,658,000","5,461,000","5,420,000","4,592,000"
	ResearchAndDevelopment,"131,847,000","36,695,000","34,900,000","30,747,000","29,505,000","26,199,000","24,710,000","20,109,000","19,551,000","17,875,000","16,420,000","14,363,000","12,725,000","11,458,000","9,935,000","9,232,000","8,709,000","8,299,000","6,991,000","6,701,000","5,490,000","4,768,000","5,059,000","4,570,000","4,864,000"
	OtherOperatingExpenses,,"-4,900,000","22,391,000",,,,,,,,,,,,,,,,,,,,,,
OperatingIncome,"229,673,000","67,775,000","42,223,000","74,322,000","45,353,000","28,048,000","23,954,000","34,037,000","40,665,000","40,828,000","34,571,000","25,396,000","19,115,000","12,004,000","18,240,000","17,884,000","19,739,000","19,262,000","14,874,000","11,873,000","9,799,000","4,234,000","2,351,000","-2,440,000","-4,545,000"
NetNonOperatingInterestIncomeExpense,"-11,333,000","-16,605,000","21,522,000","-17,023,000","773,000","-6,151,000","5,557,000","-689,000","-2,480,000","584,000","-3,273,000","2,666,000","3,595,000","1,410,000","390,000","114,000","2,029,000","-959,000","-72,000","2,110,000","-3,436,000","-458,000","516,000","327,000","-626,000"
	TotalOtherFinanceCost,"11,118,000","16,605,000","-21,737,000","17,023,000","-773,000","6,151,000","-2,464,000","689,000","2,480,000","-584,000","-1,487,000","-2,666,000","-3,595,000","-1,410,000","-390,000","527,000","-2,029,000","959,000","72,000","-3,005,000","3,436,000","458,000","-516,000",,"626,000"
OtherIncomeExpense,,,"-2,159,000","-8,305,000",,,"-435,000",,,"-64,000",,,,,,,,,,,,,,,
	SpecialIncomeCharges,,,,"-8,305,000",,,,,,"-64,000",,,,,,,,,,,,,,,
		OtherSpecialCharges,,,,"8,305,000",,,,,,,,,,,,,,,,,,,,,
		GainOnSaleOfPPE,,,,,,,,,,"-64,000",,,,,,,,,,,,,,,
	OtherNonOperatingIncomeExpenses,,,,,,,"-435,000",,,"-64,000",,,,,,,,,,,,,,,
PretaxIncome,"207,876,000","51,170,000","61,586,000","48,994,000","46,126,000","21,897,000","24,242,000","33,348,000","38,185,000","41,348,000","36,058,000","28,062,000","22,710,000","13,414,000","18,630,000","17,357,000","21,768,000","18,303,000","14,802,000","10,070,000","6,363,000","3,776,000","2,867,000","-2,910,000","-5,171,000"
TaxProvision,"38,646,000","8,922,000","9,241,000","7,270,000","13,213,000","3,922,000","12,093,000","-12,295,000","3,617,000","5,662,000","16,556,000","91,000","186,000","-761,000","3,014,000","84,000","969,000","-5,802,000","370,000","809,000","398,000","401,000","347,000","132,000","67,000"
NetIncomeCommonStockholders,"169,781,000","42,248,000","52,778,000","41,627,000","33,128,000","19,016,000","12,936,000","45,643,000","34,568,000","35,686,000","19,502,000","27,971,000","22,524,000","14,175,000","15,616,000","17,273,000","20,799,000","24,105,000","14,432,000","3,528,000","42,000","0","0","-3,042,000","-5,238,000"
	NetIncome,"169,781,000","42,248,000","52,778,000","41,627,000","33,128,000","19,016,000","12,936,000","45,643,000","34,568,000","35,686,000","19,502,000","27,971,000","22,524,000","14,175,000","15,616,000","17,273,000","20,799,000","24,105,000","14,432,000","9,261,000","5,965,000","3,375,000","2,520,000","-3,042,000","-5,238,000"
		NetIncomeIncludingNoncontrollingInterests,"169,230,000","42,248,000","52,345,000","41,724,000","32,913,000","17,975,000","12,149,000","45,643,000","34,568,000","35,686,000","19,502,000","27,971,000","22,524,000","14,175,000","15,616,000","17,273,000","20,799,000","24,105,000","14,432,000","9,261,000","5,965,000","3,375,000","2,520,000","-3,042,000","-5,238,000"
			NetIncomeContinuousOperations,"169,230,000","42,248,000","52,345,000","41,724,000","32,913,000","17,975,000","12,149,000","45,643,000","34,568,000","35,686,000","19,502,000","27,971,000","22,524,000","14,175,000","15,616,000","17,273,000","20,799,000","24,105,000","14,432,000","9,261,000","5,965,000","3,375,000","2,520,000","-3,042,000","-5,238,000"
		MinorityInterests,"551,000","0","433,000","-97,000","215,000","1,041,000","787,000",,,,,,,,,,,,,,,,,,
	OtherunderPreferredStockDividend,,,,,,,,,,,,,,,,"0","0","0",,"5,733,000","5,923,000","3,375,000","2,520,000",,"0"
AverageDilutionEarnings,,,,"-270,000","-220,000",,,,,,,,,,,"0","0","0","0",,"51,000","0","0",,"0"
DilutedNIAvailtoComStockholders,"169,781,000","42,248,000","53,347,000","41,357,000","32,908,000","19,016,000","12,936,000","45,643,000","34,568,000","35,686,000","19,502,000","27,971,000","22,524,000","14,175,000","15,616,000","17,273,000","20,799,000","24,105,000","14,432,000","3,493,000","93,000","0","0","-3,042,000","-5,238,000"
BasicEPS,,"0.86","1.08","0.86","0.69","0.4","0.28","1","0.76","0.81","0.45","0.66","0.54","0.34","0.38","0.42","0.52","0.61","0.37",,"0.01","0","0",,"-0.176"
DilutedEPS,,"0.81","1.03","0.81","0.66","0.39","0.27","0.95","0.72","0.75","0.42","0.61","0.5","0.32","0.35","0.39","0.47","0.55","0.32",,"0.01","0","0",,"-0.176"
BasicAverageShares,,"49,193,240","48,868,519","48,403,488","48,011,594","47,540,000","46,200,000","45,601,540","45,484,211","44,056,790","43,337,778","42,433,648","41,711,111","41,348,225","41,094,737","40,776,059","40,362,093","39,511,967","39,301,620",,"2,822,893","38,065,042","29,703,142",,"29,703,142"
DilutedAverageShares,,"52,172,720","50,966,778","51,081,594","49,940,034","47,540,000","47,637,478","48,281,240","48,291,280","47,673,522","46,876,328","46,131,556","44,831,590","43,837,505","43,995,227","44,463,087","44,577,901","44,007,348","44,455,964",,"7,099,046","38,065,042","31,641,743",,"31,641,743"
TotalOperatingIncomeAsReported,"229,673,000","67,775,000","50,528,000","66,017,000","45,353,000","28,048,000","23,954,000","34,037,000","40,665,000","40,828,000","34,571,000","25,396,000","19,115,000","12,004,000","18,240,000","17,884,000","19,739,000","19,262,000","14,874,000","11,873,000","9,799,000","4,234,000","2,351,000","-2,440,000","-4,545,000"
TotalExpenses,"1,355,334,000","363,443,000","376,000,000","336,234,000","279,657,000","243,823,000","239,716,000","202,541,000","186,453,000","169,043,000","154,769,000","141,156,000","116,984,000","103,050,000","110,244,000","106,868,000","105,466,000","105,570,000","100,180,000","86,547,000","76,600,000","69,056,000","64,618,000","47,013,000","35,105,000"
NetIncomeFromContinuingAndDiscontinuedOperation,"169,781,000","42,248,000","52,778,000","41,627,000","33,128,000","19,016,000","12,936,000","45,643,000","34,568,000","35,686,000","19,502,000","27,971,000","22,524,000","14,175,000","15,616,000","17,273,000","20,799,000","24,105,000","14,432,000","9,261,000","5,965,000","3,375,000","2,520,000","-3,042,000","-5,238,000"
NormalizedIncome,"169,781,000","42,248,000","52,778,000","48,699,658.285","33,128,000","19,016,000","12,936,000","45,643,000","34,568,000","35,741,236.142","19,502,000","27,971,000","22,524,000","14,175,000","15,616,000","17,273,000","20,799,000","24,105,000","14,432,000","9,261,000","5,965,000","3,375,000","2,520,000","-3,042,000","-5,238,000"
NetInterestIncome,"-11,333,000","-16,605,000","21,522,000","-17,023,000","773,000","-6,151,000","5,557,000","-689,000","-2,480,000","584,000","-3,273,000","2,666,000","3,595,000","1,410,000","390,000","114,000","2,029,000","-959,000","-72,000","2,110,000","-3,436,000","-458,000","516,000","327,000","-626,000"
EBIT,"223,135,000","67,775,000","35,685,000","74,322,000","45,353,000","28,048,000","24,193,000","34,037,000","40,665,000","40,828,000","43,729,000","25,396,000","19,115,000","12,004,000","18,240,000","18,355,000","19,739,000","19,262,000","14,874,000","7,587,000","9,799,000","4,234,000","2,351,000","-3,237,000","-4,545,000"
EBITDA,"251,514,000"
ReconciledCostOfRevenue,"1,051,771,000","291,210,000","274,974,000","271,247,000","214,340,000","185,761,000","183,959,000","158,596,000","145,172,000","130,274,000","118,370,000","108,498,000","89,033,000","76,378,000","86,609,000","85,639,000","84,471,000","86,250,000","81,527,000","70,149,000","62,698,000","57,509,000","52,939,000","35,849,000","24,331,000"
ReconciledDepreciation,"28,379,000","7,325,000","6,849,000","7,004,000","7,201,000","5,841,000","4,218,000","3,348,000","2,623,000","2,430,000","2,223,000","1,802,000","1,610,000","1,520,000","1,292,000","1,183,000","993,000","912,000","759,000","606,000","544,000","561,000","542,000","527,000","496,000"
NetIncomeFromContinuingOperationNetMinorityInterest,"169,781,000","42,248,000","52,778,000","41,627,000","33,128,000","19,016,000","12,936,000","45,643,000","34,568,000","35,686,000","19,502,000","27,971,000","22,524,000","14,175,000","15,616,000","17,273,000","20,799,000","24,105,000","14,432,000","9,261,000","5,965,000","3,375,000","2,520,000","-3,042,000","-5,238,000"
TotalUnusualItemsExcludingGoodwill,,,,"-8,305,000",,,,,,"-64,000",,,,,,,,,,,,,,,
TotalUnusualItems,,,,"-8,305,000",,,,,,"-64,000",,,,,,,,,,,,,,,
NormalizedEBITDA,"251,514,000","75,100,000","42,534,000","89,631,000","52,554,000","33,889,000","28,411,000","37,385,000","43,288,000","43,322,000","45,952,000","27,198,000","20,725,000","13,524,000","19,532,000","19,538,000","20,732,000","20,174,000","15,633,000","8,193,000","10,343,000","4,795,000","2,893,000","-2,710,000","-4,049,000"
TaxRateForCalcs,"0.186","0.174","0.15","0.148","0.286","0.179","0.27","0.27","0.095","0.137","0.4","0.003","0.008","0.4","0.162","0.005","0.045","0.4","0.025","0.08","0.063","0.106","0.121","0.35","0.35"
TaxEffectOfUnusualItems,"0","0","0","-1,232,341.715","0","0","0","0","0","-8,763.858","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
