name,ttm,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006
TotalRevenue,"1,911,000,000","532,000,000","500,000,000","466,000,000","413,000,000","558,000,000","492,000,000","439,000,000","445,000,000","527,000,000","515,000,000","426,000,000","387,000,000","374,000,000","193,000,000","345,000,000","369,000,000","489,000,000","271,000,000","359,000,000","387,000,000","172,000,000","208,095,000","170,974,000","309,299,000","354,908,000","249,858,000","326,252,000","283,956,000","216,074,000","247,111,000","318,599,000","260,888,000","303,922,000","307,958,000","385,526,000","296,940,000","367,888,000","186,264,000","299,138,000","226,136,000","210,570,000","200,409,000","271,492,000","332,098,000","296,341,000","429,315,000","496,995,000","395,376,000","528,448,000","397,468,000","445,153,000","294,732,000","330,808,000","293,204,000","339,847,000","290,788,000","328,569,000"
	OperatingRevenue,"1,911,000,000","532,000,000","500,000,000","466,000,000","413,000,000","558,000,000","492,000,000","439,000,000","445,000,000","527,000,000","515,000,000","426,000,000","387,000,000","374,000,000","193,000,000","345,000,000","369,000,000","489,000,000","271,000,000","359,000,000","387,000,000","172,000,000","208,095,000","170,974,000","309,299,000","354,908,000","249,858,000","326,252,000","283,956,000","216,074,000","247,111,000","318,599,000","260,888,000","303,922,000","307,958,000","385,526,000","296,940,000","367,888,000","186,264,000","299,138,000","226,136,000","210,570,000","200,409,000","271,492,000","332,098,000","296,341,000","429,315,000","496,995,000","395,376,000","528,448,000","397,468,000","445,153,000","294,732,000","330,808,000","293,204,000","339,847,000","290,788,000","328,569,000"
PretaxIncome,"1,126,000,000","308,000,000","312,000,000","281,000,000","225,000,000","339,000,000","309,000,000","276,000,000","271,000,000","340,000,000","364,000,000","268,000,000","204,000,000","213,000,000","28,000,000","183,000,000","213,000,000","337,000,000","127,000,000","202,000,000","240,000,000","-111,000,000","74,389,000","39,381,000","174,209,000","218,144,000","38,747,000","196,382,000","133,926,000","82,223,000","96,196,000","172,620,000","108,507,000","149,677,000","152,195,000","217,757,000","149,144,000","221,972,000","41,910,000","161,920,000","72,076,000","64,913,000","52,171,000","133,267,000","192,108,000","166,947,000","269,045,000","347,390,000","259,361,000","373,953,000","268,713,000","307,865,000","164,653,000","190,339,000","161,635,000","220,143,000","164,423,000","215,359,000"
TaxProvision,"71,000,000","18,000,000","18,000,000","20,000,000","15,000,000","15,000,000","19,000,000","18,000,000","13,000,000","21,000,000","200,000,000","21,000,000","17,000,000","18,000,000","7,000,000","15,000,000","13,000,000","27,000,000","6,000,000","20,000,000","19,000,000","-2,000,000","9,162,000","7,691,000","13,451,000","16,950,000","2,446,000","10,414,000","13,890,000","6,935,000","-4,444,000","14,747,000","10,977,000","8,734,000","7,391,000","15,270,000","12,496,000","18,732,000","34,678,000","13,201,000","7,308,000","5,226,000","4,188,000","13,168,000","25,191,000","11,832,000","33,981,000","32,384,000","28,593,000","33,413,000","24,162,000","27,228,000","5,504,000","6,143,000","5,753,000","5,886,000","6,569,000","9,184,000"
NetIncomeCommonStockholders,"158,000,000","46,000,000","44,000,000","36,000,000","32,000,000","49,000,000","43,000,000","39,000,000","258,000,000","319,000,000","164,000,000","247,000,000","187,000,000","195,000,000","21,000,000","168,000,000","200,000,000","310,000,000","121,000,000","182,000,000","23,000,000","-13,000,000","-349,109,000","31,690,000","160,758,000","201,194,000","384,211,000","16,447,000","120,036,000","6,557,000","-355,678,000","157,873,000","97,530,000","140,943,000","144,804,000","202,487,000","136,648,000","203,240,000","7,232,000","148,719,000","64,768,000","59,687,000","47,983,000","120,099,000","166,917,000","155,115,000","235,064,000","315,006,000","230,768,000","340,540,000","244,551,000","280,637,000","159,149,000","184,196,000","155,882,000","214,257,000","157,854,000","206,175,000"
	NetIncome,"158,000,000","46,000,000","44,000,000","36,000,000","32,000,000","49,000,000","43,000,000","39,000,000","258,000,000","319,000,000","164,000,000","247,000,000","187,000,000","195,000,000","21,000,000","168,000,000","200,000,000","310,000,000","121,000,000","182,000,000","23,000,000","-13,000,000","-349,109,000","31,690,000","160,758,000","201,194,000","384,211,000","16,447,000","120,036,000","6,557,000","-355,678,000","157,873,000","97,530,000","140,943,000","144,804,000","202,487,000","136,648,000","203,240,000","7,232,000","148,719,000","64,768,000","59,687,000","47,983,000","120,099,000","166,917,000","155,115,000","235,064,000","315,006,000","230,768,000","340,540,000","244,551,000","280,637,000","159,149,000","184,196,000","155,882,000","214,257,000","157,854,000","206,175,000"
		NetIncomeIncludingNoncontrollingInterests,"1,055,000,000","290,000,000","294,000,000","261,000,000","210,000,000","324,000,000","290,000,000","258,000,000","258,000,000","319,000,000","164,000,000","247,000,000","187,000,000","195,000,000","21,000,000","168,000,000","200,000,000","310,000,000","121,000,000","182,000,000","221,000,000","-109,000,000","65,227,000","31,690,000","160,758,000","201,194,000","36,301,000","185,968,000","120,036,000","75,288,000","100,640,000","157,873,000","97,530,000","140,943,000","144,804,000","202,487,000","136,648,000","203,240,000","7,232,000","148,719,000","64,768,000","59,687,000","47,983,000","120,099,000","166,917,000","155,115,000","235,064,000","315,006,000","230,768,000","340,540,000","244,551,000","280,637,000","159,149,000","184,196,000","155,882,000","214,257,000","157,854,000","206,175,000"
			NetIncomeContinuousOperations,"1,055,000,000","290,000,000","294,000,000","261,000,000","210,000,000","324,000,000","290,000,000","258,000,000","258,000,000","319,000,000","164,000,000","247,000,000","187,000,000","195,000,000","21,000,000","168,000,000","200,000,000","310,000,000","121,000,000","182,000,000","221,000,000","-109,000,000","65,227,000","31,690,000","160,758,000","201,194,000","36,301,000","185,968,000","120,036,000","75,288,000","100,640,000","157,873,000","97,530,000","140,943,000","144,804,000","202,487,000","136,648,000","203,240,000","7,232,000","148,719,000","64,768,000","59,687,000","47,983,000","120,099,000","166,917,000","155,115,000","235,064,000","315,006,000","230,768,000","340,540,000","244,551,000","280,637,000","159,149,000","184,196,000","155,882,000","214,257,000","157,854,000","206,175,000"
		MinorityInterests,"-897,000,000","-244,000,000","-250,000,000","-225,000,000","-178,000,000","-275,000,000","-247,000,000","-219,000,000",,,"-166,000,000","-216,000,000","-164,000,000",,,,,"-277,000,000","-104,000,000",,"-198,000,000","96,000,000",,"-28,500,000",,,,"-169,521,000","-109,700,000","-68,731,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,
DilutedNIAvailtoComStockholders,"158,000,000","46,000,000","44,000,000","36,000,000","32,000,000","49,000,000","43,000,000","39,000,000","258,000,000","319,000,000","164,000,000","247,000,000","187,000,000","195,000,000","21,000,000","168,000,000","200,000,000","310,000,000","121,000,000","182,000,000","23,000,000","-13,000,000","-349,109,000","31,690,000","160,758,000","201,194,000","384,211,000","16,447,000","120,036,000","6,557,000","-355,678,000","157,873,000","97,530,000","140,943,000","144,804,000","202,487,000","136,648,000","203,240,000","7,232,000","148,719,000","64,768,000","59,687,000","47,983,000","120,099,000","166,917,000","155,115,000","235,064,000","315,006,000","230,768,000","340,540,000","244,551,000","280,637,000","159,149,000","184,196,000","155,882,000","214,257,000","157,854,000","206,175,000"
