name,ttm,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000
TotalRevenue,"16,877,284,000","4,156,996,000","4,544,643,000","4,106,266,000","4,069,379,000","4,101,350,000","3,924,230,000","3,682,047,000","3,887,392,000","3,916,573,000","3,947,669,000","3,230,104,000","2,935,297,000","2,476,748,000","3,076,591,000","2,355,757,000","2,243,789,000","2,077,355,000","2,905,156,000","2,172,413,000","2,120,427,000","1,796,601,000","1,685,457,000","1,469,941,000","1,340,630,000","1,383,136,000","1,478,325,000","1,309,836,000","1,283,417,000","1,374,508,000","1,336,391,000","1,222,011,000","1,275,511,000","1,285,978,000","1,366,821,000","1,048,979,000","1,094,610,000","1,062,898,000","1,192,893,000","955,508,000","898,978,000","970,426,000","753,447,000","714,672,000","678,374,000","984,692,000","755,993,000","734,306,000","808,518,000","869,890,000","693,676,938.3","688,095,655.2","700,516,266.45","681,127,344","584,353,045","555,601,856.25","575,602,424.1","503,910,851.75","349,973,289.15","538,557,048.3","573,463,378","591,188,268","489,295,245","512,052,067.5","493,808,461","465,342,200","358,804,162","371,880,678","357,209,632","366,868,269","298,085,558.5","316,909,910","307,797,750","307,183,262.4","243,804,659","287,235,522","306,166,720","327,467,360","275,281,436.44","287,344,361.04"
	OperatingRevenue,"16,877,284,000","4,156,996,000","4,544,643,000","4,106,266,000","4,069,379,000","4,101,350,000","3,924,230,000","3,682,047,000","3,887,392,000","3,916,573,000","3,947,669,000","3,230,104,000","2,935,297,000","2,476,748,000","3,076,591,000","2,355,757,000","2,243,789,000","2,077,355,000","2,905,156,000","2,172,413,000","2,120,427,000","1,796,601,000","1,685,457,000","1,469,941,000","1,340,630,000","1,383,136,000","1,478,325,000","1,309,836,000","1,283,417,000","1,374,508,000","1,336,391,000","1,222,011,000","1,275,511,000","1,285,978,000","1,366,821,000","1,048,979,000","1,094,610,000","1,062,898,000","1,192,893,000","955,508,000","898,978,000","970,426,000","753,447,000","714,672,000","678,374,000","984,692,000","755,993,000","734,306,000","808,518,000","869,890,000","693,682,841.9","688,095,655.2","700,516,266.45","681,127,344","584,353,045","555,601,856.25","575,602,424.1","503,910,851.75","355,932,849.65","538,557,048.3","573,463,378","591,188,268","490,172,813","512,052,067.5","493,808,461","465,342,200","360,139,078.5","371,880,678","357,209,632","366,868,269","307,158,222.5","316,909,910","307,797,750","307,183,262.4","245,206,243.5","287,235,522","306,166,720","327,467,360","275,281,436.44","287,344,361.04"
CostOfRevenue,"8,351,976,000","1,125,946,000","4,935,681,000","1,217,375,000","1,072,975,000","1,068,849,000","4,353,281,000","1,108,282,000","1,181,279,000","887,802,000","8,455,945,000","1,098,591,000","904,722,000","449,309,000","2,691,543,000","775,360,000","701,093,000","448,054,000","2,595,581,000","848,278,000","812,369,000","468,482,000","1,511,095,000","439,385,000","316,271,000","281,251,000","1,222,890,000","417,273,000","389,849,000","366,408,000","1,295,601,000","396,393,000","399,257,000","317,077,000","656,595,000","343,091,000","354,920,000","264,682,000","620,329,000","446,577,000","220,921,000","184,473,000","210,260,000","191,758,000","196,237,000","190,306,000","230,162,000","211,689,000","181,103,000","187,147,000","211,660,342.85","180,563,875.45","188,654,077.95","157,530,519","143,779,126.25","179,411,610","154,257,024.9","137,222,270.25","125,302,262","139,378,676.25","142,581,570.4","126,440,402","132,236,927.5","122,211,995","117,613,534","91,962,610","106,389,180","93,119,169","90,313,536","77,165,451","99,754,064.5","85,774,357.5","77,948,910",,,,,,,
GrossProfit,"8,525,308,000","3,031,050,000","-391,038,000","2,888,891,000","2,996,404,000","3,032,501,000","-429,051,000","2,573,765,000","2,706,113,000","3,028,771,000","-4,508,276,000","2,131,513,000","2,030,575,000","2,027,439,000","385,048,000","1,580,397,000","1,542,696,000","1,629,301,000","309,575,000","1,324,135,000","1,308,058,000","1,328,119,000","174,362,000","1,030,556,000","1,024,359,000","1,101,885,000","255,435,000","892,563,000","893,568,000","1,008,100,000","40,790,000","825,618,000","876,254,000","968,901,000","710,226,000","705,888,000","739,690,000","798,216,000","572,564,000","508,931,000","678,057,000","785,953,000","543,187,000","522,914,000","482,137,000","794,386,000","525,831,000","522,617,000","627,415,000","682,743,000","482,016,595.45","507,531,779.75","511,862,188.5","523,596,825","440,573,918.75","376,190,246.25","421,345,399.2","366,688,581.5","224,671,027.15","399,178,372.05","430,881,807.6","464,747,866","357,058,317.5","389,840,072.5","376,194,927","373,379,590","252,414,982","278,761,509","266,896,096","289,702,818","198,331,494","231,135,552.5","229,848,840",,,,,,,
OperatingExpense,"-3,288,000","766,932,000","-2,381,022,000","862,281,000","748,520,000","815,684,000","-2,556,747,000","917,230,000","908,775,000","831,370,000","-1,083,828,000","475,903,000","417,147,000","395,197,000","-819,319,000","344,972,000","336,084,000","343,107,000","-697,377,000","298,535,000","295,209,000","300,623,000","-621,618,000","264,659,000","263,296,000","263,892,000","-400,154,000","192,611,000","192,175,000","193,928,000","-528,472,000","234,872,000","235,839,000","239,405,000","216,512,000","214,413,000","213,411,000","215,190,000","198,882,000","210,550,000","264,081,000","279,670,000","254,920,000","244,568,000","238,853,000","266,951,000","246,115,000","234,599,000","245,300,000","248,895,000","229,944,053.5","223,165,271.85","205,349,224.6","208,590,844.5","239,737,452.5","180,698,463.75","182,950,231.2","179,379,147.75","181,738,257.2","172,160,972.25","180,647,162.8","181,218,570.5","167,402,537.5","167,548,335","159,132,334","156,748,610","121,400,806.75","147,962,022","145,602,432","142,667,991","129,686,050","133,106,254","130,617,630",,,,,,,
	SellingGeneralAndAdministration,"250,408,000","411,261,000","-989,859,000","413,288,000","415,717,000","411,036,000","-906,924,000","375,376,000","384,830,000","381,982,000","-529,386,000","234,918,000","242,661,000","256,225,000","-425,292,000","210,240,000","205,187,000","214,708,000","-347,622,000","180,917,000","178,797,000","184,898,000","-281,860,000","150,658,000","150,575,000","150,857,000","44,966,000","44,631,000","46,502,000","42,461,000","-228,845,000","133,816,000","136,233,000","140,440,000","119,688,000","117,680,000","118,399,000","121,019,000","105,618,000","103,138,000","113,262,000","119,950,000","97,768,000","88,153,000","81,236,000","108,627,000","94,704,000","83,361,000","95,550,000","99,780,000","-147,040,564","83,661,007.15","81,749,021.25","83,015,698.5","96,397,306.25","68,511,213.75","69,814,115.25","64,379,107.5","-94,661,147.85","66,977,250.15","73,371,402.4","77,286,528","-99,443,390","69,726,287.5","65,392,110","67,980,620","-53,517,081","60,582,093","57,748,960","54,369,270","-45,082,747","52,344,351.5","49,078,575",,,,,,,
		GeneralAndAdministrativeExpense,"250,408,000","411,261,000","-989,859,000","413,288,000","415,717,000","411,036,000","-906,924,000","375,376,000","384,830,000","381,982,000","-529,386,000","234,918,000","242,661,000","256,225,000","-425,292,000","210,240,000","205,187,000","214,708,000","-347,622,000","180,917,000","178,797,000","184,898,000","-281,860,000","150,658,000","150,575,000","150,857,000","44,966,000","44,631,000","46,502,000","42,461,000","130,273,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			OtherGandA,"250,408,000","411,261,000","-989,859,000","413,288,000","415,717,000","411,036,000","-906,924,000","375,376,000","384,830,000","381,982,000","-529,386,000","234,918,000","242,661,000","256,225,000","-425,292,000","210,240,000","205,187,000","214,708,000","-347,622,000","180,917,000","178,797,000","184,898,000","-281,860,000","150,658,000","150,575,000","150,857,000","44,966,000","44,631,000","46,502,000","42,461,000","130,273,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	DepreciationAmortizationDepletionIncomeStatement,,"479,412,000","446,379,000","448,993,000","495,433,000","446,092,000","245,554,000","541,854,000","523,945,000","449,388,000","5,330,768,000","240,985,000","174,486,000","138,972,000","135,632,000","134,732,000","130,897,000","128,399,000",,"117,618,000","116,412,000","115,725,000","114,508,000","114,001,000","112,721,000","113,035,000","106,199,000","105,569,000","103,360,000","103,145,000","101,918,000","101,056,000","99,606,000","98,965,000","96,824,000","96,733,000","95,012,000","94,171,000","93,264,000","107,412,000","150,819,000","159,720,000","157,152,000","156,415,000","157,617,000","158,324,000","151,411,000","151,238,000","149,750,000","149,115,000","148,059,306.65","139,580,807.25","123,610,995.3","125,575,146","129,536,715","121,657,173.75","116,149,918.5","116,230,977.5","113,730,109.45","107,211,048.3","107,275,760.4","103,943,224","105,396,707.5","99,703,460","97,073,261","94,732,770","89,118,928","88,505,703","87,863,896","88,298,721","86,625,445","82,828,261.5","81,529,110",,,,,,,
		DepreciationAndAmortizationInIncomeStatement,,"479,412,000","446,379,000","448,993,000","495,433,000","446,092,000","245,554,000","541,854,000","523,945,000","449,388,000","5,330,768,000","240,985,000","174,486,000","138,972,000","135,632,000","134,732,000","130,897,000","128,399,000",,"117,618,000","116,412,000","115,725,000","114,508,000","114,001,000","112,721,000","113,035,000","106,199,000","105,569,000","103,360,000","103,145,000","101,918,000","101,056,000","99,606,000","98,965,000","96,824,000","96,733,000","95,012,000","94,171,000","93,264,000","107,412,000","150,819,000","159,720,000","157,152,000","156,415,000","157,617,000","158,324,000","151,411,000","151,238,000","149,750,000","149,115,000","148,059,306.65","139,580,807.25","123,610,995.3","125,575,146","129,536,715","121,657,173.75","116,149,918.5","116,230,977.5","113,730,109.45","107,211,048.3","107,275,760.4","103,943,224","105,396,707.5","99,703,460","97,073,261","94,732,770","89,118,928","88,505,703","87,863,896","88,298,721","86,625,445","82,828,261.5","81,529,110",,,,,,,
			DepreciationIncomeStatement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"148,059,306.65","139,580,807.25","123,610,995.3","125,575,146",,"121,657,173.75","116,149,918.5","116,230,977.5","113,730,109.45","107,211,048.3","107,275,760.4","103,943,224","105,396,707.5","99,703,460","97,073,261","94,732,770","89,118,928","88,505,703","87,863,896","88,298,721","86,625,445","82,828,261.5","81,529,110",,,,,,,
