name,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015
TotalAssets,"13,265,619,000","11,333,368,000","9,739,712,000","90,475,000","92,034,000"
	CurrentAssets,"1,166,245,000","1,119,324,000","197,406,000","1,644,000","1,042,000"
		CashCashEquivalentsAndShortTermInvestments,"1,161,367,000","1,098,760,000","183,646,000","920,000","351,000"
			CashAndCashEquivalents,"1,101,893,000","577,883,000","183,646,000","920,000","351,000"
				CashFinancial,,,,"920,000","351,000"
			OtherShortTermInvestments,"59,474,000","520,877,000",,,
		Receivables,"1,626,000",,,"77,000","183,000"
			AccountsReceivable,,,,"77,000","183,000"
			AccruedInterestReceivable,"1,626,000",,,,
			OtherReceivables,"1,626,000",,,,
		Inventory,,,,"371,000","442,000"
		PrepaidAssets,"3,252,000",,,"276,000","54,000"
		RestrictedCash,"0","20,564,000","13,760,000",,
		OtherCurrentAssets,,,,,"12,000"
	TotalNonCurrentAssets,"12,099,374,000","10,214,044,000","9,542,306,000","88,831,000","90,992,000"
		NetPPE,"11,917,735,000","10,074,218,000","8,342,943,000","88,831,000","90,992,000"
			GrossPPE,"11,926,003,000","10,078,655,000","8,343,694,000","116,277,000","115,759,000"
				Properties,"0","0","0","0","0"
				LandAndImprovements,"59,346,000","58,573,000","57,901,000","75,699,000","75,621,000"
				BuildingsAndImprovements,"14,805,000","14,572,000","14,572,000","35,133,000","35,150,000"
				MachineryFurnitureEquipment,"4,523,000","2,805,000","2,578,000","5,445,000","4,988,000"
				OtherProperties,"11,847,329,000","10,002,705,000","8,268,643,000",,
			AccumulatedDepreciation,"-8,268,000","-4,437,000","-751,000","-27,446,000","-24,767,000"
		InvestmentProperties,"94,711,000","95,789,000","1,184,000,000",,
		InvestmentsAndAdvances,,,"8,268,643,000",,
			InvestmentinFinancialAssets,,,"8,268,643,000",,
		NonCurrentAccountsReceivable,"60,111,000",,,,
		NonCurrentDeferredAssets,"25,709,000",,,,
		OtherNonCurrentAssets,"1,108,000","44,037,000","15,363,000",,
TotalLiabilitiesNetMinorityInterest,"5,216,630,000","4,432,346,000","4,963,348,000","6,332,000","6,659,000"
	CurrentLiabilities,"178,872,000","162,479,000","32,157,000","1,024,000","1,224,000"
		PayablesAndAccruedExpenses,"178,872,000","162,479,000","29,598,000","545,000","707,000"
			Payables,"137,696,000","117,344,000","5,207,000","435,000","554,000"
				AccountsPayable,"640,000","1,057,000","5,207,000","305,000","342,000"
				TotalTaxPayable,,,,"130,000","212,000"
				DividendsPayable,"137,056,000","116,287,000",,,
			CurrentAccruedExpenses,"41,176,000","45,135,000","24,391,000","110,000","153,000"
				InterestPayable,"20,153,000","14,184,000","21,595,000",,
		PensionandOtherPostRetirementBenefitPlansCurrent,,,"2,559,000","228,000","176,000"
		CurrentDebtAndCapitalLeaseObligation,,,,"14,000","51,000"
			CurrentDebt,,,,"14,000","51,000"
		CurrentDeferredLiabilities,,,"68,117,000","237,000","290,000"
			CurrentDeferredRevenue,,,"68,117,000","237,000","290,000"
	TotalNonCurrentLiabilitiesNetMinorityInterest,"5,037,758,000","4,269,867,000","4,931,191,000","5,308,000","5,435,000"
		LongTermDebtAndCapitalLeaseObligation,"4,817,989,000","4,122,264,000","4,785,756,000",,"14,000"
			LongTermDebt,"4,791,563,000","4,122,264,000","4,785,756,000",,"14,000"
			LongTermCapitalLeaseObligation,"26,426,000",,,,
		NonCurrentDeferredLiabilities,"147,322,000","120,545,000","145,435,000","5,043,000","5,154,000"
			NonCurrentDeferredTaxesLiabilities,"3,382,000","3,340,000","3,718,000","5,043,000","5,154,000"
			NonCurrentDeferredRevenue,"70,340,000","43,605,000","68,117,000",,
		EmployeeBenefits,"7,369,000","4,934,000",,,
		DerivativeProductLiabilities,"65,078,000","22,124,000",,,
		OtherNonCurrentLiabilities,"123,918,000","62,406,000",,"265,000","267,000"
TotalEquityGrossMinorityInterest,"8,048,989,000","6,901,022,000","4,776,364,000","84,143,000","85,375,000"
	StockholdersEquity,"7,965,183,000","6,817,449,000","4,691,489,000","84,143,000","85,375,000"
		CapitalStock,"4,610,000","4,047,000","3,003,000",,
			PreferredStock,"0","0","0",,
			CommonStock,"4,610,000","4,047,000","3,003,000",,
		AdditionalPaidInCapital,"7,817,582,000","6,648,430,000","4,645,824,000",,
		RetainedEarnings,"208,069,000","187,096,000","42,662,000","52,000","52,000"
		GainsLossesNotAffectingRetainedEarnings,"-65,078,000","-22,124,000",,,
		OtherEquityInterest,,,,"84,091,000","85,323,000"
	MinorityInterest,"83,806,000","83,573,000","84,875,000",,
TotalCapitalization,"12,756,746,000","10,939,713,000","9,477,245,000","84,143,000","85,389,000"
CommonStockEquity,"7,965,183,000","6,817,449,000","4,691,489,000","84,143,000","85,375,000"
CapitalLeaseObligations,"26,426,000",,,,
NetTangibleAssets,"7,965,183,000","6,817,449,000","4,691,489,000","84,143,000","85,375,000"
WorkingCapital,"987,373,000","956,845,000","165,249,000","620,000","-182,000"
InvestedCapital,"12,756,746,000","10,939,713,000","9,477,245,000","84,157,000","85,440,000"
TangibleBookValue,"7,965,183,000","6,817,449,000","4,691,489,000","84,143,000","85,375,000"
TotalDebt,"4,817,989,000","4,122,264,000","4,785,756,000","14,000","65,000"
NetDebt,"3,689,670,000","3,544,381,000","4,602,110,000",,
ShareIssued,"461,004,742","404,729,616","300,278,938","246,224,886","246,224,886"
OrdinarySharesNumber,"461,004,742","404,729,616","300,278,938","246,224,886","246,224,886"
