name,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007
TotalAssets,"52,983,000,000","23,993,000,000","17,427,442,000","9,993,364,000","7,693,521,000","6,182,906,000","5,185,052,000","4,330,187,000","3,524,950,000","3,044,079,406","1,581,131,515","1,432,940,294","836,045,496"
	CurrentAssets,"18,256,000,000","6,974,000,000","5,761,124,000","4,174,681,000","2,961,978,000","1,596,664,000","1,042,388,000","996,906,000","1,173,817,000","1,414,818,095","416,625,706","329,924,427","281,891,947"
		CashCashEquivalentsAndShortTermInvestments,"6,142,000,000","4,351,000,000","3,604,630,000","3,235,007,000","1,771,053,000","835,480,000","397,435,000","457,918,000","781,601,000","1,160,066,663","270,587,296","183,245,953","173,635,533"
			CashAndCashEquivalents,"3,234,000,000","4,262,000,000","3,474,719,000","3,235,007,000","1,237,838,000","808,865,000","397,435,000","449,844,000","781,601,000","1,060,066,663","270,587,296","183,245,953","173,635,533"
			OtherShortTermInvestments,"2,908,000,000","89,000,000","129,911,000","0","533,215,000","26,615,000","0","8,074,000","0","100,000,000",,,
		Receivables,"593,000,000","465,000,000","662,027,000","262,512,000","110,113,000","105,536,000","75,304,000","50,633,000","37,416,000","24,802,721","19,790,096","17,945,533","12,185,589"
			AccountsReceivable,"218,000,000","195,000,000","162,910,000","141,649,000","93,956,000","89,243,000","74,646,000","50,633,000","37,416,000","21,535,528","15,157,758","12,561,853","4,474,877"
				GrossAccountsReceivable,"235,000,000","212,000,000","173,187,000","153,073,000","99,515,000","95,220,000","81,902,000","53,316,000","38,194,000",,,,
				AllowanceForDoubtfulAccountsReceivable,"-17,000,000","-17,000,000","-10,277,000","-11,424,000","-5,559,000","-5,977,000","-7,256,000","-2,683,000","-778,000",,,,
			LoansReceivable,"193,000,000","94,000,000","380,580,000","22,410,000",,,,,,,,,
			TaxesReceivable,,,,,,,,,"0",,,,
			DuefromRelatedPartiesCurrent,"182,000,000","176,000,000","118,537,000","98,453,000","16,157,000","16,293,000","658,000",,,,"4,632,338","5,383,680","7,710,712"
			OtherReceivables,,,,,,,,,,"3,267,193",,,
		Inventory,"57,000,000","41,000,000","24,006,000","21,606,000","24,529,000","29,882,000","34,013,000","37,971,000","31,232,000","18,290,222","8,883,092","22,650,516","9,525,296"
		PrepaidAssets,"0","955,000,000","659,973,000","446,127,000","429,588,000","385,158,000","363,581,000","321,305,000","228,087,000","152,266,699","69,618,106","76,146,217","39,933,563"
		RestrictedCash,"10,765,000,000","622,000,000","481,348,000","500,000","360,500,000","0","3,317,000","1,790,000","1,500,000","1,275,000","500,000","5,597,087","23,649,851"
		CurrentDeferredAssets,,,,,"98,200,000","80,026,000","51,759,000","44,231,000","40,119,000","17,939,876","18,272,303","12,237,797","11,129,810"
