name,ttm,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998
BasicEPS,,"0.06","0.52","0.59","0.46","0.47","0.51","0.52","0.5","0.43","-0.16","0.33","0.31","0.29","0.31","0.29","0.29","0.18","0.25","0.19","-0.08","0.19","0.2","0.2","0.18","0.12","-0.2","0.12","0.15","0.15","0.16","0.06","0.17","0.15","0.15",,"0.05","0.1","0.18",,"0.12","0.11","0.16",,"0.23","0.14","0.16",,"0.16","0.13","0.15",,"0.13","0.11","0.11",,"0.14","0.11","0.13",,"0.13","0.12","0.11",,"0.1","0","0.088",,"0.09","0.074","0.088",,"0.063","0.077","0.074",,"0.061","0.045","0.054",,"0.045","0.036","0.038",,"0.007","0.005","0.019"
DilutedEPS,,"0.06","0.52","0.59","0.46","0.47","0.51","0.52","0.5","0.43","-0.16","0.33","0.31","0.29","0.31","0.29","0.29","0.18","0.25","0.19","-0.08","0.19","0.2","0.19","0.18","0.12","-0.2","0.12","0.15","0.15","0.16","0.06","0.17","0.15","0.15",,"0.05","0.1","0.18",,"0.12","0.11","0.16",,"0.23","0.14","0.16",,"0.16","0.13","0.15",,"0.13","0.11","0.11",,"0.13","0.11","0.12",,"0.13","0.12","0.11",,"0.1","0","0.088",,"0.09","0.072","0.088",,"0.061","0.074","0.072",,"0.061","0.045","0.054",,"0.045","0.036","0.038",,"0.007","0.005","0.019"
BasicAverageShares,,"196,344,061","199,719,747","203,090,365","206,932,114","213,157,090","222,319,682","225,088,511","225,084,232","224,730,686","223,501,073","135,346,791","135,317,866","135,163,347","132,271,761","130,239,193","130,081,465","129,974,025","129,812,551","129,733,911","91,021,716","87,839,029","83,831,380","83,610,943","83,580,050","83,497,765","70,493,305","43,742,903","43,801,867","43,743,640","43,637,315","41,054,458","37,302,693","37,280,651","37,252,464",,"37,368,391","37,496,395","37,552,245",,"38,086,535","38,188,191","38,575,909",,"38,536,716","38,627,212","38,583,580",,"38,719,917","38,847,528","39,469,995",,"40,722,093","41,144,852","41,168,880",,"40,728,939","40,939,326","41,193,958",,"42,440,624","43,868,765","44,322,927",,"37,806,911","37,269,062","34,298,942",,"34,146,889","34,204,704","34,558,236",,"33,920,629","33,904,800","33,924,945",,"34,536,770","34,680,400","34,625,000",,"33,594,560","34,043,300","36,498,824",,"36,637,167","36,637,167","36,696,960"
DilutedAverageShares,,"196,709,038","200,252,542","203,566,582","207,376,239","213,505,842","222,769,369","225,622,895","225,621,856","225,264,147","224,055,991","135,950,160","135,922,897","135,811,721","132,995,762","130,875,614","130,688,729","130,500,975","130,354,779","130,192,937","91,021,716","88,252,768","84,194,916","83,883,461","83,806,135","83,794,107","70,493,305","43,859,834","43,906,158","43,848,486","43,721,091","41,099,237","37,330,467","37,316,778","37,252,464",,"37,370,213","37,497,467","37,552,245",,"38,086,579","38,237,431","38,649,174",,"38,683,135","38,811,114","38,818,569",,"39,110,353","39,214,041","39,805,026",,"41,223,958","41,671,701","41,861,538",,"41,254,819","41,406,485","41,670,008",,"43,073,358","44,439,229","44,926,104",,"38,426,183","37,912,560","34,941,320",,"34,678,640","34,726,634","34,558,236",,"35,176,948","34,932,218","34,985,100",,"34,536,770","34,680,400","34,625,000",,"33,594,560","34,043,300","36,498,824",,"36,637,167","36,637,167","36,696,960"
NetIncomeFromContinuingAndDiscontinuedOperation,"339,751,000","14,147,000","106,697,000","122,447,000","96,460,000","101,437,000","114,491,000","119,650,000","114,241,000","98,872,000","-33,288,000","44,852,000","42,400,000","39,067,000","41,014,000","37,422,000","37,770,000","23,766,000","32,792,000","24,193,000","-7,646,000","16,778,000","17,004,000","16,337,000","15,011,000","10,332,000","-14,002,000","5,329,000","6,376,000","6,529,000","7,020,000","2,261,000","6,209,000","5,701,000","5,717,000","-493,000","1,939,000","3,573,000","6,720,000","5,403,000","4,756,000","4,167,000","6,166,000","5,076,000","8,950,000","5,544,000","6,291,000","6,495,000","6,306,000","5,083,000","5,894,000","5,149,000","5,436,000","4,432,000","4,611,000","5,070,000","5,561,000","4,405,000","5,160,000","5,388,000","5,659,000","5,180,000","5,015,000","4,246,000","3,654,000","72,000","3,045,000","2,584,000","3,106,000","2,520,000","3,041,000","2,257,000","2,143,000","2,601,000","2,526,000","1,939,000","2,104,000","1,565,000","1,875,000","1,728,000","1,516,000","1,229,000","1,400,000","1,200,000","1,100,000","800,000","700,000"
NormalizedIncome,"355,658,459.234","14,147,000","110,729,389.11","122,447,000","107,992,798","104,048,664","114,355,119.703","119,650,000","115,284,970","98,872,000","47,554,200","47,625,575","44,001,444","41,218,376","41,014,000","39,494,944","39,439,920","31,333,560","32,805,499.094","24,193,000","21,163,000","18,435,125","18,060,590","16,337,000","16,665,873","11,069,672","6,862,312","5,769,331.675","7,425,072","6,934,416","7,020,000","5,553,900","6,539,442.879","5,921,346.303","5,927,428.129","-493,000","1,939,000","3,573,000","6,720,000","5,403,000","4,756,000","4,174,754.001","6,197,602.097","5,076,000","8,950,000","5,544,000","5,932,879.872","6,495,000","6,306,000","5,083,000","5,894,000","5,149,000","5,436,000","4,432,000","4,611,000","5,070,000","5,561,000","4,346,923.961","5,173,393.9","5,478,698.219","5,756,767.966","5,386,066.634","5,219,602.822","7,718,457.286","3,650,761.787","451,800","2,988,489.426","2,584,000","3,106,000","2,266,236.882","3,041,000","2,257,000","2,143,000","2,601,000","2,526,000","1,939,000","2,104,000","1,565,000","1,875,000","1,728,000","1,516,000","1,229,000","1,400,000","1,200,000","1,100,000","800,000","700,000"
InterestIncome,"1,166,667,000","273,527,000","295,474,000","295,209,000","302,457,000","309,400,000","313,197,000","309,025,000","304,906,000","281,346,000","276,494,000","145,692,000","134,263,000","126,000,000","123,075,000","118,161,000","114,309,000","106,006,000","106,225,000","103,298,000","71,947,000","66,672,000","68,087,000","67,109,000","65,761,000","61,325,000","52,711,000","33,903,000","32,593,000","32,420,000","33,145,000","30,113,000","28,345,000","28,411,000","28,168,000","27,818,000","27,934,000","27,803,000","29,060,000","29,321,000","30,408,000","29,627,000","30,418,000","30,482,000","31,651,000","33,586,000","35,871,000","36,706,000","36,066,000","37,365,000","38,845,000","39,037,000","37,986,000","37,265,000","37,340,000","36,524,000","34,946,000","32,565,000","31,113,000","30,062,000","28,911,000","28,284,000","28,012,000","21,121,000","19,984,000","19,085,000","14,318,000","14,075,000","14,252,000","14,439,000","15,024,000","15,622,000","15,010,000","14,558,000","14,761,000","15,093,000","15,155,000","15,361,000","15,369,000","15,268,000","14,811,000","14,522,000","14,300,000","14,000,000","13,200,000","12,600,000","12,500,000"
InterestExpense,"271,478,000","61,755,000","67,217,000","71,888,000","70,618,000","73,894,000","70,327,000","65,076,000","58,690,000","46,976,000","42,472,000","25,619,000","21,005,000","17,210,000","15,826,000","15,031,000","13,929,000","12,496,000","10,804,000","9,944,000","8,373,000","7,805,000","7,850,000","7,476,000","7,310,000","7,297,000","6,835,000","5,795,000","4,276,000","4,601,000","5,222,000","4,874,000","4,263,000","4,506,000","4,930,000","5,026,000","5,130,000","5,292,000","5,876,000","6,005,000","6,210,000","6,693,000","7,532,000","8,019,000","8,925,000","9,951,000","10,825,000","11,169,000","11,878,000","14,124,000","16,471,000","16,792,000","15,655,000","16,797,000","17,644,000","15,804,000","13,262,000","11,739,000","10,054,000","8,584,000","7,643,000","6,863,000","6,310,000","3,581,000","3,487,000","3,147,000","2,767,000","2,749,000","2,975,000","2,947,000","3,389,000","4,001,000","4,216,000","4,192,000","4,791,000","5,851,000","6,412,000","6,921,000","7,061,000","6,875,000","6,642,000","6,323,000","6,200,000","6,000,000","5,300,000","5,000,000","5,300,000"
NetInterestIncome,"895,189,000","211,772,000","228,257,000","223,321,000","231,839,000","235,506,000","242,870,000","243,949,000","246,216,000","234,370,000","234,022,000","120,073,000","113,258,000","108,790,000","107,249,000","103,130,000","100,380,000","93,510,000","95,421,000","93,354,000","63,574,000","58,867,000","60,237,000","59,633,000","58,451,000","54,028,000","45,876,000","28,108,000","28,317,000","27,819,000","27,923,000","25,239,000","24,082,000","23,905,000","23,238,000","22,792,000","22,804,000","22,511,000","23,184,000","23,316,000","24,198,000","22,934,000","22,886,000","22,463,000","22,726,000","23,635,000","25,046,000","25,537,000","24,188,000","23,241,000","22,374,000","22,245,000","22,331,000","20,468,000","19,696,000","20,720,000","21,684,000","20,826,000","21,059,000","21,478,000","21,268,000","21,421,000","21,702,000","17,540,000","16,497,000","15,938,000","11,551,000","11,326,000","11,277,000","11,492,000","11,635,000","11,621,000","10,794,000","10,366,000","9,970,000","9,242,000","8,743,000","8,440,000","8,308,000","8,393,000","8,169,000","8,199,000","8,100,000","8,000,000","7,900,000","7,600,000","7,200,000"
ReconciledDepreciation,"38,525,000","9,234,000","9,904,000","9,869,000","9,518,000","9,816,000","10,999,000","10,880,000","10,982,000","11,134,000","11,457,000","4,556,000","4,422,000","4,243,000","4,974,000","5,335,000","5,327,000","5,155,000","5,576,000","5,541,000","3,370,000","3,032,000","3,329,000","4,058,000","4,052,000","4,313,000","3,492,000","1,376,000","1,195,000","1,572,000","1,396,000","1,592,000","1,266,000","1,555,000","1,578,000","2,544,000","1,416,000","1,818,000","1,825,000","1,910,000","1,586,000","1,786,000","1,711,000","1,695,000","1,652,000","1,764,000","1,749,000","2,504,000","1,368,000","1,233,000","2,063,000","1,953,000","1,787,000","2,172,000","2,523,000","2,478,000","2,415,000","2,635,000","2,766,000","2,855,000","2,916,000","2,922,000","2,871,000","1,962,000","2,115,000","2,091,000","937,000","1,094,000","907,000","965,000","725,000","776,000","795,000","500,000","474,000","1,466,000","-419,000","593,000","569,000","767,000","859,000","909,000","800,000","1,000,000","800,000","700,000","900,000"
NetIncomeFromContinuingOperationNetMinorityInterest,"339,751,000","14,147,000","106,697,000","122,447,000","96,460,000","101,437,000","114,491,000","119,650,000","114,241,000","98,872,000","-33,288,000","44,852,000","42,400,000","39,067,000","41,014,000","37,422,000","37,770,000","23,766,000","32,792,000","24,193,000","-7,646,000","16,778,000","17,004,000","16,337,000","15,011,000","10,332,000","-14,002,000","5,329,000","6,376,000","6,529,000","7,020,000","2,261,000","6,209,000","5,701,000","5,717,000","-493,000","1,939,000","3,573,000","6,720,000","5,403,000","4,756,000","4,167,000","6,166,000","5,076,000","8,950,000","5,544,000","6,291,000","6,495,000","6,306,000","5,083,000","5,894,000","5,149,000","5,436,000","4,432,000","4,611,000","5,070,000","5,561,000","4,405,000","5,160,000","5,388,000","5,659,000","5,180,000","5,015,000","4,246,000","3,654,000","72,000","3,045,000","2,584,000","3,106,000","2,520,000","3,041,000","2,257,000","2,143,000","2,601,000","2,526,000","1,939,000","2,104,000","1,565,000","1,875,000","1,728,000","1,516,000","1,229,000","1,400,000","1,200,000","1,100,000","800,000","700,000"
TotalUnusualItemsExcludingGoodwill,"-19,485,000","0","-5,087,000","0","-14,398,000","-3,344,000","172,000","0","-1,335,000","0","-134,737,000","-4,109,000","-2,369,000","-3,127,000","0","-3,013,000","-2,485,000","-11,466,000","-20,000","0","-42,680,000","-2,455,000","-1,577,000","0","-2,321,000","-1,066,000","-31,234,000","-714,000","-1,516,000","-542,000",,"-5,066,000","-457,000","-299,000","-285,000",,,,,"0",,"-10,000","-44,000","0",,,"517,000",,,,,,,,,,,"86,000","-20,000","-138,000","-144,000","-320,000","-321,000","-4,911,000","5,000","-633,000","86,000",,,"403,000",,,,,,,,,,,,,,,,,
TotalUnusualItems,"-19,485,000","0","-5,087,000","0","-14,398,000","-3,344,000","172,000","0","-1,335,000","0","-134,737,000","-4,109,000","-2,369,000","-3,127,000","0","-3,013,000","-2,485,000","-11,466,000","-20,000","0","-42,680,000","-2,455,000","-1,577,000","0","-2,321,000","-1,066,000","-31,234,000","-714,000","-1,516,000","-542,000",,"-5,066,000","-457,000","-299,000","-285,000",,,,,"0",,"-10,000","-44,000","0",,,"517,000",,,,,,,,,,,"86,000","-20,000","-138,000","-144,000","-320,000","-321,000","-4,911,000","5,000","-633,000","86,000",,,"403,000",,,,,,,,,,,,,,,,,
TaxRateForCalcs,"0.184","0.4","0.207","0.21","0.199","0.219","0.21","0.185","0.218","0.23","0.4","0.325","0.324","0.312","0.325","0.312","0.328","0.34","0.325","0.325","0.325","0.325","0.33","0.283","0.287","0.308","0.332","0.383","0.308","0.252","0.304","0.35","0.277","0.263","0.262","0.35","0.35","0.191","0.307","0.272","0.206","0.225","0.282","0.208","0.31","0.269","0.307","0.297","0.288","0.281","0.307","0.315","0.309","0.308","0.28","0.326","0.278","0.325","0.33","0.343","0.321","0.356","0.363","0.293","0.352","0.4","0.343","0.344","0.351","0.37","0.375","0.375","0.379","0.373","0.348","0.382","0.342","0.338","0.348","0.31","0.31","0.36","0.333","0.294","0.313","0.385","0.364"
TaxEffectOfUnusualItems,"-3,577,540.766","0","-1,054,610.89","0","-2,865,202","-732,336","36,119.703","0","-291,030","0","-53,894,800","-1,335,425","-767,556","-975,624","0","-940,056","-815,080","-3,898,440","-6,500.906","0","-13,871,000","-797,875","-520,410","0","-666,127","-328,328","-10,369,688","-273,668.325","-466,928","-136,584","0","-1,773,100","-126,557.121","-78,653.697","-74,571.871","0","0","0","0","0","0","-2,245.999","-12,397.903","0","0","0","158,879.872","0","0","0","0","0","0","0","0","0","0","27,923.961","-6,606.1","-47,301.781","-46,232.034","-113,933.366","-116,397.178","-1,438,542.714","1,761.787","-253,200","29,489.426","0","0","149,236.882","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
