name,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996,12/31/1995,12/31/1994,12/31/1993,12/31/1992,12/31/1991,12/31/1990,12/31/1989,12/31/1988,12/31/1987,12/31/1986
			NetIncomeContinuousOperations,"-16,700,000","242,300,000","189,600,000","220,600,000","93,900,000","52,600,000","102,000,000","100,500,000","144,400,000","112,400,000","11,000,000","77,700,000","80,400,000","152,800,000","3,300,000","100,700,000","-79,300,000","-39,300,000","-1,549,000,000","73,200,000","-89,000,000","14,300,000","-9,300,000","185,000,000","164,800,000","13,600,000","210,400,000","63,500,000","-227,700,000","48,200,000","141,000,000","187,600,000","162,700,000","150,400,000","122,400,000"
			NetIncomeDiscontinuousOperations,"-34,100,000","-27,800,000","-3,700,000","-65,800,000","10,800,000","41,600,000","-38,200,000","-6,400,000","-13,100,000",,"0","0","600,000","-7,500,000","-1,100,000","10,400,000","-400,000",,"0","19,600,000","101,200,000",,,"0","0","109,700,000",,,,,,,,,
			NetIncomeExtraordinary,,,,,,,,,,,,,,,,,,,"-593,800,000",,,,"0","0","-8,900,000",,"0",,,,,,,,
	PreferredStockDividends,,,,,,,,,,,,,,,,,,,,,,,,,"8,800,000","18,800,000","19,000,000",,,,,,,,
	OtherunderPreferredStockDividend,,,,,,,,,,,,,,,,,,,,,,,,,"-2,000,000","-4,500,000","-4,900,000","13,900,000","13,800,000","19,400,000","19,500,000","9,700,000","400,000","400,000","400,000"
DilutedNIAvailtoComStockholders,"-50,800,000","214,500,000","185,900,000","154,800,000","104,700,000","94,200,000","63,800,000","94,100,000","131,300,000","112,400,000","11,000,000","77,700,000","81,000,000","145,300,000","2,200,000","111,100,000","-79,700,000","-39,300,000","-2,142,800,000","92,800,000","12,200,000","14,300,000","-9,300,000","185,000,000","149,100,000","109,000,000","196,300,000","49,600,000","-241,500,000","28,800,000","121,500,000","177,900,000","162,300,000","150,000,000","122,000,000"
BasicEPS,,"4.469","3.61","2.89","1.88","1.69","1.15","1.62","2.21","1.91","0.19","1.36","1.44","2.59","24.69","2.77","-2","-0.97","-52.91","2.29","0.3","0.36","-0.23","4.55","3.76","2.9","5.22","1.222","-5.948","0.709","2.993","4.382","3.998","3.695","3.005"
DilutedEPS,,"4.32","3.56","2.86","1.87","1.68","1.14","1.6","2.19","1.9","0.19","1.36","1.43","2.56","24.55","2.75","-2","-0.97","-52.91","2.27","0.3","0.36","-0.23","4.5","3.6","2.67","4.64","1.219","-5.948","0.708","2.985","4.371","3.988","3.686","2.998"
BasicAverageShares,,"47,992,348","51,300,000","53,300,000","55,400,000","55,500,000","55,000,000","57,800,000","58,900,000","58,300,000","57,700,000","56,800,000","56,400,000","56,000,000","55,000,000","40,500,000","40,500,000","40,500,000","40,500,000","40,500,000","40,200,000","39,722,222","40,434,783","40,659,341","39,654,255","37,586,207","37,605,364","40,600,000","40,600,000","40,600,000","40,600,000","40,600,000","40,600,000","40,600,000","40,600,000"
DilutedAverageShares,,"49,500,000","52,100,000","53,900,000","55,700,000","55,900,000","55,400,000","58,400,000","59,500,000","58,800,000","58,200,000","57,000,000","56,600,000","56,700,000","55,300,000","40,700,000","40,700,000","40,700,000","40,700,000","40,800,000","40,500,000","39,722,222","40,434,783","41,111,111","41,416,667","40,823,970","42,306,034","40,700,000","40,700,000","40,700,000","40,700,000","40,700,000","40,700,000","40,700,000","40,700,000"
TotalOperatingIncomeAsReported,"338,700,000","317,400,000","249,400,000","255,100,000","184,600,000","187,400,000","239,100,000","238,600,000","271,200,000","239,200,000","81,100,000","90,600,000","210,900,000","296,700,000","16,500,000","99,100,000","-42,200,000","-10,400,000","-2,337,300,000","140,100,000","-100,000","127,800,000","39,900,000","322,000,000","255,900,000","44,100,000","333,200,000","98,500,000","-31,900,000","120,100,000","262,200,000","250,100,000","226,400,000","207,900,000","165,500,000"
TotalExpenses,"803,200,000","817,300,000","800,800,000","705,500,000","1,088,500,000","2,264,400,000","2,330,500,000","2,540,900,000","2,404,000,000","2,611,300,000","2,640,900,000","2,671,400,000","3,155,900,000","3,253,500,000","799,100,000","3,436,100,000","3,509,500,000","3,251,400,000","3,031,300,000","2,989,800,000","2,785,900,000","3,000,200,000","2,445,900,000","1,847,000,000","1,873,100,000","1,806,800,000","2,419,500,000","1,634,300,000","1,675,300,000","1,657,700,000","1,656,100,000","1,577,100,000","1,562,700,000","1,400,800,000","1,129,500,000"
NetIncomeFromContinuingAndDiscontinuedOperation,"-50,800,000","214,500,000","185,900,000","154,800,000","104,700,000","94,200,000","63,800,000","94,100,000","131,300,000","112,400,000","11,000,000","77,700,000","81,000,000","145,300,000","2,200,000","111,100,000","-79,700,000","-39,300,000","-1,549,000,000","92,800,000","12,200,000","14,300,000","-9,300,000","185,000,000","164,800,000","123,300,000","210,400,000","63,500,000","-227,700,000","48,200,000","141,000,000","187,600,000","162,700,000","150,400,000","122,400,000"
NormalizedIncome,"-16,700,000","242,300,000","189,912,400","220,600,000","111,997,800","85,060,000","114,480,000","101,215,000","144,072,500","116,690,000","35,440,000","87,905,000","91,385,000","141,555,000","1,920,000","123,734,017.595","1,760,000","66,043,170.732","-1,550,433,776.506","73,959,204.84","-38,084,355.828","18,260,000","-8,280,000","186,374,071.573","201,437,468.776","55,540,000","210,123,612.479","120,740,000","-126,900,000","60,800,000","133,260,000","194,560,000","170,560,000","152,980,000","124,260,000"
InterestIncome,,"3,200,000","4,300,000",,"2,600,000","2,200,000","2,500,000","3,200,000","3,100,000",,,,,,,,,,,,,,,,,,,,,,,,,,
InterestExpense,"34,700,000","38,400,000","39,200,000","35,400,000","49,800,000","45,300,000","46,000,000","68,800,000","53,700,000","48,500,000","21,200,000","17,700,000","30,800,000",,,,,,,,,,,,,,,,,,,,,,
NetInterestIncome,"-31,500,000","-35,200,000","-34,900,000","-35,400,000","-47,200,000","-43,100,000","-43,500,000","-65,600,000","-50,600,000","-48,500,000","-21,200,000","-17,700,000","-30,800,000",,,,,,,,,,,,,,,,,,,,,,
EBIT,"-15,800,000","337,800,000","281,900,000","257,500,000","194,100,000","169,200,000","231,200,000","240,700,000","274,200,000","241,600,000","87,900,000","92,900,000","220,200,000","296,200,000","18,200,000","122,300,000","-12,200,000","7,600,000","141,000,000","145,600,000","217,900,000","443,600,000","300,300,000","351,700,000","283,300,000","278,100,000","333,200,000","230,700,000","236,700,000","171,000,000","209,200,000","255,600,000","228,000,000","207,900,000","165,500,000"
EBITDA,"59,400,000"
ReconciledCostOfRevenue,"649,700,000","643,000,000","641,800,000","569,800,000","863,300,000","1,817,200,000","1,932,000,000","2,097,200,000","1,985,700,000","2,187,900,000","2,154,600,000","2,159,000,000","2,632,000,000","2,685,300,000","660,400,000","2,821,100,000","2,811,000,000","2,597,400,000","2,404,500,000","2,361,800,000","2,197,700,000","2,146,600,000","1,706,600,000","1,461,700,000","1,459,900,000","1,409,700,000","1,904,700,000","1,286,500,000","1,378,400,000","1,316,600,000","1,315,500,000","1,273,300,000","1,253,700,000","1,112,000,000","889,200,000"
ReconciledDepreciation,"75,200,000","72,100,000","79,400,000","89,200,000","89,200,000","118,300,000","129,400,000","109,000,000","112,700,000","113,800,000","143,300,000","146,800,000","149,800,000","137,800,000","32,200,000","141,000,000","151,000,000","173,600,000","0","22,800,000","23,900,000","169,200,000","142,700,000",,,,"133,400,000",,,,,,,,
NetIncomeFromContinuingOperationNetMinorityInterest,"-16,700,000","242,300,000","189,600,000","220,600,000","93,900,000","52,600,000","102,000,000","100,500,000","144,400,000","112,400,000","11,000,000","77,700,000","80,400,000","152,800,000","3,300,000","100,700,000","-79,300,000","-39,300,000","-1,549,000,000","73,200,000","-89,000,000","14,300,000","-9,300,000","185,000,000","164,800,000","13,600,000","210,400,000","63,500,000","-227,700,000","48,200,000","141,000,000","187,600,000","162,700,000","150,400,000","122,400,000"
TotalUnusualItemsExcludingGoodwill,,,"-400,000","0","-27,800,000","-54,100,000","-19,200,000","-1,100,000","500,000","-6,600,000","-37,600,000","-15,700,000","-16,900,000","17,300,000","2,300,000","-23,400,000","-135,100,000","-109,900,000","2,200,000","-1,200,000","-74,600,000","-6,600,000","-1,700,000","-2,200,000","-53,400,000","-69,900,000","400,000","-95,400,000","-168,000,000","-21,000,000","12,900,000","-11,600,000","-13,100,000","-4,300,000","-3,100,000"
TotalUnusualItems,,,"-400,000","0","-27,800,000","-54,100,000","-19,200,000","-1,100,000","500,000","-6,600,000","-37,600,000","-15,700,000","-16,900,000","17,300,000","2,300,000","-23,400,000","-135,100,000","-109,900,000","2,200,000","-1,200,000","-74,600,000","-6,600,000","-1,700,000","-2,200,000","-53,400,000","-69,900,000","400,000","-95,400,000","-168,000,000","-21,000,000","12,900,000","-11,600,000","-13,100,000","-4,300,000","-3,100,000"
NormalizedEBITDA,"59,400,000","409,900,000","361,700,000","346,700,000","311,100,000","341,600,000","379,800,000","350,800,000","386,400,000","362,000,000","268,800,000","255,400,000","386,900,000","416,700,000","48,100,000","286,700,000","273,900,000","291,100,000","138,800,000","169,600,000","316,400,000","619,400,000","444,700,000","353,900,000","336,700,000","348,000,000","466,200,000","326,100,000","404,700,000","192,000,000","196,300,000","267,200,000","241,100,000","212,200,000","168,600,000"
TaxRateForCalcs,"0.4","0.191","0.219","0.007","0.349","0.4","0.35","0.35","0.345","0.35","0.35","0.35","0.35","0.35","0.4","0.016","0.4","0.041","0.348","0.367","0.317","0.4","0.4","0.375","0.314","0.4","0.309","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4"
TaxEffectOfUnusualItems,"0","0","-87,600","0","-9,702,200","-21,640,000","-6,720,000","-385,000","172,500","-2,310,000","-13,160,000","-5,495,000","-5,915,000","6,055,000","920,000","-365,982.405","-54,040,000","-4,556,829.268","766,223.494","-440,795.16","-23,684,355.828","-2,640,000","-680,000","-825,928.427","-16,762,531.224","-27,960,000","123,612.479","-38,160,000","-67,200,000","-8,400,000","5,160,000","-4,640,000","-5,240,000","-1,720,000","-1,240,000"
