name,ttm,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003
MarketCap,"11,876,927,924","17,226,886,506","15,982,378,218","18,213,139,596","17,503,303,679","16,662,545,281","19,144,693,957","18,286,549,186","20,364,164,577","21,855,953,808","20,772,915,133","20,355,259,112","19,739,876,090","17,764,690,176","17,245,628,937","15,594,148,254","16,792,924,815","15,911,397,259","16,392,605,528","17,561,277,525","17,941,201,479","19,200,106,556","21,852,311,950","21,876,342,020","20,807,498,526","21,229,654,698","19,240,390,381","15,512,016,894","17,192,087,066","17,002,267,335","16,100,908,766","16,235,304,035","18,194,445,406","16,282,140,726","16,889,092,490","22,538,905,531","21,482,986,339","22,212,907,546","18,169,603,206","17,761,536,749","18,616,241,191","23,882,770,007","26,723,536,755","24,573,151,303","22,844,003,840","20,342,626,414","18,013,624,384","17,269,011,553","16,099,470,030","14,893,380,334","11,642,099,349","8,801,662,132","9,018,220,288","7,663,472,751","5,622,192,717","4,812,986,944","5,633,708,425","4,457,188,692","3,781,043,970"
PeRatio,"4.323","6.302","6.228","6.723","6.418","6.654","7.556","7.417","7.386","7.151","7.581","7.989","8.156","8.645","7.789","7.329","8.408","8.603","9.247","9.747","9.859","10.414","11.9","11.693","12.327","12.865","11.424","9.395","8.526","8.472","7.276","7.201","7.537","6.787","6.937","11.794","9.247","11.902","22.341","22.761","23.021","12.853","15.413","15.38","14.843","12.529","10.063","10.63","9.675","9.724","8.534","6.466","6.686","5.734","4.842","5.597","10.52","20.402","14.278"
ForwardPeRatio,"5.115","5.841","6.101","6.685","6.086","5.59","6.553","6.545","6.897",,,,,,,,,,,,"7.542","8.084",,"8.511","8.599","9.191","8.026","6.506","6.605","6.439","7.564","5.333","7.273","6.536","5.605","7.806","8.432","9.058",,,"14.599",,,,,,,,,,,,,,,,,,
PegRatio,"1.654","1.192",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2.273","0.575","1.869","0.387","0.689","1.112",,,"1.824",,,,,,,,,,,,,,,,,,
PsRatio,"0.703","1.07","1.09","1.239","1.258","1.209","1.387","1.371","1.468","1.647","1.705","1.71","1.644","1.555","1.404","1.329","1.421","1.429","1.511","1.526","1.526","1.672","1.805","1.778","3.023","1.856","1.666","1.432","1.502","1.493","1.931","2.036","2.187","1.604","1.639","2.002","2.028","0.924","1.905","1.941","1.963","2.257","3.233","3.025","2.779","3.052","2.664","2.814","2.657","2.781","2.44","1.745","1.764","1.479","1.875","1.516","1.643","1.628","1.705"
PbRatio,"0.376","0.526","0.514","0.585","0.56","0.533","0.636","0.637","0.658","0.725","0.764","0.764","0.719","0.704","0.632","0.604","0.625","0.618","0.665","0.673","0.678","0.727","0.806","0.797","0.811","0.841","0.772","0.669","0.728","0.723","0.708","0.801","0.854","0.688","0.703","0.906","0.949","1.129","1.036","1.055","1.067","1.339","2.569","2.384","2.258","2.451","2.205","2.122","2.027","2.754","2.221","1.608","1.648","1.4","1.754","1.502","1.758","1.565","1.12"
