name,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000
MarketCap,"31,309,630,270","46,654,782,855","39,360,672,034","53,204,251,141","59,232,407,622","52,935,955,190","61,225,979,786","60,499,864,987","35,960,161,083","32,977,028,057","43,810,632,587","28,945,775,183","27,664,593,798","44,934,748,372","44,374,622,988","37,119,316,136","29,673,088,839","25,494,457,232","18,935,528,260","22,667,246,712","26,623,866,955"
EnterpriseValue,"60,704,630,270","72,379,782,855","69,789,672,034","87,359,251,141","107,693,407,622","100,759,955,190","105,901,979,786","102,535,864,987","76,264,161,083","91,603,028,057","94,417,632,587","51,566,775,183","48,941,593,798","49,336,748,372","53,002,622,988","43,099,316,136","34,479,088,839","31,106,457,232","22,198,528,260","19,177,246,712","29,683,866,955"
PeRatio,"3.662","6.842","8.179",,"16.531","9.343","11.061","24.398","6.324","6.043","11.257",,"8.42","11.327","15.778","11.836","11.284","13.101","17.114","51.097","44.382"
ForwardPeRatio,"5.988","8.347","7.479","10.707","9.588","8.052","8.985","10.132","6.219","6.184","8.85",,,,,,,,,,
PegRatio,"1.997","0.679","0.48","0.171","0.864","0.915","0.409","0.457","1.152","0.618","0.908",,,,,,,,,,
PsRatio,"0.449","0.718","0.622","0.891","0.876","0.76","0.849","0.889","0.526","0.524","0.825","0.705","0.509","0.887","0.961","0.85","0.785","0.709","0.595","0.757","1.107"
PbRatio,"0.446","0.682","0.762","0.93","0.754","0.751","0.865","0.993","0.558","0.547","0.901","0.874","1.166","1.277","1.404","1.291","1.3","1.205","1.089","1.411","1.751"
EnterprisesValueRevenueRatio,"0.847","1.04","1.027","1.402","1.697","1.44","1.444","1.503","1.119","1.304","1.791","1.256","0.96","0.931","1.095","0.963","0.884","0.869","0.67","0.601","0.929"
