name,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014
MarketCap,"5,627,186,176","11,439,585,858","9,175,024,913","12,894,140,989","8,969,785,153","8,984,109,269","11,339,841,325"
PeRatio,"5.845","7.546","8.551","13.563",,,"73.738"
ForwardPeRatio,"7.452","7.278","6.293","9.625","7.402","7.71","10.965"
PegRatio,"0.305","0.485","0.35",,,,
PsRatio,"0.903","1.902","1.573","2.079","1.362","1.312","1.728"
PbRatio,"0.416","0.792","0.701","0.939","0.652","0.652","0.814"
