name,ttm,08/31/2019,08/31/2018,08/31/2017,08/31/2016,08/31/2015,08/31/2014,08/31/2013,08/31/2012,08/31/2011,08/31/2010,08/31/2009,08/31/2008,08/31/2007,08/31/2006,08/31/2005,08/31/2004,08/31/2003,08/31/2002,08/31/2001,08/31/2000,08/31/1999,08/31/1998,08/31/1997,08/31/1996
TotalRevenue,"3,318,911,000","3,363,817,000","3,203,878,000","2,887,744,000","2,863,505,000","2,910,379,000","2,787,122,000","2,457,649,000","2,355,918,000","2,021,792,000","1,692,041,000","1,489,518,000","1,779,841,000","1,688,186,000","1,317,519,000","1,099,915,000","955,282,000","844,663,000","793,976,000","869,231,000","792,874,000","651,500,000","583,000,000","438,000,000","305,300,000"
	OperatingRevenue,"3,318,911,000","3,363,817,000","3,203,878,000","2,887,744,000","2,863,505,000","2,910,379,000","2,787,122,000","2,457,649,000","2,355,918,000","2,021,792,000","1,692,041,000","1,489,518,000","1,779,841,000","1,688,186,000","1,317,519,000","1,099,915,000","955,282,000","844,663,000","793,976,000","869,231,000","792,874,000","651,500,000","583,000,000","438,000,000","305,300,000"
CostOfRevenue,"1,918,419,000","1,931,774,000","1,810,917,000","1,601,497,000","1,574,647,000","1,593,804,000","1,500,866,000","1,339,133,000","1,277,715,000","1,080,867,000","925,102,000","801,673,000","957,329,000","907,697,000","704,059,000","595,840,000","524,913,000","464,965,000","447,816,000","496,432,000","472,075,000","380,600,000","337,200,000","252,800,000","175,000,000"
GrossProfit,"1,400,492,000","1,432,043,000","1,392,961,000","1,286,247,000","1,288,858,000","1,316,575,000","1,286,256,000","1,118,516,000","1,078,203,000","940,925,000","766,939,000","687,845,000","822,512,000","780,489,000","613,460,000","504,075,000","430,369,000","379,698,000","346,160,000","372,799,000","320,799,000","270,900,000","245,800,000","185,200,000","130,300,000"
OperatingExpense,"1,031,509,000","1,032,047,000","972,408,000","907,247,000","912,898,000","937,046,000","903,072,000","732,990,000","665,987,000","591,160,000","525,120,000","483,127,000","502,984,000","489,606,000","392,594,000","326,415,000","299,661,000","296,760,000","286,185,000","285,336,000","227,501,000","189,200,000","169,700,000","126,400,000","95,800,000"
	SellingGeneralAndAdministration,,,,,,,,,,,,,"502,984,000","489,606,000","392,594,000","326,415,000","299,661,000","296,760,000","286,185,000","285,336,000","213,094,000","180,000,000","161,900,000","120,500,000","92,300,000"
	DepreciationAmortizationDepletionIncomeStatement,,,,,,,,,,,,,,,,,,,,,"14,407,000","9,200,000","7,800,000","5,900,000","3,500,000"
		DepreciationAndAmortizationInIncomeStatement,,,,,,,,,,,,,,,,,,,,,"14,407,000","9,200,000","7,800,000","5,900,000","3,500,000"
OperatingIncome,"368,983,000","399,996,000","420,553,000","379,000,000","375,960,000","379,529,000","383,184,000","385,526,000","412,216,000","349,765,000","241,819,000","204,718,000","319,528,000","290,883,000","220,866,000","177,660,000","130,708,000","82,938,000","59,975,000","87,463,000","93,298,000","81,700,000","76,100,000","58,800,000","34,500,000"
NetNonOperatingInterestIncomeExpense,"-14,691,000","-16,372,000","-13,816,000","-11,712,000","-5,153,000","-5,569,000","-3,460,000","-2,047,000","-45,000","-200,000","-975,000","-2,809,000",,,,,,,,,,,,,
