name,ttm,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994,12/31/1993,09/30/1993,06/30/1993,03/31/1993,12/31/1992,09/30/1992,06/30/1992,03/31/1992,12/31/1991,09/30/1991,06/30/1991,03/31/1991,12/31/1990,09/30/1990,06/30/1990,03/31/1990,12/31/1989,09/30/1989,06/30/1989,03/31/1989
TotalRevenue,"22,987,000,000","3,833,000,000","9,044,000,000","4,925,000,000","5,185,000,000","5,037,000,000","4,881,000,000","4,610,000,000","5,048,000,000","5,946,000,000","5,549,000,000","5,054,000,000","5,264,000,000","5,334,000,000","6,580,000,000","5,125,000,000","8,072,000,000","4,682,000,000","6,680,000,000","4,826,000,000","4,753,000,000","4,438,000,000","8,680,000,000","4,285,000,000","4,443,000,000","4,053,000,000","8,660,000,000","3,436,000,000","4,146,000,000","4,037,000,000","7,209,000,000","3,486,000,000","3,392,000,000","5,447,000,000","11,822,000,000","3,573,000,000","5,687,000,000","6,381,000,000","4,549,000,000","5,024,000,000","6,724,000,000","6,077,000,000","4,437,000,000","3,254,000,000","4,463,000,000","4,885,000,000","7,448,000,000","4,767,000,000","4,890,000,000","4,804,000,000","8,893,534,830","4,190,000,000","5,259,303,630","4,984,000,000","6,864,952,026.84","3,599,000,000","5,389,810,808.2","3,638,000,000","9,264,313,789.16","3,243,000,000","3,259,000,000","2,859,000,000","2,980,505,770.8","3,030,954,420","2,872,719,360","2,997,460,380","4,061,563,832.72","2,908,969,350","2,858,502,790","2,871,139,250","4,106,494,295.65","2,781,777,020","3,567,390,400","3,541,715,100","3,628,884,223.81","3,956,110,800","3,791,005,200","3,481,727,500","3,845,691,240","3,463,331,300","2,635,023,100","3,220,511,400","4,316,161,828","1,707,727,752","1,901,277,560","2,366,660,438","1,769,952,174","1,753,762,472","1,770,771,225","1,800,102,337","1,723,896,531","1,633,485,056","1,454,246,522","1,208,018,691",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	OperatingRevenue,"22,987,000,000","3,833,000,000","9,044,000,000","4,925,000,000","5,185,000,000","5,037,000,000","4,881,000,000","4,610,000,000","5,048,000,000","5,946,000,000","5,549,000,000","5,054,000,000","5,264,000,000","5,334,000,000","6,580,000,000","5,125,000,000","8,072,000,000","4,682,000,000","6,680,000,000","4,826,000,000","4,753,000,000","4,438,000,000","8,680,000,000","4,285,000,000","4,443,000,000","4,053,000,000","8,660,000,000","3,436,000,000","4,146,000,000","4,037,000,000","7,209,000,000","3,486,000,000","3,392,000,000","5,447,000,000","11,822,000,000","3,573,000,000","5,687,000,000","6,381,000,000","4,549,000,000","5,024,000,000","6,724,000,000","6,077,000,000","4,437,000,000","3,254,000,000","4,463,000,000","4,885,000,000","7,448,000,000","4,767,000,000","4,890,000,000","4,804,000,000","8,893,534,830","4,190,000,000","5,259,303,630","4,984,000,000","6,864,952,026.84","3,599,000,000","5,389,810,808.2","3,638,000,000","9,264,313,789.16","3,243,000,000","3,259,000,000","2,859,000,000","2,980,505,770.8","3,030,954,420","2,872,719,360","2,997,460,380","4,061,563,832.72","2,908,969,350","2,858,502,790","2,871,139,250","4,106,494,295.65","2,781,777,020","3,567,390,400","3,541,715,100","3,628,884,223.81","3,956,110,800","3,791,005,200","3,481,727,500","3,845,691,240","3,463,331,300","2,635,023,100","3,220,511,400","4,316,161,828","1,707,727,752","1,901,277,560","2,366,660,438","1,769,952,174","1,753,762,472","1,770,771,225","1,800,102,337","1,723,896,531","1,633,485,056","1,454,246,522","1,208,018,691",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PretaxIncome,"3,006,000,000","-1,435,000,000","460,000,000","1,886,000,000","2,095,000,000","1,957,000,000","1,568,000,000","1,569,000,000","2,116,000,000","2,237,000,000","916,000,000","1,982,000,000","1,969,000,000","2,065,000,000","1,285,000,000","1,716,000,000","2,053,000,000","1,338,000,000","1,548,000,000","1,289,000,000","1,604,000,000","1,442,000,000","895,000,000","976,000,000","1,092,000,000","1,017,000,000","-1,766,000,000","373,000,000","1,040,000,000","1,513,000,000","-514,000,000","69,000,000","582,000,000","1,423,000,000","-375,000,000","1,002,000,000","1,484,000,000","1,659,000,000","1,162,000,000","1,609,000,000","1,789,000,000","1,862,000,000","-1,740,000,000","1,947,000,000","2,168,000,000","1,834,000,000","885,000,000","1,807,000,000","2,177,000,000","2,056,000,000","1,610,780,210","1,869,000,000","2,275,411,600","2,714,000,000","763,174,557.82","1,557,000,000","2,173,033,681","1,526,000,000","1,193,561,986.82","1,406,000,000","1,522,000,000","1,203,000,000","1,138,192,018.72","1,055,888,340","937,077,120","974,803,660","285,298,221.86","928,193,700","815,225,180","721,217,000","-164,353,752.97","615,697,280","584,834,600","860,475,000","-615,903,361.88","918,774,900","1,083,648,600","842,463,900","904,020,040","747,081,940","837,748,380","708,345,100","1,218,362,972","344,744,208","454,359,360","465,120,258","321,360,806","304,116,736","391,713,575","350,048,270","422,274,818","344,337,784","342,922,373","286,207,240",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TaxProvision,"1,698,000,000","186,000,000","430,000,000","488,000,000","577,000,000","559,000,000","421,000,000","428,000,000","605,000,000","611,000,000","499,000,000","550,000,000","546,000,000","573,000,000","314,000,000","465,000,000","558,000,000","362,000,000","333,000,000","294,000,000","429,000,000","386,000,000","90,000,000","243,000,000","292,000,000","273,000,000","-623,000,000","13,000,000","261,000,000","395,000,000","-311,000,000","-236,000,000","-3,000,000","250,000,000","-367,000,000","95,000,000","189,000,000","369,000,000","127,000,000","359,000,000","431,000,000","510,000,000",,"457,000,000","480,000,000","480,000,000","89,000,000","316,000,000","616,000,000","520,000,000","456,987,190","455,000,000","588,799,690","692,000,000","676,299,131.85","377,000,000","503,684,490.4","429,000,000","313,026,490.58","418,000,000","451,000,000","337,000,000","103,835,987.36","324,888,720","256,609,920","308,430,800","-199,511,612.38","356,865,600","163,392,680","208,677,000","-232,376,217.94","127,595,160","7,046,200","274,204,700","-1,008,592,290.1","335,896,200","375,335,400","288,812,150","235,848,900","213,128,080","250,904,590","262,621,300","306,707,266","67,994,856","125,856,770","234,092,880","4,687,554","82,478,088","132,878,425","167,874,608","-112,848,645","158,009,376","141,767,287","137,931,200",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NetIncomeCommonStockholders,"119,000,000","-1,792,000,000","-574,000,000","1,225,000,000","1,278,000,000","1,164,000,000","1,001,000,000","1,674,000,000","1,245,000,000","1,340,000,000","-231,000,000","1,143,000,000","1,107,000,000","1,199,000,000","418,000,000","965,000,000","1,009,000,000","709,000,000","728,000,000","-1,057,000,000","1,223,000,000","1,536,000,000","689,000,000","601,000,000","704,000,000","624,000,000","-849,000,000","195,000,000","1,147,000,000","1,734,000,000","115,000,000","146,000,000","505,000,000","1,005,000,000","-101,000,000","804,000,000","1,189,000,000","1,150,000,000","1,008,000,000","1,140,000,000","1,358,000,000","1,352,000,000","416,000,000","1,380,000,000","1,561,000,000","1,238,000,000","519,000,000","1,392,000,000","1,157,000,000","1,951,000,000","1,379,793,020","1,339,000,000","1,686,611,910","1,950,000,000","278,875,425.97","1,121,000,000","1,669,349,190.6","1,020,000,000","1,075,535,496.24","914,000,000","998,000,000","815,000,000","1,034,356,031.36","730,999,620","680,467,200","666,372,860","484,809,834.24","571,328,100","651,832,500","512,540,000","68,022,464.97","488,102,120","577,788,400","586,270,300","392,688,928.22","582,878,700","708,313,200","553,651,750","668,171,140","533,953,860","586,843,790","445,723,800","911,655,706","276,749,352","328,502,590","231,027,378","316,673,252","221,638,648","258,835,150","182,173,662","535,123,463","186,328,408","201,155,086","148,276,040","161,180,952","159,058,740","159,364,584","158,071,698","141,889,571","132,083,250","129,699,300","130,327,200","114,492,078","111,228,048","114,757,854","118,889,472","128,360,896","105,864,400","107,408,204","103,640,128","86,918,910","120,936,183","164,370,739","177,310,380","-53,428,781","216,142,395","235,430,504","220,997,044",,,,,,,,
	NetIncome,"538,000,000","-1,792,000,000","-155,000,000","1,225,000,000","1,278,000,000","1,164,000,000","1,001,000,000","1,674,000,000","1,245,000,000","1,340,000,000","70,000,000","1,143,000,000","1,107,000,000","1,199,000,000","678,000,000","965,000,000","1,123,000,000","709,000,000","940,000,000","-1,057,000,000","1,223,000,000","1,536,000,000","689,000,000","601,000,000","704,000,000","624,000,000","-849,000,000","195,000,000","1,147,000,000","1,734,000,000","20,000,000","146,000,000","505,000,000","1,005,000,000","-139,000,000","804,000,000","1,189,000,000","1,150,000,000","938,000,000","1,140,000,000","1,358,000,000","1,352,000,000","416,000,000","1,380,000,000","1,561,000,000","1,238,000,000","1,064,000,000","1,392,000,000","1,157,000,000","1,951,000,000","1,379,793,020","1,339,000,000","1,686,611,910","1,951,000,000","279,875,425.97","1,121,000,000","1,669,349,190.6","1,020,000,000","1,075,535,496.24","915,000,000","998,000,000","816,000,000","1,034,356,031.36","730,999,620","680,467,200","666,372,860","484,809,834.24","571,328,100","651,832,500","512,540,000","68,022,464.97","488,102,120","577,788,400","586,270,300","392,688,928.22","582,878,700","708,313,200","553,651,750","668,171,140","533,953,860","586,843,790","445,723,800","911,655,706","276,749,352","328,502,590","231,027,378","316,673,252","221,638,648","258,835,150","182,173,662","535,123,463","186,328,408","201,155,086","148,276,040","161,180,952","159,058,740","159,364,584","158,071,698","141,889,571","132,083,250","129,699,300","130,327,200","114,492,078","111,228,048","114,757,854","118,889,472","128,360,896","105,864,400","107,408,204","103,640,128","86,918,910","120,936,183","164,370,739","177,310,380","-53,428,781","216,142,395","235,430,504","220,997,044",,,,,,,,
		NetIncomeIncludingNoncontrollingInterests,"1,308,000,000","-1,621,000,000","30,000,000","1,398,000,000","1,519,000,000","1,398,000,000","1,147,000,000","1,774,000,000","1,511,000,000","1,626,000,000","417,000,000","1,431,000,000","1,422,000,000","1,492,000,000","971,000,000","1,251,000,000","1,495,000,000","976,000,000","1,215,000,000","-845,000,000","1,319,000,000","1,639,000,000","805,000,000","733,000,000","800,000,000","744,000,000","-677,000,000","367,000,000","1,349,000,000","1,941,000,000","190,000,000","305,000,000","659,000,000","1,173,000,000","-8,000,000","907,000,000","1,295,000,000","1,290,000,000","1,035,000,000","1,250,000,000","1,287,000,000","1,240,000,000","-322,000,000","1,490,000,000","1,688,000,000","1,354,000,000","431,000,000","1,491,000,000","1,232,000,000","2,045,000,000","1,444,230,160","1,414,000,000","1,761,966,450","2,023,000,000","323,031,336.68","1,180,000,000","1,735,565,759.2","1,097,000,000","1,143,481,999.82","988,000,000","1,070,000,000","866,000,000","992,519,588.16","833,130,480","782,127,360","757,278,780","646,255,285.42","746,329,500","815,225,180","680,946,000","224,223,507.3","652,153,040","789,174,400","801,962,700","268,449,558.39","784,855,500","915,394,800","858,445,600","856,393,720","769,755,140","706,522,130","584,881,700","1,082,204,062","353,722,896","428,376,650","307,014,670","397,319,878","274,163,274","362,296,350","250,047,743","597,189,194","270,834,564","290,636,254","208,620,940","297,208,423","159,058,740","159,364,584","158,071,698","276,502,037","132,083,250","129,699,300","130,327,200","203,132,580","111,228,048","114,757,854","118,889,472","128,360,896","105,864,400","107,408,204","103,640,128","86,918,910","120,936,183","164,370,739","177,310,380","-53,428,781","216,142,395","235,430,504","220,997,044","170,481,168","201,212,544","214,594,536","219,773,892","143,277,632","199,814,640","207,965,032","200,251,032"
			NetIncomeContinuousOperations,"1,308,000,000","-1,621,000,000","30,000,000","1,398,000,000","1,519,000,000","1,398,000,000","1,147,000,000","1,141,000,000","1,511,000,000","1,626,000,000","417,000,000","1,431,000,000","1,422,000,000","1,492,000,000","971,000,000","1,251,000,000","1,495,000,000","976,000,000","1,215,000,000","995,000,000","1,175,000,000","1,056,000,000","805,000,000","733,000,000","800,000,000","744,000,000","-1,143,000,000","360,000,000","779,000,000","1,118,000,000","-203,000,000","305,000,000","584,000,000","1,173,000,000","-8,000,000","907,000,000","1,295,000,000","1,290,000,000","1,035,000,000","1,250,000,000","1,470,000,000","1,240,000,000","-322,000,000","1,490,000,000","1,688,000,000","1,354,000,000","796,000,000","1,491,000,000","1,561,000,000","1,536,000,000","1,153,793,020","1,414,000,000","1,686,611,910","2,022,000,000","86,875,425.97","1,180,000,000","1,669,349,190.6","1,097,000,000","880,535,496.24","988,000,000","1,071,000,000","866,000,000","1,034,356,031.36","730,999,620","680,467,200","666,372,860","484,809,834.24","571,328,100","651,832,500","512,540,000","68,022,464.97","488,102,120","577,788,400","586,270,300","392,688,928.22","582,878,700","708,313,200","553,651,750","668,171,140","533,953,860","586,843,790","445,723,800","911,655,706","276,749,352","328,502,590","231,027,378","316,673,252","221,638,648","258,835,150","182,173,662","535,123,463","186,328,408","201,155,086","148,276,040","161,180,952","159,058,740","159,364,584","158,071,698","141,889,571","132,083,250","129,699,300","130,327,200","114,492,078","111,228,048","114,757,854","118,889,472","128,360,896","105,864,400","107,408,204","103,640,128","86,918,910","120,936,183","164,370,739","177,310,380","-53,428,781","216,142,395","235,430,504","220,997,044","170,481,168","201,212,544","214,594,536","219,773,892","143,277,632","199,814,640","207,965,032","200,251,032"
			NetIncomeDiscontinuousOperations,,,,,,"0",,,,,"0",,,,"0",,,"0","0",,,,,,,,"466,000,000","7,000,000","570,000,000","823,000,000","138,000,000",,"75,000,000",,,,"0","0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			NetIncomeExtraordinary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-329,000,000","509,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
