name,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996,12/31/1995,12/31/1994,12/31/1993,12/31/1992,12/31/1991,12/31/1990,12/31/1989,12/31/1988
TotalAssets,"10,543,300,000","10,665,100,000","10,271,500,000","10,060,000,000","9,558,300,000","8,399,700,000","7,914,100,000","7,203,000,000","6,198,800,000","5,974,200,000","5,407,300,000","6,014,100,000","8,479,600,000","8,607,000,000","8,824,500,000","8,698,900,000","8,823,100,000","8,584,800,000","8,065,400,000","8,830,000,000","9,613,400,000","13,925,800,000","10,527,300,000","3,776,100,000","542,100,000","132,400,000","155,500,000","167,400,000","148,500,000","73,800,000","2,100,000","800,000"
	CurrentAssets,"4,411,100,000","4,884,000,000","4,797,500,000","4,714,800,000","4,711,400,000","3,999,200,000","3,830,000,000","3,361,100,000","2,676,200,000","2,629,100,000","2,250,600,000","2,554,100,000","3,238,400,000","3,385,800,000","3,880,400,000","3,677,700,000","3,990,300,000","3,629,100,000","3,152,500,000","4,176,200,000","4,300,900,000","8,406,300,000","6,825,800,000","2,584,800,000","206,800,000","14,200,000","27,600,000","34,400,000","30,800,000","20,200,000","2,000,000","500,000"
		CashCashEquivalentsAndShortTermInvestments,"42,000,000","48,600,000","69,200,000","64,800,000","74,100,000","75,400,000","69,200,000","69,700,000","86,600,000","95,100,000","173,700,000","111,000,000","32,800,000","52,200,000","243,800,000","107,200,000","170,800,000","176,200,000","128,100,000","82,200,000","369,300,000","773,900,000","148,000,000","63,600,000","159,800,000","2,700,000","5,000,000","5,600,000","16,000,000","8,800,000","1,900,000","200,000"
			CashAndCashEquivalents,"42,000,000","48,600,000","69,200,000","64,800,000","74,100,000","75,400,000","69,200,000","69,700,000","86,600,000","95,100,000","173,700,000","111,000,000","32,800,000","52,200,000","243,800,000","107,200,000","170,800,000","176,200,000","128,100,000","82,200,000","369,300,000","773,900,000","148,000,000","63,600,000","159,800,000","2,700,000","5,000,000","5,600,000","16,000,000","8,800,000","1,900,000","200,000"
		Receivables,"916,700,000","976,200,000","1,111,000,000","1,032,900,000","908,200,000","817,800,000","740,900,000","698,400,000","587,400,000","462,000,000","408,800,000","387,400,000","714,100,000","813,700,000","795,700,000","773,200,000","768,300,000","759,800,000","802,200,000","1,108,800,000","1,151,000,000","1,605,300,000","977,300,000","316,300,000","32,800,000","7,400,000","17,300,000","24,200,000","11,400,000","10,400,000","200,000","300,000"
			AccountsReceivable,"136,400,000","130,400,000","162,600,000","147,600,000","133,600,000","125,000,000","110,900,000","97,600,000","91,300,000",,,,"714,100,000","349,300,000","795,700,000","773,200,000","768,300,000","759,800,000","802,200,000",,,,,,,,,,,,,
				GrossAccountsReceivable,,,,,,,,,"94,300,000",,,,,,,,,,,,,,,,,,,,,,,
				AllowanceForDoubtfulAccountsReceivable,,,,,,,,,"-3,000,000",,,,,,,,,,,,,,,,,,,,,,,
			TaxesReceivable,"1,500,000","8,100,000","0","11,600,000","11,700,000",,,"0","10,200,000",,,,,,,,,,,,,,,,,,,,,,,
			OtherReceivables,"779,300,000","842,300,000","953,900,000","879,500,000","767,400,000","696,500,000","634,000,000","604,200,000","485,900,000",,,,,"464,400,000",,,,,,,,,,,,,,,,,,
			ReceivablesAdjustmentsAllowances,"-500,000","-4,600,000","-5,500,000","-5,800,000","-4,500,000","-3,700,000","-4,000,000","-3,400,000",,,,,,,,,,,,,,,,,,,,,,,,
		Inventory,"3,305,800,000","3,650,500,000","3,365,600,000","3,520,100,000","3,612,000,000","2,899,000,000","2,827,200,000","2,396,900,000","1,809,200,000","1,867,000,000","1,408,300,000","1,876,000,000","2,325,700,000","2,361,400,000","2,682,700,000","2,640,500,000","2,919,300,000","2,598,400,000","2,178,500,000","2,769,200,000","2,706,800,000","1,853,500,000","1,094,800,000","34,200,000",,,"1,900,000",,,,,
			RawMaterials,,,,,,,,,"125,800,000","115,600,000","106,600,000","134,500,000","150,800,000",,,,,,,,,,,,,,,,,,,
