name,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,07/31/2002,07/31/2001,07/31/2000,07/31/1999,07/31/1998,07/31/1997,07/31/1996,07/31/1995,07/31/1994,07/31/1993,07/31/1992,07/31/1991,07/31/1990,07/31/1989
TotalAssets,"12,164,841,000","10,994,601,000","10,692,154,000","9,435,661,000","8,388,299,000","9,230,640,000","10,056,739,000","10,328,997,000","10,314,621,000","3,701,475,000","3,145,939,000","1,874,225,000","1,663,945,000","1,237,869,000","1,142,900,000","982,713,000","708,892,000","514,680,000","502,306,000","490,429,000","464,362,000","391,000,000","349,900,000","349,800,000","351,300,000","287,400,000","281,800,000","249,800,000","245,500,000","212,100,000","149,500,000","157,700,000"
	CurrentAssets,"3,306,189,000","3,296,379,000","3,062,828,000","2,851,009,000","1,448,065,000","2,782,998,000","3,896,444,000","4,470,265,000","4,659,124,000","1,703,435,000","1,283,011,000","530,623,000","1,034,621,000","806,852,000","775,929,000","572,906,000","336,406,000","253,234,000","278,844,000","284,130,000","267,104,000","194,800,000","154,400,000","194,700,000","217,000,000","153,000,000","151,600,000","128,600,000","132,600,000","111,300,000","95,000,000","110,100,000"
		CashCashEquivalentsAndShortTermInvestments,"885,162,000","1,154,752,000","630,757,000","1,134,727,000","210,552,000","1,042,095,000","1,665,263,000","2,388,285,000","1,790,543,000","230,444,000","125,819,000","89,999,000","252,602,000","250,285,000","239,042,000","163,675,000","11,690,000","24,266,000","71,630,000","65,840,000","3,628,000","4,200,000","2,600,000","20,000,000","64,000,000","13,400,000","3,300,000","6,600,000","1,400,000","17,200,000","3,900,000","7,100,000"
			CashAndCashEquivalents,"885,162,000","1,154,752,000","630,757,000","710,579,000","66,533,000","567,985,000","940,103,000","1,757,699,000","1,578,904,000","229,101,000","124,596,000","40,805,000","94,369,000","154,117,000","49,064,000","67,460,000","11,690,000","24,266,000","71,630,000","65,840,000","3,628,000","4,200,000","2,600,000","20,000,000","64,000,000","13,400,000","3,300,000","6,600,000","1,400,000","17,200,000","3,900,000","7,100,000"
			OtherShortTermInvestments,,,"0","424,148,000","144,019,000","474,110,000","725,160,000","630,586,000","211,639,000","1,343,000","1,223,000","49,194,000","158,233,000","96,168,000","189,978,000","96,215,000",,,,,,,,,,,,,,,,
		Receivables,"885,163,000","705,741,000","765,070,000","547,570,000","351,978,000","601,624,000","818,178,000","709,187,000","1,534,512,000","1,044,150,000","800,527,000","296,114,000","631,125,000","407,178,000","410,533,000","281,730,000","184,333,000","148,158,000","144,094,000","146,074,000","189,966,000","123,500,000","83,100,000","107,100,000","104,400,000","87,400,000","94,300,000","76,900,000","91,200,000","61,700,000","56,700,000","65,300,000"
			AccountsReceivable,"879,685,000","671,701,000","720,733,000","479,199,000","351,978,000","589,905,000","708,802,000","634,230,000","1,447,235,000","993,116,000","762,455,000","289,764,000","614,769,000","398,123,000","410,533,000","281,730,000","184,333,000","148,158,000","135,395,000","146,074,000",,,,,,,,,,,,
				GrossAccountsReceivable,"884,185,000","675,301,000","724,333,000","481,499,000","354,278,000","592,305,000","711,202,000","636,730,000","1,481,306,000",,,,,,,,,,,,,,,,,,,,,,,
				AllowanceForDoubtfulAccountsReceivable,"-4,500,000","-3,600,000","-3,600,000","-2,300,000","-2,300,000","-2,400,000","-2,400,000","-2,500,000","-34,071,000",,,,,,,,,,,,,,,,,,,,,,,
			TaxesReceivable,"5,478,000","34,040,000","44,337,000","68,371,000","0","11,719,000","109,376,000","74,957,000","87,277,000","51,034,000","38,072,000","6,350,000",,,,,,,,,,,,,,,,,,,,
			OtherReceivables,,,,,,,,,,,,,"16,356,000","9,055,000",,,,,"8,699,000",,,,,,,,,,,,,
