name,ttm,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005
TotalRevenue,"2,188,301,000","534,726,000","581,740,000","537,702,000","534,133,000","508,186,000","476,457,000","469,373,000","500,479,000","444,613,000","436,399,000","411,855,000","394,386,000","376,053,000","396,621,000","374,181,000","381,161,000","336,010,000","340,881,000","340,872,000","333,747,000","309,303,000","328,142,000","306,584,000","291,230,000","246,919,000","235,774,000","232,160,000","208,252,000","196,237,000","183,703,000","175,515,000","129,539,000","108,414,000","83,536,000","73,293,000","64,567,000","50,881,000","53,369,000","44,753,000","40,486,000","35,173,000","38,284,000","30,809,000","37,280,000","22,076,000","19,595,000","17,746,000","15,539,000","14,634,000","15,477,000","21,474,000","14,264,000","14,088,000","11,673,000","11,673,000","11,673,000","9,837,000","5,360,000","5,361,000","5,361,000","5,361,000"
	OperatingRevenue,"2,188,301,000","534,726,000","581,740,000","537,702,000","534,133,000","508,186,000","476,457,000","469,373,000","500,479,000","444,613,000","436,399,000","411,855,000","394,386,000","376,053,000","396,621,000","374,181,000","381,161,000","336,010,000","340,881,000","340,872,000","333,747,000","309,303,000","328,142,000","306,584,000","291,230,000","246,919,000","235,774,000","232,160,000","208,252,000","196,237,000","183,703,000","175,515,000","129,539,000","108,414,000","83,536,000","73,293,000","64,567,000","50,881,000","53,369,000","44,753,000","40,486,000","35,173,000","38,284,000","30,809,000","37,280,000","22,076,000","19,595,000","17,746,000","15,539,000","14,634,000","15,477,000","21,474,000","14,264,000","14,088,000","11,673,000","11,673,000","11,673,000","9,837,000","5,360,000","5,361,000","5,361,000","5,361,000"
CostOfRevenue,"123,081,000","28,657,000","35,348,000","31,400,000","27,676,000","33,506,000","26,337,000","26,574,000","34,714,000","33,919,000","25,248,000","31,203,000","28,672,000","25,065,000","33,656,000","24,311,000","23,980,000","23,439,000","24,030,000","28,385,000","21,813,000","28,298,000","28,808,000","26,994,000","30,692,000","30,924,000","25,643,000","24,252,000","25,031,000","27,220,000","25,763,000","32,629,000","15,370,000","10,758,000","3,862,000","3,901,000","3,370,000","2,809,000","4,784,000","3,091,000","2,802,000","2,882,000","2,782,000","2,338,000","2,575,000","1,943,000","3,305,000","5,525,000","2,796,000","2,298,000","3,283,000","1,938,000","1,679,000","2,003,000",,,,,,,,
GrossProfit,"2,065,220,000","506,069,000","546,392,000","506,302,000","506,457,000","474,680,000","450,120,000","442,799,000","465,765,000","410,694,000","411,151,000","380,652,000","365,714,000","350,988,000","362,965,000","349,870,000","357,181,000","312,571,000","316,851,000","312,487,000","311,934,000","281,005,000","299,334,000","279,590,000","260,538,000","215,995,000","210,131,000","207,908,000","183,221,000","169,017,000","157,940,000","142,886,000","114,169,000","97,656,000","79,674,000","69,392,000","61,197,000","48,072,000","48,585,000","41,662,000","37,684,000","32,291,000","35,502,000","28,471,000","34,705,000","20,133,000","16,290,000","12,221,000","12,743,000","12,336,000","12,194,000","19,536,000","12,585,000","12,085,000",,,,,,,,
OperatingExpense,"1,463,899,000","357,354,000","485,147,000","321,424,000","299,974,000","284,937,000","265,065,000","254,022,000","269,670,000","322,887,000","261,946,000","219,198,000","198,671,000","214,848,000","197,461,000","198,617,000","188,446,000","182,659,000","178,700,000","180,955,000","158,633,000","164,246,000","162,230,000","146,554,000","153,441,000","155,654,000","115,632,000","107,348,000","106,155,000","100,830,000","90,561,000","87,586,000","78,710,000","64,471,000","42,010,000","35,688,000","27,338,000","25,468,000","23,050,000","27,219,000","27,102,000","25,062,000","24,092,000","24,762,000","26,671,000","27,356,000","38,246,000","39,965,000","59,837,000","56,144,000","70,938,000","37,334,000","55,338,000","31,568,000",,,,,,,,
	SellingGeneralAndAdministration,"777,395,000","208,400,000","214,275,000","178,706,000","176,014,000","167,947,000","161,865,000","155,873,000","158,579,000","207,213,000","143,050,000","124,523,000","132,328,000","144,255,000","127,141,000","124,368,000","122,618,000","128,765,000","125,555,000","104,044,000","107,132,000","112,388,000","105,694,000","93,501,000","100,556,000","106,363,000","81,299,000","74,970,000","77,506,000","70,528,000","61,377,000","60,924,000","60,638,000","46,999,000","36,384,000","30,547,000","22,094,000","19,911,000","17,070,000","18,040,000","17,096,000","16,790,000","15,718,000","15,061,000","13,657,000","14,216,000","20,183,000","24,329,000","34,109,000","32,780,000","27,957,000","18,069,000","35,644,000","14,339,000",,,,,,,,
	ResearchAndDevelopment,"325,728,000","86,107,000","97,382,000","79,855,000","62,384,000","60,105,000","56,657,000","51,160,000","56,132,000","62,667,000","65,995,000","47,362,000","40,157,000","44,928,000","44,158,000","47,796,000","39,091,000","31,252,000","29,455,000","50,784,000","27,833,000","27,181,000","24,559,000","22,423,000","20,090,000","18,109,000","13,809,000","12,814,000","9,250,000","10,747,000","7,277,000","6,920,000","2,321,000","3,959,000","3,764,000","3,279,000","3,382,000","3,695,000","4,118,000","7,317,000","7,962,000","6,215,000","6,317,000","7,644,000","11,192,000","11,408,000","14,689,000","12,149,000","21,882,000","21,243,000","20,540,000","16,978,000","17,407,000","14,867,000",,,,,,,,
	DepreciationAmortizationDepletionIncomeStatement,"360,776,000","62,847,000","173,490,000","62,863,000","61,576,000","56,885,000","46,543,000","46,989,000","54,959,000","53,007,000","52,901,000","47,313,000","26,186,000","25,665,000","26,162,000","26,453,000","26,737,000","22,642,000","23,690,000","26,127,000","23,668,000","24,677,000","31,977,000","30,630,000","32,795,000","31,182,000","20,524,000","19,564,000","19,399,000","19,555,000","21,907,000","19,742,000","15,751,000","13,513,000","1,862,000","1,862,000","1,862,000","1,862,000","1,862,000","1,862,000","2,044,000","2,057,000","2,057,000","2,057,000","1,822,000","1,732,000","3,374,000","3,487,000","3,846,000","2,121,000","2,281,000","2,287,000","2,287,000","2,362,000",,,,,,,,
		DepreciationAndAmortizationInIncomeStatement,"360,776,000","62,847,000","173,490,000","62,863,000","61,576,000","56,885,000","46,543,000","46,989,000","54,959,000","53,007,000","52,901,000","47,313,000","26,186,000","25,665,000","26,162,000","26,453,000","26,737,000","22,642,000","23,690,000","26,127,000","23,668,000","24,677,000","31,977,000","30,630,000","32,795,000","31,182,000","20,524,000","19,564,000","19,399,000","19,555,000","21,907,000","19,742,000","15,751,000","13,513,000","1,862,000","1,862,000","1,862,000","1,862,000","1,862,000","1,862,000","2,044,000","2,057,000","2,057,000","2,057,000","1,822,000","1,732,000","3,374,000","3,487,000","3,846,000","2,121,000","2,281,000","2,287,000","2,287,000","2,362,000",,,,,,,,
			Amortization,"360,776,000","62,847,000","173,490,000","62,863,000","61,576,000","56,885,000","46,543,000","46,989,000","54,959,000","53,007,000","52,901,000","47,313,000","26,186,000","25,665,000","26,162,000","26,453,000","26,737,000","22,642,000","23,690,000","26,127,000","23,668,000","24,677,000","31,977,000","30,630,000","32,795,000","31,182,000","20,524,000","19,564,000","19,399,000","19,555,000","21,907,000","19,742,000","15,751,000","13,513,000","1,862,000","1,862,000","1,862,000","1,862,000","1,862,000","1,862,000","2,044,000","2,057,000","2,057,000","2,057,000","1,822,000","1,732,000","3,374,000","3,487,000","3,846,000","2,121,000","2,281,000","2,287,000","2,287,000","2,362,000",,,,,,,,
