name,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996,12/31/1995,12/31/1994,12/31/1993,12/31/1992,12/31/1991,12/31/1990,12/31/1989
		CurrentDebt,,,,,"50,000,000","551,300,000","462,300,000","589,800,000","424,849,000","298,232,000","331,144,000","649,623,000","638,247,000","312,911,000","302,765,000","347,353,000","414,588,000","918,349,000","685,312,000","559,823,000","673,900,000","506,300,000","442,700,000","499,700,000","104,300,000","74,100,000","35,400,000","39,300,000","39,100,000","47,800,000","34,900,000"
			OtherCurrentBorrowings,,,,,"50,000,000","551,300,000","462,300,000","589,800,000","424,849,000","298,232,000","331,144,000","649,623,000","638,247,000","312,911,000","302,765,000","347,353,000","414,588,000","918,349,000","685,312,000","559,823,000","673,900,000","506,300,000","442,700,000","499,700,000","104,300,000","74,100,000","35,400,000","39,300,000","39,100,000","47,800,000","34,900,000"
	LongTermDebtAndCapitalLeaseObligation,"2,166,032,000","1,861,364,000","1,858,361,000","1,572,031,000","1,241,747,000","870,102,000","506,388,000","187,493,000","290,774,000","421,911,000","699,059,000","834,867,000","656,722,000","747,545,000","954,925,000","1,312,661,000","1,624,092,000","1,247,857,000","1,000,046,000","863,165,000","663,000,000","629,900,000","388,800,000","74,600,000","81,500,000","70,000,000","76,600,000","51,800,000","54,500,000","54,700,000","55,100,000"
		LongTermDebt,"2,059,126,000","1,856,102,000","1,852,972,000","1,567,939,000","1,237,711,000","866,003,000","502,231,000","183,282,000","290,774,000","421,911,000","699,059,000","834,867,000","656,722,000","747,545,000","954,925,000","1,312,661,000","1,624,092,000","1,247,857,000","1,000,046,000","863,165,000","663,000,000","629,900,000","388,800,000","74,600,000","81,500,000","70,000,000","76,600,000","51,800,000","54,500,000","54,700,000","55,100,000"
			AdvanceFromFederalHomeLoanBanks,"1,822,847,000","1,613,481,000","1,609,579,000","1,353,092,000","1,022,766,000","649,987,000","477,856,000","155,323,000",,,,,,,,,,,,,,,,,,,,,,,
		LongTermCapitalLeaseObligation,"106,906,000","5,262,000","5,389,000","4,092,000","4,036,000","4,099,000","4,157,000","4,211,000",,,,,,,,,,,,,,,,,,,,,,,
	OtherLiabilities,,,,,,"100,000",,"-100,000",,"202,019,000",,"333,308,000","234,893,000","125,196,000","118,798,000","120,819,000","106,634,000","116,360,000","89,440,000","84,513,000","82,000,000","91,700,000","78,900,000","65,800,000","59,000,000","35,500,000","33,600,000","29,900,000","25,900,000","28,600,000","21,500,000"
TotalEquityGrossMinorityInterest,"2,852,453,000","2,689,570,000","2,154,397,000","1,814,417,000","1,491,170,000","1,465,764,000","1,162,640,000","1,194,565,000","1,033,556,000","878,805,000","843,826,000","730,865,000","652,881,000","642,369,000","649,898,000","703,208,000","715,490,000","890,710,000","689,235,000","676,341,000","492,700,000","494,600,000","477,200,000","458,500,000","428,100,000","365,900,000","315,600,000","260,700,000","204,700,000","198,000,000","174,300,000"
	StockholdersEquity,"2,852,453,000","2,689,570,000","2,154,397,000","1,814,417,000","1,491,170,000","1,465,764,000","1,162,640,000","1,194,565,000","1,033,556,000","878,805,000","843,826,000","730,865,000","652,881,000","642,369,000","649,898,000","703,208,000","715,490,000","740,710,000","639,235,000","626,341,000","492,700,000","494,600,000","477,200,000","458,500,000","428,100,000","365,900,000","315,600,000","260,700,000","204,700,000","198,000,000","174,300,000"
		CapitalStock,"169,616,000","175,141,000","152,040,000","135,159,000","114,297,000","116,847,000","99,859,000","101,179,000","94,654,000","87,183,000","87,182,000","163,679,000","66,205,000","66,503,000","67,649,000","69,287,000","66,575,000","63,856,000","61,174,000","60,311,000","47,300,000",,,,,,,,,,
