name,ttm,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017
MarketCap,"3,423,853,930","3,092,372,223","2,954,766,563","2,903,042,133","2,215,121,848","1,855,333,624","2,218,097,803","2,342,446,862","1,757,892,334","1,671,120,081","1,267,350,286","1,037,952,804","876,962,739"
EnterpriseValue,"3,418,896,930","3,100,051,223","2,977,586,563","2,924,639,133","2,208,058,848","1,852,954,624","2,248,163,803","2,379,012,862","1,773,832,334","1,707,252,081","1,304,624,286","1,089,976,804","1,063,938,739"
PeRatio,"37.494","39.733","39.832","40.757","24.211","29.6","43.412","51.581","394.641","155.253","208.583","733","4.374"
ForwardPeRatio,"35.461","26.385","26.738","24.691",,,,,,,,,
PsRatio,"6.864","6.02","5.7","5.498","3.792","2.999","3.489","3.733","8.25","8.776","6.568","2.243","1.827"
PbRatio,"23.847","22.612","25.62","26.344","21.403","18.312","26.577","29.866","31.435","25.458","20.164","17.287",
EnterprisesValueRevenueRatio,"12.945","45.497","46.313","45.213","32.962","28.077","40.266","37.546","22.856","26.26","26.784","20.682","22.793"
EnterprisesValueEBITDARatio,"25.975","90.092","81.578","87.54","80.864","43.331","56.9","91.518","35.608","40.707","52.38","35.335","45.34"
