name,ttm,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994,12/31/1993,09/30/1993,06/30/1993,03/31/1993,12/31/1992,09/30/1992,06/30/1992,03/31/1992,12/31/1991,09/30/1991,06/30/1991,03/31/1991,12/31/1990,09/30/1990,06/30/1990,03/31/1990,12/31/1989,09/30/1989,06/30/1989,03/31/1989,12/31/1988,09/30/1988,06/30/1988,03/31/1988,12/31/1987,09/30/1987,06/30/1987,03/31/1987,12/31/1986,09/30/1986,06/30/1986,03/31/1986,12/31/1985,09/30/1985
MarketCap,"2,067,087,936","3,164,085,696","3,326,753,256","3,131,552,184","3,248,511,504","3,420,904,530","3,476,019,701","3,215,230,845","3,150,708,363","3,454,014,123","3,180,116,862","3,137,295,167","3,178,207,383","3,353,817,838","3,282,494,371","3,045,343,766","3,108,592,179","2,750,496,015","2,625,686,255","2,751,811,372","2,646,394,058","3,070,388,092","3,020,406,280","3,068,754,078","3,042,373,563","3,080,574,833","2,636,790,113","2,675,087,691","2,336,691,545","1,832,675,784","1,927,677,575","1,912,643,840","1,946,189,579","1,958,758,370","1,857,373,917","2,078,649,510","2,123,416,749","2,296,412,050","2,037,528,011","2,171,628,841","3,045,161,647","3,203,400,627","2,285,078,143","2,027,068,146","1,405,644,900","1,977,352,557","2,286,003,896","2,595,553,132","2,825,398,074","3,210,414,831","3,515,936,850","4,108,741,710","3,419,185,110","3,021,613,629","3,097,659,300","3,467,026,440","2,995,562,160","3,097,875,545","3,157,719,966","3,016,317,663","2,804,214,208","2,758,139,301","2,562,982,939","2,444,882,888","2,369,680,165","2,237,016,207","2,252,109,711","2,283,355,913","2,063,573,307","2,184,588,920","1,827,373,206","2,569,510,593","2,521,482,358","2,243,985,887","2,144,812,365","1,988,585,291","1,822,110,781","1,932,979,045","1,691,356,664","1,350,437,415","1,527,094,487","1,693,083,018","1,774,104,055","1,886,628,750","1,770,783,125","2,191,137,250","2,210,996,500","2,786,914,750","2,585,012,375","2,462,547,000","2,674,379,000","2,363,250,750","2,071,981,750","1,952,826,250","1,800,572,000","1,721,135,000","1,787,332,500","1,760,853,500","1,542,401,750","1,615,219,000","1,443,105,500","1,244,513,000","1,261,062,375","1,251,132,750","1,257,752,500","1,357,048,750","1,549,021,500","1,416,626,500","1,615,219,000","1,376,908,000","1,115,427,875","1,065,779,750","959,863,750","1,092,341,250","900,388,000","903,732,375","887,247,500","755,617,500","957,547,500","956,499,750","1,016,740,000","971,589,000","968,144,750","1,052,945,750","975,211,500","840,943,250","989,345,000","946,944,500","869,210,250","738,475,375","1,076,078,000","1,011,080,000","1,148,298,000","1,184,408,000","1,332,804,000","1,108,255,500","1,113,843,500","1,006,846,500","1,014,090,000"
EnterpriseValue,"1,773,083,936","2,886,821,696","3,173,495,256","2,937,321,184","3,118,310,504","2,951,633,530","3,171,515,701","3,023,583,845","2,912,329,363","3,241,451,123","2,877,399,862","2,980,736,167","3,024,949,383","3,392,885,838","3,288,844,371","3,032,373,766","3,046,791,179","2,707,168,015","2,589,169,255","2,698,229,372","2,545,116,058","3,043,595,092","2,998,140,280","3,012,595,078","3,038,276,563","3,072,063,833","2,637,656,113","2,727,035,691","2,197,067,545","1,693,051,784","1,837,138,575","1,869,647,840","1,902,969,579","1,917,139,370","1,815,754,917","2,058,971,510","2,073,600,749","2,255,103,050","1,945,751,011","2,129,681,841","2,987,930,647","3,115,759,627","2,314,005,143","2,104,923,146","1,397,083,900","2,023,178,557","2,376,380,896","2,586,790,132","2,822,171,074","3,205,144,831","3,635,904,850","4,229,642,710","3,328,383,110","3,155,419,629","3,230,857,300","3,600,224,440","3,137,984,160","3,239,392,545","3,299,236,966","3,145,274,663","2,933,565,208","2,774,084,301","2,689,398,939","2,566,683,888","2,489,373,165","2,252,445,207","2,256,152,711","2,287,326,913","2,067,624,307","2,192,800,920","2,031,582,206","2,569,510,593","2,521,482,358","2,243,985,887","2,144,812,365","1,988,585,291","1,822,110,781","1,932,979,045","1,691,356,664","1,350,437,415","1,527,365,487","1,693,083,018","1,774,104,055","1,886,628,750","1,770,783,125","2,191,137,250","2,210,996,500","2,786,914,750","2,585,012,375","2,462,547,000","2,674,379,000","2,363,250,750","2,071,981,750","1,952,826,250","1,801,472,000","1,731,435,000","1,797,732,500","1,774,953,500","1,557,601,750","1,630,419,000","1,515,505,500","1,295,113,000","1,311,662,375","1,301,732,750","1,288,752,500","1,381,248,750","1,600,521,500","1,428,226,500","1,625,419,000","1,387,608,000","1,126,227,875","1,077,379,750","971,663,750","1,117,141,250","912,788,000","916,432,375","901,547,500","769,917,500","972,047,500","981,699,750","1,046,140,000","973,289,000","969,844,750","1,054,645,750","976,611,500","843,743,250","992,145,000","949,744,500","872,010,250","741,275,375","1,079,278,000","1,014,280,000","1,151,498,000","1,187,608,000","1,354,004,000","1,129,455,500","1,135,043,500","1,028,046,500","1,036,190,000"
PeRatio,"3.329","9.542","8.055","7.849","20.381","5.563","6.748","6.829","6.388","16.57","16.355","16.407","17.59","18.218","19.671","17.989","12.805","10.985","9.535","9.251","10.718","12.529","11.624","11.773","11.339","11.546","10.833","13.003","12.218","9.605","10.61","10.024","10.072","11.253","10.67","12.831","13.373","15.856","14.095","16.695","30.77","202.441",,,,,,"15.485","12.335","13.412","12.784","15.358","12.457","15.42","15.705","17.577","14.845","11.079","11.293","11.07","9.972","10.816","10.341","9.982","11.473","12.297","47.781","65.824","139.161","128.156","25.75","35.018","38.571","34.327","18.75","17.796","13.008","9.159","7.752","6.189","6.987","6.331","7.371","7.988","7.309","11.107","9.743","11.541","10.266","9.915","10.756","9.576","8.792","9.06","8.163","8.453","8.665","8.914","7.364","7.712","6.442","6.438","6.524","7.394","7.399","7.321","8.114","7.021","8.957","8.163","7.772","7.44","7.308","8.666","6.733","7.791","8.46","6.944","9.773","9.648","10.097","9.773","9.985","10.86","9.829","8.357","9.831","10","9.731","8.241","13.116","12.281","13.85","13.712","15.033","12.75","12.664","11.102","11.824"
ForwardPeRatio,,,,,,,,,,,,,,,,,,,,,"8.278",,,"9.606","9.515","9.033","8.258","9.497","8.718","7.037","7.837","7.358",,,,"16.367","19.268","20.243","19.455",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PsRatio,"0.508","0.896","0.911","0.859","0.978","0.918","0.981","0.939","0.924","1.04","0.972","0.969","0.986","1.04","1.058","1.008","1.032","0.934","0.877","0.908","0.868","0.996","0.968","0.977","0.975","1.008","0.869","0.895","0.781","0.614","0.645","0.632","0.641","0.645","0.611","0.671","0.686","0.745","0.659","0.703","0.991","1.077","0.839","0.823","0.569","0.779","0.839","0.883","0.933","1.051","1.105","1.313","1.093","0.993","1.011","1.131","0.984","1.089","1.11","1.055","0.965","0.96","0.845","0.833","0.849","0.834","0.919","0.964","0.906","0.969","0.805","1.126","1.176","1.046","6.125","1.104","0.992","1.019","0.909","0.726","0.823","0.884","0.953","1.018","0.958","1.251","1.24","1.569","1.463","1.408","1.563","1.408","1.276","1.242","1.156","1.148","1.214","1.231","1.082","1.133","1.013","0.915","0.927","0.947","0.955","1.014","1.136","1.029","1.197","1.039","0.87","0.847","0.786","0.91","0.755","0.809","0.833","0.684","0.936","0.93","0.99","0.989","0.999","1.087","1.024","0.869","1.022","1.019","0.958","0.835","1.22","1.164","1.354","1.426","1.618","1.366","1.401","1.268","1.298"
PbRatio,"0.345","0.543","0.578","0.561","0.618","0.637","0.664","0.617","0.601","0.709","0.664","0.663","0.683","0.718","0.712","0.674","0.698","0.62","0.586","0.609","0.597","0.698","0.692","0.721","0.726","0.768","0.673","0.68","0.61","0.479","0.516","0.511","0.532","0.537","0.509","0.56","0.576","0.632","0.565","0.624","0.862","0.926","0.665","0.624","0.461","0.631","0.677","0.725","0.766","0.859","0.963","1.137","0.956","0.867","0.92","1.03","0.883","0.917","0.935","0.892","0.848","0.837","0.802","0.772","0.747","0.719","0.747","0.766","0.712","0.76","0.635","0.867","0.859","0.764","0.713","0.663","0.603","0.626","0.552","0.441","0.499","0.553","0.596","0.63","0.601","0.752","0.786","0.982","0.922","0.91","1.001","0.904","0.832","0.789","0.747","0.734","0.77","0.784","0.703","0.736","0.677","0.626","0.635","0.63","0.64","0.692","0.81","0.746","0.866","0.742","0.616","0.561","0.541","0.615","0.524","0.539","0.552","0.47","0.586","0.598","0.629","0.6","0.612","0.666","0.628","0.568","0.668","0.639","0.587","0.499","0.767","0.721","0.818","0.844","1.003","0.834","0.838","0.757","0.867"
EnterprisesValueRevenueRatio,"0.436","2.73","3.403","3.07","2.775","5.69","3.014","3.176","3.625","3.507","3.297","3.574","3.879","4.042","3.995","3.788","3.983","3.209","3.7","3.761","3.364","3.916","4.018","3.991","3.933","3.769","3.358","3.525","2.949","2.247","2.417","2.558","2.562","2.474","2.476","2.701","2.71","2.879","2.462","2.837","3.972","3.946","2.965","2.892","2.143","3.946","4.316","3.538","3.885","4.406","4.696","5.147","4.432","3.738","4.238","4.743","4.191","4.073","4.384","4.277","3.849","4.61","3.509","3.285","3.412","2.972","3.362","3.602","3.332","4.184","3.499","4.657","4.311","4.051","3.931","3.421","4.072","4.564","3.562","2.977","3.146","3.509","4.045","4.237","3.261","5.029","5.136","6.335","5.788","5.412","6.224","5.428","4.829","4.683","4.53","4.552","4.763","4.385","4.284","4.601","4.326","3.577","3.642","3.681","4.024","4.223","4.997","4.071","4.758","3.971","3.354","3.353","3.047","3.668","2.931","3.192","3.036","2.587","3.446","3.713","4.03","4.047","3.599","3.922","3.821","4.349","3.929","3.819","3.642","3.222","4.937","4.372","5.217","5.65","6.586","5.227","5.616","5.166","5.349"
