name,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996,12/31/1995
TotalAssets,"6,083,900,000","5,384,000,000","4,683,066,000","3,844,150,000","3,227,299,000","2,880,932,000","1,725,121,000","1,492,702,000","1,146,133,000","971,676,000","895,100,000","1,133,459,000","1,626,735,000","1,579,357,000","1,452,714,000","1,256,904,000","1,102,782,000","942,049,000","662,944,000","628,003,000","506,400,000","294,400,000","166,500,000","63,800,000","39,200,000"
	CurrentAssets,"3,070,500,000","2,991,400,000","2,782,782,000","2,287,194,000","1,878,865,000","1,615,509,000","1,081,549,000","933,209,000","648,191,000","508,544,000","418,063,000","696,552,000","778,538,000","779,640,000","804,248,000","662,875,000","636,937,000","555,778,000","380,409,000","396,522,000","334,600,000","204,200,000","119,900,000","49,100,000","32,800,000"
		CashCashEquivalentsAndShortTermInvestments,"84,000,000","31,600,000","57,253,000","50,282,000","45,008,000","29,898,000","23,686,000","42,839,000","20,851,000","9,306,000","24,469,000","10,874,000","21,665,000","26,600,000","48,566,000","29,264,000","74,408,000","15,932,000","59,855,000","38,789,000","30,400,000","20,900,000","18,500,000","15,400,000","9,400,000"
			CashAndCashEquivalents,"84,000,000","31,600,000","57,253,000","50,282,000","45,008,000","29,898,000","23,686,000","42,839,000","20,851,000","9,306,000","12,776,000","10,874,000","21,665,000","26,600,000","48,566,000","29,264,000","74,408,000","15,932,000","59,855,000","38,789,000","30,400,000","20,900,000","18,500,000","15,400,000","9,400,000"
			OtherShortTermInvestments,,,,,,,,,,"0","11,693,000",,,,,,,,,,,,,,
		Receivables,"505,000,000","529,400,000","521,938,000","417,714,000","308,462,000","295,379,000","170,519,000","133,149,000","99,407,000","75,011,000","30,157,000","41,816,000","60,913,000","118,528,000","106,443,000","84,489,000","42,407,000","40,847,000","34,557,000","34,206,000","28,500,000","20,400,000","8,100,000","3,000,000","1,900,000"
			AccountsReceivable,"505,000,000","529,400,000","521,938,000","417,714,000","308,462,000","295,379,000","170,519,000","133,149,000","99,407,000","75,011,000","30,157,000","41,816,000","60,913,000","118,528,000","53,990,000","41,576,000","42,199,000","40,680,000","33,196,000",,,,,,
				GrossAccountsReceivable,"512,300,000",,"529,324,000","422,995,000","310,705,000","297,570,000","170,692,000","133,485,000","99,668,000",,,,,,,,,,,,,,,,
				AllowanceForDoubtfulAccountsReceivable,"-7,300,000",,"-7,386,000","-5,281,000","-2,243,000","-2,191,000","-173,000","-336,000","-261,000",,,,,,,,,,,,,,,,
			LoansReceivable,,,,,,,,,,,,,,,,,"208,000","167,000","1,361,000",,,,,,
			OtherReceivables,,,,,,,,,,,,,,,"52,453,000","42,913,000",,,,,,,,,
		Inventory,"2,433,700,000","2,365,300,000","2,132,744,000","1,772,587,000","1,470,987,000","1,249,659,000","859,019,000","723,326,000","506,484,000","415,228,000","328,726,000","422,812,000","601,759,000","603,306,000","606,047,000","536,653,000","445,281,000","445,908,000","275,398,000","314,290,000","268,300,000","157,400,000","89,800,000","28,200,000","17,700,000"
			RawMaterials,,,,,,,,,"27,024,000",,,,,,,,,,,,,,,,
			FinishedGoods,"2,433,700,000","2,365,300,000","2,132,744,000","1,772,587,000","1,470,987,000","1,249,659,000","859,019,000","723,326,000","479,460,000",,,,,,,,,,,,,,,,
		PrepaidAssets,,,,,,,,,,,"5,387,000","20,979,000","10,647,000","6,825,000","8,800,000","6,840,000","3,392,000","5,707,000","3,759,000",,,,,,
		CurrentDeferredAssets,,,,,,"0","1,548,000","3,832,000","4,730,000","2,937,000","0","2,541,000","1,775,000","1,198,000","685,000",,"585,000","550,000","1,286,000",,,,,,
			CurrentDeferredTaxesAssets,,,,,,"0","1,548,000","3,832,000","4,730,000","2,937,000","0","2,541,000","1,775,000","1,198,000","685,000",,"585,000","550,000","1,286,000",,,,,,
		AssetsHeldForSaleCurrent,,,,,,"8,563,000","11,526,000","12,579,000",,,,,,,,,,,,,,,,,
		OtherCurrentAssets,"47,800,000","65,100,000","70,847,000","46,611,000","54,408,000","32,010,000","15,251,000","17,484,000","16,719,000","6,062,000","29,324,000","197,530,000","81,779,000","23,183,000","33,707,000","5,629,000","70,864,000","46,834,000","5,554,000","9,237,000","7,400,000","5,500,000","3,500,000","2,500,000","3,800,000"
	TotalNonCurrentAssets,"3,013,400,000","2,392,600,000","1,900,284,000","1,556,956,000","1,348,434,000","1,265,423,000","643,572,000","559,493,000","497,942,000","463,132,000","477,037,000","436,907,000","848,197,000","799,717,000","648,466,000","594,029,000","465,845,000","386,271,000","282,535,000","231,481,000","171,800,000","90,200,000","46,600,000","14,700,000","6,400,000"
		NetPPE,"1,863,600,000","1,448,000,000","1,185,169,000","1,006,130,000","876,660,000","816,745,000","481,212,000","425,086,000","373,779,000","362,433,000","386,054,000","346,276,000","461,746,000","417,103,000","333,177,000","299,631,000","227,313,000","176,911,000","121,977,000","90,240,000","52,400,000","32,900,000","16,300,000","4,600,000","3,200,000"
			GrossPPE,"2,147,900,000","1,688,500,000","1,382,971,000","1,173,430,000","1,014,513,000","934,424,000","588,083,000","522,969,000","472,894,000","456,178,000","469,528,000","414,294,000","528,500,000","471,922,000","376,157,000","333,663,000","251,311,000","195,131,000","133,770,000","98,674,000","58,100,000","36,800,000","19,100,000","6,700,000","5,000,000"
				Properties,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",,,,,,,,
				LandAndImprovements,"473,000,000","419,700,000","346,680,000","318,832,000","281,982,000","263,328,000","146,126,000","128,653,000","120,092,000","117,083,000","120,003,000","304,692,000","384,019,000","343,843,000","109,464,000","95,583,000","170,359,000",,,,,,,,
				BuildingsAndImprovements,"948,000,000","821,600,000","685,516,000","611,798,000","527,545,000","475,149,000","316,261,000","279,084,000","232,478,000","225,331,000","229,728,000",,,,"150,916,000","129,687,000",,,,,,,,,
				MachineryFurnitureEquipment,"440,300,000","389,800,000","325,575,000","222,201,000","189,809,000","160,807,000","116,545,000","109,456,000","108,208,000","110,830,000","117,398,000","109,602,000","144,481,000","128,079,000","108,605,000","96,177,000","80,952,000",,,,,,,,
				OtherProperties,"251,900,000",,,,,,,,,,"326,625,000",,,,,,,,,,,,,,
				ConstructionInProgress,"34,700,000","57,400,000","25,200,000","20,599,000","15,177,000","35,140,000","9,151,000","5,776,000","12,116,000","2,934,000","2,399,000",,,,"7,172,000","12,216,000",,,,,,,,,
			AccumulatedDepreciation,"-284,300,000","-240,500,000","-197,802,000","-167,300,000","-137,853,000","-117,679,000","-106,871,000","-97,883,000","-99,115,000","-93,745,000","-83,474,000","-68,018,000","-66,754,000","-54,819,000","-42,980,000","-34,032,000","-23,998,000","-18,220,000","-11,793,000","-8,434,000","-5,700,000","-3,900,000","-2,800,000","-2,100,000","-1,800,000"
		GoodwillAndOtherIntangibleAssets,"761,300,000","723,600,000","443,297,000","443,667,000","370,919,000","350,267,000","120,710,000","94,476,000","78,053,000","6,186,000","42,496,000","42,008,000","380,473,000","376,478,000","260,899,000","289,181,000","235,973,000","206,197,000","156,849,000","133,871,000","110,700,000","43,000,000","24,100,000","4,100,000",
			Goodwill,"454,600,000","434,900,000","256,320,000","259,399,000","213,220,000","199,375,000","49,511,000","32,047,000","18,958,000","6,186,000",,,"311,527,000","307,424,000",,,,,,,,,,,
