name,ttm,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018
TotalRevenue,"7,744,622,000,000","1,876,340,000,000","1,927,008,000,000","1,926,753,000,000","1,807,117,000,000","1,531,806,000,000","1,858,818,000,000","1,774,040,000,000","1,768,221,000,000"
	OperatingRevenue,"7,744,622,000,000","1,876,340,000,000","1,927,008,000,000","1,926,753,000,000","1,807,117,000,000","1,531,806,000,000","1,858,818,000,000","1,774,040,000,000","1,768,221,000,000"
PretaxIncome,"2,723,049,000,000","324,697,000,000","670,270,000,000","902,272,000,000","825,810,000,000","177,552,000,000","825,788,000,000","995,497,000,000","806,035,000,000"
TaxProvision,"685,453,000,000","93,172,000,000","136,162,000,000","244,838,000,000","211,281,000,000","46,755,000,000","221,252,000,000","273,701,000,000","211,515,000,000"
NetIncomeCommonStockholders,"1,867,845,000,000","205,719,000,000","482,438,000,000","610,999,000,000","568,689,000,000","91,372,000,000","560,341,000,000","716,142,000,000","589,736,000,000"
	NetIncome,"1,872,207,000,000","206,510,000,000","486,009,000,000","610,999,000,000","568,689,000,000","129,776,000,000","597,528,000,000","716,142,000,000","589,736,000,000"
		NetIncomeIncludingNoncontrollingInterests,"2,037,596,000,000","231,525,000,000","534,108,000,000","657,434,000,000","614,529,000,000","130,797,000,000","604,536,000,000","721,796,000,000","594,520,000,000"
			NetIncomeContinuousOperations,"2,037,596,000,000","231,525,000,000","534,108,000,000","657,434,000,000","614,529,000,000","130,797,000,000","604,536,000,000","721,796,000,000","594,520,000,000"
		MinorityInterests,"-165,389,000,000","-25,015,000,000","-48,099,000,000","-46,435,000,000","-45,840,000,000","-1,021,000,000","-7,008,000,000","-5,654,000,000","-4,784,000,000"
	OtherunderPreferredStockDividend,"4,362,000,000","791,000,000","3,571,000,000",,,"38,404,000,000","37,187,000,000",,
DilutedNIAvailtoComStockholders,"1,867,845,000,000","205,719,000,000","482,438,000,000","610,999,000,000","568,689,000,000","91,372,000,000","560,341,000,000","716,142,000,000","589,736,000,000"
BasicEPS,,,"2,124",,"2,565",,"2,471.495",,"2,601.148"
DilutedEPS,,,"2,124",,"2,565",,"2,471.495",,"2,601.148"
BasicAverageShares,,,"227,333,333",,"221,711,111",,"226,721,435",,"226,721,435"
DilutedAverageShares,,,"227,333,333",,"221,711,111",,"226,721,435",,"226,721,435"
RentExpenseSupplemental,"85,705,000,000","7,696,000,000","17,224,000,000",,,"82,514,000,000","79,558,000,000",,
NetIncomeFromContinuingAndDiscontinuedOperation,"1,872,207,000,000","206,510,000,000","486,009,000,000","610,999,000,000","568,689,000,000","129,776,000,000","597,528,000,000","716,142,000,000","589,736,000,000"
NormalizedIncome,"1,941,425,424,000","253,001,533,722.209","487,973,247,571.874","610,999,000,000","568,689,000,000","129,776,000,000","559,144,750,284.577","716,142,000,000","589,736,000,000"
InterestIncome,"10,576,770,000,000","2,607,563,000,000","2,691,515,000,000","1,476,461,000,000","1,454,591,000,000","2,564,309,000,000","2,476,774,000,000","1,397,323,000,000","1,367,151,000,000"
InterestExpense,"4,683,898,000,000","1,130,963,000,000","1,205,933,000,000",,,"1,110,055,000,000","1,044,259,000,000",,
NetInterestIncome,"5,892,872,000,000","1,476,600,000,000","1,485,582,000,000","1,476,461,000,000","1,454,591,000,000","1,454,254,000,000","1,432,515,000,000","1,397,323,000,000","1,367,151,000,000"
ReconciledDepreciation,"505,718,000,000","141,591,000,000","131,875,000,000",,,"73,369,000,000","58,990,000,000",,
NetIncomeFromContinuingOperationNetMinorityInterest,"1,872,207,000,000","206,510,000,000","486,009,000,000","610,999,000,000","568,689,000,000","129,776,000,000","597,528,000,000","716,142,000,000","589,736,000,000"
TotalUnusualItemsExcludingGoodwill,"-92,538,000,000","-65,201,000,000","-2,465,000,000",,,,"52,431,000,000",,
TotalUnusualItems,"-92,538,000,000","-65,201,000,000","-2,465,000,000",,,,"52,431,000,000",,
TaxRateForCalcs,"0.252","0.287","0.203","0.271","0.256","0.263","0.268","0.275","0.262"
TaxEffectOfUnusualItems,"-23,319,576,000","-18,709,466,277.791","-500,752,428.126","0","0","0","14,047,750,284.577","0","0"
