name,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002
TotalAssets,"19,067,000,000","17,903,000,000","17,003,000,000","16,459,000,000","15,154,000,000","14,926,000,000","12,292,788,000","13,069,030,000","11,524,161,000","9,679,102,000","8,867,265,000","9,163,178,000","8,616,981,000","7,355,399,000","7,329,234,000","6,647,241,000","3,951,572,000","3,455,116,000"
	CurrentAssets,"2,191,000,000","2,580,000,000","3,010,000,000","3,298,000,000","3,194,000,000","2,359,000,000","1,728,434,000","1,050,355,000","1,479,297,000","1,197,183,000","616,118,000","486,911,000","765,055,000","536,558,000","623,804,000","312,199,000","205,115,000","147,093,000"
		CashCashEquivalentsAndShortTermInvestments,"818,000,000","1,440,000,000","2,114,000,000","2,559,000,000","1,391,000,000","1,025,000,000","392,646,000","229,396,000","537,484,000","111,160,000","27,368,000","48,337,000","12,171,000","7,033,000","18,802,000","7,257,000","19,299,000","8,490,000"
			CashAndCashEquivalents,"631,000,000","825,000,000","896,000,000","1,118,000,000","1,391,000,000","1,025,000,000","392,646,000","229,396,000","537,484,000","111,160,000","27,368,000","48,337,000","12,171,000","7,033,000","18,802,000","7,257,000","19,299,000","8,490,000"
				CashFinancial,"631,000,000",,,,,,,,,,,,,,,,,
				CashEquivalents,"0",,,,,,,,,,,,,,,,,
			OtherShortTermInvestments,"187,000,000","615,000,000","1,218,000,000","1,441,000,000",,,,,"0","0",,,,,,,,
		Receivables,"1,042,000,000","821,000,000","647,000,000","521,000,000","926,000,000","463,000,000","438,269,000","327,600,000","283,816,000","276,204,000","356,770,000","268,126,000","323,878,000","224,064,000","337,658,000","210,279,000","111,480,000","98,222,000"
			AccountsReceivable,"1,035,000,000","694,000,000","639,000,000","517,000,000","384,000,000","436,000,000","430,732,000","316,854,000","275,991,000","237,511,000","331,748,000","207,553,000","283,832,000","199,371,000","336,062,000","207,696,000","111,033,000","97,774,000"
				GrossAccountsReceivable,"1,037,000,000",,,,,,,"317,702,000","276,797,000","238,666,000",,,,,,,,
				AllowanceForDoubtfulAccountsReceivable,"-2,000,000",,,,,,,"-848,000","-806,000","-1,155,000",,,,,,,,
			NotesReceivable,,,,"0","498,000,000",,,,,,,,,,,,,
			TaxesReceivable,"7,000,000","7,000,000","7,000,000","3,000,000","43,000,000","23,000,000","4,784,000","7,447,000","3,000","30,901,000","25,022,000","60,573,000",,,,,,
			OtherReceivables,,,,,,,,,,,,,"40,046,000","24,693,000","1,596,000","2,583,000","447,000","448,000"
			DuefromRelatedPartiesCurrent,,"120,000,000","1,000,000","1,000,000","1,000,000","4,000,000","2,753,000","3,299,000","7,822,000","7,792,000",,,,,,,,
		Inventory,"205,000,000","242,000,000","212,000,000","181,000,000","155,000,000","241,000,000","220,125,000","197,056,000","241,609,000","173,615,000","139,177,000","76,901,000","97,619,000","95,131,000","79,659,000","40,332,000","17,509,000","10,648,000"
			RawMaterials,"75,000,000","128,000,000","134,000,000","144,000,000","132,000,000","223,000,000","210,792,000","258,962,000",,,,,,,,,,
			FinishedGoods,"130,000,000","114,000,000","78,000,000","37,000,000","23,000,000","18,000,000","13,429,000","5,446,000",,,,,,,,,,
			InventoriesAdjustmentsAllowances,,,,,,"0","-4,096,000","-67,352,000",,,,,,,,,,
		PrepaidAssets,,,,,"17,000,000","15,000,000","15,852,000","13,438,000","14,263,000","11,441,000","9,011,000","12,464,000","9,378,000","11,509,000","18,091,000","10,822,000","11,083,000",
		RestrictedCash,"74,000,000",,,,,,,,,,,,,,,,,
		CurrentDeferredAssets,,,,,,,,,"77,005,000","156,650,000","26,857,000","6,510,000","108,073,000","82,927,000","158,878,000","33,980,000","40,514,000","13,900,000"
			CurrentDeferredTaxesAssets,,,,,,,,,"77,005,000","156,650,000","26,857,000","6,510,000","108,073,000","82,927,000","158,878,000","33,980,000","40,514,000","13,900,000"
