name,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013
TotalAssets,"11,288,000,000","9,186,000,000","9,037,158,000","8,944,450,000","9,239,359,000","9,057,114,000","9,185,577,000"
	CurrentAssets,"3,262,000,000","2,979,000,000","2,819,381,000","2,789,171,000","3,060,433,000","2,829,913,000","2,774,741,000"
		CashCashEquivalentsAndShortTermInvestments,"90,000,000","104,000,000","118,849,000","131,090,000","517,802,000","343,659,000","179,744,000"
			CashAndCashEquivalents,"90,000,000","104,000,000","118,849,000","131,090,000","517,802,000","343,659,000","179,744,000"
		Receivables,"1,598,000,000","1,453,000,000","1,398,829,000","1,331,574,000","1,335,427,000","1,350,406,000","1,323,080,000"
			AccountsReceivable,"1,455,000,000","1,347,000,000","1,301,631,000","1,226,032,000","1,233,978,000","1,252,738,000","1,225,719,000"
				GrossAccountsReceivable,"1,485,000,000","1,376,000,000","1,327,602,000","1,251,420,000","1,256,601,000","1,277,727,000","1,250,870,000"
				AllowanceForDoubtfulAccountsReceivable,"-30,000,000","-29,000,000","-25,971,000","-25,388,000","-22,623,000","-24,989,000","-25,151,000"
			OtherReceivables,"143,000,000","109,000,000","100,132,000","107,361,000","103,015,000","100,470,000","100,022,000"
			ReceivablesAdjustmentsAllowances,,"-3,000,000","-2,934,000","-1,819,000","-1,566,000","-2,802,000","-2,661,000"
		Inventory,"1,432,000,000","1,279,000,000","1,207,830,000","1,223,037,000","1,112,967,000","1,050,898,000","1,161,558,000"
		PrepaidAssets,"109,000,000","106,000,000","80,255,000","72,650,000","73,787,000","67,791,000","75,604,000"
		CurrentDeferredAssets,,,,,,"0","13,557,000"
			CurrentDeferredTaxesAssets,,,,,,"0","13,557,000"
		AssetsHeldForSaleCurrent,"1,000,000","7,000,000","5,178,000","21,039,000","5,459,000","5,360,000","14,554,000"
		OtherCurrentAssets,"32,000,000","30,000,000","8,440,000","9,781,000","14,991,000","11,799,000","6,644,000"
	TotalNonCurrentAssets,"8,026,000,000","6,207,000,000","6,217,777,000","6,155,279,000","6,178,926,000","6,227,201,000","6,410,836,000"
		NetPPE,"2,075,000,000","1,842,000,000","1,801,215,000","1,767,611,000","1,768,885,000","1,726,583,000","1,748,495,000"
