name,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,12/31/2015
TotalAssets,"45,890,502,000","42,481,637,000","40,531,713,000","40,133,631,000","39,682,857,000","37,294,400,000","34,298,287,000","24,820,581,000","25,827,638,000","24,472,728,000","23,797,629,000","23,841,622,000","23,403,738,000","12,457,329,000","11,713,514,000","10,582,223,000"
	CurrentAssets,"20,098,257,000","19,510,070,000","20,022,353,000","20,274,801,000","21,234,067,000","20,587,446,000","18,571,426,000","10,615,736,000","12,377,846,000","12,099,099,000","12,255,601,000","12,909,850,000","13,186,038,000","3,156,434,000","3,316,958,000","3,438,120,000"
		CashCashEquivalentsAndShortTermInvestments,"16,383,421,000","16,362,708,000","16,372,659,000","17,379,529,000","18,222,406,000","18,166,735,000","15,665,466,000","8,932,532,000","10,649,583,000","10,702,583,000","10,900,251,000","11,146,812,000","11,287,789,000","1,977,716,000","2,058,231,000","2,452,359,000"
			CashAndCashEquivalents,"5,270,204,000","5,058,640,000","7,111,684,000","6,092,247,000","4,622,554,000","6,271,359,000","6,064,054,000","3,387,554,000","5,425,024,000","5,180,344,000","5,714,086,000","6,328,572,000","11,287,789,000","1,977,716,000","2,058,231,000","2,452,359,000"
			OtherShortTermInvestments,"11,113,217,000","11,304,068,000","9,260,975,000","11,287,282,000","13,599,852,000","11,895,376,000","9,601,412,000","5,544,978,000","5,224,559,000","5,522,239,000","5,186,165,000","4,818,240,000",,,,
		Receivables,"2,797,164,000","1,102,339,000","1,160,345,000","1,124,480,000","2,234,778,000","858,674,000","1,494,968,000","482,027,000","891,912,000","208,808,000","194,366,000","173,288,000","203,203,000","122,625,000","190,891,000","144,234,000"
			AccountsReceivable,"1,186,691,000","1,015,322,000","1,080,720,000","1,099,283,000","1,114,978,000","834,074,000","682,518,000","454,127,000","351,865,000","198,908,000","184,466,000","167,888,000","197,803,000","117,225,000","117,091,000","58,494,000"
				GrossAccountsReceivable,"1,211,054,000","1,042,216,000","1,103,806,000","1,117,940,000","1,133,113,000","847,889,000","696,311,000","467,920,000","365,663,000","212,775,000","198,192,000","174,323,000","202,927,000","119,260,000","117,937,000","59,030,000"
				AllowanceForDoubtfulAccountsReceivable,"-24,363,000","-26,894,000","-23,086,000","-18,657,000","-18,135,000","-13,815,000","-13,793,000","-13,793,000","-13,798,000","-13,867,000","-13,726,000","-6,435,000","-5,124,000","-2,035,000","-846,000","-536,000"
			AccruedInterestReceivable,"150,157,000",,,,"185,555,000",,,,"40,447,000",,,,,,,
