name,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010
TotalRevenue,"3,480,076,000","3,459,329,000","3,042,359,000","2,443,299,000","2,529,619,000","2,218,032,000","1,403,002,000","664,890,000","316,933,000","106,313,000","28,278,000"
	OperatingRevenue,"3,480,076,000","3,459,329,000","3,042,359,000","2,443,299,000","2,529,619,000","2,218,032,000","1,403,002,000","664,890,000","316,933,000","106,313,000","28,278,000"
CostOfRevenue,"1,157,067,000","1,137,041,000","964,997,000","861,242,000","932,240,000","729,256,000","446,309,000","266,718,000","128,768,000","61,803,000","43,168,000"
GrossProfit,"2,323,009,000","2,322,288,000","2,077,362,000","1,582,057,000","1,597,379,000","1,488,776,000","956,693,000","398,172,000","188,165,000","44,510,000","-14,890,000"
OperatingExpense,"2,057,737,000","1,955,915,000","1,624,037,000","1,543,317,000","1,964,587,000","1,938,812,000","1,495,559,000","1,034,003,000","265,248,000","171,921,000","52,589,000"
	SellingGeneralAndAdministration,"1,321,314,000","1,273,634,000","1,070,179,000","1,001,307,000","1,251,105,000","1,132,164,000","804,016,000","440,011,000","146,244,000","91,745,000","23,241,000"
		GeneralAndAdministrativeExpense,"392,013,000","359,821,000","298,818,000","283,888,000","293,276,000","260,673,000","189,906,000","123,795,000","59,693,000","65,757,000","16,952,000"
			OtherGandA,"392,013,000","359,821,000","298,818,000","283,888,000","293,276,000","260,673,000","189,906,000","123,795,000","59,693,000","65,757,000","16,952,000"
		SellingAndMarketingExpense,"929,301,000","913,813,000","771,361,000","717,419,000","957,829,000","871,491,000","614,110,000","316,216,000","86,551,000","25,988,000","6,289,000"
	ResearchAndDevelopment,"736,423,000","682,281,000","553,858,000","542,010,000","713,482,000","806,648,000","691,543,000","593,992,000","119,004,000","80,176,000","29,348,000"
OperatingIncome,"265,272,000","366,373,000","453,325,000","38,740,000","-367,208,000","-450,036,000","-538,866,000","-635,831,000","-77,083,000","-127,411,000","-67,479,000"
NetNonOperatingInterestIncomeExpense,"15,869,000","19,523,000","-21,385,000","-105,237,000","-74,668,000","-98,178,000","-33,985,000","-6,860,000","-2,486,000","-805,000","55,000"
	InterestIncomeNonOperating,"150,059,000","157,703,000","111,221,000",,"25,300,000",,,,,,
	InterestExpenseNonOperating,"134,190,000","138,180,000","132,606,000","105,237,000","99,968,000","98,178,000",,,,,
	TotalOtherFinanceCost,,,,,,,"33,985,000","6,860,000","2,486,000","805,000","-55,000"
