name,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,06/30/2011,03/31/2011,12/31/2010,06/30/2010,12/31/2009,06/30/2009,12/31/2008,06/30/2008,12/31/2007,06/30/2007,12/31/2006,06/30/2006,12/31/2005,06/30/2005,12/31/2004,06/30/2004,12/31/2003,06/30/2003,12/31/2002,06/30/2002,12/31/2001,06/30/2001,12/31/2000,06/30/2000,12/31/1999,06/30/1999
TotalCapitalization,"289,181,000,000","455,008,000,000","288,003,000,000","319,233,000,000","287,400,000,000","419,065,000,000","267,446,000,000","287,919,000,000","267,406,000,000","403,546,000,000","250,753,000,000","304,841,000,000","245,661,000,000","262,285,000,000","259,758,000,000","329,610,000,000","290,661,000,000","389,482,000,000","288,606,000,000","347,968,000,000","292,517,000,000","414,846,000,000","283,831,000,000","314,730,000,000","286,340,000,000","418,675,000,000","293,359,000,000","312,280,000,000","292,603,000,000","425,452,000,000","285,736,000,000","321,084,000,000","300,268,000,000",,"362,551,000,000",,"345,512,000,000","416,590,000,000","403,228,000,000","398,158,000,000","318,075,000,000","388,569,000,000","413,451,000,000","372,523,000,000","374,514,000,000","331,094,000,000","309,595,000,000","283,392,000,000","321,702,000,000","175,076,000,000","249,232,000,000",,"105,742,000,000",,"89,415,000,000",,"92,292,988,999.283",,"85,228,818,826.032","71,667,000,000"
CommonStockEquity,"189,771,000,000","183,955,000,000","189,517,000,000","192,676,000,000","188,362,000,000","186,253,000,000","185,351,000,000","183,607,000,000","195,924,000,000","190,250,000,000","191,013,000,000","188,396,000,000","178,784,000,000","175,386,000,000","188,108,000,000","191,257,000,000","191,568,000,000","188,460,000,000","192,495,000,000","192,427,000,000","187,137,000,000","190,447,000,000","193,597,000,000","190,281,000,000","183,945,000,000","181,871,000,000","179,051,000,000","174,070,000,000","175,339,000,000","175,242,000,000","171,630,000,000","165,845,000,000","163,708,000,000",,"160,250,000,000","152,546,000,000","147,667,000,000","135,943,000,000","128,299,000,000","118,355,000,000","93,591,000,000","126,785,000,000","128,160,000,000","119,780,000,000","108,352,000,000","101,381,000,000","92,432,000,000","86,713,000,000","86,623,000,000","77,066,000,000","74,473,000,000",,"52,406,000,000",,"45,979,000,000",,"68,063,692,223.085",,"58,309,770,848.971","31,642,000,000"
NetTangibleAssets,"189,771,000,000","163,792,000,000","189,517,000,000","166,943,000,000","188,362,000,000","161,896,000,000","185,351,000,000","159,885,000,000","195,924,000,000","166,797,000,000","191,013,000,000","165,743,000,000","178,784,000,000","154,040,000,000","188,108,000,000","167,204,000,000","191,568,000,000","163,855,000,000","192,495,000,000","167,514,000,000","187,137,000,000","162,870,000,000","193,597,000,000","160,541,000,000","183,945,000,000","151,953,000,000","179,051,000,000","145,533,000,000","175,339,000,000","145,389,000,000","171,630,000,000","136,929,000,000","163,708,000,000",,"128,222,000,000","152,546,000,000","117,745,000,000","108,084,000,000","98,305,000,000","89,250,000,000","66,234,000,000","85,971,000,000","88,471,000,000","81,335,000,000","71,017,000,000","66,837,000,000","59,232,000,000","54,213,000,000","57,241,000,000","45,132,000,000","45,833,000,000",,"35,243,000,000",,"31,398,000,000",,"45,526,660,761.74",,"46,893,206,190.954","31,343,000,000"
InvestedCapital,"289,181,000,000","455,008,000,000","288,003,000,000","319,233,000,000","287,400,000,000","419,065,000,000","267,446,000,000","287,919,000,000","267,406,000,000","403,546,000,000","250,753,000,000","304,841,000,000","245,661,000,000","262,285,000,000","259,758,000,000","329,610,000,000","290,661,000,000","389,482,000,000","288,606,000,000","347,968,000,000","292,517,000,000","414,846,000,000","283,831,000,000","314,730,000,000","286,340,000,000","418,675,000,000","293,359,000,000","312,280,000,000","292,603,000,000","425,452,000,000","285,736,000,000","321,084,000,000","300,268,000,000",,"362,551,000,000",,"345,512,000,000","416,590,000,000","403,228,000,000","398,158,000,000","318,075,000,000","388,569,000,000","413,451,000,000","372,523,000,000","374,514,000,000","331,094,000,000","309,595,000,000","283,392,000,000","321,702,000,000","175,076,000,000","249,232,000,000",,"105,742,000,000",,"89,415,000,000",,"92,292,988,999.283",,"85,228,818,826.032","71,667,000,000"
TangibleBookValue,"189,771,000,000","163,792,000,000","189,517,000,000","166,943,000,000","188,362,000,000","161,896,000,000","185,351,000,000","159,885,000,000","195,924,000,000","166,797,000,000","191,013,000,000","165,743,000,000","178,784,000,000","154,040,000,000","188,108,000,000","167,204,000,000","191,568,000,000","163,855,000,000","192,495,000,000","167,514,000,000","187,137,000,000","162,870,000,000","193,597,000,000","160,541,000,000","183,945,000,000","151,953,000,000","179,051,000,000","145,533,000,000","175,339,000,000","145,389,000,000","171,630,000,000","136,929,000,000","163,708,000,000",,"128,222,000,000","152,546,000,000","117,745,000,000","108,084,000,000","98,305,000,000","89,250,000,000","66,234,000,000","85,971,000,000","88,471,000,000","81,335,000,000","71,017,000,000","66,837,000,000","59,232,000,000","54,213,000,000","57,241,000,000","45,132,000,000","45,833,000,000",,"35,243,000,000",,"31,398,000,000",,"45,526,660,761.74",,"46,893,206,190.954","31,343,000,000"
TotalDebt,"99,410,000,000","275,657,000,000","98,486,000,000","126,557,000,000","99,038,000,000","273,856,000,000","82,095,000,000","104,312,000,000","71,482,000,000","213,296,000,000","59,740,000,000","116,445,000,000","66,877,000,000","86,899,000,000","71,650,000,000","138,353,000,000","99,093,000,000","201,059,000,000","96,111,000,000","155,541,000,000","105,380,000,000","224,466,000,000","90,234,000,000","124,449,000,000","102,395,000,000","236,804,000,000","114,308,000,000","138,210,000,000","117,264,000,000","250,210,000,000","114,106,000,000","155,239,000,000","136,560,000,000",,"202,301,000,000",,"197,845,000,000","280,647,000,000","274,929,000,000","279,803,000,000","224,484,000,000","261,784,000,000","285,291,000,000","252,743,000,000","266,162,000,000","229,713,000,000","217,163,000,000","196,679,000,000","235,079,000,000","98,010,000,000","174,759,000,000",,"53,336,000,000",,"43,436,000,000",,"24,229,296,776.198",,"26,919,047,977.061","40,025,000,000"
NetDebt,,"73,618,000,000",,,,"28,323,000,000",,,,"26,044,000,000",,,,,,,,"67,910,000,000",,,,"61,841,000,000",,,"154,936,000,000","38,964,000,000",,,,"78,632,000,000",,,,,"99,280,000,000",,"115,333,000,000","179,512,000,000","190,416,000,000","190,666,000,000","166,085,000,000","231,592,000,000","253,749,000,000","212,940,000,000","239,286,000,000","192,945,000,000","192,151,000,000","176,057,000,000","225,207,000,000","79,194,000,000","167,098,000,000",,"45,677,000,000",,"37,251,000,000",,,,,"30,658,000,000"
ShareIssued,"20,690,286,423","20,963,797,952","20,585,563,899","20,562,429,271","20,419,682,721","20,360,841,496","20,253,063,689","20,288,273,407","20,378,426,229","20,646,273,407","20,389,691,204","20,701,273,407","20,157,232,312","20,517,273,407","20,065,651,630","19,813,000,000","19,747,057,258","19,685,096,934","19,563,172,056","19,516,000,000","19,275,815,109","19,217,874,260","19,152,460,598","19,070,462,564","18,883,563,186","18,830,007,039","18,657,213,534","18,627,000,000","18,564,385,871","18,476,008,664","18,313,845,736","18,163,305,916","18,125,502,793","17,868,005,608","17,817,506,386","17,706,930,402","17,686,155,902","17,509,832,317","17,408,204,472","17,314,642,569","27,782,309,678","13,776,767,098","13,574,180,566","13,440,690,696","13,279,419,125","13,174,610,620","12,943,843,484","12,877,414,120","12,820,292,372","12,643,593,407","12,576,949,455","12,388,253,064","10,879,526,522","10,843,825,716","10,734,716,268",,"10,635,537,546",,"9,705,925,788",
OrdinarySharesNumber,"20,365,013,016","20,638,524,545","20,260,290,492","20,237,155,864","20,094,409,314","20,035,568,089","19,927,790,282","19,963,000,000","20,053,152,822","20,321,000,000","20,064,417,797","20,376,000,000","19,831,958,905","20,192,000,000","19,949,203,663","19,813,000,000","19,747,057,258","19,685,096,934","19,563,172,056","19,516,000,000","19,275,815,109","19,217,874,260","19,152,460,598","19,070,462,564","18,883,563,186","18,830,007,039","18,657,213,534","18,627,000,000","18,564,385,871","18,476,008,664","18,313,845,736","18,163,305,916","18,125,502,793","17,868,005,608","17,817,506,386","17,706,930,402","17,686,155,902","17,509,832,317","17,408,204,472","17,314,642,569","13,891,154,839","13,776,767,098","13,574,180,566","13,440,690,696","13,279,419,125","13,174,610,620","12,943,843,484","12,877,414,120","12,820,292,372","12,643,593,407","12,576,949,455","12,388,253,064","10,879,526,522","10,843,825,716","10,734,716,268",,"10,635,537,546",,"9,705,925,788",
PreferredSharesNumber,,"1,450,000",,,,,,,,"1,450,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TreasurySharesNumber,"325,273,407","325,273,407","325,273,407","325,273,407","325,273,407","325,273,407","325,273,407","325,273,407","325,273,407","325,273,407","325,273,407","325,273,407","325,273,407","325,273,407","116,447,967","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",,,,,,,,,,,"13,891,154,839",,,,,,,,,,,,,,,,,,,
