name,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996,12/31/1995,12/31/1994
TotalAssets,"1,526,164,000","1,505,491,000","1,199,103,000","1,172,276,000","1,422,015,000","1,833,805,000","2,217,848,000","2,297,915,000","2,168,366,000","1,913,183,000","892,608,000","943,129,000","866,701,000","906,201,000","886,820,000","1,068,000,000","967,000,000","859,000,000","797,000,000","908,000,000","933,000,000","1,137,000,000","1,233,000,000","988,000,000","864,000,000","778,000,000"
	CurrentAssets,"682,580,000","638,051,000","354,542,000","330,933,000","426,878,000","644,995,000","775,658,000","823,001,000","731,950,000","545,884,000","428,898,000","463,423,000","508,793,000","569,245,000","459,687,000","480,000,000","388,000,000","313,000,000","322,000,000","361,000,000","420,000,000","578,000,000","566,000,000","483,000,000","403,000,000","362,000,000"
		CashCashEquivalentsAndShortTermInvestments,"80,935,000","49,880,000","13,365,000","11,610,000","6,927,000","17,550,000","11,888,000","17,317,000","12,429,000","13,096,000","50,181,000","11,664,000","54,741,000","149,517,000","5,968,000","24,000,000","34,000,000","11,000,000","38,000,000","47,000,000","20,000,000","58,000,000","58,000,000","95,000,000","53,000,000","60,000,000"
			CashAndCashEquivalents,"80,935,000","49,880,000","13,365,000","11,610,000","6,927,000","17,550,000","11,888,000","17,317,000","12,429,000","13,096,000","50,181,000","11,664,000","54,741,000","149,517,000","5,968,000","24,000,000","34,000,000","11,000,000","38,000,000","47,000,000","17,000,000","58,000,000","58,000,000","95,000,000","53,000,000","60,000,000"
			OtherShortTermInvestments,,,,,,,,,,,,,,,,,,,,,"3,000,000",,,,,
		Receivables,"260,941,000","267,528,000","135,468,000","93,552,000","112,902,000","202,756,000","199,566,000","261,654,000","253,151,000","179,755,000","117,620,000","146,986,000","158,486,000","166,528,000","184,580,000","206,000,000","126,000,000","108,000,000","95,000,000","121,000,000","171,000,000","198,000,000","242,000,000","185,000,000","180,000,000","148,000,000"
			AccountsReceivable,"247,051,000","248,286,000","116,841,000","80,568,000","102,815,000","162,919,000","199,566,000","236,429,000","257,304,000","179,755,000","117,620,000","146,986,000","158,486,000","166,528,000","184,580,000","206,000,000","126,000,000","108,000,000","95,000,000","121,000,000",,,,,,
				GrossAccountsReceivable,"252,525,000","249,415,000","117,938,000","80,894,000","103,119,000","170,390,000","206,284,000","244,000,000",,,,,,,,,,,,,,,,,,
				AllowanceForDoubtfulAccountsReceivable,"-5,474,000","-1,129,000","-1,097,000","-326,000","-304,000","-7,471,000","-6,718,000","-7,571,000",,,,,,,,,,,,,,,,,,
			TaxesReceivable,"13,890,000","19,242,000","18,627,000","12,984,000","10,087,000","39,837,000",,,,,,,,,,,,,,,,,,,,
			OtherReceivables,,,,,,,,"25,225,000",,,,,,,,,,,,,,,,,,
			ReceivablesAdjustmentsAllowances,,,,"-326,000","-304,000",,,"-7,571,000","-4,153,000",,,,,,,,,,,,,,,,,
		Inventory,"326,386,000","305,224,000","185,161,000","156,111,000","295,462,000","382,903,000","490,414,000","513,065,000","444,062,000","340,418,000","245,511,000","290,397,000","285,433,000","239,129,000","255,038,000","225,000,000","204,000,000","173,000,000","177,000,000","175,000,000","204,000,000","264,000,000","206,000,000","176,000,000","136,000,000","122,000,000"
			RawMaterials,"117,558,000","111,442,000","50,444,000","54,469,000","80,408,000","122,218,000","184,420,000","230,057,000","168,982,000","118,691,000","89,855,000","130,615,000","97,009,000","79,277,000","74,650,000","59,000,000","47,000,000","40,000,000","33,000,000",,,,,,,
			WorkInProcess,"137,230,000","125,767,000","85,852,000","52,379,000","136,858,000","176,141,000","245,160,000","213,948,000","205,968,000","160,368,000","106,606,000","111,995,000","132,709,000","123,162,000","150,816,000","142,000,000","123,000,000","103,000,000","111,000,000",,,,,,,
			FinishedGoods,"71,598,000","68,015,000","48,865,000","49,263,000","78,196,000","84,544,000","78,446,000","73,293,000","73,821,000","64,075,000","51,568,000","49,895,000","57,183,000","41,039,000","29,572,000","24,000,000","34,000,000","30,000,000","33,000,000",,,,,,,
			InventoriesAdjustmentsAllowances,,,,,,,"-17,612,000","-4,233,000","-4,709,000","-2,716,000","-2,518,000","-2,108,000","-1,468,000","-4,349,000",,,,,,,,,,,,
		PrepaidAssets,"9,986,000","10,720,000","9,505,000","6,096,000","9,297,000","9,923,000","73,790,000","30,965,000","22,308,000","12,615,000","9,586,000","14,376,000","10,133,000","14,071,000","14,101,000","25,000,000","24,000,000","21,000,000","12,000,000",,,,,,,
		CurrentDeferredAssets,,,,,"0","28,426,000",,,,,,,,,,,,,,,,,,,,
			CurrentDeferredTaxesAssets,,,,,"0","28,426,000",,,,,,,,,,,,,,,,,,,,
		AssetsHeldForSaleCurrent,,"0","5,313,000","60,979,000",,,,,,,,,,,,,,,,,,,,,,
