name,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998
PretaxIncome,"155,897,000","146,652,000","135,833,000","89,778,000","74,919,000","85,963,000","81,228,000","68,145,000","51,139,000","17,730,000","1,933,000","-15,641,000","-22,711,000","28,391,000","41,973,000","45,388,000","31,411,000","23,912,000","20,959,000","4,804,000",,,
TaxProvision,"36,326,000","32,933,000","30,852,000","-1,378,000","26,895,000","30,947,000","29,237,000","24,518,000","19,091,000","6,357,000","-24,000","-6,605,000","-3,022,000","11,306,000","16,100,000","17,929,000","12,152,000","8,979,000","8,901,000","4,033,000",,,
NetIncomeCommonStockholders,"119,571,000","113,719,000","104,981,000","91,156,000","48,024,000","55,016,000","51,991,000","43,627,000","32,048,000","11,373,000","1,957,000","-7,875,000","-20,727,000","18,342,000","-20,681,000","27,459,000","19,259,000","14,933,000","-63,117,000","771,000","1,698,000","9,789,000","9,187,000"
	NetIncome,"119,571,000","113,719,000","104,981,000","91,156,000","48,024,000","55,016,000","51,991,000","43,627,000","32,048,000","11,373,000","1,957,000","-7,875,000","-20,727,000","18,342,000","-20,681,000","27,459,000","19,259,000","14,933,000","-63,117,000","771,000","1,698,000","9,789,000","9,187,000"
		NetIncomeIncludingNoncontrollingInterests,"119,571,000","113,719,000","104,981,000","91,156,000","48,024,000","55,016,000","51,991,000","43,627,000","32,048,000","11,373,000","1,957,000","-7,875,000","-20,727,000","18,342,000","-20,681,000","27,459,000","19,259,000","14,933,000","-63,117,000","771,000","1,698,000","9,789,000","9,187,000"
			NetIncomeContinuousOperations,"119,571,000","113,719,000","104,981,000","91,156,000","48,024,000","55,016,000","51,991,000","43,627,000","32,048,000","11,373,000","1,957,000","-9,036,000","-19,689,000","17,085,000","25,873,000","27,459,000","19,259,000","14,933,000","12,058,000","771,000","1,698,000","9,789,000","9,187,000"
			NetIncomeDiscontinuousOperations,,,,,,,,,,"0","0","1,161,000","-1,038,000","1,257,000","-46,554,000",,,,,,,,
			NetIncomeExtraordinary,,,,,,,,,,,,,,,,,"0","0","-75,175,000","0",,,
DilutedNIAvailtoComStockholders,"119,571,000","113,719,000","104,981,000","91,156,000","48,024,000","55,016,000","51,991,000","43,627,000","32,048,000","11,373,000","1,957,000","-7,875,000","-20,727,000","18,342,000","-20,681,000","27,459,000","19,259,000","14,933,000","-63,117,000","771,000","1,698,000","9,789,000","9,187,000"
BasicEPS,,"4.38","4.08","3.57","1.92","2.21","2.12","1.81","1.347","0.48","0.08","-0.393","0.433","0.887","-0.947","1.247","0.867","0.68","-2.887","0.033","0.078","0.448","0.421"
DilutedEPS,,"4.3","3.99","3.49","1.87","2.16","2.04","1.73","1.293","0.467","0.08","-0.393","0.427","0.873","-0.947","1.213","0.84","0.66","-2.887","0.033","0.078","0.447","0.42"
BasicAverageShares,,"25,952,000","25,762,000","25,518,000","25,038,000","24,919,000","24,505,000","24,154,000","23,823,000","23,683,500","23,569,500","20,134,500","19,974,000","20,734,500","21,804,000","22,060,500","22,287,000","22,030,500","21,877,500","21,847,500","21,847,500","21,847,500","21,847,500"
DilutedAverageShares,,"26,435,000","26,291,000","26,086,000","25,680,000","25,471,000","25,463,000","25,205,000","24,814,500","24,204,000","24,172,500","20,134,500","20,418,000","21,057,000","22,261,500","22,572,000","22,968,000","22,693,500","22,006,500","21,847,500","21,847,500","21,915,672","21,873,810"
TotalOperatingIncomeAsReported,"162,731,000","152,586,000","141,177,000","94,737,000","79,136,000","89,975,000","85,693,000","74,418,000","58,734,000","28,146,000","12,100,000","-3,693,000","-9,851,000","38,168,000","49,994,000","54,642,000","40,834,000","32,882,000","27,230,000","15,743,000","21,661,000","28,678,000","22,096,000"
TotalExpenses,"1,661,735,000","1,634,552,000","1,512,293,000","1,283,956,000","1,138,629,000","1,131,026,000","1,186,644,000","1,065,397,000","1,040,432,000","1,002,078,000","846,820,000","793,210,000","939,041,000","1,312,357,000","1,135,480,000","1,443,105,000","1,274,093,000","1,072,161,000","1,003,929,000","755,839,000","767,348,000","565,832,000","385,864,000"
InterestIncome,,,,,,,,,,,"0","0","72,000",,,,,,,,,,
InterestExpense,"6,707,000","6,688,000","5,418,000","5,051,000","4,394,000","4,107,000","4,564,000","6,490,000","7,807,000","10,468,000","10,602,000","12,156,000","12,441,000",,,,,,,,,,
NetInterestIncome,"-6,707,000","-6,688,000","-5,418,000","-5,051,000","-4,394,000","-4,107,000","-4,564,000","-6,490,000","-7,807,000","-10,468,000","-10,602,000","-12,156,000","-12,369,000",,,,,,,,,,
NetIncomeFromContinuingAndDiscontinuedOperation,"119,571,000","113,719,000","104,981,000","91,156,000","48,024,000","55,016,000","51,991,000","43,627,000","32,048,000","11,373,000","1,957,000","-7,875,000","-20,727,000","18,342,000","-20,681,000","27,459,000","19,259,000","14,933,000","12,058,000","771,000","1,698,000","9,789,000","9,187,000"
NormalizedIncome,"118,099,151.607","113,406,675","105,273,967","91,046,200","48,482,956","55,214,400","51,980,760","43,165,560","31,742,651","11,339,644.332","1,674,250","-9,171,200","11,522,456.035","18,545,508.436","28,386,144.664","27,459,000","20,412,295.947","14,762,512.002","12,119,200","771,000","1,698,000","9,789,000","9,187,000"
EBIT,"162,604,000","153,340,000","141,251,000","94,829,000","79,313,000","90,070,000","85,792,000","74,635,000","58,946,000","28,198,000","12,535,000","-3,485,000","-10,270,000","-336,234,000","-260,742,000","-345,074,000","-291,823,000","-244,802,000","-228,493,000","15,743,000","21,661,000","28,678,000","22,096,000"
EBITDA,"287,547,000"
ReconciledCostOfRevenue,"1,562,180,000","1,537,082,000","1,423,779,000","1,203,464,000","1,058,979,000","1,067,191,000","1,113,053,000","1,003,390,000","977,437,000","450,988,000","292,760,000","232,024,000","325,365,000","340,075,000","286,724,000","367,071,000","306,953,000","252,293,000","232,942,000",,,,
ReconciledDepreciation,"124,943,000","119,135,000","102,153,000","87,102,000","76,240,000","65,020,000","59,022,000","51,564,000","47,985,000","37,278,000","36,159,000","39,342,000","40,898,000","38,685,000","32,550,000","48,204,000","47,968,000","44,039,000","44,920,000","49,166,000","48,296,000","33,406,000","19,876,000"
NetIncomeFromContinuingOperationNetMinorityInterest,"119,571,000","113,719,000","104,981,000","91,156,000","48,024,000","55,016,000","51,991,000","43,627,000","32,048,000","11,373,000","1,957,000","-9,036,000","-19,689,000","17,085,000","25,873,000","27,459,000","19,259,000","14,933,000","12,058,000","771,000","1,698,000","9,789,000","9,187,000"
TotalUnusualItemsExcludingGoodwill,"1,919,000","403,000","-379,000","183,000","-716,000","-310,000","16,000","721,000","487,000","52,000","435,000","208,000","-36,002,000","-2,427,000","-4,077,000",,"-1,881,000","273,000","-102,000",,,,
TotalUnusualItems,"1,919,000","403,000","-379,000","183,000","-716,000","-310,000","16,000","721,000","487,000","52,000","435,000","208,000","-36,002,000","-2,427,000","-4,077,000",,"-1,881,000","273,000","-102,000",,,,
NormalizedEBITDA,"285,628,000","272,072,000","243,783,000","181,748,000","156,269,000","155,400,000","144,798,000","125,478,000","106,444,000","65,424,000","48,259,000","35,649,000","66,630,000","-295,122,000","-224,115,000","-296,870,000","-241,974,000","-201,036,000","-183,471,000","64,909,000","69,957,000","62,084,000","41,972,000"
TaxRateForCalcs,"0.233","0.225","0.227","0.4","0.359","0.36","0.36","0.36","0.373","0.359","0.35","0.35","0.133","0.398","0.384","0.395","0.387","0.376","0.4","0.4","0.4","0.4","0.4"
TaxEffectOfUnusualItems,"447,151.607","90,675","-86,033","73,200","-257,044","-111,600","5,760","259,560","181,651","18,644.332","152,250","72,800","-4,790,543.965","-966,491.564","-1,563,855.336","0","-727,704.053","102,512.002","-40,800","0","0","0","0"
