name,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010
MarketCap,"5,077,458,615","6,559,600,320","4,977,181,440","6,210,204,798","4,022,740,812","3,916,618,200","3,645,639,900","2,986,380,000","2,583,387,510","1,335,989,188","1,560,587,580"
EnterpriseValue,"5,160,011,615","5,857,919,320","3,469,573,440","5,781,440,798","3,295,115,812","3,590,752,200","3,645,639,900","2,412,080,000","2,583,387,510","983,945,188","1,125,658,580"
PeRatio,"7.857","11.503","8.36","22.15","11.816","13.702","17.937","13.558","8.697","15.838","12.45"
ForwardPeRatio,"16.892","11.325",,,,,,"12.755","10.309","10.917","14.306"
PegRatio,,,,,,,,"3.358","0.324","2.185","1.101"
PsRatio,"0.822","1.124","0.869","1.084","0.748","0.775","0.792","0.616","0.576","0.352","0.406"
PbRatio,"1.165","1.546","1.355","1.887","1.333","1.456","1.414","1.259","1.1","0.676","0.788"
EnterprisesValueRevenueRatio,"0.818","0.945","0.604","1.002","0.591","0.694","0.779","0.487","0.569","0.258","0.288"
