name,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996,12/31/1995,12/31/1994,12/31/1991,12/31/1989,12/31/1988,12/31/1987,12/31/1986
TotalRevenue,"27,812,000,000","27,812,000,000","14,514,000,000","13,692,000,000","13,166,000,000","13,886,000,000","13,806,000,000","15,284,000,000","14,089,000,000","14,245,000,000","14,059,800,000","13,014,600,000","13,950,400,000","14,072,900,000","14,320,200,000","14,536,400,000","22,525,900,000","26,585,300,000","24,605,700,000","23,222,800,000","20,043,700,000","12,858,800,000","12,096,100,000","13,206,100,000","12,084,200,000","11,688,700,000","7,363,200,000",,"1,436,200,000","1,258,500,000","1,010,700,000","919,200,000"
	OperatingRevenue,"27,812,000,000","27,812,000,000","14,279,000,000","13,463,000,000","12,939,000,000","13,645,000,000","13,556,000,000","15,021,000,000","13,848,000,000","14,245,000,000","14,059,800,000","13,014,600,000","13,950,400,000","14,072,900,000","14,320,200,000","14,536,400,000","22,525,900,000","26,585,300,000","24,605,700,000","23,222,800,000","20,043,700,000","12,858,800,000","12,096,100,000","13,206,100,000","12,084,200,000","11,688,700,000","7,363,200,000",,"1,436,200,000","1,258,500,000","1,010,700,000","919,200,000"
CostOfRevenue,"17,223,000,000","17,223,000,000","9,111,000,000","8,438,000,000","7,956,000,000","8,324,000,000","8,089,000,000","8,813,000,000","7,967,000,000","8,367,000,000","8,985,300,000","8,699,700,000","8,650,700,000","8,329,300,000","8,424,800,000","8,671,800,000","12,545,800,000","16,253,700,000","14,865,100,000","14,137,000,000","11,707,100,000","8,337,900,000","8,506,300,000","8,863,300,000","7,605,300,000","7,072,700,000","4,401,000,000",,"712,800,000","599,900,000","477,600,000","446,400,000"
GrossProfit,"10,589,000,000","10,589,000,000","5,403,000,000","5,254,000,000","5,210,000,000","5,562,000,000","5,717,000,000","6,471,000,000","6,122,000,000","5,878,000,000","5,074,500,000","4,314,900,000","5,299,700,000","5,743,600,000","5,895,400,000","5,864,600,000","9,980,100,000","10,331,600,000","9,740,600,000","9,085,800,000","8,336,600,000","4,520,900,000","3,589,800,000","4,342,800,000","4,478,900,000","4,616,000,000","2,962,200,000",,"723,400,000","658,600,000","533,100,000","472,800,000"
OperatingExpense,"6,090,000,000","6,090,000,000","2,440,000,000","2,768,000,000","2,551,000,000","2,719,000,000","2,743,000,000","3,192,000,000","3,109,000,000","3,303,000,000","3,177,600,000","3,070,700,000","3,140,300,000","3,121,800,000","3,289,000,000","12,682,500,000","22,949,100,000","6,705,800,000","5,143,900,000","7,506,200,000","7,015,700,000","3,203,300,000","2,838,200,000","3,590,000,000","3,115,700,000","3,122,700,000","2,353,900,000",,"579,800,000","514,000,000","401,400,000","350,500,000"
	SellingGeneralAndAdministration,"5,647,000,000","5,647,000,000","2,217,000,000","2,564,000,000","2,335,000,000","2,455,000,000","2,462,000,000","2,735,000,000","2,634,000,000","2,755,000,000","2,615,300,000","2,488,400,000","2,608,700,000","2,666,100,000","2,784,300,000","2,699,400,000","4,142,100,000","4,374,700,000","4,198,300,000","4,419,200,000","4,093,700,000","2,358,600,000","2,060,900,000","2,646,700,000","2,298,100,000","2,302,300,000","1,888,200,000",,"444,000,000","373,800,000","286,900,000","272,700,000"
		GeneralAndAdministrativeExpense,"5,647,000,000","5,647,000,000","2,217,000,000","2,564,000,000","2,335,000,000","2,455,000,000","2,462,000,000","2,735,000,000","2,634,000,000",,,,,,,,,,,,,,,,,,,,,,,
			SalariesAndWages,"0","0","0","352,000,000","211,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,
			OtherGandA,"5,647,000,000","5,647,000,000","2,217,000,000","2,212,000,000","2,124,000,000","2,455,000,000","2,462,000,000","2,735,000,000","2,634,000,000",,,,,,,,,,,,,,,,,,,,,,,
	DepreciationAmortizationDepletionIncomeStatement,"443,000,000","443,000,000","223,000,000","223,000,000","225,000,000","264,000,000","281,000,000","457,000,000","475,000,000","548,000,000","562,300,000","582,300,000","531,600,000","455,700,000","439,500,000","498,700,000","809,900,000","999,800,000","945,600,000","3,087,000,000","2,223,500,000","844,700,000","777,300,000","943,300,000","817,600,000","820,400,000","465,700,000",,"135,800,000","140,200,000","114,500,000","77,800,000"
