name,ttm,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015
TotalRevenue,"1,681,357,000","368,271,000","417,166,000","462,218,000","433,702,000","343,355,000","370,427,000","478,138,000","441,801,000","351,392,000","347,263,000","427,988,000","433,615,000","336,927,000","332,353,000","463,261,000","442,796,000","320,216,000","319,868,000","446,576,000","416,298,000"
	OperatingRevenue,"1,577,808,000","332,602,000","384,812,000","441,247,000","419,147,000","321,364,000","351,474,000","455,368,000","426,850,000","330,003,000","331,531,000","408,095,000","420,765,000","307,606,000","321,619,000","448,395,000","434,878,000","308,231,000","313,257,000","439,841,000","410,700,000"
CostOfRevenue,"809,122,000","181,580,000","199,822,000","216,175,000","211,545,000","168,426,000","181,489,000","227,328,000","214,127,000","172,892,000","174,295,000","205,079,000","207,200,000","159,427,000","170,369,000","225,301,000","217,331,000","154,663,000","162,528,000","208,889,000","201,040,000"
GrossProfit,"872,235,000","186,691,000","217,344,000","246,043,000","222,157,000","174,929,000","188,938,000","250,810,000","227,674,000","178,500,000","172,968,000","222,909,000","226,415,000","177,500,000","161,984,000","237,960,000","225,465,000","165,553,000","157,340,000","237,687,000","215,258,000"
OperatingExpense,"686,582,000","158,126,000","173,618,000","184,908,000","169,930,000","155,330,000","163,065,000","186,231,000","165,390,000","152,130,000","154,703,000","165,524,000","162,127,000","170,129,000","153,190,000","171,468,000","166,127,000","160,370,000","157,294,000","172,546,000","166,402,000"
	SellingGeneralAndAdministration,"627,503,000","142,997,000","158,857,000","170,223,000","155,426,000","140,177,000","148,653,000","171,685,000","151,368,000","138,014,000","142,017,000","151,808,000","147,998,000","154,970,000","139,063,000","158,121,000","153,348,000","146,765,000","144,246,000","159,280,000","153,727,000"
	ResearchAndDevelopment,"51,601,000","13,184,000","12,746,000","12,920,000","12,751,000","13,394,000","12,787,000","12,916,000","12,392,000","12,489,000","11,060,000","12,092,000","12,507,000","13,508,000","12,473,000","11,693,000","11,130,000","11,954,000","11,395,000","11,614,000","11,014,000"
	DepreciationAmortizationDepletionIncomeStatement,"7,478,000","1,945,000","2,015,000","1,765,000","1,753,000","1,759,000","1,625,000","1,630,000","1,630,000","1,627,000","1,626,000","1,624,000","1,622,000","1,651,000","1,654,000","1,654,000","1,649,000","1,651,000","1,653,000","1,652,000","1,661,000"
		DepreciationAndAmortizationInIncomeStatement,"7,478,000","1,945,000","2,015,000","1,765,000","1,753,000","1,759,000","1,625,000","1,630,000","1,630,000","1,627,000","1,626,000","1,624,000","1,622,000","1,651,000","1,654,000","1,654,000","1,649,000","1,651,000","1,653,000","1,652,000","1,661,000"
			Amortization,"7,478,000","1,945,000","2,015,000","1,765,000","1,753,000","1,759,000","1,625,000","1,630,000","1,630,000","1,627,000","1,626,000","1,624,000","1,622,000","1,651,000","1,654,000","1,654,000","1,649,000","1,651,000","1,653,000","1,652,000","1,661,000"
				AmortizationOfIntangiblesIncomeStatement,"7,478,000","1,945,000","2,015,000","1,765,000","1,753,000","1,759,000","1,625,000","1,630,000","1,630,000","1,627,000","1,626,000","1,624,000","1,622,000","1,651,000","1,654,000","1,654,000","1,649,000","1,651,000","1,653,000","1,652,000","1,661,000"
OperatingIncome,"185,653,000","28,565,000","43,726,000","61,135,000","52,227,000","19,599,000","25,873,000","64,579,000","62,284,000","26,370,000","18,265,000","57,385,000","64,288,000","7,371,000","8,794,000","66,492,000","59,338,000","5,183,000","46,000","65,141,000","48,856,000"
NetNonOperatingInterestIncomeExpense,"-18,624,000","-4,024,000","-4,504,000","-5,213,000","-4,883,000","-3,987,000","-4,284,000","-5,247,000","-4,408,000","-3,846,000","-4,040,000","-4,901,000","-2,922,000","-5,832,000","-15,672,000","-14,563,000","-13,841,000","-12,201,000","-17,563,000","-15,199,000","-15,331,000"
	InterestIncomeNonOperating,"848,000"
	InterestExpenseNonOperating,"19,472,000"
	TotalOtherFinanceCost,"19,613,000","5,013,000","4,504,000","5,213,000","4,883,000","4,463,000","4,284,000","5,247,000","4,408,000",,"4,040,000","4,901,000","2,922,000","5,832,000","15,672,000","14,563,000","13,841,000",,"17,563,000","15,199,000","15,331,000"
OtherIncomeExpense,"-1,864,000","-567,000","-1,486,000","-781,000","970,000","147,000","-4,142,000","-544,000","434,000","670,000","-103,000","-239,000","749,000","-1,174,000","2,275,000","-2,510,000","-1,970,000","-16,794,000","-54,000","-11,758,000","1,824,000"
	GainOnSaleOfSecurity,"-989,000"
	SpecialIncomeCharges,"498,000",,,,,,,,,"-177,000","0","0","0","1,317,000","-174,000","-55,000","-587,000","1,364,000","0",,"0"
		RestructuringAndMergernAcquisition,,,,,,,,,,"0","0","0","0","857,000","174,000","55,000","587,000","1,643,000","0",,"0"
		OtherSpecialCharges,"-498,000"
	OtherNonOperatingIncomeExpenses,"-1,373,000","-76,000","-1,486,000","-781,000","970,000","365,000","-4,142,000","-544,000","434,000","847,000","-103,000","-239,000","749,000","3,621,000","2,449,000","-2,455,000","-1,383,000","10,206,000","-54,000","-11,758,000","1,824,000"
PretaxIncome,"165,165,000","23,974,000","37,736,000","55,141,000","48,314,000","15,759,000","17,447,000","58,788,000","58,310,000","23,194,000","14,122,000","52,245,000","62,115,000","365,000","-4,603,000","49,419,000","43,527,000","-23,812,000","-17,571,000","38,184,000","35,349,000"
TaxProvision,"40,600,000","4,356,000","7,730,000","16,239,000","12,275,000","3,495,000","10,098,000","18,419,000","15,220,000","10,876,000","3,488,000","18,207,000","22,485,000","-171,000","440,000","21,941,000","17,317,000","-4,652,000","-4,273,000","17,957,000","18,962,000"
NetIncomeCommonStockholders,"121,070,000","17,859,000","29,797,000","38,488,000","34,926,000","11,418,000","7,063,000","39,907,000","41,484,000","11,666,000","9,318,000","33,016,000","38,114,000","2,678,000","-9,632,000","27,055,000","29,086,000","11,779,000","-17,424,000","18,654,000","14,802,000"
	NetIncome,"121,070,000","17,859,000","29,797,000","38,488,000","34,926,000","11,418,000","7,063,000","39,907,000","41,484,000","11,666,000","9,318,000","33,016,000","38,114,000","-890,000","-6,167,000","27,055,000","24,680,000","-20,435,000","-13,987,000","18,654,000","14,802,000"
		NetIncomeIncludingNoncontrollingInterests,"124,565,000","19,618,000","30,006,000","38,902,000","36,039,000","12,264,000","7,349,000","40,369,000","43,090,000","12,318,000","10,634,000","34,038,000","39,630,000","536,000","-5,043,000","27,478,000","26,210,000","-19,160,000","-13,298,000","20,227,000","16,387,000"
			NetIncomeContinuousOperations,"124,565,000","19,618,000","30,006,000","38,902,000","36,039,000","12,264,000","7,349,000","40,369,000","43,090,000","12,318,000","10,634,000","34,038,000","39,630,000","536,000","-5,043,000","27,478,000","26,210,000","-19,160,000","-13,298,000","20,227,000","16,387,000"
		MinorityInterests,"-3,495,000","-1,759,000","-209,000","-414,000","-1,113,000","-846,000","-286,000","-462,000","-1,606,000","-652,000","-1,316,000","-1,022,000","-1,516,000","-1,426,000","-1,124,000","-423,000","-1,530,000","-1,275,000","-689,000","-1,573,000","-1,585,000"
	PreferredStockDividends,,,,,,,,,,,,,,"1,158,000",,,,,,,
	OtherunderPreferredStockDividend,,,,,,,,,,,,,,"-15,144,000","3,465,000",,"-4,406,000","-32,214,000","3,437,000",,
AverageDilutionEarnings,,,,,,,,,,,,,,"-571,000","0",,,,"0",,
