name,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,07/31/2002,07/31/2001,07/31/2000,07/31/1999,07/31/1998,07/31/1997,07/31/1996,07/31/1995,07/31/1994,07/31/1993,07/31/1992,07/31/1991,07/31/1990,07/31/1989
	NetIncome,"772,388,000","772,388,000","1,097,960,000","805,395,000","-260,453,000","740,101,000","281,292,000","735,842,000","1,727,172,000","1,023,397,000","103,964,000","19,533,000","120,558,000","334,128,000","266,566,000","167,658,000","83,879,000","46,053,000","5,403,000","32,029,000","73,450,000","11,445,000","19,900,000","15,200,000","13,100,000","19,200,000","18,100,000","20,700,000","18,900,000","2,800,000","11,700,000","24,000,000","33,100,000"
		NetIncomeIncludingNoncontrollingInterests,"872,352,000","872,352,000","1,177,224,000","881,242,000","-190,945,000","802,508,000","326,328,000","767,823,000","1,760,033,000","1,059,704,000","133,051,000","53,269,000","120,558,000","334,128,000","266,566,000","174,379,000","91,454,000","46,053,000","5,403,000","32,029,000","73,450,000","11,445,000","19,900,000","15,200,000","13,100,000","19,200,000","18,100,000","20,700,000","18,900,000","2,800,000","11,700,000","24,000,000","33,100,000"
			NetIncomeContinuousOperations,"872,352,000","872,352,000","1,177,224,000","881,242,000","-190,945,000","802,508,000","326,328,000","767,823,000","1,760,033,000","1,059,704,000","133,051,000","36,343,000","120,558,000","334,128,000","246,898,000","166,989,000","83,879,000","46,053,000","5,403,000","32,029,000","73,450,000","11,445,000","19,900,000","15,200,000","13,100,000","19,200,000","12,400,000","20,700,000","19,900,000","2,800,000","11,700,000","24,000,000","33,100,000"
			NetIncomeDiscontinuousOperations,,,,,,,,,,"0","0","16,926,000","0",,"19,668,000",,,,,,,,,,,,,,,,,,
			NetIncomeExtraordinary,,,,,,,,,,,,,,,,,,,,,,,,,,,"5,700,000",,"-1,000,000",,,,
			NetIncomeFromTaxLossCarryforward,,,,,,,,,,,,,,,,"669,000",,,,,,,,,,,,,,,,,
		MinorityInterests,"-99,964,000","-99,964,000","-79,264,000","-75,847,000","-69,508,000","-62,407,000","-45,036,000","-31,981,000","-32,861,000","-36,307,000","-29,087,000","-33,736,000",,,,"-6,721,000","-7,575,000",,,,,,,,,,,,,,,,
	OtherunderPreferredStockDividend,"1,034,000","1,034,000","3,714,000","5,047,000","1,003,000","2,306,000","820,000","2,754,000",,,,,,,,,,,,,,,,,,,,,,,,,
DilutedNIAvailtoComStockholders,"771,354,000","771,354,000","1,094,246,000","800,348,000","-261,456,000","737,795,000","280,472,000","733,088,000","1,727,172,000","1,023,397,000","103,964,000","19,533,000","120,558,000","334,128,000","266,566,000","167,658,000","83,879,000","46,053,000","5,403,000","32,029,000","73,450,000","11,445,000","19,900,000","15,200,000","13,100,000","19,200,000","18,100,000","20,700,000","18,900,000","2,800,000","11,700,000","24,000,000","33,100,000"
BasicEPS,,,"6.25","4.54","-1.48","3.91","1.42","3.66","8.41","6.46","0.975","0.195","1.2","3.045","2.34","1.358","0.668","0.371","0.044","0.258","0.605","0.089","0.151","0.115","0.099","0.146","0.138","0.157","0.143","0.021","0.088","0.179","0.248"
