name,ttm,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999
TotalRevenue,"2,580,990,000","521,046,000","525,026,000","643,801,000","891,117,000","152,971,000","294,257,000","261,028,000","112,611,000","296,874,000","236,626,000","279,266,000","276,553,000","127,973,000","356,648,000","332,285,000","313,424,000","210,628,000","268,908,000","253,946,000","292,370,000","224,494,000","206,071,000","297,010,000","125,981,000","133,774,000","123,764,000","86,292,000","76,368,000","37,275,000","49,882,000","24,360,000","48,019,000","27,956,000","11,609,000","30,237,000","39,051,000","38,417,000","32,919,000","22,271,000","42,451,000","27,661,000","31,664,000","27,752,000","14,635,000","4,655,000","14,067,000","25,811,000","5,561,000","30,433,000","22,139,000","20,670,000","25,170,000","67,649,000","5,248,000","5,298,000","3,714,000","25,532,000","2,381,000","2,312,000","847,000","4,051,000","7,033,000","2,379,000","3,277,000","8,738,000","2,796,000","3,785,000","1,362,000","14,406,000","2,404,000","11,006,000","2,304,000","1,021,000","1,350,000","1,338,000","1,039,000","1,000","2,067,000","1,247,000","1,277,000","1,130,000","1,145,000","1,320,000","1,067,000"
	OperatingRevenue,"2,580,990,000","521,046,000","525,026,000","643,801,000","891,117,000","152,971,000","294,257,000","261,028,000","112,611,000","296,874,000","236,626,000","279,266,000","276,553,000","127,973,000","356,648,000","332,285,000","313,424,000","210,628,000","268,908,000","253,946,000","292,370,000","224,494,000","206,071,000","297,010,000","125,981,000","133,774,000","123,764,000","86,292,000","76,368,000","37,275,000","49,882,000","24,360,000","48,019,000","27,956,000","11,609,000","30,237,000","39,051,000","38,417,000","32,919,000","22,271,000","42,451,000","27,661,000","31,664,000","27,752,000","14,635,000","4,655,000","14,067,000","25,811,000","5,561,000","30,433,000","22,139,000","20,670,000","25,170,000","67,649,000","5,248,000","5,298,000","3,714,000","25,532,000","2,381,000","2,312,000","847,000","4,051,000","7,033,000","2,379,000","3,277,000","8,738,000","2,796,000","3,785,000","1,362,000","14,406,000","2,404,000","11,006,000","2,304,000","1,021,000","1,350,000","1,338,000","1,039,000","1,000","2,067,000","1,247,000","1,277,000","1,130,000","1,145,000","1,320,000","1,067,000"
NetNonOperatingInterestIncomeExpense,"-52,541,000","-13,519,000","-14,950,000","-13,036,000","-11,036,000","-4,644,000","-4,640,000","-8,922,000","-8,011,000","-7,251,000","-6,410,000","-7,573,000","-6,868,000","-4,790,000","-5,027,000","-5,424,000","-5,401,000","-5,368,000","-5,156,000","-4,876,000","-4,003,000","-2,352,000","-3,307,000","-3,529,000","-3,734,000","-3,593,000","-3,270,000","-3,091,000","-2,435,000","-2,540,000","-1,713,000","-2,062,000","-2,111,000","-2,431,000","-2,435,000","-1,697,000","-1,966,000","-2,093,000","-2,961,000","-2,805,000","-2,394,000","-3,681,000","-4,262,000","-4,675,000","-4,965,000","-4,492,000","-7,919,000","-7,643,000","-3,315,000","-1,109,000","-1,442,000","-1,307,000","-3,176,000",,,,,,,,,,,,,,,,,,,,,,,,"-3,000","-3,000","-3,000","-3,000","-3,000","-3,000","-3,000","-3,000","-3,000"
	InterestExpenseNonOperating,"51,588,000","12,566,000","14,950,000","13,036,000","11,036,000","4,644,000","4,640,000","8,922,000","8,011,000","7,251,000","6,410,000","7,573,000","6,868,000","4,790,000","5,027,000","5,424,000","5,401,000","5,368,000","5,156,000","4,876,000","4,003,000","2,352,000","3,307,000","3,529,000","3,734,000","3,593,000","3,270,000","3,091,000","2,435,000","2,540,000","1,713,000","2,062,000","2,111,000","2,431,000","2,435,000","1,697,000","1,966,000","2,093,000","2,961,000","2,805,000","2,394,000","3,681,000","4,262,000","4,675,000","4,965,000","4,492,000","7,919,000","7,643,000","3,315,000","1,109,000","1,442,000","1,307,000","3,176,000",,,,,,,,,,,,,,,,,,,,,,,,"3,000","3,000","3,000","3,000","3,000","3,000","3,000","3,000","3,000"
	TotalOtherFinanceCost,"953,000"
OtherIncomeExpense,"37,170,000","19,502,000","826,000","11,030,000","5,812,000","608,000","11,543,000","6,294,000","16,640,000","9,303,000","-3,848,000","10,856,000","12,198,000","-2,235,000","610,000","4,048,000","2,413,000",,,,,,,,,,,,,,,,,,"-8,980,000",,,,,,,,,,,,,"3,578,000","4,971,000",,,,,,"4,011,000","4,231,000","2,733,000","24,117,000","1,286,000","1,147,000","365,000","10,616,000","-137,000","2,178,000","3,100,000","8,572,000","2,620,000","3,543,000","1,125,000","14,121,000","2,022,000","10,592,000","1,886,000","489,000","562,000","439,000",,"-1,174,000","952,000","-3,000","-3,000","-21,000","16,000","243,000","-3,000"
	SecuritiesAmortization,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7,587,000",,,,,,"6,250,000","12,202,000","6,650,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	SpecialIncomeCharges,"-305,951,000","-95,026,000","-50,282,000","-66,855,000","-93,788,000","-55,106,000","-54,242,000","-53,334,000","-30,108,000","-21,449,000","-31,021,000","-39,964,000","-20,821,000","-40,271,000","-52,544,000","-46,489,000","-47,265,000","-55,980,000","-49,806,000","-37,094,000","-34,550,000","-32,772,000","-36,261,000","-50,379,000","-13,161,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,911,000",,,,,,,,,,,"-1,000",,"-9,000",,,,,,,,,
		RestructuringAndMergernAcquisition,"305,951,000","95,026,000","50,282,000","66,855,000","93,788,000","55,106,000","54,242,000","53,334,000","30,108,000","21,449,000","24,281,000","30,355,000","20,821,000","40,271,000","52,544,000","46,489,000","47,265,000","55,980,000","49,806,000","37,094,000","34,550,000","32,772,000","36,261,000","50,379,000","13,161,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		OtherSpecialCharges,,,,,,,,,,"0","6,740,000","9,609,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PretaxIncome,"876,746,000","163,715,000","123,453,000","227,859,000","361,719,000","-202,213,000","-21,575,000","3,501,000","-40,256,000","112,178,000","22,098,000","111,330,000","68,805,000","27,721,000","179,235,000","58,254,000","62,114,000","81,637,000","58,263,000","24,023,000","64,236,000","108,072,000","26,857,000","62,761,000","40,688,000","164,076,000","44,796,000","29,740,000","20,829,000","93,713,000","70,192,000","52,755,000","19,149,000","185,578,000","26,484,000","15,989,000","5,691,000","212,917,000","25,462,000","37,392,000","16,388,000","127,472,000","47,932,000","19,257,000","9,952,000","175,495,000","-31,573,000","20,667,000","-20,372,000","33,374,000","6,100,000","4,962,000","955,000","53,665,000","4,503,000","2,365,000","3,147,000","24,680,000","1,764,000","1,451,000","67,000","3,187,000","6,423,000","1,599,000","2,550,000","11,700,000","2,082,000","2,962,000","572,000","14,014,000","1,700,000","10,308,000","1,576,000","-735,000","878,000","659,000","1,071,000","6,079,000","1,462,000","667,000","627,000","686,000","718,000","598,000","259,000"
TaxProvision,"4,437,000","-22,427,000","14,597,000","7,518,000","4,749,000","-10,688,000","746,000","3,646,000","172,000","-9,629,000","1,432,000","4,731,000","-2,929,000","10,034,000","8,858,000","8,473,000","7,509,000","-11,004,000","12,262,000","5,816,000","10,744,000","-10,246,000","5,660,000","8,452,000","7,276,000","21,893,000","1,340,000","4,542,000","7,844,000","13,943,000","14,700,000","11,905,000","3,742,000","19,256,000","4,436,000","975,000","617,000","64,116,000","979,000","16,115,000","5,922,000","25,586,000","2,660,000","-23,000","-618,000","33,465,000","10,434,000","3,193,000","-239,000","-1,281,000","933,000","-8,109,000","1,016,000","-5,130,000","2,260,000","1,233,000","1,319,000","7,440,000","794,000","655,000","28,000","1,437,000","2,093,000","450,000","829,000","1,110,000","634,000","740,000","503,000","5,664,000","51,000","319,000","38,000","121,000","51,000","50,000","77,000","358,000","108,000","50,000","14,000","40,000","37,000","36,000","11,000"
EarningsFromEquityInterestNetOfTax,"55,910,000","11,722,000","17,703,000","17,713,000","8,772,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","1,351,000","2,203,000","7,150,000",,"196,000",,"269,000","-46,904,000","5,572,000","-6,301,000","-3,376,000","284,000","-2,599,000","-2,167,000","-2,248,000",,,,,,,,,,,,,"-353,000","-631,000","-119,000",,,,,,,,,,,,,,,,,
NetIncomeCommonStockholders,"902,175,000","193,839,000","117,743,000","231,842,000","358,751,000","-113,423,000","-15,965,000","8,244,000","-41,210,000","127,599,000","38,993,000","90,186,000","54,680,000","22,645,000","156,048,000","40,594,000","45,520,000","111,857,000","49,042,000","14,545,000","44,847,000","105,940,000","26,429,000","51,793,000","29,587,000","137,461,000","39,987,000","19,197,000","11,959,000","69,906,000","47,716,000","40,721,000","9,674,000","128,751,000","12,064,000","9,375,000","3,503,000","124,292,000","21,443,000","12,430,000","15,921,000","79,941,000","34,987,000","8,751,000","11,531,000","95,126,000","-36,435,000","11,173,000","11,687,000","34,939,000","2,568,000","10,904,000","13,374,000","76,268,000","2,243,000","1,132,000","2,703,000","17,240,000","970,000","796,000","39,000","6,165,000","2,426,000","703,000","1,098,000","10,237,000","817,000","2,103,000","69,000","8,350,000","1,649,000","9,989,000","2,505,000","-856,000","827,000","609,000","994,000","5,721,000","1,354,000","617,000","613,000","646,000","681,000","562,000","248,000"
	NetIncome,"938,089,000","202,764,000","126,668,000","240,767,000","367,890,000","-106,423,000","-10,832,000","8,244,000","-41,210,000","127,599,000","38,993,000","90,186,000","54,680,000","22,645,000","156,048,000","40,594,000","45,520,000","111,857,000","49,042,000","14,545,000","44,847,000","105,940,000","26,429,000","51,793,000","29,587,000","137,461,000","39,987,000","19,197,000","11,959,000","69,906,000","47,716,000","40,721,000","9,674,000","128,751,000","12,064,000","9,375,000","3,503,000","124,292,000","21,443,000","12,430,000","15,921,000","79,941,000","34,987,000","8,751,000","11,531,000","95,126,000","-36,435,000","11,173,000","11,687,000","34,939,000","2,568,000","10,904,000","13,374,000","76,268,000","2,243,000","1,132,000","2,703,000","17,240,000","970,000","796,000","39,000","6,165,000","2,426,000","703,000","1,098,000","10,237,000","817,000","2,103,000","69,000","8,350,000","1,649,000","9,989,000","2,505,000","-856,000","827,000","609,000","994,000","5,721,000","1,354,000","617,000","613,000","646,000","681,000","562,000","248,000"
		NetIncomeIncludingNoncontrollingInterests,"928,219,000","197,864,000","126,559,000","238,054,000","365,742,000","-149,378,000","-22,321,000","-145,000","-40,428,000","133,805,000","24,161,000","101,728,000","72,105,000","29,650,000","170,377,000","49,781,000","54,605,000","92,641,000","46,001,000","18,207,000","53,492,000","118,318,000","21,197,000","54,309,000","33,412,000","142,183,000","43,456,000","25,198,000","12,985,000","79,770,000","55,492,000","40,850,000","15,407,000","166,322,000","22,048,000","15,014,000","5,074,000","148,801,000","25,834,000","23,480,000","17,616,000","101,421,000","45,468,000","19,280,000","10,839,000","141,829,000","-42,007,000","17,474,000","15,063,000","34,655,000","5,167,000","13,071,000","15,622,000","89,476,000","2,243,000","1,132,000","2,703,000","17,240,000","970,000","796,000","39,000","6,165,000","4,330,000","1,149,000","1,721,000","10,590,000","1,448,000","2,222,000","69,000","8,350,000","1,649,000","9,989,000","2,505,000","-856,000","827,000","609,000","994,000","5,721,000","1,354,000","617,000","613,000","646,000","681,000","562,000","248,000"
			NetIncomeContinuousOperations,"928,219,000","197,864,000","126,559,000","238,054,000","365,742,000","-149,378,000","-22,321,000","-145,000","-40,428,000","121,807,000","20,666,000","106,599,000","71,734,000","17,687,000","170,377,000","49,781,000","54,605,000","92,641,000","46,001,000","18,207,000","53,492,000","118,318,000","21,197,000","54,309,000","33,412,000","142,183,000","43,456,000","25,198,000","12,985,000","79,770,000","55,492,000","40,850,000","15,407,000","166,322,000","22,048,000","15,014,000","5,074,000","148,801,000","25,834,000","23,480,000","17,616,000","101,421,000","45,468,000","19,280,000","10,839,000","95,126,000","-36,435,000","11,173,000","-23,509,000","34,939,000","2,568,000","10,904,000","-2,309,000","46,105,000","2,243,000","1,132,000","1,828,000","17,240,000","970,000","796,000","39,000","-1,223,000","4,330,000","1,149,000","1,721,000","10,237,000","817,000","2,103,000","69,000","8,350,000","1,649,000","9,989,000","1,538,000","-856,000","827,000","609,000","994,000","5,721,000","1,354,000","617,000","613,000","646,000","681,000","562,000","248,000"
