name,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,08/31/2007,08/31/2006,08/31/2005,08/31/2004
TotalAssets,"98,880,000,000","88,246,000,000","86,246,000,000","79,011,000,000","71,189,000,000","64,469,000,000","50,330,000,000","48,904,000,000","20,896,793,000","17,378,730,000","12,160,509,000","11,069,902,000","8,183,089,000","5,924,141,000","4,917,120,000","2,865,191,000"
	CurrentAssets,"7,867,000,000","6,750,000,000","10,683,000,000","6,985,000,000","5,410,000,000","6,153,000,000","6,536,000,000","5,597,000,000","1,455,444,000","1,291,010,000","1,267,959,000","1,180,995,000","1,050,578,000","1,302,735,000","1,465,178,000","481,868,000"
		CashCashEquivalentsAndShortTermInvestments,"291,000,000","419,000,000","336,000,000","483,000,000","606,000,000","847,000,000","590,000,000","372,000,000","127,571,000","88,296,000","74,370,000","97,938,000","80,449,000","29,021,000","36,911,000","85,316,000"
			CashAndCashEquivalents,"291,000,000","419,000,000","336,000,000","483,000,000","606,000,000","847,000,000","590,000,000","372,000,000","126,342,000","86,264,000","68,315,000","92,023,000","77,350,000","26,204,000","33,459,000","82,852,000"
				CashEquivalents,,,,,"606,000,000",,,,,,,,,,,
			OtherShortTermInvestments,,,"0","0","0","0","0","0","1,229,000","2,032,000","6,055,000","5,915,000","3,099,000","2,817,000","3,452,000","2,464,000"
		Receivables,"5,343,000,000","4,193,000,000","4,693,000,000","3,732,000,000","2,876,000,000","3,457,000,000","3,788,000,000","3,183,000,000","802,204,000","710,614,000","641,552,000","651,608,000","676,546,000","699,368,000","884,946,000","260,021,000"
			AccountsReceivable,"5,038,000,000","4,009,000,000","4,504,000,000","3,557,000,000","2,400,000,000","3,378,000,000","3,658,000,000","3,057,000,000","780,897,000","688,688,000","618,416,000","606,399,000","643,655,000","676,147,000","849,323,000","251,381,000"
				GrossAccountsReceivable,,,,,,,,"3,059,000,000","789,738,000",,,,,,,
				AllowanceForDoubtfulAccountsReceivable,,,,,,,,"-2,000,000","-8,841,000",,,,,,,
			TaxesReceivable,"146,000,000","73,000,000","136,000,000","128,000,000","326,000,000",,,,,,,,,,,
			DuefromRelatedPartiesCurrent,"159,000,000","111,000,000","53,000,000","47,000,000","119,000,000","35,000,000","63,000,000","71,000,000",,,,,,,,
			OtherReceivables,,,,,"31,000,000","44,000,000","67,000,000","55,000,000","21,307,000","21,926,000","23,136,000","45,209,000","32,891,000","23,221,000","35,623,000","8,640,000"
		Inventory,"1,935,000,000","1,677,000,000","2,022,000,000","2,291,000,000","1,636,000,000","1,467,000,000","1,807,000,000","1,522,000,000","327,963,000","366,384,000","389,954,000","272,348,000","192,276,000","387,140,000","302,893,000","53,261,000"
			RawMaterials,"448,000,000","338,000,000","351,000,000","369,000,000","377,000,000","319,000,000","199,000,000","194,000,000","94,873,000","119,864,000","166,165,000",,,,,
			FinishedGoods,"1,487,000,000","1,339,000,000","1,671,000,000","1,922,000,000","1,259,000,000","1,148,000,000","1,608,000,000","1,328,000,000","233,090,000","246,520,000","157,103,000",,,,,
			OtherInventories,,,,,,,,,,,"66,686,000",,,,,
		PrepaidAssets,"275,000,000","350,000,000","295,000,000","458,000,000","246,000,000","287,000,000","312,000,000","311,000,000",,,,"75,441,000","45,454,000","42,549,000","36,433,000","7,724,000"
		CurrentDeferredAssets,,,,,,"14,000,000",,,,,,,,,,
			CurrentDeferredTaxesAssets,,,,,,"14,000,000",,,,,,,,,,
