name,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996,12/31/1995,12/31/1994,12/31/1993,12/31/1992,12/31/1991,12/31/1990,12/31/1989,12/31/1988
TotalAssets,"6,640,700,000","5,776,400,000","4,298,200,000","3,673,800,000","3,680,700,000","3,874,348,000","3,700,840,000","3,469,104,000","2,652,475,000","1,866,892,000","1,753,277,000","1,635,016,000","1,539,359,000","978,431,000","743,088,000","653,978,000","544,903,000","441,656,000","419,395,000","490,504,000","181,800,000","156,300,000","207,700,000","189,800,000","196,800,000","109,400,000","67,600,000","69,500,000","86,800,000","52,900,000","18,600,000","12,800,000"
	CurrentAssets,"1,211,800,000","1,089,100,000","1,317,100,000","978,700,000","798,400,000","902,616,000","837,017,000","815,973,000","733,057,000","714,370,000","690,078,000","588,447,000","556,299,000","459,126,000","360,377,000","317,467,000","229,631,000","177,945,000","161,104,000","193,339,000","158,900,000","131,900,000","174,200,000","159,400,000","171,400,000","93,000,000","53,400,000","52,800,000","64,900,000","44,800,000","14,400,000","9,400,000"
		CashCashEquivalentsAndShortTermInvestments,"189,200,000","172,500,000","537,400,000","327,200,000","116,000,000","148,000,000","147,227,000","157,771,000","154,621,000","220,788,000","273,848,000","147,531,000","103,202,000","129,621,000","73,853,000","71,872,000","45,416,000","28,679,000","31,078,000","40,876,000","102,000,000","40,900,000","20,000,000","22,700,000","29,700,000","17,600,000","1,900,000","1,900,000","1,600,000","9,000,000","500,000","1,900,000"
			CashAndCashEquivalents,"189,200,000","172,500,000","358,500,000","216,100,000","116,000,000","148,000,000","147,227,000","157,771,000","154,621,000","220,788,000","273,848,000","147,531,000","103,202,000","129,621,000","73,853,000","71,872,000","45,416,000","28,679,000","31,078,000","40,876,000","49,300,000","40,900,000","20,000,000","22,700,000","29,700,000","17,600,000","1,900,000","1,900,000","1,600,000","9,000,000","500,000","1,900,000"
			OtherShortTermInvestments,,"0","178,900,000","111,100,000",,,,,,,"0",,,,,,,,,,"52,700,000",,,,,,,,,,,
		Receivables,"608,200,000","545,800,000","457,600,000","390,200,000","376,800,000","391,534,000","361,075,000","340,804,000","282,304,000","243,889,000","214,149,000","221,809,000","250,085,000","178,022,000","151,589,000","128,120,000","103,350,000","79,645,000","71,680,000","83,600,000","36,000,000","33,400,000","49,100,000","34,400,000","39,100,000","28,600,000","26,400,000","23,400,000","22,800,000","19,300,000","8,200,000","3,000,000"
			AccountsReceivable,"608,200,000","512,600,000","414,800,000","354,800,000","361,900,000","362,049,000","337,932,000","323,477,000","275,201,000","222,820,000","202,293,000","204,269,000","239,884,000","172,008,000","145,100,000","123,938,000","103,350,000","79,645,000","71,680,000",,,,,,,,,,,,,
				GrossAccountsReceivable,,,,,"372,000,000","373,427,000","347,439,000","332,558,000","281,890,000",,,,,,,,,,,,,,,,,,,,,,,
				AllowanceForDoubtfulAccountsReceivable,,,,,"-10,100,000","-11,378,000","-9,507,000","-9,081,000","-6,689,000",,,,,,,,,,,,,,,,,,,,,,,
			OtherReceivables,,"33,200,000","42,800,000","35,400,000","14,900,000","29,485,000","23,143,000","17,327,000","7,103,000","21,069,000","11,856,000","17,540,000","10,201,000","6,014,000","6,489,000","4,182,000",,,,,,,,,,,,,,,,
		Inventory,"312,100,000","298,000,000","271,800,000","218,800,000","261,100,000","278,099,000","254,311,000","240,529,000","232,063,000","192,852,000","144,012,000","160,893,000","143,018,000","112,552,000","107,851,000","87,745,000","70,826,000","61,144,000","51,810,000","60,846,000","16,400,000","37,200,000","47,800,000","38,900,000","31,200,000","23,600,000","23,300,000","23,000,000","32,600,000","13,500,000","5,200,000","3,800,000"
			RawMaterials,"95,800,000","96,200,000","85,400,000","77,900,000","107,500,000","116,786,000","94,988,000","89,016,000","87,355,000","79,057,000","51,489,000","71,319,000","63,465,000","66,853,000","52,199,000","26,062,000","20,927,000","21,098,000",,,,,,,,,,,,,,
			WorkInProcess,"13,200,000","12,600,000","12,400,000","6,800,000","5,900,000","4,848,000","6,871,000","6,658,000","8,475,000","5,672,000","4,869,000","5,551,000","9,267,000","6,181,000","7,249,000","3,989,000","3,876,000","5,187,000",,,,,,,,,,,,,,
			FinishedGoods,"203,100,000","189,200,000","174,000,000","134,100,000","147,700,000","156,465,000","152,452,000","144,855,000","136,233,000","108,123,000","87,654,000","84,023,000","70,286,000","39,518,000","48,403,000","57,694,000","46,023,000","34,859,000",,,,,,,,,,,,,,
