name,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999
TotalRevenue,"17,127,000,000","16,697,000,000","18,765,000,000","19,813,000,000","17,744,000,000","14,160,000,000","9,658,508,000","6,582,044,000","6,023,575,000","4,769,940,000","4,085,977,000","3,669,356,000","3,112,366,000","2,492,454,000","2,004,995,000","1,650,058,000","1,175,268,000","793,544,000","644,194,000","503,855,000","329,432,000","185,760,000"
	OperatingRevenue,"17,127,000,000","16,697,000,000","18,765,000,000","19,813,000,000","17,744,000,000","14,155,000,000","9,646,434,000","6,555,722,000","6,014,201,000","4,763,854,000","4,079,718,000","3,660,207,000","3,091,240,000","2,492,454,000","2,004,995,000","1,650,058,000","1,176,439,000","793,662,000","644,194,000","503,855,000","329,432,000","185,760,000"
CostOfRevenue,"14,819,000,000","14,394,000,000","16,266,000,000","18,003,000,000","15,944,000,000","12,541,000,000","8,616,074,000","5,713,635,000","5,396,959,000","4,003,981,000","3,449,504,000","3,176,236,000","2,621,312,000","2,080,083,000","1,678,652,000","1,424,872,000","984,686,000","657,921,000",,"408,410,000",,
GrossProfit,"2,308,000,000","2,303,000,000","2,499,000,000","1,810,000,000","1,800,000,000","1,619,000,000","1,042,434,000","868,409,000","626,616,000","765,959,000","636,473,000","493,120,000","491,054,000","412,371,000","326,343,000","225,186,000","190,582,000","135,623,000",,"95,445,000",,
OperatingExpense,"1,396,000,000","1,385,000,000","1,432,000,000","1,731,000,000","1,532,000,000","1,250,000,000","857,610,000","738,739,000","596,331,000","621,211,000","531,472,000","437,259,000","378,449,000","314,044,000","250,532,000","179,406,000","103,019,000","67,876,000","-534,130,000","45,229,000","305,194,000","168,274,000"
	SellingGeneralAndAdministration,"1,311,000,000","1,296,000,000","1,333,000,000","1,594,000,000","1,393,000,000","1,146,000,000","764,693,000","665,996,000","532,627,000","415,932,000","345,993,000","399,149,000","344,761,000","285,295,000","229,057,000","163,342,000","94,150,000","61,543,000","61,227,000","42,822,000","38,701,000","18,511,000"
		GeneralAndAdministrativeExpense,"1,311,000,000","1,296,000,000","1,333,000,000","1,594,000,000","1,393,000,000","1,146,000,000","764,693,000","665,996,000","532,627,000",,,,,"285,295,000","229,057,000","163,342,000","94,150,000","61,543,000","61,227,000",,,
			SalariesAndWages,,,,,,,,,,,,,,"285,295,000","229,057,000","163,342,000","94,150,000","61,543,000","61,227,000",,,
			OtherGandA,"1,311,000,000","1,296,000,000","1,333,000,000","1,594,000,000","1,393,000,000","1,146,000,000","764,693,000","665,996,000","532,627,000",,,,,,,,,,,,,
	DepreciationAmortizationDepletionIncomeStatement,"84,000,000","89,000,000","99,000,000","137,000,000","139,000,000","104,000,000","92,917,000","72,743,000","63,704,000","50,690,000","45,704,000","38,110,000","33,688,000","27,967,000","21,475,000","15,125,000","8,869,000","6,333,000",,"2,407,000","2,085,000","1,625,000"
		DepreciationAndAmortizationInIncomeStatement,"84,000,000","89,000,000","99,000,000","137,000,000","139,000,000","104,000,000","92,917,000","72,743,000","63,704,000","50,690,000","45,704,000","38,110,000","33,688,000","27,967,000","21,475,000","15,125,000","8,869,000","6,333,000",,"2,407,000","2,085,000","1,625,000"
			DepreciationIncomeStatement,,"71,000,000",,,,,,,,,,,,,,,,,,,,
			Amortization,,"18,000,000",,,,,,,,,,,,,,,,,,,,
				AmortizationOfIntangiblesIncomeStatement,,"18,000,000",,,,,,,,,,,,,,,,,,,,
	OtherTaxes,,,,,,,,,,"154,589,000","139,775,000",,,"-2,394,127,000","-1,929,184,000","-1,604,678,000","-1,087,705,000","-725,797,000","-595,357,000",,,
	OtherOperatingExpenses,,,,,,,,,,,,,,"2,394,909,000","1,929,184,000","1,605,617,000","1,087,705,000","725,797,000",,,"264,408,000","148,138,000"
OperatingIncome,"912,000,000","918,000,000","1,067,000,000","79,000,000","268,000,000","369,000,000","184,824,000","129,670,000","30,285,000","144,748,000","105,001,000","55,861,000","112,605,000","98,327,000","75,811,000","45,780,000","87,563,000","67,747,000","1,178,324,000","50,216,000","24,238,000","17,486,000"
NetNonOperatingInterestIncomeExpense,"-85,000,000","-87,000,000","-115,000,000","-118,000,000","-101,000,000","-66,000,000","-56,811,000","-52,071,000","-16,769,000","-15,519,000","-15,509,000","-13,777,000","-8,714,000",,,,,,,,,
	InterestExpenseNonOperating,"85,000,000","87,000,000","115,000,000","118,000,000","101,000,000","66,000,000","56,811,000","52,071,000","16,769,000","15,519,000","15,509,000","13,777,000","8,714,000",,,,,,,,,
OtherIncomeExpense,"138,000,000","141,000,000","47,000,000","-573,000,000","38,000,000","19,000,000","7,291,000","3,547,000","5,549,000","-64,575,000",,"9,149,000","21,126,000",,,"-400,000","1,171,000","118,000",,,,"-1,190,000"
	GainOnSaleOfSecurity,"132,000,000","132,000,000","125,000,000","70,000,000","38,000,000","18,000,000","8,093,000","6,890,000","5,188,000",,,,,,,,,,,,,
	SpecialIncomeCharges,,"-6,000,000","-61,000,000","-704,000,000",,,,,"0","-64,575,000","0","9,149,000","21,126,000","0","0","-400,000","1,171,000","118,000",,,,"-1,190,000"
		RestructuringAndMergernAcquisition,,"6,000,000","46,000,000","234,000,000",,,,,,,,,,,,,,,,,,
		ImpairmentOfCapitalAssets,,,,,,,,,"0","64,575,000",,"0","0",,,,,,,,,
		WriteOff,,"0","0","470,000,000",,,,,,,,,,,,,,,,,,
		OtherSpecialCharges,,,,,,,,,,,,"-9,149,000","-21,126,000",,,,,,,,,
		GainOnSaleOfBusiness,,"0","-15,000,000",,,,,,,,,,,,,,,,,,,
	OtherNonOperatingIncomeExpenses,,"15,000,000","-17,000,000","61,000,000",,"1,000,000","-802,000","-3,343,000","361,000",,,,,,,,,,,,,
PretaxIncome,"965,000,000","972,000,000","999,000,000","-612,000,000","205,000,000","322,000,000","135,304,000","81,146,000","19,065,000","64,654,000","89,492,000","43,616,000","103,891,000","93,696,000","73,458,000","43,851,000","87,685,000","66,413,000","48,399,000","49,655,000","24,041,000","16,296,000"
TaxProvision,"248,000,000","235,000,000","292,000,000","-100,000,000","153,000,000","179,000,000","72,726,000","36,316,000","9,275,000","43,836,000","34,522,000","12,748,000","41,493,000","35,366,000","27,731,000","16,255,000","31,912,000","23,896,000","17,891,000","19,453,000",,
NetIncomeCommonStockholders,"717,000,000","737,000,000","707,000,000","-512,000,000","52,000,000","143,000,000","62,223,000","52,929,000","9,790,000","20,818,000","54,970,000","30,868,000","62,398,000","58,330,000","45,727,000","27,596,000","55,773,000","42,517,000","30,508,000","30,129,000","14,964,000","9,453,000"
	NetIncome,"717,000,000","737,000,000","707,000,000","-512,000,000","52,000,000","143,000,000","62,223,000","52,929,000","9,790,000","20,818,000","54,970,000","30,868,000","62,398,000","58,330,000","45,727,000","27,596,000","55,773,000","42,517,000","30,508,000","30,129,000","14,964,000","9,453,000"
