name,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,09/30/2000,09/30/1999,09/30/1998,09/30/1997,09/30/1996,09/30/1995
TotalRevenue,"2,838,000,000","2,886,000,000","2,873,000,000","2,366,000,000","1,941,000,000","1,428,000,000","1,814,000,000","1,723,697,000","1,899,514,000","2,051,506,000","2,115,545,000","2,306,111,000","1,584,878,000","307,568,000","2,394,475,000","1,784,195,000","1,657,845,000","1,647,199,000","1,301,353,000","1,202,545,000","1,571,155,000","662,300,000","245,300,000","142,700,000","51,600,000","23,400,000"
	NetInterestIncome,"1,760,000,000","1,852,000,000","1,846,000,000","1,485,000,000","1,148,000,000","1,086,000,000","1,088,000,000","981,842,000","1,085,065,000","1,219,959,000","1,226,283,000","1,260,602,000","913,056,000","1,442,328,000","1,255,969,000","808,187,000","594,485,000","367,746,000","349,734,000","349,913,000","347,181,000","122,300,000","56,000,000","25,300,000","4,800,000","1,100,000"
		InterestIncome,"1,999,000,000","2,111,000,000","2,009,000,000","1,571,000,000","1,233,000,000","1,215,000,000","1,293,000,000","1,219,912,000","1,371,098,000","1,532,339,000","1,546,713,000","1,832,558,000","2,477,150,000","3,575,466,000","2,783,112,000","1,661,307,000","1,152,465,000","899,444,000","958,648,000","1,182,050,000","977,578,000","122,300,000","95,700,000","40,200,000","7,000,000","1,100,000"
			InterestIncomeFromLoansAndLease,"97,000,000","104,000,000","128,000,000","157,000,000","191,000,000","230,000,000","297,000,000","394,633,000","496,466,000","692,127,000","879,013,000","1,138,116,000","1,587,838,000","1,986,034,000","1,839,373,000",,,,,,,,,,,
				InterestIncomeFromLoans,"97,000,000","104,000,000","128,000,000","157,000,000","191,000,000","230,000,000","297,000,000","394,633,000","496,466,000","692,127,000","879,013,000","1,138,116,000","1,587,838,000","1,986,034,000","1,839,373,000",,,,,,,,,,,
			InterestIncomeFromSecurities,"1,280,000,000","1,360,000,000","1,241,000,000","962,000,000","691,000,000","709,000,000","732,000,000","601,308,000","658,546,000","558,257,000","386,347,000","471,087,000","436,165,000","880,217,000","764,798,000",,,,,,,,,,,
			OtherInterestIncome,"622,000,000","647,000,000","640,000,000","452,000,000","351,000,000","276,000,000","264,000,000","223,971,000","216,086,000","281,955,000","281,353,000","223,355,000","453,147,000","709,215,000","178,941,000",,,,,,,,,,,
		InterestExpense,"239,000,000","259,000,000","163,000,000","86,000,000","85,000,000","129,000,000","205,000,000","238,070,000","286,033,000","312,380,000","320,430,000","571,956,000","1,564,094,000","2,133,138,000","1,527,143,000","853,120,000","557,980,000","531,698,000","608,914,000","832,137,000","630,397,000",,"39,700,000","14,900,000","2,200,000",
			InterestExpenseForDeposit,"136,000,000","150,000,000","51,000,000","4,000,000","3,000,000","4,000,000","8,000,000","12,697,000","24,042,000","42,879,000","62,828,000","211,788,000","615,848,000","821,955,000","531,217,000",,,,,,,,,,,
			InterestExpenseForLongTermDebtAndCapitalSecurities,"63,000,000","64,000,000","71,000,000","70,000,000","72,000,000","48,000,000","65,000,000","68,363,000","92,630,000","116,422,000","119,344,000","132,560,000","218,940,000","364,442,000","843,430,000",,,,,,,,,,,
			InterestExpenseForFederalFundsSoldAndSecuritiesPurchaseUnderAgreementsToResell,,,,,,,,,,"153,079,000","129,574,000","216,300,000","318,291,000","643,382,000",,,,,,,,,,,,
			OtherInterestExpense,"40,000,000","45,000,000","41,000,000","12,000,000","10,000,000","77,000,000","132,000,000","157,010,000","169,361,000",,"8,684,000","11,308,000","411,015,000","303,359,000","152,496,000",,,,,,,,,,,
	NonInterestIncome,"1,078,000,000","1,034,000,000","1,027,000,000","881,000,000","793,000,000","342,000,000","726,000,000","741,855,000","814,449,000","831,547,000","889,262,000","1,045,509,000","671,822,000","-1,134,760,000","1,138,506,000","976,008,000","1,063,360,000","1,279,453,000","951,619,000","852,632,000","1,223,974,000","540,000,000","189,300,000","117,400,000","46,800,000","22,300,000"
		FeesAndCommissions,"1,045,000,000","1,009,000,000","929,000,000","810,000,000","710,000,000","634,000,000","642,000,000","575,149,000","500,013,000","566,695,000","573,377,000","740,509,000","715,507,000","952,185,000","762,706,000","135,314,000",,,,,,,,,,
			FeesandCommissionIncome,"1,045,000,000","1,009,000,000","929,000,000","810,000,000","710,000,000","634,000,000","642,000,000","575,149,000","500,013,000","566,695,000","573,377,000","740,509,000","715,507,000","952,185,000","762,706,000","135,314,000",,,,,,,,,,
				ServiceChargeOnDepositorAccounts,"671,000,000","588,000,000","431,000,000","369,000,000","268,000,000","210,000,000","186,000,000","155,050,000","122,170,000","130,452,000","142,377,000","192,516,000",,,,,,,,,,,,,,
				OtherCustomerServices,"373,000,000","421,000,000","498,000,000","441,000,000","442,000,000","424,000,000","456,000,000","420,099,000","377,843,000","436,243,000","431,000,000","547,993,000",,,,,,,,,,,,,,
		InvestmentBankingProfit,,,,,,,,,,,,,,,"2,451,000",,,,,,,,,,,
		TradingGainLoss,,,,,"0","0","10,000,000","72,662,000","93,156,000","105,359,000","103,346,000","88,053,000",,,,,,,,,,,,,,
		GainLossonSaleofAssets,"-14,000,000","-23,000,000","53,000,000","28,000,000","42,000,000","-331,000,000","36,000,000","58,260,000","183,459,000","120,233,000","166,212,000","169,106,000","-199,713,000","-2,142,088,000","126,782,000","281,338,000","509,679,000","437,199,000","193,952,000","121,502,000","211,149,000","40,900,000",,,,
			GainOnSaleOfSecurity,"-14,000,000","-23,000,000","53,000,000","28,000,000","42,000,000","-331,000,000","0","-2,331,000","-16,907,000","0","159,946,000","181,602,000","-195,483,000","-2,138,174,000","121,539,000","198,194,000","310,015,000",,,,,,,,,
			GainonSaleofLoans,,,,,,,"36,000,000","60,591,000","200,366,000","120,233,000","6,266,000","-12,496,000",,,,,,,,,,,,,,
			GainonSaleofInvestmentProperty,,,,,,,,,,,"166,212,000",,"-4,230,000","-3,914,000","5,243,000","83,144,000","199,664,000","437,199,000","193,952,000","121,502,000","211,149,000","40,900,000",,,,
		OtherNonInterestIncome,"49,000,000","48,000,000","45,000,000","43,000,000","41,000,000","39,000,000","38,000,000","35,784,000","37,821,000","39,260,000","46,327,000","47,841,000","156,028,000","55,143,000","246,567,000","559,356,000","553,681,000","842,254,000","757,667,000","731,130,000","1,012,825,000","499,100,000","189,300,000","117,400,000","46,800,000","22,300,000"
CreditLossesProvision,"33,000,000","51,000,000","86,000,000","168,000,000","149,000,000","40,000,000","-36,000,000","-143,471,000","-354,637,000","-440,614,000","-779,412,000","-1,498,112,000","-1,583,666,000","-640,078,000","-44,970,000","-54,016,000","-38,121,000","-38,523,000","-14,664,000","-7,476,000","-4,003,000",,,,,
NonInterestExpense,"1,649,000,000","1,595,000,000","1,530,000,000","1,397,000,000","1,217,000,000","1,183,000,000","1,137,000,000","1,104,443,000","1,154,396,000","1,227,198,000","1,128,231,000","1,222,677,000","1,260,713,000","1,542,002,000","1,390,992,000","1,054,053,000","1,066,341,000","1,163,761,000","1,099,715,000","1,272,349,000","1,462,703,000","753,800,000","246,900,000","115,100,000","50,700,000","18,900,000"
	OccupancyAndEquipment,"139,000,000","135,000,000","124,000,000","116,000,000","98,000,000","88,000,000","79,000,000","72,882,000","74,346,000","68,840,000","70,915,000","78,360,000","85,766,000","93,189,000","85,568,000","69,089,000","78,244,000",,,,,,,,,
	ProfessionalExpenseAndContractServicesExpense,"106,000,000","105,000,000","96,000,000","99,000,000","97,000,000","103,000,000","112,000,000","85,165,000","86,321,000","89,672,000","81,177,000","78,718,000",,,,,,,,,,,,,,
	SellingGeneralAndAdministration,"1,146,000,000","1,112,000,000","1,093,000,000","988,000,000","849,000,000","816,000,000","776,000,000","767,658,000","811,105,000","798,647,000","755,757,000","829,981,000","652,705,000","615,040,000","588,984,000","486,738,000","447,857,000","255,709,000","210,646,000","236,353,000","730,968,000","386,700,000","30,900,000","13,600,000","9,700,000","2,800,000"
		GeneralAndAdministrativeExpense,"948,000,000","916,000,000","893,000,000","822,000,000","718,000,000","692,000,000","656,000,000","659,250,000","671,654,000","653,475,000","623,607,000","715,582,000","477,455,000","465,467,000","469,202,000","380,803,000","382,184,000","255,709,000","210,646,000","236,353,000","209,436,000","85,100,000","30,900,000","13,600,000","9,700,000","2,800,000"
