name,ttm,12/31/2019,12/31/2018,12/31/2017
MarketCap,"11,530,413,739","7,521,811,489","4,052,573,534","6,650,648,513"
EnterpriseValue,"12,653,413,739","8,733,511,489","5,538,873,534","8,375,648,513"
PeRatio,"36.421","33.345","12.47",
ForwardPeRatio,"18.692","23.585","10.406","20.877"
PegRatio,"1.983"
PsRatio,"2.358","2.987","1.655","2.906"
PbRatio,"6.166","4.201","2.496","5.235"
EnterprisesValueRevenueRatio,"5.161","3.562","2.059","3.526"
EnterprisesValueEBITDARatio,"31.313","21.612","9.634","57.016"
