name,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,12/31/2004,12/31/2003,06/30/2003,12/31/2002,06/30/2002,12/31/2001,06/30/2001,12/31/2000,06/30/2000,12/31/1999,06/30/1999,12/31/1998,12/31/1997,12/31/1996,12/31/1995,12/31/1994,12/31/1993,12/31/1991
TotalAssets,"95,515,000,000","98,044,000,000","100,476,000,000","99,152,000,000","99,612,000,000","96,873,000,000","98,158,000,000","99,537,000,000","95,626,000,000","96,299,000,000","96,830,000,000","97,481,000,000","102,376,000,000","104,343,000,000","100,718,000,000","102,138,000,000","98,444,000,000","105,040,000,000","103,551,000,000","105,795,000,000","106,978,000,000","100,510,000,000","94,396,000,000","90,769,000,000","87,599,000,000","86,774,000,000","85,126,000,000","86,169,000,000","85,666,000,000","82,119,000,000","81,685,000,000","84,768,000,000","81,027,000,000","80,031,000,000","78,902,000,000","78,479,000,000","43,399,000,000","73,442,000,000","70,403,000,000","73,475,000,000","68,027,000,000","67,235,000,000","63,488,000,000","62,788,000,000","61,772,000,000","61,693,000,000","61,915,000,000","58,540,000,000","60,136,000,000","58,495,000,000","60,776,391,590","58,644,436,080","58,303,000,000","61,153,575,600","62,377,915,600","64,522,382,080","62,454,000,000","57,243,000,000","62,711,000,000","70,446,580,160","92,521,000,000","99,158,152,800","100,749,000,000","102,107,701,200","95,755,000,000","91,422,703,850","79,932,517,280","70,767,049,860","64,913,687,928","62,864,028,045","56,762,745,090","50,136,046,404","48,175,338,150","48,544,558,965","52,273,418,925"
	CurrentAssets,"33,046,000,000","34,932,000,000","37,990,000,000","37,691,000,000","38,534,000,000","38,292,000,000","40,921,000,000","39,855,000,000","36,981,000,000","36,274,000,000","36,275,000,000","36,117,000,000","37,426,000,000","39,722,000,000","41,012,000,000","42,644,000,000","41,211,000,000","47,089,000,000","45,804,000,000","47,102,000,000","47,660,000,000","45,574,000,000","41,746,000,000","41,328,000,000","39,221,000,000","39,163,000,000","38,627,000,000","39,592,000,000","38,806,000,000","36,642,000,000","36,724,000,000","40,107,000,000","38,236,000,000","36,554,000,000","37,227,000,000","38,119,000,000","25,920,000,000","56,140,000,000","43,905,000,000","46,350,000,000","41,895,000,000","41,669,000,000","38,606,000,000","37,997,000,000","36,929,000,000","37,842,000,000","38,798,000,000","36,424,000,000","37,824,000,000","37,140,000,000","39,069,851,450","37,246,099,920","36,925,000,000","35,020,094,240","39,169,912,600","41,978,158,820","39,788,000,000","38,859,000,000","43,536,000,000","48,679,720,210","58,652,000,000","59,807,139,000","61,357,000,000","61,790,325,600","55,960,000,000","54,654,158,410","44,473,096,290","45,723,484,430","40,991,203,170","39,980,141,838","34,321,827,990","30,272,986,560","28,562,138,868","29,111,051,704","30,312,792,874"
		CashCashEquivalentsAndShortTermInvestments,"13,289,000,000","15,591,000,000","16,449,000,000","16,012,000,000","12,493,000,000","12,782,000,000","12,226,000,000","14,022,000,000","12,112,000,000","12,860,000,000","12,346,000,000","12,890,000,000","14,570,000,000","17,608,000,000","17,603,000,000","19,253,000,000","19,166,000,000","21,192,000,000","21,594,000,000","22,281,000,000","23,207,000,000","23,086,000,000","18,999,000,000","19,142,000,000","18,290,000,000","19,721,000,000","17,649,000,000","18,592,000,000","18,809,000,000","18,464,000,000","17,564,000,000","20,325,000,000","19,107,000,000","18,315,000,000","18,648,000,000","19,893,000,000","13,639,000,000","12,702,000,000","13,562,000,000","14,102,000,000","12,571,000,000","12,272,000,000","6,963,000,000","5,800,000,000","4,650,000,000","2,972,000,000","4,408,000,000","4,530,000,000","7,655,000,000","5,958,000,000","7,913,704,240","8,064,985,440","8,373,000,000","5,466,078,520","6,478,362,800","9,278,887,470","7,458,000,000","5,381,000,000","7,088,000,000","2,738,565,610","11,068,000,000","9,739,861,600","10,536,000,000","2,537,926,200","8,013,000,000","1,582,063,670","1,907,083,010","24,228,732,190","8,945,000,262","2,093,725,179","1,884,940,620","1,736,235,642","1,220,662,074","1,523,557,000","6,631,497,782"
			CashAndCashEquivalents,"12,134,000,000","15,014,000,000","15,974,000,000","15,406,000,000","11,904,000,000","12,450,000,000","11,418,000,000","13,243,000,000","11,579,000,000","12,638,000,000","11,753,000,000","12,306,000,000","13,910,000,000","17,318,000,000","16,626,000,000","18,144,000,000","17,963,000,000","20,662,000,000","20,177,000,000","21,117,000,000","21,669,000,000","22,840,000,000","18,395,000,000","18,515,000,000","17,500,000,000","19,439,000,000","16,827,000,000","17,758,000,000","18,112,000,000","17,657,000,000","16,851,000,000","19,564,000,000","18,293,000,000","17,526,000,000","17,853,000,000","19,056,000,000","13,415,000,000","11,967,000,000","13,313,000,000","13,339,000,000","11,635,000,000","12,226,000,000","6,222,000,000","4,941,000,000","3,683,000,000","2,972,000,000","4,408,000,000","4,530,000,000","6,639,000,000","5,060,000,000","7,176,411,780","7,270,014,720","7,736,000,000","5,077,614,240","6,130,105,800","8,361,476,350","6,417,000,000","3,164,000,000","3,211,000,000","2,198,848,300","3,489,000,000","3,552,291,400","2,133,000,000","2,537,926,200","1,997,000,000","1,582,063,670","1,907,083,010","1,818,306,750","1,670,872,536","2,093,725,179","1,884,940,620","1,736,235,642","1,220,662,074","1,523,557,000","6,631,497,782"
				CashFinancial,,"5,166,000,000",,,,"4,774,000,000",,,,"6,396,000,000",,,,"8,118,000,000",,,,"9,274,000,000",,,,"10,645,000,000",,,,,,,,"7,568,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,164,000,000","3,211,000,000",,"3,489,000,000",,"2,133,000,000",,,,,,,,,,,,
				CashEquivalents,,"9,848,000,000",,,,"7,676,000,000",,,,"6,242,000,000",,,,"9,200,000,000",,,,"11,388,000,000",,,,"12,195,000,000",,,,,,,,"10,089,000,000",,,,,,,"13,415,000,000",,"13,313,000,000",,"11,635,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			OtherShortTermInvestments,"1,155,000,000","577,000,000","475,000,000","606,000,000","589,000,000","332,000,000","808,000,000","779,000,000","533,000,000","222,000,000","593,000,000","584,000,000","660,000,000","290,000,000","977,000,000","1,109,000,000","1,203,000,000","530,000,000","1,417,000,000","1,164,000,000","1,538,000,000","246,000,000","604,000,000","627,000,000","790,000,000","282,000,000","822,000,000","834,000,000","697,000,000","807,000,000","713,000,000","761,000,000","814,000,000","789,000,000","795,000,000","837,000,000","224,000,000","735,000,000","249,000,000","763,000,000","936,000,000","46,000,000","741,000,000","859,000,000","967,000,000",,,,"1,016,000,000","898,000,000","737,292,460","794,970,720","637,000,000","388,464,280","348,257,000","917,411,120","1,041,000,000","2,217,000,000","3,877,000,000","539,717,310","7,579,000,000","6,187,570,200","8,403,000,000",,"6,016,000,000",,,"22,410,425,440","7,274,127,726",,,,,,
		Receivables,"5,886,000,000","7,000,000,000","7,423,000,000","7,420,000,000","7,121,000,000","7,607,000,000","8,416,000,000","9,311,000,000","9,278,000,000","8,479,000,000","8,080,000,000","7,982,000,000","7,949,000,000","7,868,000,000","8,840,000,000","5,898,000,000","8,785,000,000","8,157,000,000","6,812,000,000","7,015,000,000","9,573,000,000","9,496,000,000","9,743,000,000","9,958,000,000","7,293,000,000","6,368,000,000","7,032,000,000","7,620,000,000","7,321,000,000","6,665,000,000","6,860,000,000","7,401,000,000","7,161,000,000","6,962,000,000","7,140,000,000","7,452,000,000","6,072,000,000","5,478,000,000","18,925,000,000","20,217,000,000","18,152,000,000","17,018,000,000","20,128,000,000","18,262,000,000","18,296,000,000","21,566,000,000","21,534,000,000","19,899,000,000","20,096,000,000","21,182,000,000","21,332,722,520","19,818,126,000","19,773,000,000","19,862,895,680","23,292,523,800","23,737,187,720","24,298,000,000","17,835,000,000","21,056,000,000","28,835,331,580","32,285,000,000","10,096,198,000","35,274,000,000","13,192,039,200","33,541,000,000","12,682,754,610","10,653,428,800","11,064,867,450","22,402,703,574","9,048,809,133","8,728,898,080","8,178,604,206","7,680,491,556","8,252,749,785","8,019,628,162"
			AccountsReceivable,"1,791,000,000","2,064,000,000","2,211,000,000","2,399,000,000","2,334,000,000","2,048,000,000","2,168,000,000","2,565,000,000","2,562,000,000","2,460,000,000","2,497,000,000","2,569,000,000","2,721,000,000","2,479,000,000","2,747,000,000","3,209,000,000","3,177,000,000","2,668,000,000","3,387,000,000","3,207,000,000","2,949,000,000","2,564,000,000","3,030,000,000","3,046,000,000","3,000,000,000","2,406,000,000","2,873,000,000","3,193,000,000","2,960,000,000","2,702,000,000","3,009,000,000","3,306,000,000","3,041,000,000","2,625,000,000","3,029,000,000","3,417,000,000","2,719,000,000","2,259,000,000","3,912,000,000","4,207,000,000","3,963,000,000","3,649,000,000","4,369,000,000","4,181,000,000","4,390,000,000","4,730,000,000","5,019,000,000","4,702,000,000","4,384,000,000","5,047,000,000","5,545,946,390","5,041,551,600","4,944,000,000","5,155,622,280","5,704,371,400","5,397,215,420","4,969,000,000","4,777,000,000","4,553,000,000","5,846,502,970","5,784,000,000","6,416,068,400","6,466,000,000","13,192,039,200","6,532,000,000","12,682,754,610",,,,,,,,,
			TaxesReceivable,"361,000,000","372,000,000","286,000,000","328,000,000","337,000,000","419,000,000","162,000,000","195,000,000","195,000,000","215,000,000","209,000,000","174,000,000","187,000,000","206,000,000","461,000,000","465,000,000","519,000,000","405,000,000","308,000,000","292,000,000","277,000,000","328,000,000","341,000,000","361,000,000","381,000,000","291,000,000","362,000,000","343,000,000","277,000,000","236,000,000","382,000,000","290,000,000","281,000,000","369,000,000","570,000,000","576,000,000","349,000,000","353,000,000","1,081,000,000","978,000,000","748,000,000","674,000,000","2,489,000,000","745,000,000","770,000,000",,,,,"976,000,000",,,,,,,,,,,,,,,,,,,,,,,,,
