name,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997
TotalAssets,"12,531,000,000","10,628,000,000","23,318,000,000","30,355,000,000","32,882,000,000","40,665,000,000","33,902,000,000","35,128,000,000","26,715,000,000","26,896,000,000","23,378,000,000","24,808,000,000","19,274,000,000","19,435,000,000","7,431,000,000","7,830,028,000","9,260,613,000","10,883,688,000","12,894,545,000","5,978,992,000","3,431,684,000","1,293,426,000","1,168,102,000"
	CurrentAssets,"3,088,000,000","3,600,000,000","4,417,000,000","6,412,000,000","7,444,000,000","8,654,000,000","7,669,000,000","8,035,000,000","7,597,000,000","7,137,000,000","6,208,000,000","8,492,000,000","3,562,000,000","3,083,000,000","2,197,000,000","2,118,288,000","2,113,839,000","1,486,244,000","1,187,357,000","672,658,000","323,970,000","91,958,000","118,422,000"
		CashCashEquivalentsAndShortTermInvestments,"345,000,000","563,000,000","991,000,000","1,973,000,000","1,518,000,000","2,116,000,000","2,254,000,000","2,087,000,000","1,363,000,000","3,359,000,000","4,117,000,000","2,248,000,000","1,132,000,000","795,000,000","506,000,000","1,110,045,000","563,133,000","385,055,000","186,107,000","95,243,000","31,483,000","6,381,000","11,986,000"
			CashAndCashEquivalents,"345,000,000","563,000,000","991,000,000","1,973,000,000","1,518,000,000","2,116,000,000","2,254,000,000","2,087,000,000","1,105,000,000","2,951,000,000","2,304,000,000","1,494,000,000","1,132,000,000","795,000,000","506,000,000","1,110,045,000","563,133,000","385,055,000","186,107,000","95,243,000","31,483,000","6,381,000","11,986,000"
			OtherShortTermInvestments,,,,,,,,,"258,000,000","408,000,000","1,813,000,000","754,000,000","0",,,,,,,,,,
		Receivables,"1,025,000,000","1,024,000,000","1,176,000,000","1,183,000,000","1,223,000,000","1,529,000,000","1,826,000,000","1,065,000,000","834,000,000","763,000,000","908,000,000","532,000,000","540,000,000","372,000,000","284,000,000","272,101,000","928,980,000","286,974,000","346,891,000","360,342,000","126,663,000","74,376,000","97,227,000"
			AccountsReceivable,"1,025,000,000","1,019,000,000","1,079,000,000","1,166,000,000","1,157,000,000","1,322,000,000","1,214,000,000","986,000,000","834,000,000","734,000,000","876,000,000","464,000,000","482,000,000","372,000,000","284,000,000","272,101,000","223,639,000","281,532,000","346,154,000","360,075,000","126,376,000","22,547,000","44,682,000"
				GrossAccountsReceivable,"44,025,000,000",,,,"1,178,000,000","1,345,000,000","1,254,000,000","1,018,000,000","857,000,000","759,000,000",,"467,000,000",,,,,,,,,,,
				AllowanceForDoubtfulAccountsReceivable,"-43,000,000,000",,,,"-21,000,000","-23,000,000","-40,000,000","-32,000,000","-23,000,000","-25,000,000",,"-3,000,000",,,,,,,,,,,
			NotesReceivable,,,,,,,,,,"29,000,000","32,000,000","68,000,000",,,,,"65,341,000","5,442,000","737,000","267,000","287,000","30,660,000","52,545,000"
