name,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013
MarketCap,"7,304,410,232","14,851,453,287","12,468,792,333","18,273,265,140","11,843,684,519","9,316,415,084","10,923,876,298","15,323,334,565"
EnterpriseValue,"26,433,410,232","35,373,453,287","32,354,792,333","39,691,265,140","33,051,684,519","31,722,415,084","37,647,876,298","39,310,272,371"
PeRatio,"6.679","9.565","14.855","41.875",,"85.5","16.12","20.273"
ForwardPeRatio,"11.364","12.18","10.352","23.095","20.202","16.863","13.106","8.045"
PegRatio,"2.668","2.365","0.21","1.133","1.167",,"4.714","0.695"
PsRatio,"0.27","0.522","0.426","0.697","0.473","0.343","0.327","0.449"
PbRatio,"1.005","2.44","2.639","4.108","2.655","2.112","2.147","2.069"
EnterprisesValueRevenueRatio,"0.976","1.26","1.089","1.451","1.329","1.224","1.156","1.162"
EnterprisesValueEBITDARatio,"9.665","11.113","8.95","13.355","14.496","11.253","10.614","10.702"
