name,ttm,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008
	DepreciationAmortizationDepletionIncomeStatement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"447,000",,,,,,"5,143,000","4,082,000","2,899,000","2,181,000",,,"812,000","27,000","22,205","22,206","22,205","22,206"
		DepreciationAndAmortizationInIncomeStatement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"447,000",,,,,,,,,,,,,"27,000","22,205","22,206","22,205","22,206"
			Amortization,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"447,000",,,,,,,,,,,,,"27,000","22,205","22,206","22,205","22,206"
				AmortizationOfIntangiblesIncomeStatement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"447,000",,,,,,,,,,,,,"27,000","22,205","22,206","22,205","22,206"
	OtherTaxes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,947,000","1,507,000","965,000",,,"439,000",,,,,
	OtherOperatingExpenses,"3,937,000","573,000","1,498,000","2,680,000","-814,000","568,000","4,085,000","-1,863,000","2,886,000","1,517,000","442,000","51,000","1,295,000","1,537,000","5,752,000","1,193,000","2,836,000","1,777,000","1,949,000","793,000","1,694,000","703,000","18,803,000","2,468,000","-625,000","1,208,000","2,362,000","1,459,000","1,763,000","1,898,000","3,759,000","441,000",,"446,000","381,000","332,000","256,000","298,000","10,382,000","370,000","369,000","370,000","1,242,000","-527,000","129,000",,,,,
OperatingIncome,"473,372,000","174,257,000","104,791,000","114,324,000","80,000,000","66,136,000","34,100,000","66,428,000","72,109,000","100,708,000","18,235,000","23,110,000","13,395,000","24,967,000","14,834,000","57,063,000","40,099,000","26,902,000","6,979,000","9,227,000","2,859,000","6,531,000","-14,280,000","104,000","914,000","23,665,000","17,714,000","27,036,000","14,745,000","21,693,000","16,201,000","25,238,000","16,365,000","23,041,000","28,989,000","17,868,000","22,373,000","17,705,000","13,744,000","12,076,000","-306,000","-3,016,000","-11,891,000","711,000","-3,235,000","-1,443,000","-2,069,530","-2,209,805","-3,243,750","-3,130,069"
NetNonOperatingInterestIncomeExpense,"-23,628,000","-4,517,000","-4,910,000","-7,123,000","-7,078,000","-7,768,000","-7,379,000","-7,585,000","-8,485,000","-8,305,000","-5,495,000","-2,140,000","-3,138,000","-2,133,000","-1,959,000","-2,293,000","-2,906,000","-3,026,000","-3,075,000","-3,062,000","-8,259,000","-15,000","-1,277,000","-1,675,000","-1,152,000","-995,000","-1,737,000","-10,162,000","-428,000","-347,000","-63,000","-65,000","-65,000","0","-68,000","-61,000","-62,000","-420,000","-1,211,000","-1,375,000","-1,413,000","-1,502,000","-717,000","16,000","49,000","146,000",,"468,125","656,757",
	InterestIncomeNonOperating,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"22,000","16,000","49,000","175,000",,"510,550","698,469",
	InterestExpenseNonOperating,"23,628,000","4,517,000","4,910,000","7,123,000","7,078,000","7,768,000","7,379,000","7,585,000","8,485,000","8,305,000","5,495,000","2,140,000","3,138,000","2,133,000","1,959,000","2,293,000","2,906,000","3,026,000","3,075,000","3,062,000","8,259,000","1,708,000","1,277,000","1,675,000","1,152,000","995,000","1,080,000","1,136,000","428,000","347,000","63,000","65,000","65,000","0","68,000","61,000","62,000","420,000","1,211,000","1,375,000","1,413,000","1,502,000",,,,"29,000",,"42,425","41,712",
	TotalOtherFinanceCost,,,,,,,,,,,,,,,,,,,,,,"-1,693,000",,,,,"657,000","9,026,000",,,,,,,,,,,,,,,,,,,,,,
OtherIncomeExpense,"119,648,000","-9,853,000","137,195,000","-2,915,000","-4,779,000","7,181,000","-54,534,000","2,320,000","7,780,000","-4,444,000","11,533,000","4,251,000","8,744,000","-22,433,000","19,663,000","-9,948,000","-48,446,000","-21,453,000","-125,345,000","-10,307,000","-18,039,000","-938,000","-445,464,000","-268,065,000","-5,158,000","-38,067,000","10,209,000","-2,453,000","24,911,000","-14,076,000","2,551,000","-2,894,000","-2,344,000","-695,000","-2,756,000","-4,166,000","-31,000","1,138,000","-636,000","21,651,000","-1,769,000","-283,000","-4,624,000","-3,195,000","223,000","-4,610,000","-13,250,366","-2,868,492","245,816","-6,163,093"
	GainOnSaleOfSecurity,"-20,433,000","-16,074,000","513,000","-1,882,000","-2,990,000","7,275,000","-11,894,000","6,704,000","7,006,000","2,661,000","10,888,000","-362,000","248,000","-5,466,000","17,967,000","9,163,000","-6,549,000","-14,583,000","-9,203,000","-11,537,000","-8,887,000","-2,396,000","-6,119,000","-1,178,000","2,383,000","-986,000","-1,661,000","-1,485,000","-3,878,000","-4,004,000",,,"238,000","432,000",,"-2,031,000",,"822,000",,"-417,000","-352,000","434,000",,,"595,000",,,"-2,918,734","738,971",
	EarningsFromEquityInterest,"7,514,000","6,400,000","1,114,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	SpecialIncomeCharges,,,"135,653,000","-972,000","-1,352,000","0","-43,106,000","-3,459,000","0","-18,186,000","-665,000","-2,203,000","6,020,000","-2,322,000","-4,009,000","-9,752,000","-4,049,000","0","-117,499,000","-11,477,000","-517,000","854,000","-461,269,000","-298,761,000","-2,745,000","-262,000","-2,071,000","-9,564,000","29,509,000","-9,353,000","2,865,000","-2,894,000","-2,582,000","-1,229,000","-6,031,000","-455,000","584,000","431,000","-1,749,000","22,920,000","-1,417,000","-717,000","-13,624,000","-1,541,000","-331,000","-2,788,000","-6,071,736","50,242","-493,155",
		RestructuringAndMergernAcquisition,,,,,,,,,,,,,,,,,,,,,,,"0","0","0","0","0","0","0","5,859,000",,,,,,,,,,,,,,,,,,,,
