name,ttm,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996
MarketCap,"7,916,374,125","8,762,979,400","11,294,795,160","10,840,772,690","10,068,540,393","8,821,310,993","8,852,161,760","9,334,242,833","9,445,180,338","11,807,157,221","9,087,079,609","9,378,553,745","10,454,738,350","9,599,770,980","8,845,090,752","7,767,303,390","7,650,950,280","8,370,834,570","7,816,844,460","7,468,353,900","8,043,385,920","7,727,514,000","7,610,025,800","7,330,790,490","7,332,948,590","7,049,023,850","7,410,527,410","6,967,174,740","6,409,711,157","6,525,921,587","5,653,409,100","5,542,922,620","5,458,598,160","5,795,786,057","4,516,327,078","4,269,770,820","4,442,785,500","4,781,472,320","4,616,582,960","4,757,838,810","3,974,464,000","4,766,777,000","5,080,824,000","5,297,080,000","4,351,456,000","4,348,147,662","4,676,025,945","5,312,942,000","4,910,136,000","5,541,907,000","6,315,160,000","6,930,281,144","6,890,201,195","6,084,169,093","6,377,150,000","6,339,450,000","5,618,393,000","6,059,713,000","6,482,610,000","5,453,030,000","5,198,700,000","4,757,649,000","4,988,492,000","4,169,913,000","4,508,196,000","4,733,376,000","4,669,920,000","4,171,380,000","4,207,500,000","2,883,384,000","2,787,120,000","2,764,944,000","2,869,563,600","3,557,142,000","3,273,410,000","2,989,140,000","3,455,760,000","3,066,572,000","3,294,750,000","2,267,100,000","1,505,675,000","1,494,867,614","1,037,554,500","1,147,786,600","1,587,336,750","1,528,212,000","1,946,471,682","1,873,675,000","1,941,119,000","2,076,812,500","2,083,125,000","2,070,500,000","2,001,062,500","1,483,437,500","1,451,875,000","1,249,875,000","1,306,687,500","1,192,755,375"
EnterpriseValue,"7,780,935,125","8,588,775,400","11,211,400,160","10,882,319,690","10,191,763,393","8,798,828,993","8,845,958,760","9,348,253,833","9,378,043,338","11,805,485,221","9,135,024,609","9,542,633,745","10,619,729,350","9,751,024,980","9,042,417,752","7,971,083,390","7,960,376,280","8,725,544,570","8,053,985,460","7,767,818,900","8,283,175,920","7,928,404,000","8,096,583,800","7,877,566,490","7,435,876,590","7,258,591,850","7,309,298,410","7,056,329,740","6,703,749,157","6,807,032,587","5,934,520,100","5,632,308,620","5,474,776,160","5,835,347,057","4,560,821,078","4,314,264,820","4,519,449,500","5,025,501,320","4,688,071,960","5,658,886,810","4,734,047,000","5,370,644,000","6,098,808,000","6,472,319,000","5,369,342,000","4,898,737,662","5,649,420,945","6,268,355,000","5,863,255,000","6,502,890,000","7,243,503,000","8,137,812,144","7,725,636,195","6,829,906,093","7,162,955,000","7,159,557,000","6,438,500,000","6,888,841,000","7,342,452,000","6,312,872,000","6,081,136,000","5,601,479,000","6,048,856,000","5,056,606,000","5,469,218,000","5,697,745,000","5,004,180,000","4,758,816,000","4,591,618,000","3,458,645,000","3,097,228,000","3,218,613,000","3,321,622,600","4,039,035,000","3,755,303,000","3,553,713,000","3,966,394,000","3,673,368,000","3,814,007,000","2,754,810,000","1,993,385,000","1,982,358,614","1,034,327,500","1,147,786,600","1,587,336,750","1,528,212,000","1,946,471,682","1,873,675,000","1,941,119,000","2,076,812,500","2,083,125,000","2,070,500,000","2,001,062,500","1,483,437,500","1,451,875,000","1,249,875,000","1,306,687,500","1,192,755,375"
PeRatio,"10.491","7.79","26.722","21.035","41.473","85.36","8.473","44.363","24.519","22.607","34.198","7.87","9.517","9.874","9.458","10.613","9.66","8.933","8.572","6.843","6.769","6.716","6.558","6.53","6.646","6.016","8.152","7.617","7.283","8.224","6.963","9.142","10.349",,"26.866","25.361","16.285","16.732","7.927","10.043","7.596","7.304","6.481","9.06","32.532","321.818",,"455.421","10.167","9.099","7.612","6.907","7.32","7.483","14.178",,,,"156.797","152.969","11.369","9.035","10.282","8.062","7.455","10.509","10.93","11.285","12.582","11.196","12.235","13.062","24.648","33.019","33.667","14.671","18.561","16.547","19.049","13.983","9.287","9.348","6.866","7.442","10.132","9.451","11.944","11.604","12.241","13.056","13.525","13.946","15.009","12.553","13.009","2,475","2,587.5","2,362.5"
ForwardPeRatio,"9.242","7.918","11.442","10.941","10.235","9.302",,"9.461","11.001","12.18","10.893","11.325","13.21","12.225","11.877","10.504","11.364","10.091","10.183","9.542","9.709","9.268","9.533","9.017","7.077","7.205","8.299","12.048","7.184","8.052","10.695","8.703","11.416","7.424","7.184","6.906","7.102","7.564","6.817","7.072",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PegRatio,,,,,,,,,,,,,,,,,,,,,,"0.927","0.953","0.901","0.708","0.721","0.83","1.205","0.718","0.805","1.069","0.87","1.141","1.024","0.616","0.553","0.568","0.605","0.545","0.566",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PsRatio,"0.849","0.945","1.43","1.395","1.319","1.188","1.189","1.288","1.37","1.587","1.421","1.523","1.738","1.68","1.557","1.429","1.401","1.481","1.402","1.303","1.377","1.376","1.368","1.354","1.389","1.331","1.442","1.416","1.31","1.385","1.173","1.203","1.174","1.065","0.979","0.924","0.928","1.034","1.029","1.09","0.914","1.045","1.163","1.328","1.189","1.208","1.331","1.374","1.162","1.257","1.336","1.5","1.564","1.393","1.434","1.372","1.218","1.214","1.182","1.153","1.057","0.964","1.016","0.869","0.968","1.093","1.133","1.091","1.253","1.055","1.106","1.23","1.356","1.813","1.849","0.959","1.152","1.043","1.22","0.862","0.573","0.581","0.413","0.892","1.248","1.205","1.5","1.437","1.476","1.591","1.612","1.606","1.606","1.239","1.243","1.325","1.385","1.265"
PbRatio,"0.923","0.959","1.257","1.22","1.195","1.114","1.063","1.127","1.129","1.257","1.134","1.093","1.252","1.189","1.101","0.973","0.976","1.1","1.044","0.967","1.049","1.037","1.031","1.001","1.042","1.012","1.103","1.052","0.914","0.964","0.84","0.862","0.848","0.802","0.742","0.701","0.722","0.808","0.735","0.757","0.659","0.79","0.833","0.871","0.785","0.863","0.943","1.055","0.882","0.984","1.111","1.298","1.326","1.191","1.322","1.448","1.283","1.42","1.8","1.514","1.274","1.267","1.344","1.18","1.34","1.407","1.476","1.378","1.377","1.158","1.177","1.203","1.396","2.067","1.903","1.75","2.057","1.937","2.24","1.619","1.075","1.089","0.782","0.833","1.125","1.05","1.316","1.285","1.387","1.531","1.593","1.661","1.717","1.383","1.337","1.232","1.352",
EnterprisesValueRevenueRatio,"0.94","4.286","5.064","5.328","5.048","4.489","4.929","4.808","4.954","6.765","4.892","5.53","6.938","6.567","5.603","5.277","5.575","7.025","5.156","5.649","5.769","5.412","5.332","5.129","5.12","5.654","4.818","5.035","4.949","4.977","4.663","4.621","4.632","4.672","3.547","4.21","3.84","4.166","3.726","4.803","4.306","4.591","5.162","5.596","4.584","4.952","7.816","7.742","5.437","7.093","6.532","6.77","6.089","5.681","6.107","6.428","6.116","5.849","6.871","5.727","4.867","4.937","4.44","4.002","4.327","5.093","4.125","4.249","4.82","4.212","3.841","5.166","5.992","7.037","7.812","8.38","8.151","8.958","2.014","7.433","5.669","5.833","0.621","3.362","4.8","5.196","5.491","5.723","5.875","6.856","5.772","6.242","6.271","5.16","4.111","4.335","4.85","4.614"
