name,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,06/30/2014
		OtherNonCurrentAssets,"8,454,000","9,904,000","7,667,000","8,455,000","12,303,000","4,697,000","1,108,000",,,,,,,,,,,,,,,
TotalLiabilitiesNetMinorityInterest,"647,422,000","682,954,000","600,404,000","541,646,000","479,406,000","393,746,000","313,215,000","298,339,000","291,350,000","243,838,000","179,753,000","157,219,000","149,735,000","137,999,000","141,330,000","130,125,000","138,634,000","133,750,000","138,714,000","135,459,000","121,075,000","94,089,000"
	CurrentLiabilities,"389,681,000","436,714,000","335,407,000","293,778,000","248,072,000","225,718,000","166,150,000","153,971,000","158,609,000","129,754,000","92,432,000","78,696,000","78,616,000","78,500,000","87,271,000","81,445,000","95,855,000","96,299,000","105,592,000","103,437,000","95,077,000","72,943,000"
		PayablesAndAccruedExpenses,"343,927,000","305,808,000","294,038,000","251,482,000","208,504,000","179,859,000","160,355,000","150,564,000","155,599,000","123,663,000","89,689,000","75,658,000","77,591,000","76,079,000","79,172,000","78,803,000","93,872,000","94,124,000","102,612,000","102,339,000","88,850,000","53,097,000"
			Payables,"139,138,000","157,148,000","203,765,000","178,108,000","141,751,000","107,079,000","83,459,000","81,610,000","83,091,000","71,471,000","42,700,000","36,029,000","43,740,000","40,282,000","49,351,000","45,138,000","61,977,000","67,180,000","81,096,000","36,233,000","43,570,000","36,961,000"
				AccountsPayable,"139,138,000","157,148,000","132,230,000","116,795,000","90,190,000","107,079,000","83,459,000","81,610,000","83,091,000","69,488,000","42,700,000","36,029,000","43,740,000","40,282,000","48,481,000","45,138,000","61,977,000","67,180,000","80,684,000","36,233,000","43,570,000","36,815,000"
				OtherPayable,,,"71,535,000","61,313,000","51,561,000","11,344,000",,,,"1,983,000",,,,,"870,000",,,,"412,000",,,"146,000"
			CurrentAccruedExpenses,"204,789,000","148,660,000","90,273,000","73,374,000","66,753,000","72,780,000","76,896,000","68,954,000","72,508,000","52,192,000","46,989,000","39,629,000","33,851,000","35,797,000","29,821,000","33,665,000","31,895,000","26,944,000","21,516,000","66,106,000","45,280,000","16,136,000"
		CurrentProvisions,,"65,112,000","45,887,000","38,819,000","35,229,000","3,525,000","21,660,000","18,964,000","16,605,000","1,627,000","12,942,000","12,501,000","12,895,000","15,103,000","2,834,000","13,510,000","11,862,000","10,587,000","1,304,000","7,661,000","1,203,000","1,317,000"
		CurrentDebtAndCapitalLeaseObligation,"15,048,000","25,263,000","26,363,000","26,588,000","26,041,000","16,639,000",,,,,,,,,,,,,,,"3,372,000","16,800,000"
			CurrentDebt,"15,048,000","15,673,000","16,912,000","16,454,000","17,233,000","16,639,000",,,,,,,,,,,,,,,"3,372,000","16,800,000"
				OtherCurrentBorrowings,"15,048,000","15,673,000","16,912,000","16,454,000","17,233,000","16,639,000",,,,,,,,,,,,,,,"3,372,000","16,800,000"
			CurrentCapitalLeaseObligation,,"9,590,000","9,451,000","10,134,000","8,808,000",,,,,,,,,,,,,,,,,
		CurrentDeferredLiabilities,"30,706,000","70,815,000","15,006,000","15,708,000","13,527,000","14,351,000","5,795,000","3,407,000","3,010,000","2,559,000","2,743,000","3,038,000","1,025,000","2,421,000","3,859,000","2,642,000","1,983,000","2,175,000","1,676,000","1,098,000","1,652,000","1,729,000"
			CurrentDeferredRevenue,"30,706,000","70,815,000","15,006,000","15,708,000","13,527,000","14,351,000","5,795,000","3,407,000","3,010,000","2,559,000","2,743,000","3,038,000","1,025,000","2,421,000","3,859,000","2,642,000","1,983,000","2,175,000","1,676,000","1,098,000","1,652,000","1,729,000"
		OtherCurrentLiabilities,,"34,828,000",,,,"11,344,000",,,,"1,905,000",,,,,"1,406,000",,,,,,,
	TotalNonCurrentLiabilitiesNetMinorityInterest,"257,741,000","246,240,000","264,997,000","247,868,000","231,334,000","168,028,000","147,065,000","144,368,000","132,741,000","114,084,000","87,321,000","78,523,000","71,119,000","59,499,000","54,059,000","48,680,000","42,779,000","37,451,000","33,122,000","32,022,000","25,998,000","21,146,000"
		LongTermProvisions,,,"125,467,000","111,819,000","101,517,000","92,958,000","86,059,000","78,327,000","71,590,000","64,026,000","58,625,000","52,839,000","48,230,000","41,305,000","37,078,000","33,149,000","29,032,000","25,317,000","22,448,000","20,238,000","17,645,000","12,685,000"
		LongTermDebtAndCapitalLeaseObligation,"30,336,000","30,386,000","34,046,000","35,528,000","31,819,000","3,510,000",,,,,,,,,,,,,,,"1,306,000","3,444,000"
			LongTermDebt,,"173,000","4,055,000","5,519,000","7,029,000","3,510,000",,,,,,,,,,,,,,,"1,306,000","3,444,000"
			LongTermCapitalLeaseObligation,"30,336,000","30,213,000","29,991,000","30,009,000","24,790,000",,,,,,,,,,,,,,,,,
		NonCurrentDeferredLiabilities,"100,336,000","94,443,000","89,696,000","82,459,000","74,581,000","62,169,000","53,663,000","47,595,000","41,866,000","31,453,000","26,858,000","23,771,000","20,902,000","16,059,000","14,684,000","13,266,000","11,427,000","9,760,000","8,289,000","6,995,000","6,017,000","4,252,000"
			NonCurrentDeferredTaxesLiabilities,"2,202,000","4,461,000","7,762,000","8,663,000","8,544,000","1,499,000",,,,,,,,,,,,,,,,
			NonCurrentDeferredRevenue,"98,134,000","89,982,000","81,934,000","73,796,000","66,037,000","60,670,000","53,663,000","47,595,000","41,866,000","31,453,000","26,858,000","23,771,000","20,902,000","16,059,000","14,684,000","13,266,000","11,427,000","9,760,000","8,289,000","6,995,000","6,017,000","4,252,000"
		TradeandOtherPayablesNonCurrent,,"5,389,000",,,,"7,147,000",,"16,830,000","17,595,000","16,840,000",,,,,,,,,,,,
		NonCurrentAccruedExpenses,"116,099,000","112,098,000","125,467,000","111,819,000","101,517,000","92,958,000","86,059,000","78,327,000","71,590,000","64,026,000","58,625,000","52,839,000","48,230,000","41,305,000","37,078,000","33,149,000","29,032,000","25,317,000","22,448,000","20,238,000","17,645,000","12,685,000"
		DerivativeProductLiabilities,,,,,,,,,,,,,,,,,,,"0","2,830,000","1,030,000","765,000"
		OtherNonCurrentLiabilities,"10,970,000","3,924,000","15,788,000","18,062,000","23,417,000","2,244,000","7,343,000","1,616,000","1,690,000","1,765,000","1,838,000","1,913,000","1,987,000","2,135,000","2,297,000","2,265,000","2,320,000","2,374,000","2,385,000","1,959,000",,
TotalEquityGrossMinorityInterest,"866,418,000","811,670,000","737,188,000","680,048,000","697,517,000","570,726,000","538,963,000","484,891,000","440,211,000","397,467,000","369,453,000","335,203,000","307,235,000","274,946,000","256,108,000","236,247,000","210,939,000","183,225,000","166,944,000","150,530,000","12,212,000","-19,091,000"
	StockholdersEquity,"866,418,000","811,670,000","732,012,000","674,071,000","626,319,000","562,408,000","538,963,000","484,891,000","440,211,000","397,467,000","369,453,000","335,203,000","307,235,000","274,946,000","256,108,000","236,247,000","210,939,000","183,225,000","166,944,000","150,530,000","12,212,000","-19,091,000"
		CapitalStock,"5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","4,000","4,000","4,000","4,000","4,000","4,000","4,000","4,000","4,000","4,000","4,000","4,000","3,000","116,203,000"
			PreferredStock,,,,,,,,,,,,,,,,,,,"0","0","0","116,203,000"
			CommonStock,"5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","4,000","4,000","4,000","4,000","4,000","4,000","4,000","4,000","4,000","4,000","4,000","4,000","3,000","0"
		AdditionalPaidInCapital,"491,873,000","475,792,000","450,459,000","431,684,000","417,385,000","371,794,000","361,744,000","353,470,000","343,356,000","331,902,000","323,076,000","316,867,000","311,081,000","302,587,000","299,214,000","296,480,000","292,681,000","289,004,000","287,152,000","280,040,000","147,586,000","5,878,000"
		RetainedEarnings,"379,930,000","337,682,000","284,904,000","243,277,000","210,149,000","191,133,000","178,197,000","132,554,000","97,986,000","66,172,000","46,670,000","18,699,000","-3,825,000","-27,765,000","-43,381,000","-60,654,000","-81,453,000","-105,558,000","-119,990,000","-129,251,000","-135,216,000","-141,111,000"
		GainsLossesNotAffectingRetainedEarnings,"-5,390,000","-1,809,000","-3,356,000","-895,000","-1,220,000","-524,000","-983,000","-1,138,000","-1,135,000","-611,000","-297,000","-367,000","-25,000","120,000","271,000","417,000","-293,000","-225,000","-222,000","-263,000","-161,000","-61,000"
	MinorityInterest,,"0","5,176,000","5,977,000","71,198,000","8,318,000",,,,,,,,,,,,,,,,
TotalCapitalization,"866,418,000","811,843,000","736,067,000","679,590,000","633,348,000","565,918,000","538,963,000","484,891,000","440,211,000","397,467,000","369,453,000","335,203,000","307,235,000","274,946,000","256,108,000","236,247,000","210,939,000","183,225,000","166,944,000","150,530,000","13,518,000","-15,647,000"
PreferredStockEquity,,,,,,,,,,,,,,,,,,,,,,"116,203,000"
CommonStockEquity,"866,418,000","811,670,000","732,012,000","674,071,000","626,319,000","562,408,000","538,963,000","484,891,000","440,211,000","397,467,000","369,453,000","335,203,000","307,235,000","274,946,000","256,108,000","236,247,000","210,939,000","183,225,000","166,944,000","150,530,000","12,212,000","-135,294,000"
CapitalLeaseObligations,"30,336,000","39,803,000","39,442,000","40,143,000","33,598,000",,,,,,,,,,,,,,,,,
NetTangibleAssets,"671,787,000","608,008,000","531,217,000","462,731,000","414,899,000","489,030,000","532,419,000","484,891,000","440,211,000","396,352,000","369,453,000","335,203,000","307,235,000","274,251,000","255,392,000","235,510,000","210,181,000","182,446,000","166,944,000","150,530,000","12,212,000","-19,091,000"
WorkingCapital,"566,238,000","496,049,000","499,396,000","436,766,000","469,460,000","452,395,000","489,503,000","462,076,000","412,603,000","346,932,000","332,155,000","286,243,000","290,850,000","244,854,000","222,479,000","207,900,000","199,167,000","202,024,000","184,820,000","170,269,000","28,652,000","-3,670,000"
InvestedCapital,"881,466,000","827,516,000","752,979,000","696,044,000","650,581,000","582,557,000","538,963,000","484,891,000","440,211,000","397,467,000","369,453,000","335,203,000","307,235,000","274,946,000","256,108,000","236,247,000","210,939,000","183,225,000","166,944,000","150,530,000","16,890,000","-115,050,000"
TangibleBookValue,"671,787,000","608,008,000","531,217,000","462,731,000","414,899,000","489,030,000","532,419,000","484,891,000","440,211,000","396,352,000","369,453,000","335,203,000","307,235,000","274,251,000","255,392,000","235,510,000","210,181,000","182,446,000","166,944,000","150,530,000","12,212,000","-135,294,000"
TotalDebt,"45,384,000","55,649,000","60,409,000","62,116,000","57,860,000","20,149,000",,,,,,,,,,,,,,,"4,678,000","20,244,000"
NetDebt,,,,,,,,,,,,,,,,,,,,,,"10,490,000"
ShareIssued,"49,599,493","49,081,457","48,576,288","47,967,425","47,501,363","46,052,802","45,750,400","45,498,414","44,897,108","43,812,601","42,862,712","42,022,735","41,532,545","40,889,922","40,889,922","40,684,496","40,092,668","39,303,892","39,297,539","39,128,071","38,065,042","38,065,042"
OrdinarySharesNumber,"49,599,493","48,898,062","48,576,288","47,967,425","47,501,363","46,052,802","45,750,400","45,498,414","44,897,108","43,812,601","42,862,712","42,022,735","41,532,545","40,889,922","40,889,922","40,684,496","40,092,668","39,303,892","39,297,539","39,128,071","38,065,042","38,065,042"
TreasurySharesNumber,,"183,395",,,,,,,,,,,,,,,,,,,,
