name,ttm,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012
DilutedAverageShares,,"1,350,000,000","1,425,000,000","1,352,000,000","1,356,000,000","1,356,000,000","1,357,000,000","1,358,000,000","1,361,000,000","1,368,000,000","1,533,333,333","1,366,000,000","1,367,000,000","1,366,000,000","1,364,000,000","1,364,000,000","1,364,000,000","1,363,000,000","1,361,000,000","1,362,000,000","1,363,000,000","1,362,000,000",,,"1,361,000,000","1,356,989,000","1,330,769,231","1,224,014,000","1,348,867,772","1,224,000,000",,"1,224,000,000"
TotalOperatingIncomeAsReported,,,,,,,,,,,,,,,,,,,,,,,,"505,000,000",,"480,000,000","535,778,397.636",,,"487,000,000",,
TotalExpenses,"24,483,000,000","5,154,000,000","6,957,000,000","5,793,000,000","6,579,000,000","5,749,000,000","7,315,000,000","5,939,000,000","7,043,000,000","6,073,000,000","7,404,000,000","6,044,000,000","6,230,000,000","5,230,000,000","6,341,000,000","5,281,000,000","6,072,000,000","4,967,000,000","6,379,000,000","5,371,000,000","6,307,000,000","5,473,000,000","7,719,000,000","6,988,000,000","7,972,000,000","7,134,000,000","7,529,123,686.022","7,703,725,693.929","7,913,000,000","7,120,000,000","7,722,212,786.174","7,374,070,697.603"
NetIncomeFromContinuingAndDiscontinuedOperation,"1,100,000,000","-65,000,000","114,000,000","637,000,000","414,000,000","257,000,000","254,000,000","222,000,000","396,000,000","196,000,000","-46,000,000","53,000,000","242,000,000","46,000,000","95,000,000","39,000,000","126,000,000","-512,000,000","231,000,000","-124,000,000","124,000,000","22,000,000","83,000,000","173,000,000","354,000,000","145,000,000","-154,230,518.035","277,976,439.473","283,000,000","182,000,000","-76,038,623.027","328,706,616.505"
NormalizedIncome,"1,185,860,000","-61,513,157.895","139,110,000","671,020,000","435,176,895.307","262,936,962.751","286,090,163.934","227,014,245.014","399,827,037.773","198,231,707.317","-33,040,000","95,930,000","249,932,000","55,720,000","105,400,000","43,800,000","134,000,000","-500,000,000","253,024,691.358","-109,600,000","141,600,000","31,600,000","149,220,000","213,208,000","374,220,000","168,100,000","-171,254,150.215","286,301,097.371","298,400,000","213,050,000","-35,815,875.707","335,831,241.013"
InterestIncome,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14,843,402.108",,,,"10,272,081.766"
InterestExpense,"796,000,000","181,000,000","228,000,000","192,000,000","195,000,000","183,000,000","231,000,000","189,000,000","192,000,000","200,000,000","230,000,000","259,000,000","234,000,000","219,000,000","285,000,000","273,000,000","240,000,000","230,000,000","282,000,000","258,000,000","282,000,000","284,000,000","342,000,000","327,000,000","338,000,000","215,000,000","692,673,728.528","168,675,023.952","301,000,000","149,000,000","742,904,289.878","154,081,226.487"
NetInterestIncome,"-796,000,000","-181,000,000","-228,000,000","-192,000,000","-195,000,000","-183,000,000","-231,000,000","-189,000,000","-192,000,000","-200,000,000","-230,000,000","-259,000,000","-234,000,000","-219,000,000","-285,000,000","-273,000,000","-240,000,000","-230,000,000","-282,000,000","-258,000,000","-282,000,000","-284,000,000","-342,000,000","-327,000,000","-338,000,000","-215,000,000","-731,806,334.084","-153,831,621.844","-301,000,000","-149,000,000","-780,140,586.279","-143,809,144.721"
EBIT,"1,541,000,000","105,000,000","335,000,000","352,000,000","749,000,000","532,000,000","597,000,000","540,000,000","695,000,000","446,000,000","398,000,000","359,000,000","567,000,000","298,000,000","447,000,000","331,000,000","481,000,000","-240,000,000","606,000,000","175,000,000","517,000,000","375,000,000","468,000,000","586,000,000","823,000,000","506,000,000","437,947,697.249","711,133,900.981","829,000,000","513,000,000","523,411,820.598","760,134,050.667"
EBITDA,"2,735,000,000"
ReconciledCostOfRevenue,"21,280,000,000","4,414,000,000","6,100,000,000","5,015,000,000","5,751,000,000","4,966,000,000","6,352,000,000","5,162,000,000","6,188,000,000","5,256,000,000","6,455,000,000","5,242,000,000","5,427,000,000","4,497,000,000","5,525,000,000","4,524,000,000","5,252,000,000","4,238,000,000","5,586,000,000","4,599,000,000","5,456,000,000","4,716,000,000","6,737,000,000","5,998,000,000","6,922,000,000","6,189,000,000","6,104,888,296.652","6,755,097,359.224","6,851,000,000","6,197,000,000","6,140,641,350.265","6,553,588,166.562"
ReconciledDepreciation,"1,194,000,000","295,000,000","302,000,000","299,000,000","301,000,000","313,000,000","321,000,000","329,000,000","334,000,000","353,000,000","380,000,000","336,000,000","318,000,000","316,000,000","318,000,000","314,000,000","319,000,000","310,000,000","305,000,000","297,000,000","268,000,000","276,000,000","279,000,000","305,000,000","287,000,000","269,000,000","351,384,093.271","224,615,906.729","281,000,000","246,000,000","358,474,583.018",
NetIncomeFromContinuingOperationNetMinorityInterest,"1,100,000,000","-65,000,000","114,000,000","637,000,000","414,000,000","257,000,000","254,000,000","222,000,000","396,000,000","196,000,000","-46,000,000","53,000,000","242,000,000","46,000,000","95,000,000","39,000,000","126,000,000","-512,000,000","231,000,000","-124,000,000","124,000,000","22,000,000","83,000,000","173,000,000","354,000,000","145,000,000","-154,230,518.035","277,976,439.473","283,000,000","182,000,000","-76,038,623.027","328,706,616.505"
TotalUnusualItemsExcludingGoodwill,"-106,000,000","-5,000,000","-31,000,000","-42,000,000","-28,000,000","-8,000,000","-45,000,000","-8,000,000","-5,000,000","-3,000,000","-16,000,000","-53,000,000","-12,000,000","-12,000,000","-13,000,000","-6,000,000","-10,000,000","-15,000,000","-32,000,000","-18,000,000","-22,000,000","-12,000,000","-86,000,000","-56,000,000","-30,000,000","-30,000,000","22,108,613.221","-13,494,001.916","-20,000,000","-50,000,000","-51,238,569.099","-11,556,091.986"
TotalUnusualItems,"-106,000,000","-5,000,000","-31,000,000","-42,000,000","-28,000,000","-8,000,000","-45,000,000","-8,000,000","-5,000,000","-3,000,000","-16,000,000","-53,000,000","-12,000,000","-12,000,000","-13,000,000","-6,000,000","-10,000,000","-15,000,000","-32,000,000","-18,000,000","-22,000,000","-12,000,000","-86,000,000","-56,000,000","-30,000,000","-30,000,000","22,108,613.221","-13,494,001.916","-20,000,000","-50,000,000","-51,238,569.099","-11,556,091.986"
NormalizedEBITDA,"2,841,000,000","405,000,000","668,000,000","693,000,000","1,078,000,000","853,000,000","963,000,000","877,000,000","1,034,000,000","802,000,000","794,000,000","748,000,000","897,000,000","626,000,000","778,000,000","651,000,000","810,000,000","85,000,000","943,000,000","490,000,000","807,000,000","663,000,000","835,000,000","945,000,000","1,140,000,000","805,000,000","767,223,177.298","949,243,809.627","1,130,000,000","809,000,000","933,124,972.715","771,690,142.654"
TaxRateForCalcs,"0.19","0.303","0.19","0.19","0.244","0.258","0.287","0.373","0.235","0.256","0.19","0.19","0.339","0.19","0.2","0.2","0.2","0.2","0.312","0.2","0.2","0.2","0.23","0.282","0.326","0.23","0.23","0.383","0.23","0.379","0.215","0.383"
TaxEffectOfUnusualItems,"-20,140,000","-1,513,157.895","-5,890,000","-7,980,000","-6,823,104.693","-2,063,037.249","-12,909,836.066","-2,985,754.986","-1,172,962.227","-768,292.683","-3,040,000","-10,070,000","-4,068,000","-2,280,000","-2,600,000","-1,200,000","-2,000,000","-3,000,000","-9,975,308.642","-3,600,000","-4,400,000","-2,400,000","-19,780,000","-15,792,000","-9,780,000","-6,900,000","5,084,981.041","-5,169,344.018","-4,600,000","-18,950,000","-11,015,821.778","-4,431,467.478"
