name,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007
TotalAssets,"16,059,000,000","14,102,000,000","19,521,000,000","21,193,000,000","33,854,000,000","41,042,000,000","49,747,000,000","55,360,000,000","54,039,000,000","19,927,895,000","14,732,541,000","15,725,153,000","10,568,884,000"
	CurrentAssets,"2,499,000,000","3,110,000,000","4,408,000,000","4,550,000,000","20,520,000,000","9,632,000,000","8,636,000,000","9,540,000,000","7,871,000,000","2,289,474,000","2,966,608,000","2,406,507,000","1,726,917,000"
		CashCashEquivalentsAndShortTermInvestments,"1,332,000,000","1,896,000,000","2,434,000,000","3,132,000,000","4,009,000,000","6,608,000,000","4,894,000,000","5,219,000,000","2,325,000,000","885,125,000","1,446,949,000","914,683,000","1,046,423,000"
			CashAndCashEquivalents,"1,250,000,000","1,808,000,000","1,304,000,000","2,942,000,000","3,614,000,000","6,342,000,000","4,454,000,000","4,949,000,000","2,325,000,000","885,125,000","1,446,949,000","914,683,000","1,003,711,000"
				CashFinancial,"932,000,000","756,000,000","840,000,000","1,707,000,000","1,644,000,000",,,,,,,,
				CashEquivalents,"318,000,000","1,052,000,000","464,000,000","1,235,000,000","1,970,000,000",,,,,,,,
			OtherShortTermInvestments,"82,000,000","88,000,000","1,130,000,000","190,000,000","395,000,000","266,000,000","440,000,000","270,000,000","176,132,000",,,"0","42,712,000"
		Receivables,"802,000,000","838,000,000","1,156,000,000","1,033,000,000","1,065,000,000","2,266,000,000","2,709,000,000","2,913,000,000","3,166,000,000","731,431,000","738,990,000","858,092,000","401,499,000"
			AccountsReceivable,"610,000,000","545,000,000","619,000,000","609,000,000","542,000,000","1,847,000,000","2,283,000,000","2,495,000,000","2,665,000,000","506,322,000","392,365,000","475,667,000","281,396,000"
				GrossAccountsReceivable,"786,000,000","716,000,000","788,000,000","769,000,000","724,000,000","2,429,000,000","3,017,000,000","3,147,000,000","3,445,000,000",,,,
				AllowanceForDoubtfulAccountsReceivable,"-176,000,000","-171,000,000","-169,000,000","-160,000,000","-182,000,000","-582,000,000","-734,000,000","-652,000,000","-780,000,000",,,,
			AccruedInterestReceivable,,,,,,,,,,,,"32,184,000","2,425,000"
			TaxesReceivable,"174,000,000","261,000,000","411,000,000","348,000,000","388,000,000","380,000,000","426,000,000","418,000,000","455,000,000","137,958,000","96,994,000","182,045,000","112,273,000"
			DuefromRelatedPartiesCurrent,,,,,,,,,"86,626,000","87,151,000","249,631,000","168,196,000","5,405,000"
			OtherReceivables,"18,000,000","32,000,000","126,000,000","76,000,000","135,000,000","39,000,000",,,"46,000,000","87,151,000",,,
		Inventory,"169,000,000","141,000,000","72,000,000","125,000,000","104,000,000","117,000,000","192,000,000","167,000,000","227,000,000","137,413,000","61,919,000","142,649,000","58,838,000"
			RawMaterials,,,,,,,,"4,000,000","4,000,000","4,350,000","3,257,000","11,829,000","20,181,000"
			FinishedGoods,,,"81,000,000","133,000,000","107,000,000","113,000,000","188,000,000","159,000,000","189,000,000","113,061,000","50,777,000","114,730,000","31,211,000"
			OtherInventories,,,"16,000,000","18,000,000","20,000,000","26,000,000","4,000,000","4,000,000","34,000,000","20,002,000","7,885,000","16,090,000","7,446,000"
			InventoriesAdjustmentsAllowances,,,"-25,000,000","-26,000,000","-23,000,000","-22,000,000",,,,,,,
		PrepaidAssets,"156,000,000","190,000,000","193,000,000","229,000,000","183,000,000","512,000,000","544,000,000","1,107,000,000","1,105,000,000",,,"240,724,000","81,317,000"
		CurrentDeferredAssets,,"8,000,000","12,000,000","12,000,000","8,000,000","16,000,000","20,000,000","24,000,000","39,000,000","117,236,000","91,493,000","82,788,000","98,407,000"
			CurrentDeferredTaxesAssets,,,,,,,,,"148,098,000","117,236,000","91,493,000","82,788,000","98,407,000"
		AssetsHeldForSaleCurrent,"0","17,000,000","533,000,000","0","15,137,000,000","5,000,000","142,000,000","77,000,000","650,000,000",,,,
		HedgingAssetsCurrent,,,,,,,,,,,,"109,751,000","0"
		OtherCurrentAssets,"40,000,000","20,000,000","8,000,000","19,000,000","14,000,000","108,000,000","135,000,000","33,000,000","359,000,000","418,269,000","627,257,000","57,820,000","40,433,000"
	TotalNonCurrentAssets,"13,560,000,000","10,992,000,000","15,113,000,000","16,643,000,000","13,334,000,000","31,410,000,000","41,114,000,000","45,820,000,000","46,168,000,000","17,638,421,000","11,765,933,000","13,318,646,000","8,841,967,000"
		NetPPE,"7,340,000,000","4,932,000,000","6,097,000,000","6,719,000,000","6,239,000,000","11,849,000,000","15,493,000,000","15,666,000,000","15,165,000,000","6,935,287,000","5,561,569,000","6,425,873,000","5,497,819,000"
			GrossPPE,"16,794,000,000","12,931,000,000","14,413,000,000","14,858,000,000","12,523,000,000","21,061,000,000","27,202,000,000","25,566,000,000","23,048,000,000","11,959,812,000","9,291,964,000","9,254,718,000","7,707,770,000"
				Properties,"493,000,000","443,000,000","482,000,000","461,000,000","423,000,000","561,000,000","806,000,000","771,000,000","0","0","0","0","0"
				LandAndImprovements,,,,,,,,,"750,000,000","586,663,000","335,675,000","351,055,000","281,744,000"
